cell_id,true_label,pred_label_raw,pred_label_aligned
0,1,8,2
1,4,7,4
2,1,8,2
3,1,8,2
4,5,7,4
5,5,7,4
6,1,8,2
7,3,8,2
8,1,8,2
9,0,7,4
10,0,7,4
11,1,8,2
12,2,8,2
13,1,8,2
14,1,8,2
15,2,8,2
16,2,7,4
17,0,7,4
18,1,8,2
19,4,7,4
20,0,7,4
21,3,8,2
22,0,7,4
23,1,8,2
24,2,8,2
25,4,7,4
26,0,7,4
27,0,7,4
28,0,7,4
29,1,8,2
30,1,0,1
31,7,8,2
32,4,7,4
33,4,7,4
34,7,7,4
35,0,7,4
36,0,7,4
37,1,8,2
38,3,8,2
39,4,7,4
40,4,7,4
41,0,7,4
42,4,7,4
43,0,7,4
44,4,7,4
45,4,7,4
46,0,7,4
47,1,8,2
48,4,7,4
49,1,8,2
50,4,7,4
51,1,8,2
52,2,8,2
53,0,7,4
54,0,7,4
55,4,7,4
56,8,7,4
57,0,7,4
58,1,8,2
59,0,7,4
60,1,8,2
61,1,8,2
62,1,8,2
63,0,7,4
64,0,7,4
65,7,8,2
66,4,7,4
67,1,8,2
68,4,8,2
69,1,8,2
70,2,8,2
71,0,7,4
72,0,7,4
73,5,7,4
74,2,7,4
75,4,7,4
76,1,8,2
77,0,7,4
78,0,7,4
79,0,7,4
80,1,8,2
81,7,8,2
82,1,8,2
83,7,8,2
84,1,8,2
85,3,8,2
86,4,7,4
87,7,8,2
88,0,7,4
89,0,7,4
90,2,8,2
91,0,7,4
92,4,7,4
93,1,0,1
94,2,8,2
95,0,7,4
96,2,8,2
97,1,8,2
98,0,7,4
99,0,7,4
100,2,8,2
101,1,8,2
102,5,7,4
103,0,7,4
104,4,7,4
105,1,0,1
106,0,7,4
107,0,7,4
108,0,7,4
109,4,7,4
110,4,7,4
111,1,8,2
112,2,8,2
113,3,8,2
114,0,7,4
115,4,7,4
116,1,8,2
117,0,7,4
118,1,8,2
119,1,8,2
120,1,8,2
121,4,7,4
122,0,7,4
123,1,8,2
124,0,7,4
125,3,8,2
126,1,8,2
127,1,8,2
128,0,7,4
129,4,7,4
130,4,7,4
131,1,8,2
132,0,7,4
133,0,7,4
134,1,8,2
135,4,7,4
136,1,8,2
137,4,7,4
138,1,8,2
139,0,7,4
140,4,7,4
141,7,8,2
142,1,8,2
143,4,7,4
144,1,8,2
145,3,8,2
146,1,8,2
147,2,8,2
148,1,8,2
149,7,8,2
150,1,8,2
151,0,7,4
152,4,7,4
153,1,8,2
154,4,7,4
155,0,7,4
156,4,7,4
157,0,7,4
158,4,7,4
159,0,7,4
160,0,7,4
161,4,7,4
162,1,8,2
163,0,7,4
164,1,8,2
165,0,7,4
166,1,8,2
167,0,7,4
168,4,7,4
169,4,7,4
170,4,7,4
171,1,8,2
172,2,8,2
173,4,7,4
174,0,7,4
175,0,7,4
176,1,8,2
177,1,8,2
178,0,7,4
179,7,8,2
180,4,7,4
181,1,0,1
182,1,8,2
183,7,8,2
184,1,0,1
185,7,8,2
186,3,8,2
187,1,0,1
188,1,8,2
189,1,0,1
190,5,7,4
191,1,8,2
192,2,8,2
193,2,8,2
194,1,8,2
195,1,0,1
196,1,0,1
197,3,8,2
198,7,8,2
199,1,0,1
200,3,8,2
201,1,8,2
202,7,8,2
203,2,8,2
204,1,0,1
205,1,0,1
206,2,8,2
207,1,8,2
208,2,8,2
209,1,0,1
210,3,8,2
211,1,0,1
212,3,8,2
213,1,8,2
214,1,8,2
215,2,8,2
