cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,1,3
1,2,3,2
2,1,2,1
3,0,0,0
4,4,4,4
5,4,4,4
6,3,1,3
7,4,4,4
8,2,3,2
9,4,4,4
10,4,4,4
11,4,4,4
12,2,1,3
13,3,1,3
14,0,0,0
15,3,1,3
16,2,3,2
17,5,5,5
18,3,1,3
19,4,4,4
20,4,4,4
21,4,4,4
22,2,3,2
23,2,3,2
24,0,0,0
25,4,4,4
26,4,4,4
27,3,1,3
28,4,4,4
29,2,3,2
30,2,3,2
31,5,5,5
32,2,1,3
33,4,4,4
34,0,0,0
35,2,3,2
36,4,4,4
37,0,0,0
38,2,3,2
39,2,1,3
40,4,4,4
41,2,3,2
42,1,2,1
43,4,4,4
44,0,0,0
45,0,0,0
46,5,5,5
47,4,4,4
48,5,5,5
49,4,4,4
50,1,2,1
51,4,4,4
52,4,4,4
53,4,4,4
54,3,1,3
55,1,2,1
56,4,4,4
57,2,3,2
58,3,1,3
59,4,4,4
60,4,4,4
61,5,5,5
62,4,4,4
63,0,0,0
64,4,4,4
65,2,1,3
66,0,0,0
67,2,3,2
68,4,4,4
69,3,1,3
70,4,4,4
71,0,0,0
72,2,3,2
73,1,2,1
74,2,3,2
75,4,4,4
76,2,3,2
77,4,4,4
78,4,4,4
79,4,4,4
80,4,4,4
81,4,4,4
82,2,3,2
83,4,4,4
84,1,2,1
85,2,3,2
86,0,0,0
87,1,2,1
88,4,4,4
89,0,0,0
90,4,4,4
91,0,0,0
92,0,0,0
93,2,3,2
94,3,1,3
95,2,1,3
96,3,1,3
97,4,4,4
98,4,4,4
99,4,4,4
100,2,3,2
101,2,1,3
102,4,4,4
103,1,2,1
104,2,3,2
105,0,0,0
106,1,2,1
107,2,3,2
108,0,0,0
109,1,2,1
110,2,3,2
111,1,2,1
112,2,3,2
113,2,3,2
114,4,4,4
115,2,3,2
116,5,5,5
117,4,4,4
118,4,4,4
119,2,3,2
120,1,2,1
121,4,4,4
122,3,1,3
123,4,4,4
124,4,4,4
125,2,3,2
126,4,4,4
127,4,4,4
128,2,1,3
129,0,0,0
130,5,5,5
131,0,0,0
132,0,0,0
133,0,0,0
134,2,1,3
135,2,1,3
136,2,3,2
137,2,3,2
138,3,1,3
139,5,5,5
140,0,0,0
141,4,4,4
142,0,0,0
143,3,1,3
144,2,3,2
145,5,5,5
146,2,3,2
147,2,1,3
148,4,4,4
149,4,4,4
150,1,2,1
151,0,0,0
152,0,0,0
153,5,5,5
154,5,5,5
155,4,4,4
156,0,0,0
157,2,3,2
158,2,3,2
159,2,3,2
160,2,1,3
161,1,2,1
162,3,1,3
163,0,0,0
164,2,1,3
165,4,4,4
166,2,3,2
167,2,3,2
168,2,3,2
169,4,4,4
170,2,3,2
171,3,1,3
172,5,5,5
173,5,5,5
174,5,5,5
175,5,5,5
176,2,3,2
177,4,4,4
178,5,5,5
179,4,4,4
180,2,3,2
181,0,0,0
182,4,4,4
183,4,4,4
184,0,0,0
185,4,4,4
186,2,1,3
187,4,4,4
188,2,3,2
189,3,1,3
190,2,3,2
191,4,4,4
192,0,0,0
193,0,0,0
194,2,3,2
195,2,3,2
196,0,0,0
197,2,1,3
198,5,5,5
199,0,0,0
200,3,1,3
201,2,3,2
202,2,3,2
203,2,1,3
204,2,3,2
205,4,4,4
206,4,4,4
207,2,3,2
208,5,5,5
209,1,2,1
