"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1525448"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4736"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525449"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4737"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525450"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4738"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525451"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4739"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525452"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4740"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525453"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4741"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525454"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4742"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525455"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4743"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525456"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4744"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525457"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4745"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
