"","cond_A_cell1","cond_A_cell2","cond_A_cell3","cond_A_cell4","cond_A_cell5","cond_A_cell6","cond_A_cell7","cond_A_cell8","cond_A_cell9","cond_A_cell10","cond_A_cell11","cond_A_cell12","cond_A_cell13","cond_A_cell14","cond_A_cell15","cond_A_cell16","cond_A_cell17","cond_A_cell18","cond_A_cell19","cond_A_cell20","cond_A_cell21","cond_A_cell22","cond_A_cell23","cond_A_cell24","cond_A_cell25","cond_A_cell26","cond_A_cell27","cond_A_cell28","cond_A_cell29","cond_A_cell30","cond_A_cell31","cond_A_cell32","cond_A_cell33","cond_A_cell34","cond_A_cell35","cond_A_cell36","cond_A_cell37","cond_A_cell38","cond_A_cell39","cond_A_cell40","cond_A_cell41","cond_A_cell42","cond_A_cell43","cond_A_cell44","cond_A_cell45","cond_A_cell46","cond_B_cell1","cond_B_cell2","cond_B_cell3","cond_B_cell4","cond_B_cell5","cond_B_cell6","cond_B_cell7","cond_B_cell8","cond_B_cell9","cond_B_cell10","cond_B_cell11","cond_B_cell12","cond_B_cell13","cond_B_cell14","cond_B_cell15","cond_B_cell16","cond_B_cell17","cond_B_cell18","cond_B_cell19","cond_B_cell20","cond_B_cell21","cond_B_cell22","cond_B_cell23","cond_B_cell24","cond_B_cell25","cond_B_cell26","cond_B_cell27","cond_B_cell28","cond_B_cell29","cond_B_cell30","cond_B_cell31","cond_B_cell32","cond_B_cell33","cond_B_cell34","cond_B_cell35","cond_B_cell36","cond_B_cell37","cond_B_cell38","cond_B_cell39","cond_B_cell40","cond_B_cell41","cond_B_cell42","cond_B_cell43","cond_B_cell44","cond_B_cell45","cond_B_cell46","cond_B_cell47","cond_B_cell48","cond_B_cell49","cond_B_cell50","cond_B_cell51","cond_C_cell1","cond_C_cell2","cond_C_cell3","cond_C_cell4","cond_C_cell5","cond_C_cell6","cond_C_cell7","cond_C_cell8","cond_C_cell9","cond_C_cell10","cond_C_cell11","cond_C_cell12","cond_C_cell13","cond_C_cell14","cond_C_cell15","cond_C_cell16","cond_C_cell17","cond_C_cell18","cond_C_cell19","cond_C_cell20","cond_C_cell21","cond_C_cell22","cond_C_cell23","cond_C_cell24","cond_C_cell25","cond_C_cell26","cond_C_cell27","cond_C_cell28","cond_C_cell29","cond_C_cell30","cond_C_cell31","cond_C_cell32","cond_C_cell33","cond_D_cell1","cond_D_cell2","cond_D_cell3","cond_D_cell4","cond_D_cell5","cond_D_cell6","cond_D_cell7","cond_D_cell8","cond_D_cell9","cond_D_cell10","cond_D_cell11","cond_D_cell12","cond_D_cell13","cond_D_cell14","cond_D_cell15","cond_D_cell16","cond_D_cell17","cond_D_cell18","cond_D_cell19","cond_D_cell20","cond_D_cell21","cond_D_cell22","cond_D_cell23","cond_D_cell24","cond_D_cell25","cond_D_cell26","cond_D_cell27","cond_D_cell28","cond_D_cell29","cond_D_cell30","cond_D_cell31","cond_D_cell32","cond_D_cell33","cond_D_cell34","cond_D_cell35","cond_D_cell36","cond_D_cell37","cond_D_cell38","cond_D_cell39","cond_D_cell40","cond_D_cell41","cond_D_cell42","cond_D_cell43","cond_D_cell44","cond_D_cell45","cond_D_cell46","cond_D_cell47","cond_D_cell48","cond_D_cell49","cond_D_cell50","cond_D_cell51","cond_D_cell52","cond_D_cell53","cond_D_cell54","cond_D_cell55","cond_D_cell56","cond_D_cell57","cond_D_cell58","cond_D_cell59","cond_D_cell60","cond_D_cell61","cond_D_cell62","cond_D_cell63","cond_D_cell64","cond_D_cell65","cond_D_cell66","cond_D_cell67","cond_D_cell68","cond_D_cell69","cond_D_cell70","cond_D_cell71","cond_D_cell72","cond_D_cell73","cond_D_cell74","cond_D_cell75","cond_D_cell76","cond_D_cell77","cond_D_cell78","cond_D_cell79","cond_D_cell80","cond_D_cell81","cond_D_cell82","cond_D_cell83","cond_D_cell84","cond_D_cell85","cond_D_cell86","cond_E_cell1","cond_E_cell2","cond_E_cell3","cond_E_cell4","cond_E_cell5","cond_E_cell6","cond_E_cell7","cond_E_cell8","cond_E_cell9","cond_E_cell10","cond_E_cell11","cond_E_cell12","cond_E_cell13","cond_E_cell14","cond_E_cell15","cond_E_cell16","cond_E_cell17","cond_E_cell18","cond_E_cell19","cond_E_cell20","cond_E_cell21","cond_E_cell22","cond_E_cell23","cond_E_cell24","cond_E_cell25","cond_E_cell26","cond_E_cell27","cond_E_cell28","cond_E_cell29","cond_E_cell30","cond_E_cell31","cond_E_cell32","cond_E_cell33","cond_E_cell34","cond_E_cell35","cond_E_cell36","cond_E_cell37","cond_E_cell38","cond_E_cell39","cond_E_cell40","cond_E_cell41","cond_E_cell42","cond_E_cell43","cond_E_cell44","cond_E_cell45","cond_E_cell46","cond_E_cell47","cond_E_cell48","cond_E_cell49","cond_E_cell50","cond_E_cell51","cond_E_cell52","cond_E_cell53","cond_E_cell54","cond_E_cell55","cond_E_cell56","cond_E_cell57","cond_E_cell58","cond_E_cell59","cond_E_cell60","cond_E_cell61","cond_E_cell62","cond_E_cell63","cond_E_cell64","cond_E_cell65","cond_E_cell66","cond_E_cell67","cond_E_cell68","cond_E_cell69","cond_F_cell1","cond_F_cell2","cond_F_cell3","cond_F_cell4","cond_F_cell5","cond_F_cell6","cond_F_cell7","cond_F_cell8","cond_F_cell9","cond_F_cell10","cond_F_cell11","cond_F_cell12","cond_F_cell13","cond_F_cell14","cond_F_cell15","cond_F_cell16","cond_F_cell17","cond_F_cell18","cond_F_cell19","cond_F_cell20","cond_F_cell21","cond_F_cell22","cond_F_cell23","cond_F_cell24","cond_F_cell25","cond_F_cell26","cond_F_cell27","cond_F_cell28","cond_F_cell29","cond_F_cell30","cond_F_cell31","cond_F_cell32","cond_F_cell33","cond_F_cell34","cond_F_cell35","cond_F_cell36","cond_F_cell37","cond_F_cell38","cond_F_cell39","cond_F_cell40","cond_F_cell41","cond_F_cell42","cond_F_cell43","cond_F_cell44","cond_F_cell45","cond_F_cell46","cond_F_cell47","cond_F_cell48","cond_F_cell49","cond_F_cell50","cond_F_cell51","cond_F_cell52","cond_F_cell53","cond_F_cell54","cond_F_cell55","cond_F_cell56","cond_F_cell57","cond_F_cell58","cond_F_cell59","cond_F_cell60","cond_F_cell61","cond_F_cell62","cond_F_cell63","cond_F_cell64","cond_F_cell65","cond_F_cell66","cond_F_cell67","cond_F_cell68","cond_F_cell69","cond_F_cell70","cond_F_cell71","cond_F_cell72","cond_F_cell73","cond_F_cell74","cond_F_cell75","cond_F_cell76","cond_F_cell77","cond_F_cell78","cond_F_cell79","cond_F_cell80","cond_F_cell81","cond_F_cell82","cond_F_cell83","cond_F_cell84","cond_F_cell85","cond_F_cell86","cond_F_cell87","cond_F_cell88","cond_F_cell89","cond_F_cell90","cond_F_cell91","cond_F_cell92","cond_F_cell93","cond_F_cell94"
"gene_1",0,0,87,5,0,0,2546,1,0,152,0,0,1,152,1,1053,851,199,1403,381,297,2435,4,0,17,9,0,0,348,12,53,23,16,5,0,1,52,15,115,269,0,23,1,123,4899,0,14,1635,3115,7774,0,8363,3757,190,12369,842,1,1804,701,9,1099,769,995,106,43,1929,2608,2594,9283,12,1032,2268,312,1469,995,13629,1280,7728,1932,29,720,3058,3773,145,27447,664,2195,36,5461,90,577,2810,84,68,16861,200,659,7,402,5353,358,8193,935,1552,111,135,2,17390,19,2287,306,2671,8,844,595,53247,17,3678,290,230,4231,297,1969,198,3205,3105,2103,44,1835,273,5,3,1177,90,120,1162,33,0,914,0,454,999,371,51,1444,3567,2184,0,901,66,12404,8,0,3237,3,1984,3104,477,648,298,2509,5,1447,509,8482,9,939,704,4,11185,1817,51,628,1603,0,191,0,1691,2268,0,7,1052,1175,2847,12947,3427,0,366,5180,0,953,293,1,147,48,0,0,19,558,5402,75,24,0,0,2137,451,4238,730,20,0,1267,6757,82,1149,0,145,28,24,14416,40036,2332,5228,2,2628,1564,1894,1452,75,7448,15917,12588,1,1,423,1232,16102,1754,626,9870,6761,26017,3,17987,2712,132909,79,183,26,243,44,20486,5432,20797,11500,254,1,90250,808,16151,6483,0,78,13520,26374,31369,1,2812,6450,2993,41247,112334,2326,114,265,113,25224,47679,956,996,755,7850,20826,26418,1497,79161,137518,525,1565,105,0,22137,798,8454,28771,2372,15364,22295,14578,8,1691,3659,17604,591,1458,97,54344,17746,33796,4490,162,104819,906,1355,26429,160,251,57919,100142,3092,73,1704,8407,9469,212,2539,9168,7288,20838,0,1502,1,107,752,25305,41,4669,11161,9894,41775,26846,399,1319,117848,3,6823,49672,5,117,64889,425,4060,53343,12798,1020,14072,3698,1112,108551,21,0,3564,233,1627,12913,71,0,361,1033,8629,149229,23378,12606,3016,11627,3838,0,14746,2827,134
"gene_2",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,799,7,0,168,0,0,3,0,193,1,0,15078,0,0,0,1,0,0,0,1008,44,0,88,0,0,9956,55,0,96,0,1,0,2432,295,0,0,0,86,43,107,0,0,645,665,7,29,0,1,1,0,252,0,0,0,48,4510,0,0,0,0,0,0,0,0,9,0,0,69,7902,57,0,0,0,1,0,0,0,0,4,602,91,408,3025,1187,41160,18098,0,9831,3123,0,38731,3197,5862,620,7442,489,3093,0,0,89,2829,3027,3,11436,9673,62,4272,25025,1700,56351,5322,361,9102,1456,7737,2749,7420,3150,12,0,34688,16205,1209,5,100,0,4,6047,198,0,1094,6038,3571,49,281,1512,2139,6,7946,0,7,1868,14,9285,1,1,1156,41443,38322,0,2029,73228,605,100,9132,681,268,65,122690,48382,57348,15903,20804,1305,1593,25372,43,6761,19386,20991,1966,984,961,0,27708,557,164,5,6896,258,24713,93065,985,1421,556,0,161,44608,7,122,53265,54351,1,46705,6575,1509,11163,210,4804,48967,45225,65544,346,4239,100888,0,1073,2422,76,18305,13752,464,2636,75346,1391,52,1,0,36161,2,17555,11585,33123,43863,486,1045,28,3015,88,5084,46515,35689,3075,122037,47384,67363,88,1958,24124,1322,22935
"gene_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,0,0,2720,0,0,0,0,0,0,0,43,0,247,0,0,0,13,0,0,0,0,0,0,0,33,0,6799,477,0,0,0,3,5863,0,0,0,0,0,0,0,0,2744,0,0,859,14957,28,1962,299,374,4097,38952,0,3679,18639,9835,1933,4875,7900,263,1519,0,0,54,12050,0,99,534,0,2975,13,395,2,0,0,2739,0,8,1,2948,7289,53513,3,0,1948,9440,18776,50,1,0,5,84780,31058,0,36,17600,446,0,85,0,19347,0,10998,2210,19965,18,10,32,83,1044,2868,2078,180,18,10,0,2,178,0,0,161,1392,0,2,71,15518,0,4591,732,3101,134,29174,8638,8957,463
"gene_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,267,0,123,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,386,0,0,0,0,0,0,0,0,439,0,3,26,401,0,2916,0,0,0,0,14037,0,0,0,28,25,823,0,0,1265,674,0,5558,0,82,57,70,5801,187,134,0,0,8,19,0,10,0,0,0,3,0,680,54,0,3015,0,0,0,0,0,0,2575,11929,0,219,29,0,0,0,0,1330,1784,7,0,0,6959,2057,7,70,38,41,0,2064,1,0,0,81,59,0,167,0,5,0,1298,27,1,0,0,2,0,0,702,221,1,30439,43472,126213,766,73836,4828,6600,3591,17619,493,19589,38867,8487,57887,20943,19741,17472,110164,40176,159,1540,364673,3060,1101,68640,6936,8052,14385,9330,41468,12099,23864,60822,65245,14236,13252,69409,9791,21308,41326,7568,76646,4228,7395,7419,9614,25321,1413,1225,890,574,3180,47656,119921,7280,83926,9086,3937,73603,78560,27829,14580,17725,30485,20818,2284,72744,466,13210,10965,16,2419,9470,2,259,2071,287,4,603,7,3360,7,1725,5239,4307,223,13513,6812,20143,58812,1872,8552,4198,29742,10434,7538,112,0,4591,13788,16553,10271,1,5057,7066,1314,2,6042,6887,9334,98,493,1,20409,239,1,9,312,9,50,17,44,25809,4665,89,1219,2170,7,17485,5993,732,1764,1697,56,296,3122,2001,2,3,0,2615,95891,15395,7096,9219,1091,2020,14109,0,26533,10261,74779,18585,0,0,6,62,278,17139,10375,1696,2268,17228
"gene_5",0,41,0,0,0,0,0,7,0,155,3,1115,0,51,267,1,10,69,3145,0,4,83,2,0,71,9,75,6,0,202,0,136,411,4,3,132,1,0,0,106,0,41,0,177,652,17,349,5,0,137,0,441,1270,11,0,3,0,6492,124,1025,3,0,0,0,0,0,255,249,871,8,382,2496,0,285,0,84,0,3408,104,0,162,32,0,0,1,2,0,1,99,9,0,0,0,0,0,2,173,5,132,0,2659,3,420,59,0,321,6,384,217,2338,1303,7,226,261,5997,974,110,0,0,2523,5,0,0,65,28,1,0,38,2528,883,3359,3068,8,76,449,1139,5860,1,4,39333,1573,568,6268,20,23,3035,13,48,32,96,235,669,1175,17,0,26,1539,5,41,120,329,145,149,300,2004,2,75,358,2632,0,108,0,109,34,4,0,3075,254,0,28,517,3,1228,0,1921,9,47,33,5964,10,46,0,3299,872,0,26,155,0,0,14569,200,1,3969,100,1648,96,2418,4,68,6316,174,2682,0,4,1878,0,683,14777,1579,45,1559,120,30661,2134,36338,596,56,31240,3094,2446,14119,13783,13915,659,11889,3,29792,18083,2089,76,6946,4097,13886,516,30644,1361,246,4022,1,4225,8322,9498,33222,890,5,1457,9276,24756,1036,1182,14673,20,1110,28083,10222,178,2557,5521,9149,1972,272,27,9,8822,37732,1632,1494,4575,1022,1672,47,3767,1798,567,1126,10304,7161,171,65629,28261,28973,74,6200,63434,4785,53885,13624,1983,21141,34375,1108,2355,4218,1997,21,24434,8329,1355,38741,1336,7621,5530,604,725,48311,26,2900,326,347,4,75,4648,3837,62,119748,53,119,0,2,509,5,37669,42182,737,34106,51,78,47,20086,13024,53,11478,655,12,2,1086,13590,6508,9,1330,379,76,3196,12582,31464,9296,3,7825,2400,4010,23872,2,610,6295,9678,2539,114131,5079,662,46,855,15637,47934,889,6,6,21049,104,74104
"gene_6",0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,9,2,16,0,0,0,0,13,0,0,1,1,0,10,0,0,0,4,0,0,4,0,0,6,14,0,9,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,7,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,448,0,0,0,0,0,0,0,9,51,455,11345,0,0,979,0,1,3,4280,12169,0,8474,0,1775,0,1,0,773,0,0,0,0,0,0,658,0,12,7,3362,31,0,0,0,0,2,11482,0,9788,0,0,156,420,0,0,0,0,0,822,0,641,2,1300,0,0,0,0,271,372,95,0,0,0,455,0,0,184,2649,222,0,0,4284,315,0,0,0,0,0,0,21,309,13,15476,971,1,0,89
"gene_7",0,40,71,0,0,4,0,0,1526,0,0,18,0,5,0,0,0,1,36,629,0,0,0,4,713,0,122,104,0,0,3648,0,0,0,0,42,0,0,9,0,0,0,1,0,0,0,0,12,0,0,103,0,0,0,394,0,0,0,79,0,0,0,0,0,0,0,0,0,869,1,0,1198,6,241,6,0,0,73,0,0,0,0,0,0,52,17,0,0,0,0,0,0,2,1563,46,0,75,0,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,83,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,2,0,1477,0,0,0,0,0,0,0,0,1424,0,3,0,0,0,0,0,4650,0,0,0,0,0,0,0,1403,0,0,0,0,0,18,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,19,2,64,0,409,0,4256,1819,3127,6,0,761,0,0,0,0,0,1,0,23,11589,0,0,0,19,0,245,0,0,0,344,0,17709,0,1501,0,3780,0,0,0,0,1,90,0,14,575,0,5622,573,0,0,10,0,0,0,704,0,18960,0,14816,9859,8924,9,0,0,0,0,0,467,2778,1120,319,89,1,0,40333,541,1,225,0,0,1375,0,118,1,333,1105,0,11,0,2,3324,1241
"gene_8",25,436,41,0,2087,1128,433,0,239,75,172,472,1,8,77,1210,1758,272,0,72,7585,1444,61,4755,574,0,646,332,2853,903,577,3903,465,17463,13,2575,308,44,4377,10294,1501,0,39,1427,651,4784,9,999,13,1939,0,3219,103,1647,2,997,424,1984,5420,732,897,2044,1227,0,340,2451,2361,4796,617,98,1926,4658,172,359,361,1,136,17566,2538,26,711,23,895,829,2097,10430,869,5114,5300,10781,1129,15159,1708,6850,4,6330,50,2571,14,772,56939,5702,1010,24460,485,18,5738,3574,41,17665,190,324,1770,751,404,891,234,15267,111,169,10898,476,168,1565,1146,142,1907,5222,554,2398,576,2625,3644,26,3488,133,17041,7965,13569,7995,71,20135,818,119,7376,9169,435,5484,3349,718,1404,1475,2467,1510,15651,3150,18634,243,1716,859,2568,3476,1403,5035,5798,14254,4627,7495,6827,6403,5485,3090,10296,1539,13028,4587,1023,4831,4962,7028,13013,1908,1588,4412,7269,5888,26205,13611,3612,4802,4510,9508,20168,4139,5322,415,542,14314,2133,19710,1730,37,12471,3380,1240,11278,622,15159,2640,4190,13341,3798,137,9330,4211,15652,3609,3003,15350,5072,328,4932,5937,3505,472,13162,1746,4338,1289,14642,1933,350,3174,1619,28753,818,14018,414,13183,7993,1584,433,1976,4679,365,6381,2829,9533,1584,1848,696,173,2893,300,841,20540,3098,9713,15801,10778,4986,1966,3367,2047,7131,8325,3219,10055,4477,4651,1042,2373,3921,16048,954,1150,2224,77,6945,4812,9428,6849,1882,251,442,12898,596,19992,8130,2653,5839,34913,230,839,505,13407,9025,12542,12677,2088,77922,374,514,6177,1228,29956,22047,190,3577,19729,4039,19432,19477,4930,4090,116,6861,848,6676,5842,16766,29364,18304,4189,5056,1104,3837,4937,22138,11814,83355,22406,6849,9805,9252,30762,3691,1416,46484,5155,8389,869,620,970,661,47125,1407,105641,624,3035,48525,20081,24199,97,790,8152,6302,19205,4,25349,14663,40696,11640,6462,46131,16527,12082,13191,53733,26277,18375,305,2070,5635,2454,1267,2533,3353,25
"gene_9",0,0,0,0,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,244,0,0,709,0,0,0,0,0,0,0,2745,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,195,0,4,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,175,0,0,0,3,0,0,0,1260,0,299,0,51,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,1087,0,1356,216,0,21032,0,59,0,0,0,0,2043,0,0,0,0,0,250,0,0,3,53,263,0,947,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,5,0,0,0,0,3,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1400,0,1603,0,0,1,0,423,75,0,89,8525,7033,0,2779,2,0,0,0,2065,3,0,0,0,1,0,0,0,5,6,0,26,14,0,0,0,0,0,2442,0,0,4,0,0,36,0,0,107,0,0,2722,0,0,113,0,149,0,0,0,1397,66,26,0,0,9503,899,0,0,0,9226,9715,307,474,820,934,18058,35,242,8449,18201,647,173,0,3,25,1804,455,303,9798,31600,0,36,0,0,365,6764,644,0,13,11,25169,5233,91,4,0,0,5,2089,0,2745,1,558,32,2219,0,32,235,1448,5147,19173,10,0,11207,1367,0,8,71,1380,18418,25,0,78,3831,25,17515,21,8,0,1099,633,3100,2,7941,6099,6215,510,67,121,9579,4636,2,8876,112181,30,138,2321,17743,2339,7,17329,1842,10391
"gene_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,1,955,5223,0,5308,13,0,0,405,3,2059,0,13,0,192,1123,782,0,2457,2064,616,0,3654,13,2,4174,11951,0,2,2229,1743,814,0,4577,1200,263,0,1,4340,423,4247,109,7603,1269,85,21631,1592,0,3456,1552,39,0,0,2496,0,5466,0,229,3639,69581,0,0,0,12,83,6405,0,6444,0,14750,0,3394,556,14,2640,10793,11,0,0,1570,0,1334,1,37786,11283,17,12326,6108,94,50709,75729,4174,2053,942,9577,5269,3737,4637,6233,22608,17496,12904,3434,3834,13642,1132,9864,2528,269,17597,143063,6098,101549,8450,17452,12200,2292,4619,1214,103504,15620,796,1514,1589,9325,22951,2196,71,1767,31959,855,444,34409,3348,20014,1162,26457,2216,2881,15609,80092,89,3487,25892,1648,594,579,576,751,4086,16006,902,0,125875,33099,824,99,72,10125,284,23580,404,1143,4591,218,69651,94,67068,691,0,60,468,1030,2,6131,1,48,4,535,37961,7,17,3713,0,3704,0,91,0,684,3612,13478,602,9128,53,3035,0,1939,449,4113,1024,35827,150,4029,1,13569,3222,948,3994,2779,286,7360,2735,173,25,11567,88,129,1534,14,3991,3414,2260,4267,216,33,59,52304,1,13127,6886,1933,0,4487,10260,1135,27498,35737,9050,0,2669,20443,3826,3745,0,26,763
