"","assigned_cluster"
"cond_A_cell1",1
"cond_A_cell2",1
"cond_A_cell3",1
"cond_A_cell4",1
"cond_A_cell5",1
"cond_A_cell6",1
"cond_A_cell7",1
"cond_A_cell8",1
"cond_A_cell9",1
"cond_A_cell10",1
"cond_A_cell11",1
"cond_A_cell12",1
"cond_A_cell13",1
"cond_A_cell14",1
"cond_A_cell15",1
"cond_A_cell16",1
"cond_A_cell17",1
"cond_A_cell18",1
"cond_A_cell19",1
"cond_A_cell20",1
"cond_A_cell21",1
"cond_A_cell22",1
"cond_A_cell23",1
"cond_A_cell24",1
"cond_A_cell25",1
"cond_A_cell26",1
"cond_A_cell27",1
"cond_A_cell28",1
"cond_A_cell29",1
"cond_A_cell30",1
"cond_A_cell31",1
"cond_A_cell32",1
"cond_A_cell33",1
"cond_A_cell34",1
"cond_A_cell35",1
"cond_A_cell36",1
"cond_A_cell37",1
"cond_A_cell38",1
"cond_A_cell39",1
"cond_A_cell40",1
"cond_A_cell41",1
"cond_A_cell42",1
"cond_A_cell43",1
"cond_A_cell44",1
"cond_A_cell45",1
"cond_A_cell46",1
"cond_A_cell47",1
"cond_A_cell48",1
"cond_A_cell49",1
"cond_A_cell50",1
"cond_A_cell51",1
"cond_A_cell52",1
"cond_A_cell53",1
"cond_A_cell54",1
"cond_A_cell55",1
"cond_A_cell56",1
"cond_A_cell57",1
"cond_A_cell58",1
"cond_A_cell59",1
"cond_A_cell60",1
"cond_A_cell61",1
"cond_A_cell62",1
"cond_A_cell63",1
"cond_A_cell64",1
"cond_A_cell65",1
"cond_A_cell66",1
"cond_A_cell67",1
"cond_A_cell68",1
"cond_A_cell69",1
"cond_A_cell70",1
"cond_A_cell71",1
"cond_A_cell72",1
"cond_A_cell73",1
"cond_A_cell74",1
"cond_A_cell75",1
"cond_A_cell76",1
"cond_A_cell77",1
"cond_A_cell78",1
"cond_A_cell79",1
"cond_A_cell80",1
"cond_A_cell81",1
"cond_A_cell82",1
"cond_A_cell83",1
