"","assigned_cluster"
"cond_A_cell1",1
"cond_A_cell2",1
"cond_A_cell3",1
"cond_A_cell4",1
"cond_A_cell5",1
"cond_A_cell6",1
"cond_A_cell7",1
"cond_A_cell8",1
"cond_A_cell9",1
"cond_A_cell10",1
"cond_A_cell11",1
"cond_A_cell12",1
"cond_A_cell13",1
"cond_A_cell14",1
"cond_A_cell15",1
"cond_A_cell16",1
"cond_A_cell17",1
"cond_A_cell18",1
"cond_A_cell19",1
"cond_A_cell20",1
"cond_A_cell21",1
"cond_A_cell22",1
"cond_A_cell23",1
"cond_A_cell24",1
"cond_A_cell25",1
"cond_A_cell26",1
"cond_A_cell27",1
"cond_A_cell28",1
"cond_A_cell29",1
"cond_A_cell30",1
"cond_A_cell31",1
"cond_A_cell32",1
"cond_A_cell33",1
"cond_A_cell34",1
"cond_A_cell35",1
"cond_A_cell36",1
"cond_A_cell37",1
"cond_A_cell38",1
"cond_A_cell39",1
"cond_A_cell40",1
"cond_A_cell41",1
"cond_A_cell42",1
"cond_A_cell43",1
"cond_A_cell44",1
"cond_A_cell45",1
"cond_A_cell46",1
"cond_B_cell1",2
"cond_B_cell2",2
"cond_B_cell3",2
"cond_B_cell4",2
"cond_B_cell5",2
"cond_B_cell6",2
"cond_B_cell7",2
"cond_B_cell8",2
"cond_B_cell9",2
"cond_B_cell10",2
"cond_B_cell11",2
"cond_B_cell12",2
"cond_B_cell13",2
"cond_B_cell14",2
"cond_B_cell15",2
"cond_B_cell16",2
"cond_B_cell17",2
"cond_B_cell18",2
"cond_B_cell19",2
"cond_B_cell20",2
"cond_B_cell21",2
"cond_B_cell22",2
"cond_B_cell23",2
"cond_B_cell24",2
"cond_B_cell25",2
"cond_B_cell26",2
"cond_B_cell27",2
"cond_B_cell28",2
"cond_B_cell29",2
"cond_B_cell30",2
"cond_B_cell31",2
"cond_B_cell32",2
"cond_B_cell33",2
"cond_B_cell34",2
"cond_B_cell35",2
"cond_B_cell36",2
"cond_B_cell37",2
