thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
3,0.6,scAGCL,591,0.021996615905245348,0.5813919981811057,0.3276549187498785,3/5 (60%)
3,0.6,scCGNet,591,0.754653130287648,0.7417870630508855,0.5682983054289172,3/5 (60%)
3,0.6,scDeepCluster,591,0.27749576988155666,0.5946374249131943,0.5074650875156886,3/5 (60%)
3,0.6,scMAE,591,0.12521150592216582,0.5978016620602962,0.4784979028739725,3/5 (60%)
3,0.6,scRCL,591,0.32318104906937395,0.35860744444105724,0.37835214938226774,3/5 (60%)
4,0.8,scAGCL,1548,0.01808785529715762,0.2974703013135035,0.2888260522047333,4/5 (80%)
4,0.8,scCGNet,1548,0.896640826873385,0.8410196268157079,0.7890578078254773,4/5 (80%)
4,0.8,scDeepCluster,1548,0.5859173126614987,0.6499226773935207,0.7170730312999554,4/5 (80%)
4,0.8,scMAE,1548,0.5652454780361758,0.6808166925323091,0.7237620875160216,4/5 (80%)
4,0.8,scRCL,1548,0.3624031007751938,0.3995849975590957,0.4906777678745027,4/5 (80%)
5,1.0,scAGCL,2545,0.18428290766208252,0.19467324676134656,0.29191387043021555,5/5 (100%)
5,1.0,scCGNet,2545,0.9355599214145384,0.8871492282969113,0.8499139298515883,5/5 (100%)
5,1.0,scDeepCluster,2545,0.6801571709233791,0.6973941752420839,0.780436533811468,5/5 (100%)
5,1.0,scMAE,2545,0.6860510805500982,0.7184954102839666,0.7611401662314397,5/5 (100%)
5,1.0,scRCL,2545,0.5579567779960707,0.4387343024124619,0.5526026794416081,5/5 (100%)
