thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
3,0.6,scAGCL,3548,0.7917136414881624,0.7228453745993338,0.6082764453369068,3/5 (60%)
3,0.6,scCGNet,3548,0.03720405862457723,0.8887011312258047,0.7985160104426238,3/5 (60%)
3,0.6,scDeepCluster,3548,0.010146561443066516,0.861617937444624,0.7175532780950401,3/5 (60%)
3,0.6,scMAE,3548,0.07638105975197294,0.9085820649368647,0.7936630703606858,3/5 (60%)
3,0.6,scRCL,3548,0.7739571589627959,0.8937780946829907,0.762987574575494,3/5 (60%)
4,0.8,scAGCL,4853,0.7220276117865237,0.6816975269967873,0.6372196102977625,4/5 (80%)
4,0.8,scCGNet,4853,0.2781784463218628,0.7661686795263468,0.7469757515315207,4/5 (80%)
4,0.8,scDeepCluster,4853,0.11580465691324954,0.7670329287989304,0.6614483675861834,4/5 (80%)
4,0.8,scMAE,4853,0.23490624356068412,0.7753089682420089,0.7100464921887545,4/5 (80%)
4,0.8,scRCL,4853,0.6909128374201525,0.8166926304772844,0.6959626852186344,4/5 (80%)
5,1.0,scAGCL,13888,0.603038594470046,0.7083368423946826,0.7420162458888483,5/5 (100%)
5,1.0,scCGNet,13888,0.7467597926267281,0.7110144417000457,0.8042586082167258,5/5 (100%)
5,1.0,scDeepCluster,13888,0.640625,0.6590738198377828,0.7368542533741107,5/5 (100%)
5,1.0,scMAE,13888,0.6988047235023042,0.6983991631602581,0.7658394135377624,5/5 (100%)
5,1.0,scRCL,13888,0.6265120967741935,0.8005600741739691,0.7757419304011631,5/5 (100%)
