thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
3,0.6,scAGCL,18908,0.10424159086101122,-0.005453581419152536,0.06973014352317512,3/5 (60%)
3,0.6,scCGNet,18908,0.06901840490797546,-0.0010897527743526953,0.01844084922109582,3/5 (60%)
3,0.6,scDeepCluster,18908,0.13042098582610534,0.011990871325246203,0.0304033240046508,3/5 (60%)
3,0.6,scMAE,18908,0.14745081447006558,-0.009078405186845964,0.018656424913222804,3/5 (60%)
3,0.6,scRCL,18908,0.09075523587899302,0.005266471861516654,0.04997457919152447,3/5 (60%)
4,0.8,scAGCL,20406,0.1299127707536999,0.0024352016609318176,0.07874158679098879,4/5 (80%)
4,0.8,scCGNet,20406,0.11178084876996962,0.0017785135234893263,0.015663998519012814,4/5 (80%)
4,0.8,scDeepCluster,20406,0.16230520435166126,0.030112661411472275,0.03569033736895146,4/5 (80%)
4,0.8,scMAE,20406,0.19729491326080564,0.012579351417986112,0.018419830878539722,4/5 (80%)
4,0.8,scRCL,20406,0.12104283054003724,0.01582770324337032,0.059490545091956004,4/5 (80%)
5,1.0,scAGCL,20910,0.13892874222859875,0.008640910051864764,0.08330034875519629,5/5 (100%)
5,1.0,scCGNet,20910,0.1327116212338594,0.005879639125895725,0.016353457227642323,5/5 (100%)
5,1.0,scDeepCluster,20910,0.17211860353897657,0.039163104940242326,0.039067928818915,5/5 (100%)
5,1.0,scMAE,20910,0.21640363462458154,0.025291875750251228,0.01970201882282854,5/5 (100%)
5,1.0,scRCL,20910,0.1411764705882353,0.023723984118957712,0.06456916776846383,5/5 (100%)
