thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
3,0.6,scAGCL,1844,0.14913232104121474,0.17202445082435663,0.22573109337829697,3/5 (60%)
3,0.6,scCGNet,1844,0.37364425162689807,0.17678852365517375,0.2906340408970402,3/5 (60%)
3,0.6,scDeepCluster,1844,0.5368763557483731,0.5527660775721894,0.6474390516133013,3/5 (60%)
3,0.6,scMAE,1844,0.4517353579175705,0.11119667308694446,0.19783995296544785,3/5 (60%)
3,0.6,scRCL,1844,0.11442516268980477,0.21014121522227067,0.3336228099436227,3/5 (60%)
4,0.8,scAGCL,5118,0.22977725674091443,0.18538971269612542,0.27532987822400296,4/5 (80%)
4,0.8,scCGNet,5118,0.6410707307542008,0.3799357730995454,0.4659370223556716,4/5 (80%)
4,0.8,scDeepCluster,5118,0.6883548261039468,0.6393340459339957,0.7101611521409056,4/5 (80%)
4,0.8,scMAE,5118,0.5457209847596718,0.18471206525539713,0.3358365989729487,4/5 (80%)
4,0.8,scRCL,5118,0.2512700273544353,0.23445610831803249,0.3899649102052007,4/5 (80%)
5,1.0,scAGCL,9635,0.4593668915412558,0.318980098557301,0.4069564429760211,5/5 (100%)
5,1.0,scCGNet,9635,0.7993772703684484,0.6125108048508776,0.6244971249422061,5/5 (100%)
5,1.0,scDeepCluster,9635,0.8076803321224701,0.7764695463432194,0.7818464444324273,5/5 (100%)
5,1.0,scMAE,9635,0.5720809548521018,0.2739014157138587,0.41579217254314227,5/5 (100%)
5,1.0,scRCL,9635,0.46683964711987547,0.3753687886135066,0.5232776057724023,5/5 (100%)
