thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
3,0.6,scAGCL,109,0.3119266055045872,0.40391933505370364,0.5756727169444018,3/5 (60%)
3,0.6,scCGNet,109,0.027522935779816515,0.38986431797434595,0.49750499444636387,3/5 (60%)
3,0.6,scDeepCluster,109,0.21100917431192662,0.3630456333855212,0.5057524106974994,3/5 (60%)
3,0.6,scMAE,109,0.22018348623853212,0.33653840699330057,0.5168259377847072,3/5 (60%)
3,0.6,scRCL,109,0.1743119266055046,0.26969343754021174,0.43208558779542044,3/5 (60%)
4,0.8,scAGCL,229,0.611353711790393,0.7461735627633769,0.6654706176054928,4/5 (80%)
4,0.8,scCGNet,229,0.10043668122270742,0.6498305774581112,0.5660858870293193,4/5 (80%)
4,0.8,scDeepCluster,229,0.6244541484716157,0.6953438822536463,0.5871703817776561,4/5 (80%)
4,0.8,scMAE,229,0.1703056768558952,0.5321586107132875,0.5156447383488614,4/5 (80%)
4,0.8,scRCL,229,0.5152838427947598,0.7027953199741414,0.5640451367505442,4/5 (80%)
5,1.0,scAGCL,436,0.6376146788990825,0.746256083895356,0.7740351977608014,5/5 (100%)
5,1.0,scCGNet,436,0.518348623853211,0.6655163039453532,0.6758818732332386,5/5 (100%)
5,1.0,scDeepCluster,436,0.8027522935779816,0.7354287597948229,0.7230294526210647,5/5 (100%)
5,1.0,scMAE,436,0.555045871559633,0.45974455701675293,0.5733547346447859,5/5 (100%)
5,1.0,scRCL,436,0.44724770642201833,0.5594123188348255,0.6041518500082198,5/5 (100%)
