thr,pct,model,n_non_anchor,acc,ari,nmi,pct_label
4,0.5714285714285714,scAce,29,0.0,0.6627346735338095,0.6642349533283773,4/7 (57%)
4,0.5714285714285714,scAGCL,29,0.3448275862068966,0.19271948608137046,0.5273923614851816,4/7 (57%)
4,0.5714285714285714,scCDCG,29,0.20689655172413793,0.6627346735338095,0.6642349533283773,4/7 (57%)
4,0.5714285714285714,scCGNet,29,0.06896551724137931,0.5898458748866727,0.6387461520935143,4/7 (57%)
4,0.5714285714285714,scDeepCluster,29,0.06896551724137931,0.581151832460733,0.6525931642657642,4/7 (57%)
4,0.5714285714285714,scMAE,29,0.10344827586206896,0.4147380114793557,0.6175334915926177,4/7 (57%)
4,0.5714285714285714,scRCL,29,0.5172413793103449,0.610030892240596,0.6880024575010558,4/7 (57%)
5,0.7142857142857143,scAce,67,0.07462686567164178,0.39579884186212655,0.5391883972899594,5/7 (71%)
5,0.7142857142857143,scAGCL,67,0.34328358208955223,0.4733497287149598,0.6185887252960103,5/7 (71%)
5,0.7142857142857143,scCDCG,67,0.582089552238806,0.4555652099109215,0.6499526520198777,5/7 (71%)
5,0.7142857142857143,scCGNet,67,0.07462686567164178,0.590944758818238,0.6238719189641857,5/7 (71%)
5,0.7142857142857143,scDeepCluster,67,0.3880597014925373,0.6303271689347753,0.6366208266981156,5/7 (71%)
5,0.7142857142857143,scMAE,67,0.3283582089552239,0.6179516932584979,0.7007618581981948,5/7 (71%)
5,0.7142857142857143,scRCL,67,0.2835820895522388,0.5910254084126045,0.601556245655911,5/7 (71%)
6,0.8571428571428571,scAce,214,0.5887850467289719,0.7056209536651968,0.6009609552884004,6/7 (86%)
6,0.8571428571428571,scAGCL,214,0.6728971962616822,0.8035455499701845,0.7290030543963794,6/7 (86%)
6,0.8571428571428571,scCDCG,214,0.8037383177570093,0.8275860313631423,0.7533977621047601,6/7 (86%)
6,0.8571428571428571,scCGNet,214,0.14485981308411214,0.6499472126056268,0.5716128288938604,6/7 (86%)
6,0.8571428571428571,scDeepCluster,214,0.705607476635514,0.7536189762829916,0.6525845728337301,6/7 (86%)
6,0.8571428571428571,scMAE,214,0.2102803738317757,0.5614919902876239,0.5613022786729097,6/7 (86%)
6,0.8571428571428571,scRCL,214,0.5794392523364486,0.7469458102566401,0.6165180516223848,6/7 (86%)
7,1.0,scAce,728,0.5233516483516484,0.8056438489089004,0.7774311565470433,7/7 (100%)
7,1.0,scAGCL,728,0.7912087912087912,0.8808374146797675,0.8271100816227974,7/7 (100%)
7,1.0,scCDCG,728,0.8434065934065934,0.8954402702317195,0.8443283748781729,7/7 (100%)
7,1.0,scCGNet,728,0.7197802197802198,0.5802897807571811,0.6675054923893815,7/7 (100%)
7,1.0,scDeepCluster,728,0.8901098901098901,0.8502654249530672,0.807315213444015,7/7 (100%)
7,1.0,scMAE,728,0.7417582417582418,0.7139371323228867,0.7024672970912994,7/7 (100%)
7,1.0,scRCL,728,0.6771978021978022,0.7771422719797639,0.7200585039315657,7/7 (100%)
