cell_id,true_label,pred_label_raw,pred_label_aligned
0,5.0,4,5.0
1,5.0,4,5.0
2,4.0,1,3.0
3,5.0,4,5.0
4,5.0,4,5.0
5,5.0,4,5.0
6,5.0,5,4.0
7,5.0,4,5.0
8,5.0,4,5.0
9,5.0,4,5.0
10,5.0,4,5.0
11,5.0,4,5.0
12,5.0,5,4.0
13,3.0,1,3.0
14,5.0,5,4.0
15,4.0,5,4.0
16,3.0,1,3.0
17,4.0,5,4.0
18,5.0,4,5.0
19,4.0,5,4.0
20,5.0,5,4.0
21,5.0,4,5.0
22,3.0,1,3.0
23,5.0,5,4.0
24,5.0,4,5.0
25,3.0,1,3.0
26,3.0,1,3.0
27,5.0,5,4.0
28,5.0,4,5.0
29,3.0,1,3.0
30,5.0,5,4.0
31,5.0,4,5.0
32,5.0,4,5.0
33,4.0,4,5.0
34,3.0,1,3.0
35,5.0,4,5.0
36,3.0,1,3.0
37,4.0,4,5.0
38,5.0,4,5.0
39,2.0,5,4.0
40,4.0,1,3.0
41,5.0,5,4.0
42,5.0,4,5.0
43,3.0,1,3.0
44,5.0,4,5.0
45,5.0,4,5.0
46,3.0,1,3.0
47,5.0,4,5.0
48,3.0,1,3.0
49,5.0,4,5.0
50,5.0,4,5.0
51,3.0,1,3.0
52,3.0,1,3.0
53,5.0,9,1.0
54,4.0,5,4.0
55,3.0,1,3.0
56,5.0,4,5.0
57,3.0,1,3.0
58,5.0,5,4.0
59,5.0,4,5.0
60,5.0,5,4.0
61,3.0,1,3.0
62,3.0,1,3.0
63,5.0,4,5.0
64,3.0,1,3.0
65,3.0,1,3.0
66,4.0,5,4.0
67,3.0,1,3.0
68,3.0,1,3.0
69,3.0,1,3.0
70,3.0,1,3.0
71,5.0,4,5.0
72,5.0,4,5.0
73,3.0,1,3.0
74,5.0,9,1.0
75,3.0,1,3.0
76,3.0,1,3.0
77,5.0,4,5.0
78,3.0,1,3.0
79,5.0,4,5.0
80,3.0,1,3.0
81,5.0,4,5.0
82,5.0,4,5.0
83,3.0,1,3.0
84,4.0,1,3.0
85,5.0,5,4.0
86,5.0,1,3.0
87,5.0,4,5.0
88,5.0,4,5.0
89,5.0,4,5.0
90,3.0,1,3.0
91,3.0,1,3.0
92,5.0,4,5.0
93,4.0,5,4.0
94,5.0,4,5.0
95,3.0,1,3.0
96,3.0,1,3.0
97,5.0,4,5.0
98,5.0,5,4.0
99,4.0,1,3.0
100,5.0,5,4.0
101,4.0,5,4.0
102,5.0,4,5.0
103,5.0,4,5.0
104,5.0,4,5.0
105,5.0,4,5.0
106,3.0,1,3.0
107,3.0,1,3.0
108,3.0,1,3.0
109,5.0,5,4.0
110,5.0,4,5.0
111,3.0,1,3.0
112,4.0,1,3.0
113,3.0,1,3.0
114,5.0,4,5.0
115,5.0,4,5.0
116,6.0,7,6.0
117,5.0,4,5.0
118,5.0,4,5.0
119,3.0,1,3.0
120,5.0,5,4.0
121,5.0,4,5.0
122,5.0,5,4.0
123,3.0,1,3.0
124,5.0,4,5.0
125,5.0,4,5.0
126,5.0,5,4.0
127,3.0,1,3.0
128,3.0,1,3.0
129,3.0,1,3.0
130,5.0,4,5.0
131,3.0,1,3.0
132,3.0,1,3.0
133,5.0,5,4.0
134,5.0,4,5.0
135,5.0,4,5.0
136,5.0,5,4.0
137,5.0,4,5.0
138,4.0,1,3.0
139,4.0,5,4.0
140,5.0,4,5.0
141,5.0,5,4.0
142,4.0,1,3.0
143,5.0,5,4.0
144,5.0,4,5.0
145,5.0,4,5.0
146,5.0,5,4.0
147,4.0,1,3.0
148,3.0,1,3.0
149,3.0,1,3.0
150,5.0,4,5.0
151,5.0,4,5.0
152,5.0,4,5.0
153,5.0,4,5.0
154,5.0,4,5.0
155,5.0,5,4.0
156,3.0,1,3.0
157,5.0,4,5.0
158,3.0,1,3.0
159,3.0,1,3.0
160,5.0,4,5.0
161,5.0,5,4.0
162,3.0,1,3.0
163,5.0,4,5.0
164,5.0,4,5.0
165,4.0,5,4.0
166,5.0,4,5.0
167,5.0,4,5.0
168,2.0,7,6.0
169,5.0,4,5.0
170,3.0,1,3.0
171,5.0,4,5.0
172,3.0,1,3.0
173,5.0,5,4.0
174,3.0,1,3.0
175,5.0,4,5.0
176,5.0,5,4.0
177,5.0,4,5.0
178,5.0,4,5.0
179,5.0,4,5.0
180,4.0,4,5.0
181,3.0,1,3.0
182,5.0,4,5.0
183,5.0,4,5.0
184,5.0,4,5.0
185,5.0,4,5.0
186,5.0,4,5.0
187,5.0,4,5.0
188,5.0,5,4.0
189,4.0,1,3.0
190,3.0,1,3.0
191,3.0,1,3.0
192,5.0,4,5.0
193,3.0,1,3.0
194,5.0,4,5.0
195,3.0,1,3.0
196,5.0,4,5.0
197,3.0,1,3.0
198,3.0,1,3.0
199,5.0,4,5.0
200,3.0,1,3.0
201,3.0,1,3.0
202,5.0,5,4.0
203,5.0,4,5.0
204,3.0,1,3.0
205,5.0,4,5.0
206,4.0,5,4.0
207,5.0,4,5.0
208,5.0,5,4.0
209,3.0,1,3.0
210,3.0,1,3.0
211,4.0,1,3.0
212,4.0,5,4.0
213,5.0,4,5.0
214,3.0,1,3.0
215,3.0,1,3.0
216,3.0,1,3.0
217,5.0,4,5.0
218,5.0,4,5.0
219,5.0,5,4.0
220,3.0,1,3.0
221,5.0,5,4.0
222,5.0,5,4.0
223,5.0,4,5.0
224,5.0,4,5.0
225,5.0,4,5.0
226,3.0,1,3.0
227,3.0,1,3.0
228,3.0,1,3.0
229,3.0,1,3.0
230,5.0,5,4.0
231,5.0,4,5.0
232,5.0,4,5.0
233,3.0,1,3.0
234,5.0,5,4.0
235,7.0,6,7.0
236,5.0,5,4.0
237,3.0,1,3.0
238,5.0,4,5.0
239,3.0,1,3.0
240,3.0,1,3.0
241,3.0,1,3.0
242,5.0,4,5.0
243,5.0,5,4.0
244,3.0,1,3.0
245,5.0,4,5.0
246,4.0,5,4.0
247,5.0,4,5.0
248,5.0,4,5.0
249,3.0,1,3.0
250,3.0,1,3.0
251,5.0,4,5.0
252,4.0,5,4.0
253,5.0,4,5.0
254,5.0,4,5.0
255,3.0,1,3.0
256,5.0,5,4.0
257,5.0,4,5.0
258,5.0,4,5.0
259,5.0,4,5.0
260,3.0,1,3.0
261,5.0,4,5.0
262,5.0,4,5.0
263,5.0,4,5.0
264,5.0,5,4.0
265,3.0,1,3.0
266,4.0,1,3.0
267,5.0,4,5.0
268,2.0,6,7.0
269,5.0,4,5.0
270,3.0,1,3.0
271,5.0,4,5.0
272,3.0,1,3.0
273,5.0,4,5.0
274,2.0,6,7.0
275,5.0,4,5.0
276,5.0,4,5.0
277,5.0,4,5.0
278,5.0,4,5.0
279,5.0,4,5.0
280,5.0,5,4.0
281,5.0,5,4.0
282,3.0,1,3.0
283,3.0,1,3.0
284,5.0,4,5.0
285,3.0,1,3.0
286,5.0,4,5.0
287,5.0,4,5.0
288,3.0,1,3.0
289,3.0,1,3.0
290,5.0,4,5.0
291,5.0,4,5.0
292,3.0,1,3.0
293,3.0,1,3.0
294,3.0,1,3.0
295,3.0,1,3.0
296,5.0,4,5.0
297,3.0,1,3.0
298,3.0,1,3.0
299,5.0,4,5.0
300,5.0,4,5.0
301,5.0,4,5.0
302,4.0,1,3.0
303,3.0,1,3.0
304,4.0,5,4.0
305,5.0,5,4.0
306,5.0,5,4.0
307,5.0,4,5.0
308,5.0,4,5.0
309,5.0,5,4.0
310,3.0,1,3.0
311,5.0,5,4.0
312,2.0,3,2.0
313,3.0,1,3.0
314,5.0,4,5.0
315,5.0,4,5.0
316,5.0,4,5.0
317,3.0,1,3.0
318,5.0,5,4.0
319,5.0,4,5.0
320,5.0,4,5.0
321,5.0,1,3.0
322,3.0,1,3.0
323,5.0,4,5.0
324,5.0,4,5.0
325,5.0,4,5.0
326,4.0,5,4.0
327,5.0,4,5.0
328,5.0,4,5.0
329,5.0,4,5.0
330,3.0,1,3.0
331,4.0,5,4.0
332,5.0,4,5.0
333,3.0,1,3.0
334,5.0,4,5.0
335,5.0,1,3.0
336,2.0,7,6.0
337,5.0,5,4.0
338,3.0,1,3.0
339,3.0,1,3.0
340,3.0,1,3.0
341,5.0,4,5.0
342,3.0,1,3.0
343,4.0,5,4.0
344,3.0,1,3.0
345,3.0,1,3.0
346,5.0,4,5.0
347,3.0,1,3.0
348,5.0,5,4.0
349,5.0,5,4.0
350,5.0,4,5.0
351,5.0,4,5.0
352,3.0,1,3.0
353,3.0,1,3.0
354,3.0,1,3.0
355,5.0,4,5.0
356,5.0,4,5.0
357,3.0,1,3.0
358,5.0,4,5.0
359,3.0,1,3.0
360,5.0,5,4.0
361,2.0,3,2.0
362,3.0,1,3.0
363,5.0,5,4.0
364,3.0,1,3.0
365,5.0,4,5.0
366,5.0,4,5.0
367,5.0,4,5.0
368,3.0,1,3.0
369,3.0,1,3.0
370,2.0,7,6.0
371,3.0,1,3.0
372,5.0,4,5.0
373,5.0,1,3.0
374,5.0,5,4.0
375,5.0,5,4.0
376,5.0,4,5.0
377,3.0,1,3.0
378,5.0,4,5.0
379,5.0,4,5.0
380,3.0,1,3.0
381,5.0,5,4.0
382,5.0,4,5.0
383,3.0,1,3.0
384,3.0,1,3.0
385,5.0,1,3.0
386,5.0,5,4.0
387,4.0,1,3.0
388,3.0,1,3.0
389,5.0,4,5.0
390,5.0,4,5.0
391,5.0,4,5.0
392,5.0,4,5.0
393,3.0,1,3.0
394,5.0,4,5.0
395,3.0,1,3.0
396,5.0,4,5.0
397,5.0,5,4.0
398,3.0,1,3.0
399,4.0,1,3.0
400,3.0,1,3.0
401,5.0,4,5.0
402,5.0,5,4.0
403,4.0,1,3.0
404,3.0,1,3.0
405,5.0,5,4.0
406,5.0,4,5.0
407,5.0,4,5.0
408,4.0,5,4.0
409,3.0,1,3.0
410,4.0,5,4.0
411,3.0,1,3.0
412,3.0,1,3.0
413,2.0,5,4.0
414,5.0,4,5.0
415,3.0,1,3.0
416,3.0,1,3.0
417,5.0,4,5.0
418,4.0,1,3.0
419,5.0,4,5.0
420,3.0,1,3.0
421,3.0,1,3.0
422,5.0,4,5.0
423,5.0,5,4.0
424,5.0,5,4.0
425,5.0,4,5.0
426,3.0,1,3.0
427,2.0,7,6.0
428,5.0,4,5.0
429,5.0,4,5.0
430,5.0,4,5.0
431,3.0,1,3.0
432,4.0,1,3.0
433,5.0,4,5.0
434,3.0,1,3.0
435,3.0,1,3.0
436,3.0,1,3.0
437,5.0,4,5.0
438,3.0,1,3.0
439,5.0,4,5.0
440,5.0,6,7.0
441,5.0,4,5.0
