cell_id,true_label,pred_label_raw,pred_label_aligned
0,5,2,5
1,5,2,5
2,4,7,4
3,5,2,5
4,5,2,5
5,5,2,5
6,5,2,5
7,5,2,5
8,5,2,5
9,5,2,5
10,5,2,5
11,5,2,5
12,5,2,5
13,3,3,3
14,5,2,5
15,4,2,5
16,3,3,3
17,4,7,4
18,5,2,5
19,4,2,5
20,5,2,5
21,5,2,5
22,3,3,3
23,5,2,5
24,5,2,5
25,3,3,3
26,3,3,3
27,5,2,5
28,5,2,5
29,3,3,3
30,5,2,5
31,5,2,5
32,5,2,5
33,4,2,5
34,3,3,3
35,5,2,5
36,3,3,3
37,4,2,5
38,5,2,5
39,2,4,2
40,4,7,4
41,5,2,5
42,5,2,5
43,3,3,3
44,5,2,5
45,5,2,5
46,3,3,3
47,5,2,5
48,3,3,3
49,5,2,5
50,5,2,5
51,3,3,3
52,3,3,3
53,5,2,5
54,4,7,4
55,3,3,3
56,5,2,5
57,3,3,3
58,5,2,5
59,5,2,5
60,5,2,5
61,3,3,3
62,3,3,3
63,5,2,5
64,3,3,3
65,3,3,3
66,4,2,5
67,3,3,3
68,3,3,3
69,3,3,3
70,3,3,3
71,5,2,5
72,5,2,5
73,3,3,3
74,5,2,5
75,3,3,3
76,3,3,3
77,5,2,5
78,3,3,3
79,5,2,5
80,3,3,3
81,5,2,5
82,5,2,5
83,3,3,3
84,4,7,4
85,5,2,5
86,5,2,5
87,5,2,5
88,5,2,5
89,5,2,5
90,3,3,3
91,3,3,3
92,5,2,5
93,4,2,5
94,5,2,5
95,3,3,3
96,3,3,3
97,5,2,5
98,5,2,5
99,4,7,4
100,5,2,5
101,4,2,5
102,5,2,5
103,5,2,5
104,5,2,5
105,5,2,5
106,3,3,3
107,3,3,3
108,3,3,3
109,5,2,5
110,5,2,5
111,3,3,3
112,4,7,4
113,3,3,3
114,5,2,5
115,5,2,5
116,6,4,2
117,5,2,5
118,5,2,5
119,3,3,3
120,5,2,5
121,5,2,5
122,5,2,5
123,3,3,3
124,5,2,5
125,5,2,5
126,5,2,5
127,3,3,3
128,3,3,3
129,3,3,3
130,5,2,5
131,3,3,3
132,3,3,3
133,5,2,5
134,5,2,5
135,5,2,5
136,5,2,5
137,5,2,5
138,4,7,4
139,4,7,4
140,5,2,5
141,5,2,5
142,4,7,4
143,5,2,5
144,5,2,5
145,5,2,5
146,5,2,5
147,4,7,4
148,3,3,3
149,3,3,3
150,5,2,5
151,5,2,5
152,5,2,5
153,5,2,5
154,5,2,5
155,5,2,5
156,3,3,3
157,5,2,5
158,3,3,3
159,3,3,3
160,5,2,5
161,5,2,5
162,3,3,3
163,5,2,5
164,5,2,5
165,4,7,4
166,5,2,5
167,5,2,5
168,2,4,2
169,5,2,5
170,3,3,3
171,5,2,5
172,3,3,3
173,5,2,5
174,3,3,3
175,5,2,5
176,5,2,5
177,5,2,5
178,5,2,5
179,5,2,5
180,4,2,5
181,3,3,3
182,5,2,5
183,5,2,5
184,5,2,5
185,5,2,5
186,5,2,5
187,5,2,5
188,5,2,5
189,4,7,4
190,3,3,3
191,3,3,3
192,5,2,5
193,3,3,3
194,5,2,5
195,3,3,3
196,5,2,5
197,3,3,3
198,3,3,3
199,5,2,5
200,3,3,3
201,3,3,3
202,5,2,5
203,5,2,5
204,3,3,3
205,5,2,5
206,4,2,5
207,5,2,5
208,5,2,5
209,3,3,3
210,3,3,3
211,4,7,4
212,4,7,4
213,5,2,5
214,3,3,3
215,3,3,3
216,3,3,3
217,5,2,5
218,5,2,5
219,5,2,5
220,3,3,3
221,5,2,5
222,5,2,5
223,5,2,5
224,5,2,5
225,5,2,5
226,3,3,3
227,3,3,3
228,3,3,3
229,3,3,3
230,5,2,5
231,5,2,5
232,5,2,5
