cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,16,7
1,13,11,18
2,13,16,7
3,13,10,4
4,13,11,18
5,13,11,18
6,13,11,18
7,13,17,17
8,13,4,13
9,13,2,9
10,13,2,9
11,13,17,17
12,13,18,0
13,13,19,19
14,13,16,7
15,13,11,18
16,13,11,18
17,13,2,9
18,13,16,7
19,13,17,17
20,13,7,3
21,13,17,17
22,13,17,17
23,13,10,4
24,13,0,12
25,13,1,5
26,13,18,0
27,13,16,7
28,13,7,3
29,13,18,0
30,13,7,3
31,13,11,18
32,13,2,9
33,13,17,17
34,13,17,17
35,13,10,4
36,13,17,17
37,13,16,7
38,13,17,17
39,13,16,7
40,13,16,7
41,13,3,8
42,13,16,7
43,13,10,4
44,13,7,3
45,13,1,5
46,13,14,2
47,13,4,13
48,13,2,9
49,13,8,10
50,13,16,7
51,13,10,4
52,13,4,13
53,13,17,17
54,13,6,15
55,13,15,11
56,13,5,1
57,13,16,7
58,13,17,17
59,13,14,2
60,13,5,1
61,13,9,6
62,13,16,7
63,13,11,18
64,13,10,4
65,13,18,0
66,13,4,13
67,13,17,17
68,13,10,4
69,13,7,3
70,13,3,8
71,13,9,6
72,13,2,9
73,13,16,7
74,13,11,18
75,13,17,17
76,13,11,18
77,13,4,13
78,13,1,5
79,13,8,10
80,13,19,19
81,13,12,14
82,13,4,13
83,13,7,3
84,13,5,1
85,13,17,17
86,13,17,17
87,13,3,8
88,13,12,14
89,13,4,13
90,13,12,14
91,13,2,9
92,13,16,7
93,13,10,4
94,13,17,17
95,13,10,4
96,13,10,4
97,13,9,6
98,13,5,1
99,13,10,4
100,13,11,18
101,13,14,2
102,13,17,17
103,13,5,1
104,13,11,18
105,13,16,7
106,13,10,4
107,13,11,18
108,13,5,1
109,13,10,4
110,13,14,2
111,13,3,8
112,13,9,6
113,13,5,1
114,13,5,1
115,13,5,1
116,13,3,8
117,13,3,8
118,13,3,8
119,13,11,18
120,13,0,12
121,13,17,17
122,13,17,17
123,13,4,13
124,13,3,8
125,13,7,3
126,13,16,7
127,13,14,2
128,13,11,18
129,13,16,7
130,13,2,9
131,13,11,18
132,13,16,7
133,13,11,18
134,13,8,10
135,13,7,3
136,13,16,7
137,13,16,7
138,13,2,9
139,13,19,19
140,13,17,17
141,13,16,7
142,13,2,9
143,13,2,9
144,13,10,4
145,13,16,7
146,13,7,3
147,13,11,18
148,13,11,18
149,13,3,8
150,13,1,5
151,13,17,17
152,13,10,4
153,13,16,7
154,13,11,18
155,13,7,3
156,13,16,7
157,13,17,17
158,13,12,14
159,13,1,5
160,13,14,2
161,13,16,7
162,13,9,6
163,13,8,10
164,13,16,7
165,13,16,7
166,13,10,4
167,13,16,7
168,13,2,9
169,13,11,18
170,13,12,14
171,13,10,4
172,13,10,4
173,13,16,7
174,13,11,18
175,13,5,1
176,13,12,14
177,13,17,17
178,13,17,17
179,13,11,18
180,13,4,13
181,13,5,1
182,13,3,8
183,13,4,13
184,13,4,13
185,13,5,1
186,13,14,2
187,13,3,8
188,13,3,8
189,13,16,7
190,13,12,14
191,13,9,6
192,13,3,8
193,13,3,8
194,13,17,17
195,13,10,4
196,13,8,10
197,13,8,10
198,13,2,9
199,13,16,7
200,13,3,8
201,13,17,17
202,13,17,17
203,13,11,18
204,13,2,9
205,13,16,7
206,13,3,8
207,13,16,7
208,13,5,1
209,13,5,1
210,13,5,1
211,13,4,13
212,13,16,7
213,13,3,8
214,13,12,14
215,13,12,14
216,13,12,14
217,13,2,9
218,13,16,7
219,13,10,4
220,13,0,12
221,13,3,8
222,13,11,18
223,13,5,1
224,13,16,7
225,13,16,7
226,13,14,2
227,13,18,0
228,13,12,14
229,13,4,13
230,13,2,9
231,13,17,17
232,13,4,13
233,13,9,6
234,13,10,4
235,13,4,13
236,13,9,6
237,13,9,6
238,13,4,13
239,13,8,10
240,13,13,16
241,13,7,3
242,13,11,18
243,13,17,17
244,13,3,8
245,13,17,17
246,13,10,4
247,13,3,8
248,13,17,17
249,13,11,18
250,13,7,3
251,13,17,17
252,13,1,5
253,13,11,18
254,13,2,9
255,13,1,5
256,13,2,9
257,13,12,14
258,13,4,13
259,13,3,8
260,13,4,13
261,13,11,18
262,13,17,17
263,13,10,4
264,13,2,9
265,13,11,18
266,13,17,17
267,13,16,7
268,13,2,9
269,13,4,13
270,13,14,2
271,13,16,7
272,13,3,8
273,13,16,7
274,13,4,13
275,13,18,0
276,13,4,13
277,13,16,7
278,13,10,4
279,13,16,7
280,13,16,7
281,13,10,4
282,13,11,18
283,13,17,17
284,13,8,10
285,13,9,6
286,13,10,4
287,13,4,13
288,13,18,0
289,13,2,9
290,13,17,17
291,13,18,0
292,13,16,7
293,13,17,17
294,13,11,18
295,13,9,6
296,13,11,18
297,13,7,3
298,13,14,2
299,13,11,18
300,13,14,2
301,13,11,18
302,13,4,13
303,13,17,17
304,13,4,13
305,13,16,7
306,13,17,17
307,13,17,17
308,13,10,4
309,13,10,4
310,13,16,7
311,13,16,7
312,13,4,13
313,13,3,8
314,13,2,9
315,13,10,4
316,13,11,18
317,13,9,6
318,13,17,17
319,13,11,18
320,13,3,8
321,13,4,13
322,13,2,9
323,13,11,18
324,13,17,17
325,13,9,6
326,13,7,3
327,13,17,17
328,13,12,14
329,13,17,17
330,13,5,1
331,13,12,14
332,13,10,4
333,13,9,6
334,13,11,18
335,13,17,17
336,13,16,7
337,13,10,4
338,13,17,17
339,13,14,2
340,13,18,0
