cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,2,9
1,13,0,10
2,13,2,9
3,13,3,17
4,13,1,18
5,13,1,18
6,13,1,18
7,13,1,18
8,13,2,9
9,13,0,10
10,13,4,4
11,13,0,10
12,13,4,4
13,13,0,10
14,13,2,9
15,13,1,18
16,13,1,18
17,13,0,10
18,13,2,9
19,13,0,10
20,13,4,4
21,13,1,18
22,13,1,18
23,13,3,17
24,13,0,10
25,13,2,9
26,13,4,4
27,13,2,9
28,13,4,4
29,13,4,4
30,13,4,4
31,13,1,18
32,13,4,4
33,13,1,18
34,13,1,18
35,13,3,17
36,13,1,18
37,13,2,9
38,13,1,18
39,13,2,9
40,13,2,9
41,13,0,10
42,13,2,9
43,13,3,17
44,13,4,4
45,13,2,9
46,13,0,10
47,13,0,10
48,13,4,4
49,13,0,10
50,13,2,9
51,13,3,17
52,13,2,9
53,13,0,10
54,13,0,10
55,13,0,10
56,13,0,10
57,13,2,9
58,13,0,10
59,13,0,10
60,13,0,10
61,13,0,10
62,13,2,9
63,13,1,18
64,13,3,17
65,13,4,4
66,13,2,9
67,13,1,18
68,13,3,17
69,13,4,4
70,13,0,10
71,13,0,10
72,13,4,4
73,13,2,9
74,13,1,18
75,13,1,18
76,13,1,18
77,13,2,9
78,13,2,9
79,13,0,10
80,13,1,18
81,13,2,9
82,13,2,9
83,13,4,4
84,13,0,10
85,13,0,10
86,13,1,18
87,13,0,10
88,13,2,9
89,13,2,9
90,13,2,9
91,13,0,10
92,13,2,9
93,13,3,17
94,13,1,18
95,13,3,17
96,13,0,10
97,13,0,10
98,13,0,10
99,13,3,17
100,13,1,18
101,13,0,10
102,13,0,10
103,13,0,10
104,13,1,18
105,13,2,9
106,13,3,17
107,13,1,18
108,13,0,10
109,13,3,17
110,13,0,10
111,13,1,18
112,13,0,10
113,13,0,10
114,13,0,10
115,13,0,10
116,13,3,17
117,13,3,17
118,13,1,18
119,13,1,18
120,13,0,10
121,13,0,10
122,13,1,18
123,13,2,9
124,13,3,17
125,13,4,4
126,13,2,9
127,13,0,10
128,13,1,18
129,13,2,9
130,13,0,10
131,13,1,18
132,13,2,9
133,13,1,18
134,13,0,10
135,13,4,4
136,13,2,9
137,13,2,9
138,13,0,10
139,13,1,18
140,13,1,18
141,13,2,9
142,13,4,4
143,13,0,10
144,13,3,17
145,13,2,9
146,13,4,4
147,13,1,18
148,13,1,18
149,13,3,17
150,13,0,10
151,13,1,18
152,13,3,17
153,13,2,9
154,13,1,18
155,13,4,4
156,13,2,9
157,13,0,10
158,13,2,9
159,13,2,9
160,13,0,10
161,13,2,9
162,13,0,10
163,13,1,18
164,13,2,9
165,13,2,9
166,13,3,17
167,13,2,9
168,13,0,10
169,13,1,18
170,13,2,9
171,13,3,17
172,13,3,17
173,13,2,9
174,13,1,18
175,13,0,10
176,13,2,9
177,13,1,18
178,13,1,18
179,13,1,18
180,13,2,9
181,13,0,10
182,13,3,17
183,13,2,9
184,13,2,9
185,13,0,10
186,13,0,10
187,13,3,17
188,13,3,17
189,13,2,9
190,13,2,9
191,13,0,10
192,13,1,18
193,13,3,17
194,13,0,10
195,13,3,17
196,13,0,10
197,13,0,10
198,13,0,10
199,13,2,9
200,13,3,17
201,13,1,18
202,13,0,10
203,13,1,18
204,13,0,10
205,13,2,9
206,13,3,17
207,13,2,9
208,13,0,10
209,13,0,10
210,13,0,10
211,13,2,9
212,13,2,9
213,13,3,17
214,13,2,9
215,13,2,9
216,13,2,9
217,13,0,10
218,13,2,9
219,13,0,10
220,13,0,10
221,13,3,17
222,13,1,18
223,13,0,10
224,13,2,9
225,13,2,9
226,13,0,10
227,13,4,4
228,13,2,9
229,13,2,9
230,13,4,4
231,13,0,10
232,13,2,9
233,13,0,10
234,13,3,17
235,13,2,9
236,13,0,10
237,13,0,10
238,13,2,9
239,13,0,10
240,13,1,18
241,13,4,4
242,13,1,18
243,13,1,18
244,13,1,18
245,13,0,10
246,13,3,17
247,13,1,18
248,13,1,18
249,13,1,18
250,13,4,4
251,13,1,18
252,13,0,10
253,13,1,18
254,13,4,4
255,13,0,10
256,13,4,4
257,13,2,9
258,13,2,9
259,13,3,17
260,13,2,9
261,13,1,18
262,13,0,10
263,13,3,17
264,13,4,4
265,13,1,18
266,13,1,18
267,13,2,9
268,13,4,4
269,13,2,9
270,13,0,10
271,13,2,9
272,13,3,17
273,13,2,9
274,13,2,9
275,13,4,4
276,13,2,9
277,13,2,9
278,13,3,17
279,13,2,9
280,13,2,9
281,13,3,17
