cell_id,true_label,pred_label_raw,pred_label_aligned
0,13.0,3,18.0
1,13.0,1,10.0
2,13.0,3,18.0
3,13.0,6,17.0
4,13.0,1,10.0
5,13.0,1,10.0
6,13.0,1,10.0
7,13.0,1,10.0
8,13.0,8,4.0
9,13.0,4,8.0
10,13.0,9,13.0
11,13.0,1,10.0
12,13.0,7,7.0
13,13.0,1,10.0
14,13.0,3,18.0
15,13.0,1,10.0
16,13.0,1,10.0
17,13.0,4,8.0
18,13.0,3,18.0
19,13.0,1,10.0
20,13.0,5,2.0
21,13.0,1,10.0
22,13.0,1,10.0
23,13.0,6,17.0
24,13.0,1,10.0
25,13.0,3,18.0
26,13.0,7,7.0
27,13.0,3,18.0
28,13.0,5,2.0
29,13.0,3,18.0
30,13.0,5,2.0
31,13.0,1,10.0
32,13.0,9,13.0
33,13.0,1,10.0
34,13.0,1,10.0
35,13.0,6,17.0
36,13.0,1,10.0
37,13.0,3,18.0
38,13.0,1,10.0
39,13.0,3,18.0
40,13.0,3,18.0
41,13.0,6,17.0
42,13.0,3,18.0
43,13.0,6,17.0
44,13.0,5,2.0
45,13.0,7,7.0
46,13.0,1,10.0
47,13.0,7,7.0
48,13.0,0,9.0
49,13.0,1,10.0
50,13.0,3,18.0
51,13.0,6,17.0
52,13.0,8,4.0
53,13.0,1,10.0
54,13.0,1,10.0
55,13.0,1,10.0
56,13.0,2,6.0
57,13.0,3,18.0
58,13.0,1,10.0
59,13.0,1,10.0
60,13.0,2,6.0
61,13.0,7,7.0
62,13.0,3,18.0
63,13.0,1,10.0
64,13.0,6,17.0
65,13.0,7,7.0
66,13.0,8,4.0
67,13.0,1,10.0
68,13.0,1,10.0
69,13.0,5,2.0
70,13.0,1,10.0
71,13.0,7,7.0
72,13.0,0,9.0
73,13.0,3,18.0
74,13.0,1,10.0
75,13.0,1,10.0
76,13.0,1,10.0
77,13.0,8,4.0
78,13.0,3,18.0
79,13.0,1,10.0
80,13.0,1,10.0
81,13.0,3,18.0
82,13.0,8,4.0
83,13.0,5,2.0
84,13.0,2,6.0
85,13.0,1,10.0
86,13.0,1,10.0
87,13.0,6,17.0
88,13.0,8,4.0
89,13.0,8,4.0
90,13.0,8,4.0
91,13.0,4,8.0
92,13.0,3,18.0
93,13.0,6,17.0
94,13.0,1,10.0
95,13.0,6,17.0
96,13.0,6,17.0
97,13.0,7,7.0
98,13.0,2,6.0
99,13.0,1,10.0
100,13.0,1,10.0
101,13.0,1,10.0
102,13.0,1,10.0
103,13.0,6,17.0
104,13.0,1,10.0
105,13.0,3,18.0
106,13.0,6,17.0
107,13.0,1,10.0
108,13.0,2,6.0
109,13.0,6,17.0
110,13.0,1,10.0
111,13.0,1,10.0
112,13.0,7,7.0
113,13.0,2,6.0
114,13.0,2,6.0
115,13.0,2,6.0
116,13.0,1,10.0
117,13.0,6,17.0
118,13.0,1,10.0
119,13.0,1,10.0
120,13.0,1,10.0
121,13.0,1,10.0
122,13.0,1,10.0
123,13.0,8,4.0
124,13.0,6,17.0
125,13.0,5,2.0
126,13.0,3,18.0
127,13.0,1,10.0
128,13.0,1,10.0
129,13.0,3,18.0
130,13.0,4,8.0
131,13.0,1,10.0
132,13.0,3,18.0
133,13.0,1,10.0
134,13.0,1,10.0
135,13.0,5,2.0
136,13.0,3,18.0
137,13.0,3,18.0
138,13.0,4,8.0
139,13.0,1,10.0
140,13.0,1,10.0
141,13.0,3,18.0
142,13.0,0,9.0
143,13.0,4,8.0
144,13.0,1,10.0
145,13.0,3,18.0
146,13.0,5,2.0
147,13.0,1,10.0
148,13.0,1,10.0
149,13.0,1,10.0
150,13.0,7,7.0
151,13.0,1,10.0
152,13.0,6,17.0
153,13.0,3,18.0
154,13.0,1,10.0
155,13.0,0,9.0
156,13.0,3,18.0
157,13.0,1,10.0
158,13.0,8,4.0
159,13.0,3,18.0
160,13.0,1,10.0
161,13.0,3,18.0
162,13.0,7,7.0
163,13.0,1,10.0
164,13.0,3,18.0
165,13.0,3,18.0
166,13.0,6,17.0
167,13.0,3,18.0
168,13.0,4,8.0
169,13.0,1,10.0
170,13.0,3,18.0
171,13.0,6,17.0
172,13.0,6,17.0
173,13.0,3,18.0
174,13.0,1,10.0
175,13.0,2,6.0
176,13.0,3,18.0
177,13.0,1,10.0
178,13.0,1,10.0
179,13.0,1,10.0
180,13.0,8,4.0
181,13.0,2,6.0
182,13.0,1,10.0
183,13.0,8,4.0
184,13.0,8,4.0
185,13.0,6,17.0
186,13.0,1,10.0
187,13.0,6,17.0
188,13.0,1,10.0
189,13.0,3,18.0
190,13.0,3,18.0
191,13.0,7,7.0
192,13.0,1,10.0
193,13.0,1,10.0
194,13.0,1,10.0
195,13.0,6,17.0
196,13.0,1,10.0
197,13.0,1,10.0
198,13.0,4,8.0
199,13.0,3,18.0
200,13.0,6,17.0
