cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,3,7
1,13,5,13
2,13,3,7
3,13,4,18
4,13,14,17
5,13,5,13
6,13,10,2
7,13,14,17
8,13,6,4
9,13,18,8
10,13,12,1
11,13,14,17
12,13,11,6
13,13,14,17
14,13,3,7
15,13,14,17
16,13,2,9
17,13,18,8
18,13,3,7
19,13,14,17
20,13,15,15
21,13,1,10
22,13,1,10
23,13,4,18
24,13,5,13
25,13,11,6
26,13,11,6
27,13,3,7
28,13,15,15
29,13,11,6
30,13,15,15
31,13,5,13
32,13,12,1
33,13,1,10
34,13,14,17
35,13,4,18
36,13,14,17
37,13,3,7
38,13,14,17
39,13,3,7
40,13,3,7
41,13,13,14
42,13,3,7
43,13,4,18
44,13,15,15
45,13,11,6
46,13,8,16
47,13,9,11
48,13,12,1
49,13,1,10
50,13,3,7
51,13,4,18
52,13,6,4
53,13,14,17
54,13,10,2
55,13,17,12
56,13,0,19
57,13,3,7
58,13,2,9
59,13,10,2
60,13,0,19
61,13,9,11
62,13,3,7
63,13,5,13
64,13,4,18
65,13,11,6
66,13,6,4
67,13,1,10
68,13,4,18
69,13,15,15
70,13,4,18
71,13,9,11
72,13,12,1
73,13,3,7
74,13,5,13
75,13,1,10
76,13,1,10
77,13,6,4
78,13,11,6
79,13,14,17
80,13,14,17
81,13,3,7
82,13,6,4
83,13,15,15
84,13,0,19
85,13,14,17
86,13,2,9
87,13,13,14
88,13,6,4
89,13,6,4
90,13,6,4
91,13,18,8
92,13,3,7
93,13,4,18
94,13,14,17
95,13,4,18
96,13,4,18
97,13,9,11
98,13,0,19
99,13,8,16
100,13,2,9
101,13,10,2
102,13,10,2
103,13,9,11
104,13,1,10
105,13,3,7
106,13,4,18
107,13,14,17
108,13,0,19
109,13,4,18
110,13,10,2
111,13,8,16
112,13,9,11
113,13,0,19
114,13,0,19
115,13,0,19
116,13,8,16
117,13,13,14
118,13,8,16
119,13,1,10
120,13,1,10
121,13,1,10
122,13,5,13
123,13,6,4
124,13,13,14
125,13,15,15
126,13,3,7
127,13,2,9
128,13,5,13
129,13,3,7
130,13,18,8
131,13,1,10
132,13,3,7
133,13,14,17
134,13,1,10
135,13,15,15
136,13,3,7
137,13,11,6
138,13,18,8
139,13,2,9
140,13,1,10
141,13,3,7
142,13,12,1
143,13,18,8
144,13,8,16
145,13,3,7
146,13,15,15
147,13,13,14
148,13,14,17
149,13,8,16
150,13,11,6
151,13,2,9
152,13,4,18
153,13,3,7
154,13,10,2
155,13,15,15
156,13,3,7
157,13,1,10
158,13,3,7
159,13,11,6
160,13,1,10
161,13,11,6
162,13,9,11
163,13,5,13
164,13,11,6
165,13,3,7
166,13,4,18
167,13,3,7
168,13,18,8
169,13,2,9
170,13,6,4
171,13,4,18
172,13,4,18
173,13,3,7
174,13,14,17
175,13,0,19
176,13,3,7
177,13,2,9
178,13,2,9
179,13,5,13
180,13,6,4
181,13,0,19
182,13,8,16
183,13,6,4
184,13,6,4
185,13,9,11
186,13,10,2
187,13,13,14
188,13,13,14
189,13,3,7
190,13,3,7
191,13,9,11
192,13,17,12
193,13,8,16
194,13,1,10
195,13,4,18
196,13,2,9
197,13,1,10
198,13,18,8
199,13,3,7
200,13,13,14
201,13,1,10
202,13,14,17
203,13,1,10
204,13,18,8
205,13,3,7
206,13,8,16
207,13,11,6
208,13,9,11
209,13,0,19
210,13,0,19
211,13,6,4
212,13,3,7
213,13,13,14
214,13,3,7
