cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,0,7
1,13,3,6
2,13,0,7
3,13,1,17
4,13,2,10
5,13,14,19
6,13,2,10
7,13,2,10
8,13,17,4
9,13,5,13
10,13,9,12
11,13,10,16
12,13,6,14
13,13,2,10
14,13,0,7
15,13,2,10
16,13,18,18
17,13,5,13
18,13,0,7
19,13,10,16
20,13,11,15
21,13,18,18
22,13,15,2
23,13,1,17
24,13,10,16
25,13,19,8
26,13,6,14
27,13,0,7
28,13,11,15
29,13,6,14
30,13,11,15
31,13,14,19
32,13,9,12
33,13,2,10
34,13,2,10
35,13,1,17
36,13,2,10
37,13,17,4
38,13,18,18
39,13,0,7
40,13,0,7
41,13,16,0
42,13,0,7
43,13,1,17
44,13,11,15
45,13,19,8
46,13,15,2
47,13,7,11
48,13,9,12
49,13,10,16
50,13,0,7
51,13,1,17
52,13,17,4
53,13,2,10
54,13,10,16
55,13,2,10
56,13,12,5
57,13,0,7
58,13,3,6
59,13,3,6
60,13,12,5
61,13,7,11
62,13,8,9
63,13,18,18
64,13,3,6
65,13,6,14
66,13,17,4
67,13,2,10
68,13,1,17
69,13,11,15
70,13,2,10
71,13,7,11
72,13,9,12
73,13,0,7
74,13,14,19
75,13,2,10
76,13,2,10
77,13,17,4
78,13,19,8
79,13,2,10
80,13,18,18
81,13,0,7
82,13,17,4
83,13,11,15
84,13,12,5
85,13,2,10
86,13,2,10
87,13,16,0
88,13,17,4
89,13,17,4
90,13,17,4
91,13,5,13
92,13,0,7
93,13,1,17
94,13,2,10
95,13,1,17
96,13,3,6
97,13,7,11
98,13,12,5
99,13,15,2
100,13,18,18
101,13,3,6
102,13,3,6
103,13,13,3
104,13,2,10
105,13,0,7
106,13,1,17
107,13,18,18
108,13,12,5
109,13,1,17
110,13,3,6
111,13,18,18
112,13,7,11
113,13,12,5
114,13,12,5
115,13,12,5
116,13,15,2
117,13,16,0
118,13,18,18
119,13,2,10
120,13,3,6
121,13,2,10
122,13,14,19
123,13,17,4
124,13,16,0
125,13,11,15
126,13,0,7
127,13,10,16
128,13,14,19
129,13,0,7
130,13,4,1
131,13,2,10
132,13,0,7
133,13,2,10
134,13,3,6
135,13,11,15
136,13,8,9
137,13,8,9
138,13,5,13
139,13,18,18
140,13,18,18
141,13,0,7
142,13,9,12
143,13,5,13
144,13,15,2
145,13,0,7
146,13,11,15
147,13,14,19
148,13,14,19
149,13,15,2
150,13,19,8
151,13,18,18
152,13,1,17
153,13,0,7
154,13,18,18
155,13,11,15
156,13,0,7
157,13,2,10
158,13,17,4
159,13,19,8
160,13,3,6
161,13,8,9
162,13,7,11
163,13,14,19
164,13,19,8
165,13,0,7
166,13,1,17
167,13,0,7
168,13,5,13
169,13,18,18
170,13,17,4
171,13,1,17
172,13,1,17
173,13,0,7
174,13,14,19
175,13,12,5
176,13,8,9
177,13,18,18
178,13,18,18
179,13,14,19
180,13,17,4
181,13,12,5
182,13,15,2
183,13,17,4
184,13,17,4
185,13,13,3
186,13,3,6
187,13,16,0
188,13,16,0
189,13,0,7
190,13,0,7
191,13,7,11
192,13,2,10
193,13,18,18
194,13,14,19
195,13,1,17
196,13,3,6
197,13,10,16
198,13,5,13
199,13,0,7
200,13,16,0
201,13,2,10
202,13,2,10
203,13,2,10
204,13,5,13
205,13,0,7
206,13,15,2
207,13,8,9
208,13,13,3
209,13,12,5
210,13,12,5
211,13,17,4
212,13,0,7
213,13,16,0
214,13,0,7
215,13,0,7
216,13,0,7
217,13,5,13
218,13,0,7
219,13,3,6
220,13,3,6
221,13,1,17
222,13,18,18
223,13,13,3
224,13,0,7
225,13,8,9
226,13,3,6
227,13,6,14
228,13,0,7
229,13,17,4
230,13,9,12
231,13,2,10
232,13,17,4
233,13,13,3
234,13,1,17
235,13,17,4
236,13,7,11
237,13,7,11
238,13,17,4
239,13,10,16
240,13,2,10
241,13,11,15
242,13,18,18
243,13,2,10
244,13,18,18
245,13,2,10
246,13,1,17
247,13,16,0
248,13,2,10
249,13,14,19
250,13,11,15
251,13,2,10
252,13,19,8
253,13,14,19
254,13,4,1
255,13,19,8
256,13,4,1
257,13,17,4
258,13,17,4
259,13,16,0
260,13,17,4
261,13,2,10
262,13,2,10
263,13,1,17
264,13,4,1
265,13,2,10
266,13,2,10
267,13,0,7
268,13,4,1
269,13,17,4
270,13,3,6
271,13,17,4
272,13,15,2
273,13,0,7
274,13,17,4
275,13,6,14
276,13,17,4
277,13,0,7
278,13,1,17
279,13,0,7
280,13,8,9
281,13,3,6
282,13,18,18
283,13,2,10
284,13,15,2
285,13,7,11
286,13,1,17
287,13,11,15
288,13,6,14
289,13,5,13
290,13,2,10
291,13,6,14
292,13,0,7
293,13,3,6
294,13,18,18
295,13,7,11
296,13,15,2
297,13,11,15
298,13,3,6
299,13,14,19
300,13,3,6
301,13,18,18
302,13,17,4
303,13,2,10
304,13,17,4
305,13,17,4
306,13,3,6
307,13,2,10
308,13,1,17
309,13,1,17
310,13,0,7
311,13,0,7
312,13,17,4
313,13,15,2
314,13,5,13
315,13,1,17
316,13,18,18
317,13,7,11
318,13,2,10
319,13,18,18
320,13,15,2
321,13,17,4
322,13,9,12
323,13,14,19
324,13,2,10
325,13,7,11
326,13,11,15
327,13,18,18
328,13,17,4
329,13,2,10
330,13,12,5
331,13,0,7
332,13,1,17
333,13,7,11
334,13,14,19
335,13,2,10
336,13,19,8
337,13,1,17
338,13,18,18
339,13,3,6
340,13,6,14
341,13,5,13
342,13,17,4
343,13,17,4
344,13,8,9
345,13,7,11
346,13,17,4
347,13,2,10
348,13,2,10
349,13,1,17
350,13,18,18
351,13,2,10
352,13,17,4
353,13,0,7
354,13,3,6
355,13,14,19
356,13,1,17
357,13,5,13
358,13,17,4
359,13,18,18
360,13,13,3
361,13,18,18
362,13,6,14
363,13,0,7
364,13,18,18
365,13,1,17
366,13,10,16
367,13,3,6
368,13,0,7
369,13,19,8
370,13,1,17
371,13,3,6
372,13,4,1
373,13,14,19
374,13,18,18
375,13,18,18
376,13,2,10
377,13,5,13
378,13,18,18
379,13,18,18
380,13,3,6
381,13,6,14
382,13,15,2
383,13,2,10
384,13,18,18
385,13,0,7
386,13,0,7
387,13,15,2
388,13,2,10
389,13,18,18
390,13,0,7
391,13,6,14
392,12,18,18
393,12,2,10
394,12,8,9
395,12,12,5
396,12,2,10
397,12,7,11
398,12,1,17
399,12,2,10
400,12,15,2
401,12,2,10
402,12,3,6
403,12,7,11
404,12,17,4
405,12,17,4
406,12,5,13
407,12,2,10
408,12,0,7
409,12,0,7
410,12,11,15
411,12,0,7
412,12,9,12
413,12,6,14
414,12,17,4
415,12,2,10
416,12,2,10
417,12,2,10
418,12,0,7
419,12,18,18
420,12,11,15
421,12,3,6
422,12,17,4
423,12,15,2
424,12,2,10
425,12,17,4
426,12,0,7
427,12,3,6
428,12,0,7
429,12,3,6
430,12,17,4
431,12,10,16
432,12,9,12
433,12,8,9
434,12,4,1
435,12,18,18
436,12,8,9
437,12,17,4
438,12,17,4
439,12,4,1
440,12,0,7
441,12,1,17
442,12,4,1
443,12,5,13
444,12,18,18
445,12,5,13
446,12,3,6
447,12,15,2
448,12,18,18
449,12,3,6
450,12,2,10
451,12,12,5
452,12,13,3
453,12,13,3
454,12,9,12
455,12,15,2
456,12,3,6
457,12,17,4
458,12,2,10
459,12,18,18
460,12,1,17
461,12,17,4
462,12,17,4
463,12,18,18
464,12,3,6
465,12,7,11
466,12,0,7
467,12,1,17
468,12,17,4
469,12,18,18
470,12,11,15
471,12,12,5
472,12,5,13
473,12,0,7
474,12,18,18
475,12,0,7
476,12,0,7
477,12,3,6
478,12,1,17
479,12,17,4
480,12,1,17
481,12,1,17
482,12,1,17
483,12,18,18
484,12,15,2
485,12,0,7
486,12,2,10
487,12,18,18
488,12,17,4
489,12,1,17
490,12,1,17
491,12,17,4
492,12,3,6
493,12,2,10
494,12,1,17
495,12,0,7
496,12,0,7
497,12,0,7
498,12,3,6
499,12,3,6
500,12,18,18
501,12,12,5
502,12,11,15
503,12,2,10
504,12,12,5
505,12,18,18
506,12,0,7
507,12,18,18
508,12,12,5
509,12,10,16
510,12,18,18
511,12,19,8
512,12,0,7
513,12,18,18
514,12,15,2
515,12,14,19
516,12,17,4
517,12,16,0
518,12,2,10
519,12,2,10
520,12,8,9
521,12,3,6
522,12,16,0
523,1,0,7
524,1,2,10
525,1,0,7
526,1,16,0
527,1,3,6
528,1,16,0
529,1,19,8
530,1,17,4
531,1,18,18
532,1,4,1
533,1,17,4
534,1,0,7
535,1,17,4
536,1,16,0
537,1,16,0
538,1,12,5
539,1,8,9
540,1,2,10
541,1,18,18
542,1,1,17
543,1,18,18
544,1,11,15
545,1,2,10
546,1,18,18
547,1,4,1
548,1,8,9
549,1,3,6
550,1,4,1
551,1,6,14
552,1,0,7
553,1,14,19
554,1,3,6
555,1,17,4
556,1,0,7
557,1,12,5
558,1,3,6
559,1,17,4
560,1,18,18
561,1,0,7
562,1,8,9
563,1,0,7
564,1,0,7
565,1,2,10
566,1,13,3
567,1,1,17
568,1,12,5
569,1,0,7
570,1,10,16
571,1,12,5
572,1,18,18
573,1,14,19
574,1,6,14
575,1,15,2
576,1,17,4
577,1,0,7
578,1,14,19
579,1,0,7
580,1,3,6
581,1,17,4
582,1,0,7
583,1,2,10
584,1,16,0
585,1,1,17
586,1,0,7
587,1,1,17
588,1,7,11
589,1,3,6
590,1,18,18
591,1,17,4
592,1,8,9
593,1,19,8
594,1,1,17
595,1,18,18
596,1,18,18
597,1,17,4
598,1,2,10
599,1,6,14
600,1,4,1
601,1,9,12
602,1,3,6
603,1,15,2
604,1,2,10
605,1,11,15
606,1,12,5
607,1,0,7
608,1,16,0
609,1,18,18
610,1,5,13
611,1,3,6
612,1,2,10
613,1,16,0
614,1,1,17
615,1,3,6
616,1,2,10
617,1,7,11
618,1,18,18
619,1,3,6
620,1,3,6
621,1,10,16
622,1,8,9
623,1,13,3
624,1,0,7
625,1,2,10
626,1,1,17
627,1,0,7
628,1,1,17
629,1,1,17
630,1,19,8
631,1,1,17
632,1,3,6
633,1,0,7
634,1,0,7
635,1,9,12
636,1,2,10
637,1,14,19
638,1,2,10
639,1,7,11
640,1,17,4
641,1,4,1
642,1,2,10
643,1,3,6
644,1,17,4
645,1,18,18
646,1,17,4
647,1,3,6
648,1,0,7
649,1,1,17
650,1,1,17
651,1,7,11
652,1,6,14
653,1,17,4
654,1,19,8
655,1,18,18
656,1,0,7
