cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,1,18
1,13,8,19
2,13,1,18
3,13,2,17
4,13,0,10
5,13,8,19
6,13,3,9
7,13,3,9
8,13,4,4
9,13,15,8
10,13,16,12
11,13,0,10
12,13,12,14
13,13,0,10
14,13,1,18
15,13,0,10
16,13,0,10
17,13,15,8
18,13,1,18
19,13,0,10
20,13,14,13
21,13,5,15
22,13,0,10
23,13,2,17
24,13,8,19
25,13,6,6
26,13,12,14
27,13,1,18
28,13,14,13
29,13,6,6
30,13,14,13
31,13,8,19
32,13,16,12
33,13,0,10
34,13,0,10
35,13,2,17
36,13,0,10
37,13,1,18
38,13,0,10
39,13,1,18
40,13,1,18
41,13,7,7
42,13,1,18
43,13,2,17
44,13,14,13
45,13,1,18
46,13,11,16
47,13,9,11
48,13,16,12
49,13,0,10
50,13,1,18
51,13,2,17
52,13,4,4
53,13,0,10
54,13,3,9
55,13,13,0
56,13,10,2
57,13,1,18
58,13,0,10
59,13,3,9
60,13,10,2
61,13,9,11
62,13,1,18
63,13,0,10
64,13,2,17
65,13,12,14
66,13,4,4
67,13,0,10
68,13,2,17
69,13,14,13
70,13,0,10
71,13,9,11
72,13,16,12
73,13,1,18
74,13,8,19
75,13,0,10
76,13,0,10
77,13,4,4
78,13,1,18
79,13,0,10
80,13,0,10
81,13,1,18
82,13,4,4
83,13,14,13
84,13,10,2
85,13,0,10
86,13,0,10
87,13,0,10
88,13,4,4
89,13,4,4
90,13,4,4
91,13,15,8
92,13,1,18
93,13,2,17
94,13,0,10
95,13,2,17
96,13,2,17
97,13,9,11
98,13,10,2
99,13,11,16
100,13,0,10
101,13,3,9
102,13,3,9
103,13,18,5
104,13,0,10
105,13,1,18
106,13,2,17
107,13,0,10
108,13,10,2
109,13,2,17
110,13,3,9
111,13,0,10
112,13,9,11
113,13,10,2
114,13,10,2
115,13,10,2
116,13,11,16
117,13,7,7
118,13,0,10
119,13,0,10
120,13,3,9
121,13,0,10
122,13,0,10
123,13,4,4
124,13,7,7
125,13,14,13
126,13,1,18
127,13,3,9
128,13,8,19
129,13,1,18
130,13,15,8
131,13,0,10
132,13,1,18
133,13,0,10
134,13,0,10
135,13,14,13
136,13,1,18
137,13,1,18
138,13,15,8
139,13,3,9
140,13,5,15
141,13,1,18
142,13,16,12
143,13,15,8
144,13,11,16
145,13,1,18
146,13,14,13
