cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,16,18
1,13,17,5
2,13,16,18
3,13,19,0
4,13,3,17
5,13,17,5
6,13,13,2
7,13,5,9
8,13,11,14
9,13,18,8
10,13,18,8
11,13,3,17
12,13,1,6
13,13,2,16
14,13,16,18
15,13,3,17
16,13,5,9
17,13,18,8
18,13,16,18
19,13,3,17
20,13,10,13
21,13,5,9
22,13,3,17
23,13,14,4
24,13,17,5
25,13,1,6
26,13,1,6
27,13,16,18
28,13,10,13
29,13,1,6
30,13,10,13
31,13,17,5
32,13,18,8
33,13,3,17
34,13,3,17
35,13,19,0
36,13,5,9
37,13,16,18
38,13,5,9
39,13,16,18
40,13,16,18
41,13,15,1
42,13,16,18
43,13,14,4
44,13,10,13
45,13,16,18
46,13,9,7
47,13,4,11
48,13,18,8
49,13,7,10
50,13,16,18
51,13,14,4
52,13,16,18
53,13,3,17
54,13,14,4
55,13,2,16
56,13,6,19
57,13,16,18
58,13,3,17
59,13,13,2
60,13,6,19
61,13,4,11
62,13,1,6
63,13,3,17
64,13,19,0
65,13,1,6
66,13,11,14
67,13,2,16
68,13,14,4
69,13,10,13
70,13,14,4
71,13,4,11
72,13,18,8
73,13,16,18
74,13,17,5
75,13,3,17
76,13,3,17
77,13,11,14
78,13,16,18
79,13,7,10
80,13,2,16
81,13,11,14
82,13,11,14
83,13,10,13
84,13,6,19
85,13,3,17
86,13,2,16
87,13,15,1
88,13,16,18
89,13,12,15
90,13,11,14
91,13,18,8
92,13,16,18
93,13,19,0
94,13,5,9
95,13,19,0
96,13,14,4
97,13,4,11
98,13,6,19
99,13,9,7
100,13,5,9
101,13,13,2
102,13,13,2
103,13,6,19
104,13,3,17
105,13,16,18
106,13,14,4
107,13,5,9
108,13,6,19
109,13,14,4
110,13,13,2
111,13,9,7
112,13,4,11
113,13,6,19
114,13,6,19
115,13,6,19
116,13,9,7
117,13,15,1
118,13,9,7
119,13,3,17
120,13,3,17
121,13,3,17
122,13,17,5
123,13,11,14
124,13,15,1
125,13,10,13
126,13,16,18
127,13,3,17
128,13,17,5
129,13,16,18
130,13,18,8
131,13,3,17
132,13,16,18
133,13,3,17
134,13,7,10
135,13,10,13
136,13,16,18
137,13,1,6
138,13,18,8
139,13,3,17
140,13,3,17
141,13,16,18
142,13,18,8
143,13,18,8
144,13,9,7
145,13,16,18
146,13,10,13
147,13,15,1
148,13,3,17
149,13,9,7
150,13,1,6
151,13,5,9
152,13,14,4
153,13,16,18
154,13,13,2
155,13,10,13
156,13,16,18
157,13,5,9
158,13,16,18
159,13,16,18
160,13,3,17
161,13,16,18
162,13,4,11
163,13,2,16
164,13,16,18
165,13,16,18
166,13,19,0
167,13,16,18
168,13,18,8
169,13,5,9
170,13,11,14
171,13,14,4
172,13,19,0
173,13,16,18
174,13,3,17
175,13,6,19
176,13,16,18
177,13,5,9
178,13,3,17
179,13,17,5
180,13,12,15
181,13,6,19
182,13,9,7
183,13,11,14
184,13,11,14
185,13,6,19
186,13,13,2
187,13,15,1
188,13,15,1
189,13,16,18
190,13,16,18
191,13,4,11
192,13,2,16
193,13,9,7
194,13,5,9
195,13,14,4
196,13,5,9
197,13,2,16
198,13,18,8
199,13,16,18
200,13,15,1
201,13,3,17
202,13,3,17
203,13,3,17
204,13,18,8
205,13,16,18
206,13,9,7
207,13,1,6
208,13,6,19
209,13,6,19
210,13,6,19
211,13,11,14
212,13,16,18
213,13,15,1
214,13,16,18
215,13,16,18
216,13,16,18
217,13,18,8
218,13,16,18
219,13,19,0
220,13,5,9
221,13,13,2
222,13,5,9
223,13,6,19
224,13,16,18
225,13,16,18
226,13,13,2
227,13,1,6
228,13,16,18
229,13,11,14
230,13,18,8
231,13,5,9
232,13,12,15
233,13,4,11
234,13,19,0
235,13,11,14
236,13,4,11
237,13,4,11
238,13,11,14
239,13,2,16
240,13,2,16
241,13,10,13
242,13,13,2
243,13,5,9
244,13,3,17
245,13,2,16
246,13,14,4
247,13,15,1
248,13,3,17
249,13,3,17
250,13,10,13
251,13,3,17
252,13,1,6
253,13,17,5
254,13,8,3
255,13,1,6
256,13,8,3
257,13,11,14
258,13,11,14
259,13,15,1
260,13,11,14
261,13,3,17
262,13,3,17
263,13,19,0
264,13,8,3
265,13,13,2
266,13,3,17
267,13,16,18
268,13,8,3
269,13,12,15
270,13,15,1
271,13,16,18
272,13,9,7
273,13,16,18
274,13,12,15
275,13,1,6
276,13,11,14
277,13,16,18
278,13,0,12
279,13,16,18
280,13,16,18
281,13,14,4
282,13,3,17
283,13,3,17
284,13,9,7
285,13,4,11
286,13,19,0
287,13,12,15
288,13,1,6
289,13,18,8
290,13,3,17
291,13,1,6
292,13,16,18
293,13,3,17
294,13,3,17
295,13,4,11
296,13,3,17
297,13,10,13
298,13,13,2
299,13,17,5
300,13,3,17
301,13,3,17
302,13,12,15
303,13,5,9
304,13,11,14
305,13,16,18
306,13,3,17
307,13,3,17
308,13,0,12
309,13,14,4
310,13,16,18
311,13,16,18
312,13,11,14
313,13,9,7
314,13,18,8
315,13,0,12
316,13,5,9
317,13,4,11
318,13,5,9
319,13,17,5
320,13,9,7
321,13,11,14
322,13,18,8
323,13,17,5
324,13,3,17
325,13,4,11
326,13,10,13
327,13,3,17
328,13,11,14
329,13,3,17
330,13,6,19
331,13,16,18
332,13,19,0
333,13,4,11
334,13,17,5
335,13,2,16
336,13,1,6
337,13,19,0
338,13,5,9
339,13,3,17
340,13,1,6
341,13,18,8
342,13,11,14
343,13,11,14
344,13,16,18
345,13,4,11
346,13,11,14
347,13,3,17
348,13,2,16
349,13,19,0
350,13,3,17
351,13,3,17
352,13,12,15
353,13,11,14
354,13,14,4
355,13,5,9
356,13,19,0
357,13,18,8
358,13,11,14
359,13,3,17
360,13,4,11
361,13,3,17
362,13,1,6
363,13,11,14
364,13,3,17
365,13,0,12
366,13,3,17
367,13,14,4
368,13,16,18
369,13,16,18
370,13,14,4
371,13,19,0
372,13,18,8
373,13,17,5
374,13,5,9
375,13,13,2
376,13,3,17
377,13,18,8
378,13,3,17
379,13,3,17
380,13,5,9
381,13,1,6
382,13,9,7
383,13,2,16
384,13,9,7
385,13,16,18
386,13,16,18
387,13,9,7
388,13,3,17
389,13,9,7
390,13,16,18
391,13,1,6
392,12,3,17
393,12,13,2
394,12,16,18
395,12,6,19
396,12,3,17
397,12,4,11
398,12,0,12
399,12,3,17
400,12,3,17
401,12,2,16
402,12,15,1
403,12,4,11
404,12,11,14
405,12,11,14
406,12,18,8
407,12,7,10
408,12,16,18
409,12,16,18
410,12,8,3
411,12,1,6
412,12,18,8
413,12,1,6
414,12,16,18
415,12,2,16
416,12,5,9
417,12,5,9
418,12,16,18
419,12,3,17
420,12,10,13
421,12,14,4
422,12,11,14
423,12,3,17
424,12,9,7
425,12,11,14
426,12,16,18
427,12,17,5
428,12,16,18
429,12,0,12
430,12,11,14
431,12,9,7
432,12,18,8
433,12,16,18
434,12,8,3
435,12,9,7
436,12,16,18
437,12,16,18
438,12,11,14
439,12,8,3
440,12,16,18
441,12,19,0
442,12,8,3
443,12,18,8
444,12,5,9
445,12,18,8
446,12,3,17
447,12,9,7
448,12,5,9
449,12,3,17
450,12,3,17
451,12,6,19
452,12,6,19
453,12,6,19
454,12,18,8
455,12,9,7
456,12,14,4
457,12,12,15
458,12,2,16
459,12,13,2
460,12,14,4
461,12,11,14
462,12,11,14
463,12,13,2
464,12,9,7
465,12,4,11
466,12,16,18
467,12,14,4
468,12,11,14
469,12,2,16
470,12,10,13
471,12,6,19
472,12,18,8
473,12,16,18
474,12,5,9
475,12,16,18
476,12,16,18
477,12,17,5
478,12,14,4
