cell_id,true_label,pred_label_raw,pred_label_aligned
0,13,16,18
1,13,18,10
2,13,16,18
3,13,18,10
4,13,18,10
5,13,18,10
6,13,18,10
7,13,18,10
8,13,16,18
9,13,5,7
10,13,13,9
11,13,18,10
12,13,16,18
13,13,18,10
14,13,16,18
15,13,18,10
16,13,18,10
17,13,5,7
18,13,16,18
19,13,18,10
20,13,0,4
21,13,18,10
22,13,18,10
23,13,18,10
24,13,18,10
25,13,16,18
26,13,16,18
27,13,16,18
28,13,0,4
29,13,16,18
30,13,18,10
31,13,18,10
32,13,13,9
33,13,18,10
34,13,18,10
35,13,18,10
36,13,14,12
37,13,16,18
38,13,18,10
39,13,16,18
40,13,16,18
41,13,18,10
42,13,16,18
43,13,18,10
44,13,0,4
45,13,16,18
46,13,18,10
47,13,17,6
48,13,13,9
49,13,18,10
50,13,16,18
51,13,18,10
52,13,16,18
53,13,18,10
54,13,18,10
55,13,18,10
56,13,6,17
57,13,16,18
58,13,18,10
59,13,18,10
60,13,6,17
61,13,17,6
62,13,16,18
63,13,18,10
64,13,18,10
65,13,16,18
66,13,16,18
67,13,18,10
68,13,18,10
69,13,0,4
70,13,18,10
71,13,17,6
72,13,13,9
73,13,16,18
74,13,18,10
75,13,18,10
76,13,18,10
77,13,16,18
78,13,16,18
79,13,18,10
80,13,18,10
81,13,16,18
82,13,16,18
83,13,0,4
84,13,6,17
85,13,18,10
86,13,18,10
87,13,18,10
88,13,16,18
89,13,16,18
90,13,16,18
91,13,5,7
92,13,16,18
93,13,18,10
94,13,18,10
95,13,18,10
96,13,18,10
97,13,17,6
98,13,6,17
99,13,18,10
100,13,18,10
101,13,18,10
102,13,18,10
103,13,11,2
104,13,18,10
105,13,16,18
106,13,18,10
107,13,18,10
108,13,6,17
109,13,18,10
110,13,18,10
111,13,18,10
112,13,17,6
113,13,6,17
114,13,6,17
115,13,6,17
116,13,18,10
117,13,18,10
118,13,18,10
119,13,18,10
120,13,18,10
121,13,18,10
122,13,18,10
123,13,16,18
124,13,18,10
125,13,0,4
126,13,16,18
127,13,18,10
128,13,18,10
129,13,16,18
130,13,5,7
131,13,18,10
132,13,16,18
133,13,18,10
134,13,18,10
135,13,0,4
136,13,16,18
137,13,16,18
138,13,5,7
139,13,18,10
140,13,18,10
141,13,16,18
142,13,13,9
143,13,5,7
144,13,18,10
145,13,16,18
146,13,0,4
147,13,18,10
148,13,18,10
149,13,18,10
150,13,16,18
151,13,18,10
152,13,18,10
153,13,16,18
154,13,18,10
155,13,0,4
156,13,16,18
157,13,18,10
158,13,16,18
159,13,16,18
160,13,18,10
161,13,16,18
162,13,17,6
163,13,18,10
164,13,16,18
165,13,16,18
166,13,18,10
167,13,16,18
168,13,5,7
169,13,18,10
170,13,16,18
171,13,18,10
172,13,18,10
173,13,16,18
174,13,18,10
175,13,6,17
176,13,16,18
177,13,18,10
178,13,18,10
179,13,18,10
180,13,16,18
181,13,6,17
182,13,18,10
183,13,16,18
184,13,16,18
185,13,11,2
186,13,18,10
187,13,18,10
188,13,18,10
189,13,16,18
190,13,16,18
191,13,17,6
192,13,18,10
193,13,18,10
194,13,18,10
195,13,18,10
196,13,18,10
197,13,18,10
198,13,5,7
199,13,16,18
200,13,18,10
201,13,18,10
202,13,18,10
203,13,18,10
204,13,5,7
205,13,16,18
206,13,18,10
207,13,16,18
208,13,11,2
209,13,6,17
210,13,6,17
211,13,16,18
212,13,16,18
213,13,18,10
214,13,16,18
215,13,16,18
216,13,16,18
217,13,5,7
218,13,16,18
219,13,18,10
220,13,18,10
221,13,18,10
222,13,18,10
223,13,11,2
224,13,16,18
225,13,16,18
226,13,18,10
227,13,1,1
228,13,16,18
229,13,16,18
230,13,13,9
231,13,18,10
232,13,16,18
233,13,17,6
234,13,18,10
235,13,16,18
236,13,17,6
237,13,17,6
238,13,16,18
239,13,18,10
240,13,18,10
241,13,0,4
242,13,18,10
243,13,18,10
244,13,18,10
245,13,18,10
246,13,18,10
247,13,18,10
248,13,18,10
249,13,18,10
250,13,0,4
251,13,18,10
252,13,16,18
253,13,18,10
254,13,13,9
255,13,16,18
256,13,13,9
257,13,16,18
258,13,16,18
259,13,18,10
260,13,16,18
261,13,18,10
262,13,18,10
263,13,18,10
264,13,13,9
265,13,18,10
266,13,18,10
267,13,16,18
268,13,13,9
269,13,16,18
270,13,18,10
271,13,16,18
272,13,18,10
273,13,16,18
274,13,16,18
275,13,16,18
276,13,16,18
277,13,16,18
278,13,18,10
279,13,16,18
280,13,16,18
281,13,18,10
282,13,18,10
283,13,18,10
284,13,18,10
285,13,17,6
286,13,18,10
287,13,0,4
288,13,16,18
289,13,5,7
290,13,18,10
291,13,16,18
292,13,16,18
293,13,18,10
294,13,18,10
295,13,17,6
296,13,18,10
297,13,0,4
298,13,18,10
299,13,18,10
300,13,18,10
301,13,18,10
302,13,16,18
303,13,18,10
304,13,16,18
305,13,16,18
306,13,18,10
307,13,18,10
308,13,18,10
309,13,18,10
310,13,16,18
311,13,16,18
312,13,16,18
313,13,18,10
314,13,5,7
315,13,18,10
316,13,18,10
317,13,17,6
318,13,18,10
319,13,18,10
320,13,18,10
321,13,16,18
322,13,13,9
323,13,18,10
324,13,18,10
325,13,17,6
326,13,0,4
327,13,18,10
328,13,16,18
329,13,18,10
330,13,6,17
331,13,16,18
332,13,18,10
333,13,17,6
334,13,18,10
335,13,18,10
336,13,16,18
337,13,18,10
338,13,18,10
339,13,18,10
340,13,16,18
341,13,5,7
342,13,16,18
343,13,16,18
344,13,16,18
345,13,17,6
346,13,16,18
347,13,18,10
348,13,18,10
349,13,18,10
350,13,18,10
351,13,18,10
352,13,16,18
353,13,16,18
354,13,18,10
355,13,18,10
356,13,18,10
357,13,5,7
358,13,16,18
359,13,18,10
360,13,11,2
361,13,18,10
362,13,16,18
363,13,16,18
364,13,18,10
365,13,18,10
366,13,18,10
367,13,18,10
368,13,16,18
369,13,16,18
370,13,18,10
371,13,18,10
372,13,13,9
373,13,18,10
374,13,18,10
375,13,18,10
376,13,18,10
377,13,5,7
378,13,18,10
379,13,18,10
380,13,18,10
381,13,16,18
382,13,18,10
383,13,18,10
384,13,18,10
385,13,16,18
386,13,16,18
387,13,18,10
388,13,18,10
389,13,18,10
390,13,16,18
391,13,16,18
392,12,18,10
393,12,18,10
394,12,16,18
395,12,6,17
396,12,18,10
397,12,17,6
398,12,18,10
399,12,18,10
400,12,18,10
401,12,18,10
402,12,18,10
403,12,17,6
404,12,16,18
405,12,16,18
406,12,5,7
407,12,18,10
408,12,16,18
409,12,16,18
410,12,0,4
411,12,16,18
412,12,13,9
413,12,16,18
414,12,16,18
415,12,18,10
416,12,18,10
417,12,18,10
418,12,16,18
419,12,18,10
420,12,0,4
421,12,18,10
422,12,16,18
423,12,18,10
424,12,18,10
425,12,16,18
426,12,16,18
427,12,18,10
428,12,16,18
429,12,18,10
430,12,16,18
431,12,18,10
432,12,13,9
433,12,16,18
434,12,13,9
435,12,18,10
436,12,16,18
437,12,16,18
438,12,16,18
439,12,13,9
440,12,16,18
441,12,18,10
442,12,13,9
443,12,5,7
444,12,18,10
445,12,5,7
446,12,18,10
447,12,18,10
448,12,18,10
449,12,18,10
450,12,18,10
451,12,6,17
452,12,11,2
453,12,11,2
454,12,13,9
455,12,18,10
456,12,18,10
457,12,16,18
458,12,18,10
459,12,18,10
460,12,18,10
461,12,16,18
462,12,16,18
463,12,18,10
464,12,18,10
465,12,17,6
466,12,16,18
467,12,18,10
468,12,16,18
469,12,18,10
470,12,0,4
471,12,6,17
472,12,5,7
473,12,16,18
474,12,18,10
475,12,16,18
476,12,16,18
477,12,18,10
478,12,18,10
479,12,16,18
480,12,18,10
481,12,18,10
482,12,18,10
483,12,18,10
484,12,18,10
485,12,16,18
486,12,18,10
487,12,18,10
488,12,16,18
489,12,18,10
490,12,18,10
491,12,16,18
492,12,18,10
493,12,18,10
494,12,18,10
495,12,16,18
496,12,16,18
497,12,16,18
498,12,18,10
499,12,18,10
500,12,18,10
501,12,6,17
502,12,0,4
503,12,18,10
504,12,6,17
505,12,18,10
506,12,16,18
507,12,18,10
508,12,6,17
509,12,18,10
510,12,18,10
511,12,16,18
512,12,16,18
513,12,18,10
514,12,18,10
515,12,18,10
516,12,16,18
517,12,18,10
518,12,18,10
519,12,18,10
520,12,16,18
521,12,18,10
522,12,14,12
523,1,16,18
524,1,18,10
525,1,16,18
526,1,18,10
527,1,18,10
528,1,18,10
529,1,16,18
530,1,16,18
531,1,18,10
532,1,13,9
533,1,16,18
534,1,16,18
535,1,16,18
536,1,18,10
537,1,18,10
538,1,6,17
539,1,16,18
540,1,18,10
541,1,18,10
542,1,18,10
543,1,18,10
544,1,0,4
545,1,18,10
546,1,18,10
547,1,13,9
548,1,16,18
549,1,18,10
550,1,13,9
551,1,16,18
552,1,16,18
553,1,18,10
554,1,18,10
555,1,16,18
556,1,16,18
557,1,6,17
558,1,18,10
559,1,16,18
560,1,18,10
561,1,16,18
562,1,16,18
563,1,16,18
564,1,16,18
565,1,18,10
