cell_id,true_label,pred_label_raw,pred_label_aligned
0,8,0,8
1,7,2,7
2,6,6,0
3,7,2,7
4,7,1,4
5,8,8,3
6,6,4,6
7,6,4,6
8,6,1,4
9,7,2,7
10,7,2,7
11,7,2,7
12,5,1,4
13,8,4,6
14,7,2,7
15,7,2,7
16,6,1,4
17,1,4,6
18,6,4,6
19,6,4,6
20,6,4,6
21,2,3,2
22,7,4,6
23,6,4,6
24,6,7,1
25,6,6,0
26,6,4,6
27,1,4,6
28,6,4,6
29,6,4,6
30,6,4,6
31,8,0,8
32,6,4,6
33,6,6,0
34,6,4,6
35,6,4,6
36,6,4,6
37,6,4,6
38,6,1,4
39,6,4,6
40,6,4,6
41,6,4,6
42,6,4,6
43,6,4,6
44,6,4,6
45,8,4,6
46,7,2,7
47,6,4,6
48,6,4,6
49,6,4,6
50,6,4,6
51,6,4,6
52,6,4,6
53,6,1,4
54,6,4,6
55,2,3,2
56,6,4,6
57,7,2,7
58,6,4,6
59,6,4,6
60,5,5,5
61,2,3,2
62,6,4,6
63,6,4,6
64,6,4,6
65,6,4,6
66,6,4,6
67,6,4,6
68,6,4,6
69,6,4,6
70,8,0,8
71,6,1,4
72,7,2,7
73,6,4,6
74,6,4,6
75,6,1,4
76,6,4,6
77,6,4,6
78,6,4,6
79,6,4,6
80,7,7,1
81,6,4,6
82,1,4,6
83,6,4,6
84,6,4,6
85,8,1,4
86,6,1,4
87,6,4,6
88,5,5,5
89,8,4,6
90,7,4,6
91,6,4,6
92,6,4,6
93,6,4,6
94,5,7,1
95,5,5,5
96,7,2,7
97,6,4,6
98,8,0,8
99,7,6,0
100,6,4,6
101,6,4,6
102,6,4,6
103,7,2,7
104,6,4,6
105,6,4,6
106,5,7,1
107,0,6,0
108,6,4,6
109,8,8,3
110,2,3,2
111,6,4,6
112,6,4,6
113,6,4,6
114,7,4,6
115,6,4,6
116,6,4,6
117,5,4,6
118,8,4,6
119,6,4,6
120,6,1,4
121,7,2,7
122,6,4,6
123,6,4,6
124,6,1,4
125,6,4,6
126,6,4,6
127,6,1,4
128,7,6,0
129,6,4,6
130,8,0,8
131,6,4,6
132,8,0,8
133,6,4,6
134,6,4,6
135,6,4,6
136,6,4,6
137,8,4,6
138,6,1,4
139,7,2,7
140,7,2,7
141,6,4,6
142,6,4,6
143,6,4,6
144,6,1,4
145,6,4,6
146,6,4,6
147,6,1,4
148,6,4,6
149,6,4,6
150,6,4,6
151,5,4,6
152,6,4,6
153,6,4,6
154,5,5,5
155,6,4,6
156,6,4,6
157,6,4,6
158,8,1,4
159,6,4,6
160,7,2,7
161,7,2,7
162,6,4,6
163,8,0,8
164,7,2,7
165,7,2,7
166,1,1,4
167,8,0,8
168,6,4,6
169,6,4,6
170,6,4,6
171,6,4,6
172,6,4,6
173,6,4,6
174,6,1,4
175,5,5,5
176,6,4,6
177,6,7,1
178,1,4,6
179,7,2,7
180,6,4,6
181,6,4,6
182,8,0,8
183,5,5,5
184,4,6,0
185,6,4,6
186,5,3,2
187,7,2,7
188,6,4,6
189,6,4,6
190,6,4,6
191,6,6,0
192,6,1,4
193,8,0,8
194,6,4,6
195,6,4,6
196,6,1,4
197,8,0,8
198,6,1,4
199,6,4,6
200,1,4,6
201,1,3,2
202,6,4,6
203,7,1,4
204,6,4,6
205,6,4,6
206,6,4,6
207,1,4,6
208,7,2,7
209,6,4,6
210,1,3,2
211,6,4,6
212,6,1,4
213,8,0,8
214,5,5,5
215,6,4,6
216,6,4,6
217,6,4,6
218,6,1,4
219,6,4,6
220,6,4,6
221,2,4,6
222,6,1,4
223,2,7,1
224,7,2,7
225,5,4,6
226,6,4,6
227,6,4,6
228,6,4,6
229,4,4,6
230,6,1,4
231,6,4,6
232,8,0,8
233,6,1,4
234,6,4,6
235,2,4,6
236,6,4,6
237,2,3,2
238,7,2,7
239,1,3,2
240,6,4,6
241,6,4,6
242,6,4,6
243,8,1,4
244,6,4,6
245,8,0,8
246,6,4,6
247,6,4,6
248,1,4,6
249,6,4,6
250,6,1,4
251,6,4,6
252,6,4,6
253,1,1,4
254,6,4,6
255,6,4,6
256,6,4,6
257,6,4,6
258,6,4,6
259,6,4,6
260,2,1,4
261,1,4,6
262,2,4,6
263,7,4,6
264,6,1,4
265,6,1,4
266,6,4,6
267,6,4,6
268,6,6,0
269,6,4,6
270,2,3,2
271,6,4,6
272,6,4,6
273,5,4,6
274,6,4,6
275,5,5,5
276,8,4,6
277,8,0,8
278,6,4,6
279,6,4,6
280,7,2,7
281,6,1,4
282,6,4,6
283,6,4,6
284,1,4,6
285,6,4,6
286,6,4,6
287,6,4,6
288,6,1,4
289,6,4,6
290,6,1,4
291,6,7,1
292,6,4,6
293,6,1,4
294,6,4,6
295,6,1,4
296,6,4,6
297,7,2,7
298,8,0,8
299,6,4,6
300,6,4,6
301,5,4,6
302,8,0,8
303,6,4,6
304,6,7,1
305,6,4,6
306,6,1,4
307,7,2,7
308,6,4,6
309,6,6,0
310,6,4,6
311,6,4,6
312,7,2,7
313,1,4,6
314,1,4,6
315,7,2,7
316,6,4,6
317,6,4,6
318,6,4,6
319,6,4,6
320,8,1,4
321,6,4,6
322,6,4,6
323,7,2,7
324,6,4,6
325,6,4,6
326,2,3,2
327,8,4,6
328,6,1,4
329,5,4,6
330,6,4,6
331,2,3,2
332,1,4,6
333,6,4,6
334,5,5,5
335,2,3,2
336,6,4,6
337,5,4,6
338,6,4,6
339,6,1,4
340,8,0,8
341,1,4,6
342,6,4,6
343,6,4,6
344,6,7,1
345,2,4,6
346,6,4,6
347,6,4,6
348,8,4,6
349,6,4,6
350,6,1,4
351,6,4,6
352,8,0,8
353,5,4,6
354,6,1,4
355,6,4,6
356,6,4,6
357,8,4,6
358,6,1,4
359,6,4,6
360,1,4,6
361,6,4,6
362,6,4,6
363,6,4,6
364,6,4,6
365,6,4,6
366,2,3,2
367,6,4,6
368,6,4,6
369,8,1,4
370,6,4,6
371,6,4,6
372,6,4,6
373,6,4,6
374,6,4,6
375,6,4,6
376,6,4,6
377,6,1,4
378,7,2,7
379,1,7,1
380,6,4,6
381,6,1,4
382,6,4,6
383,6,4,6
384,6,1,4
385,8,1,4
386,6,1,4
387,6,4,6
388,6,4,6
389,6,4,6
390,7,4,6
391,6,4,6
392,6,4,6
393,6,4,6
394,6,4,6
395,6,4,6
396,7,2,7
397,6,4,6
398,6,4,6
399,6,4,6
400,8,7,1
401,5,5,5
402,7,2,7
403,6,4,6
404,6,4,6
405,6,4,6
406,7,2,7
407,6,4,6
408,8,0,8
409,6,4,6
410,6,4,6
411,2,3,2
412,8,4,6
413,6,1,4
414,5,5,5
415,1,3,2
416,6,4,6
417,8,4,6
418,6,4,6
419,7,2,7
420,6,6,0
421,6,4,6
422,6,4,6
423,6,4,6
424,6,1,4
425,2,3,2
426,6,4,6
427,6,4,6
428,6,3,2
429,6,4,6
430,2,4,6
431,6,4,6
432,6,4,6
433,1,4,6
434,7,2,7
435,6,4,6
436,6,4,6
437,6,4,6
438,6,4,6
439,7,2,7
440,8,1,4
441,6,4,6
442,6,4,6
443,8,0,8
444,6,1,4
445,1,3,2
446,6,4,6
447,2,4,6
448,6,4,6
449,6,4,6
450,6,4,6
451,8,4,6
452,5,7,1
453,5,4,6
454,6,1,4
455,6,1,4
456,6,1,4
457,5,7,1
458,6,4,6
459,6,4,6
460,6,1,4
461,6,4,6
462,8,0,8
463,1,4,6
464,6,1,4
465,6,4,6
466,6,4,6
467,6,4,6
468,6,4,6
469,8,1,4
470,4,2,7
471,6,4,6
472,6,4,6
473,6,1,4
