cell_id,true_label,pred_label_raw,pred_label_aligned
0,8,6,1
1,7,1,7
2,6,1,7
3,7,1,7
4,7,1,7
5,8,0,8
6,6,2,6
7,6,2,6
8,6,2,6
9,7,1,7
10,7,1,7
11,7,1,7
12,5,3,5
13,8,2,6
14,7,1,7
15,7,1,7
16,6,2,6
17,1,2,6
18,6,2,6
19,6,2,6
20,6,2,6
21,2,4,2
22,7,1,7
23,6,2,6
24,6,2,6
25,6,2,6
26,6,2,6
27,1,2,6
28,6,2,6
29,6,2,6
30,6,2,6
31,8,0,8
32,6,2,6
33,6,2,6
34,6,2,6
35,6,2,6
36,6,2,6
37,6,2,6
38,6,2,6
39,6,2,6
40,6,2,6
41,6,2,6
42,6,2,6
43,6,2,6
44,6,2,6
45,8,2,6
46,7,1,7
47,6,2,6
48,6,2,6
49,6,2,6
50,6,2,6
51,6,2,6
52,6,2,6
53,6,2,6
54,6,2,6
55,2,4,2
56,6,2,6
57,7,1,7
58,6,2,6
59,6,2,6
60,5,3,5
61,2,4,2
62,6,2,6
63,6,2,6
64,6,2,6
65,6,2,6
66,6,2,6
67,6,2,6
68,6,2,6
69,6,2,6
70,8,0,8
71,6,2,6
72,7,1,7
73,6,2,6
74,6,2,6
75,6,2,6
76,6,2,6
77,6,2,6
78,6,2,6
79,6,2,6
80,7,1,7
81,6,2,6
82,1,2,6
83,6,2,6
84,6,2,6
85,8,0,8
86,6,2,6
87,6,2,6
88,5,3,5
89,8,0,8
90,7,1,7
91,6,2,6
92,6,2,6
93,6,2,6
94,5,3,5
95,5,3,5
96,7,1,7
97,6,2,6
98,8,0,8
99,7,1,7
100,6,2,6
101,6,2,6
102,6,2,6
103,7,1,7
104,6,2,6
105,6,2,6
106,5,3,5
107,0,7,0
108,6,2,6
109,8,0,8
110,2,4,2
111,6,2,6
112,6,2,6
113,6,2,6
114,7,1,7
115,6,2,6
116,6,2,6
117,5,6,1
118,8,0,8
119,6,2,6
120,6,2,6
121,7,1,7
122,6,2,6
123,6,2,6
124,6,2,6
125,6,2,6
126,6,2,6
127,6,0,8
128,7,1,7
129,6,2,6
130,8,0,8
131,6,2,6
132,8,0,8
133,6,2,6
134,6,2,6
135,6,2,6
136,6,2,6
137,8,2,6
138,6,2,6
139,7,1,7
140,7,1,7
141,6,2,6
142,6,2,6
143,6,2,6
144,6,2,6
145,6,2,6
146,6,2,6
147,6,2,6
148,6,2,6
149,6,2,6
150,6,2,6
151,5,2,6
152,6,2,6
153,6,2,6
154,5,3,5
155,6,2,6
156,6,2,6
157,6,2,6
158,8,2,6
159,6,2,6
160,7,1,7
161,7,1,7
162,6,2,6
163,8,0,8
164,7,1,7
165,7,1,7
166,1,6,1
167,8,0,8
168,6,2,6
169,6,2,6
170,6,2,6
171,6,2,6
172,6,2,6
173,6,2,6
174,6,0,8
175,5,3,5
176,6,2,6
177,6,2,6
178,1,2,6
179,7,1,7
180,6,2,6
181,6,2,6
182,8,0,8
183,5,3,5
184,4,5,4
185,6,2,6
186,5,6,1
187,7,1,7
188,6,2,6
189,6,2,6
190,6,2,6
191,6,2,6
192,6,2,6
193,8,0,8
194,6,2,6
195,6,2,6
196,6,2,6
197,8,0,8
198,6,2,6
199,6,2,6
200,1,2,6
201,1,6,1
202,6,2,6
203,7,1,7
204,6,2,6
205,6,2,6
206,6,2,6
207,1,2,6
208,7,1,7
209,6,2,6
210,1,6,1
211,6,2,6
212,6,2,6
213,8,0,8
214,5,3,5
215,6,0,8
216,6,2,6
217,6,2,6
218,6,2,6
219,6,2,6
220,6,2,6
221,2,2,6
222,6,2,6
223,2,6,1
224,7,1,7
225,5,2,6
226,6,2,6
227,6,2,6
228,6,2,6
229,4,5,4
230,6,2,6
231,6,2,6
232,8,0,8
233,6,2,6
234,6,2,6
235,2,2,6
236,6,2,6
237,2,4,2
238,7,1,7
239,1,6,1
240,6,2,6
241,6,2,6
242,6,2,6
243,8,2,6
244,6,2,6
245,8,6,1
246,6,2,6
247,6,2,6
248,1,2,6
249,6,2,6
250,6,2,6
251,6,2,6
252,6,2,6
253,1,2,6
254,6,2,6
255,6,2,6
256,6,2,6
257,6,2,6
258,6,2,6
259,6,2,6
260,2,0,8
261,1,2,6
262,2,6,1
263,7,2,6
264,6,2,6
265,6,2,6
266,6,2,6
267,6,2,6
268,6,2,6
269,6,2,6
270,2,6,1
271,6,2,6
272,6,2,6
273,5,2,6
274,6,2,6
275,5,3,5
276,8,0,8
277,8,0,8
278,6,2,6
279,6,2,6
280,7,1,7
281,6,2,6
282,6,2,6
283,6,2,6
284,1,2,6
285,6,2,6
286,6,2,6
287,6,2,6
288,6,2,6
289,6,2,6
290,6,2,6
291,6,0,8
292,6,2,6
293,6,2,6
294,6,2,6
295,6,2,6
296,6,2,6
297,7,1,7
298,8,0,8
299,6,2,6
300,6,2,6
301,5,2,6
302,8,0,8
303,6,2,6
304,6,2,6
305,6,2,6
306,6,2,6
307,7,1,7
308,6,2,6
309,6,1,7
310,6,2,6
311,6,2,6
312,7,2,6
313,1,2,6
314,1,2,6
315,7,1,7
316,6,2,6
317,6,2,6
318,6,2,6
319,6,2,6
320,8,2,6
321,6,2,6
322,6,2,6
323,7,1,7
324,6,2,6
325,6,2,6
326,2,6,1
327,8,2,6
328,6,2,6
329,5,2,6
330,6,2,6
331,2,6,1
332,1,2,6
333,6,2,6
334,5,3,5
335,2,6,1
336,6,2,6
337,5,3,5
338,6,3,5
339,6,2,6
340,8,0,8
341,1,2,6
342,6,2,6
343,6,2,6
344,6,2,6
345,2,2,6
346,6,2,6
347,6,2,6
348,8,2,6
349,6,2,6
350,6,2,6
351,6,2,6
352,8,0,8
353,5,3,5
354,6,2,6
355,6,2,6
356,6,2,6
357,8,0,8
358,6,2,6
359,6,2,6
360,1,6,1
361,6,2,6
362,6,2,6
363,6,2,6
364,6,3,5
365,6,2,6
366,2,6,1
367,6,2,6
368,6,2,6
369,8,2,6
370,6,2,6
371,6,2,6
372,6,2,6
373,6,2,6
374,6,2,6
375,6,2,6
376,6,2,6
377,6,2,6
378,7,1,7
379,1,3,5
380,6,2,6
381,6,2,6
382,6,2,6
383,6,2,6
384,6,2,6
385,8,0,8
