cell_id,true_label,pred_label_raw,pred_label_aligned
0,8,1,8
1,7,0,6
2,6,0,6
3,7,0,6
4,7,0,6
5,8,1,8
6,6,0,6
7,6,0,6
8,6,0,6
9,7,0,6
10,7,0,6
11,7,0,6
12,5,3,5
13,8,1,8
14,7,0,6
15,7,0,6
16,6,0,6
17,1,0,6
18,6,0,6
19,6,0,6
20,6,0,6
21,2,2,2
22,7,0,6
23,6,0,6
24,6,0,6
25,6,1,8
26,6,1,8
27,1,0,6
28,6,0,6
29,6,0,6
30,6,0,6
31,8,1,8
32,6,0,6
33,6,0,6
34,6,0,6
35,6,1,8
36,6,0,6
37,6,1,8
38,6,1,8
39,6,0,6
40,6,0,6
41,6,0,6
42,6,1,8
43,6,0,6
44,6,0,6
45,8,1,8
46,7,0,6
47,6,1,8
48,6,0,6
49,6,1,8
50,6,0,6
51,6,0,6
52,6,0,6
53,6,0,6
54,6,0,6
55,2,1,8
56,6,0,6
57,7,0,6
58,6,0,6
59,6,0,6
60,5,3,5
61,2,2,2
62,6,0,6
63,6,0,6
64,6,0,6
65,6,3,5
66,6,2,2
67,6,0,6
68,6,0,6
69,6,0,6
70,8,1,8
71,6,2,2
72,7,0,6
73,6,0,6
74,6,0,6
75,6,0,6
76,6,1,8
77,6,8,7
78,6,1,8
79,6,2,2
80,7,0,6
81,6,0,6
82,1,0,6
83,6,0,6
84,6,0,6
85,8,1,8
86,6,0,6
87,6,0,6
88,5,3,5
89,8,1,8
90,7,0,6
91,6,0,6
92,6,0,6
93,6,0,6
94,5,3,5
95,5,3,5
96,7,0,6
97,6,0,6
98,8,1,8
99,7,0,6
100,6,0,6
101,6,0,6
102,6,0,6
103,7,0,6
104,6,2,2
105,6,0,6
106,5,3,5
107,0,7,0
108,6,0,6
109,8,1,8
110,2,2,2
111,6,1,8
112,6,0,6
113,6,2,2
114,7,0,6
115,6,1,8
116,6,1,8
117,5,3,5
118,8,1,8
119,6,0,6
120,6,1,8
121,7,0,6
122,6,1,8
123,6,0,6
124,6,0,6
125,6,1,8
126,6,0,6
127,6,1,8
128,7,0,6
129,6,0,6
130,8,1,8
131,6,0,6
132,8,1,8
133,6,0,6
134,6,0,6
135,6,0,6
136,6,0,6
137,8,0,6
138,6,0,6
139,7,0,6
140,7,0,6
141,6,1,8
142,6,0,6
143,6,0,6
144,6,1,8
145,6,0,6
146,6,1,8
147,6,1,8
148,6,0,6
149,6,0,6
