cell_id,true_label,pred_label_raw,pred_label_aligned
0,8,1,3
1,7,4,7
2,6,6,4
3,7,4,7
4,7,4,7
5,8,8,8
6,6,0,6
7,6,0,6
8,6,0,6
9,7,4,7
10,7,4,7
11,7,4,7
12,5,2,5
13,8,8,8
14,7,4,7
15,7,4,7
16,6,1,3
17,1,0,6
18,6,6,4
19,6,0,6
20,6,0,6
21,2,7,2
22,7,4,7
23,6,6,4
24,6,3,1
25,6,0,6
26,6,0,6
27,1,0,6
28,6,0,6
29,6,3,1
30,6,0,6
31,8,8,8
32,6,3,1
33,6,6,4
34,6,6,4
35,6,0,6
36,6,3,1
37,6,1,3
38,6,6,4
39,6,6,4
40,6,6,4
41,6,6,4
42,6,1,3
43,6,6,4
44,6,0,6
45,8,1,3
46,7,4,7
47,6,6,4
48,6,0,6
49,6,1,3
50,6,0,6
51,6,3,1
52,6,0,6
53,6,0,6
54,6,1,3
55,2,3,1
56,6,0,6
57,7,4,7
58,6,0,6
59,6,6,4
60,5,2,5
61,2,7,2
62,6,3,1
63,6,0,6
64,6,0,6
65,6,6,4
66,6,0,6
67,6,0,6
68,6,0,6
69,6,6,4
70,8,1,3
71,6,3,1
72,7,4,7
73,6,6,4
74,6,6,4
75,6,0,6
76,6,0,6
77,6,0,6
78,6,6,4
79,6,0,6
80,7,4,7
81,6,0,6
82,1,1,3
83,6,0,6
84,6,0,6
85,8,1,3
86,6,1,3
87,6,6,4
88,5,2,5
89,8,1,3
90,7,4,7
91,6,6,4
92,6,0,6
93,6,1,3
94,5,2,5
95,5,2,5
96,7,4,7
97,6,0,6
98,8,1,3
99,7,4,7
100,6,3,1
101,6,0,6
102,6,3,1
103,7,6,4
104,6,0,6
105,6,0,6
106,5,2,5
107,0,5,0
108,6,0,6
109,8,0,6
110,2,7,2
111,6,0,6
112,6,6,4
113,6,3,1
114,7,4,7
115,6,1,3
116,6,3,1
117,5,3,1
118,8,1,3
119,6,0,6
120,6,0,6
121,7,4,7
122,6,1,3
123,6,6,4
124,6,0,6
125,6,6,4
126,6,6,4
127,6,3,1
128,7,4,7
129,6,6,4
130,8,8,8
131,6,0,6
132,8,1,3
133,6,0,6
134,6,1,3
135,6,0,6
136,6,0,6
137,8,0,6
138,6,0,6
139,7,4,7
140,7,4,7
141,6,0,6
142,6,6,4
143,6,6,4
144,6,3,1
145,6,0,6
146,6,0,6
147,6,0,6
148,6,0,6
149,6,0,6
150,6,0,6
151,5,3,1
152,6,0,6
153,6,3,1
154,5,2,5
155,6,0,6
156,6,0,6
157,6,0,6
158,8,0,6
159,6,1,3
160,7,4,7
161,7,4,7
162,6,0,6
163,8,8,8
164,7,4,7
165,7,4,7
166,1,3,1
167,8,8,8
168,6,6,4
169,6,3,1
170,6,3,1
171,6,0,6
172,6,0,6
173,6,6,4
174,6,0,6
175,5,2,5
176,6,0,6
