cell_id,true_label,pred_label_raw,pred_label_aligned
0,8,2,6
1,7,1,4
2,6,2,6
3,7,2,6
4,7,2,6
5,8,2,6
6,6,2,6
7,6,3,2
8,6,3,2
9,7,2,6
10,7,2,6
11,7,2,6
12,5,3,2
13,8,2,6
14,7,2,6
15,7,2,6
16,6,2,6
17,1,5,0
18,6,2,6
19,6,2,6
20,6,2,6
21,2,2,6
22,7,3,2
23,6,2,6
24,6,2,6
25,6,2,6
26,6,2,6
27,1,2,6
28,6,2,6
29,6,2,6
30,6,2,6
31,8,2,6
32,6,2,6
33,6,2,6
34,6,2,6
35,6,2,6
36,6,2,6
37,6,2,6
38,6,2,6
39,6,2,6
40,6,2,6
41,6,7,8
42,6,2,6
43,6,2,6
44,6,2,6
45,8,2,6
46,7,2,6
47,6,3,2
48,6,5,0
49,6,2,6
50,6,2,6
51,6,2,6
52,6,2,6
53,6,2,6
54,6,2,6
55,2,1,4
56,6,2,6
57,7,2,6
58,6,2,6
59,6,2,6
60,5,2,6
61,2,2,6
62,6,2,6
63,6,2,6
64,6,3,2
65,6,2,6
66,6,3,2
67,6,2,6
68,6,2,6
69,6,2,6
70,8,2,6
71,6,2,6
72,7,2,6
73,6,2,6
74,6,3,2
75,6,3,2
76,6,3,2
77,6,3,2
78,6,2,6
79,6,2,6
80,7,2,6
81,6,2,6
82,1,2,6
83,6,2,6
84,6,2,6
85,8,3,2
86,6,3,2
87,6,2,6
88,5,3,2
89,8,2,6
90,7,2,6
91,6,1,4
92,6,2,6
93,6,2,6
94,5,2,6
95,5,2,6
96,7,2,6
97,6,2,6
98,8,2,6
99,7,2,6
100,6,2,6
101,6,2,6
102,6,2,6
103,7,2,6
104,6,2,6
105,6,3,2
106,5,2,6
107,0,5,0
108,6,3,2
109,8,2,6
110,2,0,1
111,6,2,6
112,6,2,6
113,6,2,6
114,7,2,6
115,6,2,6
116,6,7,8
117,5,2,6
118,8,3,2
119,6,2,6
120,6,2,6
121,7,3,2
122,6,2,6
123,6,2,6
124,6,2,6
125,6,2,6
126,6,2,6
127,6,2,6
128,7,2,6
129,6,2,6
130,8,2,6
131,6,0,1
132,8,2,6
133,6,2,6
134,6,2,6
135,6,2,6
136,6,2,6
137,8,2,6
138,6,2,6
139,7,2,6
140,7,2,6
141,6,2,6
142,6,2,6
143,6,2,6
144,6,2,6
145,6,2,6
146,6,2,6
147,6,2,6
148,6,2,6
149,6,2,6
150,6,3,2
151,5,2,6
152,6,2,6
153,6,2,6
154,5,2,6
155,6,2,6
156,6,2,6
157,6,2,6
158,8,2,6
159,6,2,6
160,7,8,7
161,7,2,6
162,6,2,6
163,8,7,8
164,7,2,6
165,7,2,6
166,1,2,6
167,8,3,2
168,6,3,2
169,6,2,6
170,6,3,2
171,6,2,6
172,6,2,6
173,6,2,6
174,6,2,6
175,5,7,8
176,6,2,6
177,6,2,6
178,1,5,0
179,7,2,6
180,6,2,6
181,6,2,6
182,8,3,2
183,5,2,6
184,4,2,6
185,6,2,6
186,5,2,6
187,7,2,6
188,6,3,2
189,6,2,6
190,6,2,6
191,6,2,6
192,6,2,6
193,8,2,6
194,6,2,6
195,6,2,6
196,6,2,6
197,8,2,6
198,6,2,6
199,6,2,6
200,1,2,6
201,1,2,6
202,6,2,6
203,7,2,6
204,6,2,6
205,6,2,6
206,6,2,6
207,1,2,6
208,7,2,6
209,6,2,6
210,1,2,6
211,6,2,6
212,6,2,6
213,8,2,6
214,5,2,6
215,6,3,2
216,6,2,6
217,6,2,6
218,6,2,6
219,6,2,6
220,6,2,6
221,2,3,2
222,6,2,6
223,2,2,6
224,7,2,6
225,5,2,6
226,6,2,6
227,6,2,6
228,6,2,6
229,4,2,6
230,6,2,6
231,6,2,6
232,8,7,8
233,6,2,6
234,6,2,6
235,2,2,6
236,6,2,6
237,2,2,6
238,7,2,6
239,1,2,6
240,6,2,6
241,6,2,6
242,6,2,6
243,8,2,6
244,6,2,6
245,8,2,6
246,6,2,6
247,6,2,6
248,1,2,6
249,6,2,6
250,6,2,6
251,6,1,4
252,6,2,6
253,1,2,6
254,6,2,6
255,6,2,6
256,6,2,6
257,6,2,6
258,6,3,2
259,6,3,2
260,2,2,6
261,1,2,6
262,2,0,1
263,7,2,6
264,6,2,6
265,6,2,6
266,6,2,6
267,6,2,6
268,6,2,6
269,6,3,2
270,2,2,6
271,6,7,8
272,6,1,4
273,5,7,8
274,6,2,6
275,5,6,5
276,8,2,6
277,8,2,6
278,6,2,6
279,6,2,6
280,7,2,6
281,6,2,6
282,6,2,6
283,6,2,6
284,1,2,6
285,6,2,6
286,6,2,6
287,6,2,6
288,6,3,2
289,6,2,6
290,6,2,6
291,6,2,6
292,6,2,6
293,6,2,6
294,6,3,2
295,6,2,6
296,6,2,6
297,7,2,6
298,8,2,6
299,6,2,6
300,6,2,6
301,5,2,6
302,8,2,6
303,6,2,6
304,6,2,6
305,6,2,6
306,6,1,4
307,7,2,6
308,6,2,6
309,6,2,6
310,6,2,6
311,6,2,6
312,7,2,6
313,1,2,6
314,1,2,6
315,7,1,4
316,6,2,6
317,6,2,6
318,6,3,2
319,6,2,6
320,8,2,6
321,6,2,6
322,6,2,6
323,7,2,6
324,6,2,6
325,6,2,6
326,2,0,1
327,8,2,6
328,6,1,4
329,5,2,6
330,6,2,6
331,2,0,1
332,1,2,6
333,6,2,6
334,5,2,6
335,2,2,6
336,6,2,6
337,5,2,6
338,6,2,6
339,6,2,6
340,8,2,6
341,1,5,0
342,6,3,2
343,6,2,6
344,6,3,2
345,2,2,6
346,6,2,6
347,6,2,6
348,8,2,6
349,6,2,6
350,6,2,6
351,6,2,6
352,8,2,6
353,5,2,6
354,6,2,6
355,6,2,6
356,6,2,6
357,8,2,6
358,6,3,2
359,6,2,6
360,1,5,0
361,6,2,6
362,6,2,6
363,6,2,6
364,6,2,6
365,6,2,6
366,2,2,6
367,6,2,6
368,6,2,6
369,8,2,6
370,6,2,6
371,6,2,6
372,6,2,6
373,6,2,6
374,6,2,6
375,6,2,6
376,6,3,2
377,6,2,6
378,7,2,6
379,1,2,6
380,6,2,6
381,6,2,6
382,6,3,2
383,6,2,6
384,6,2,6
385,8,2,6
386,6,2,6
387,6,2,6
388,6,3,2
389,6,2,6
390,7,8,7
391,6,2,6
392,6,2,6
393,6,2,6
394,6,2,6
395,6,2,6
396,7,2,6
397,6,2,6
398,6,2,6
399,6,3,2
400,8,2,6
401,5,6,5
402,7,2,6
403,6,2,6
404,6,2,6
405,6,2,6
406,7,2,6
407,6,2,6
408,8,2,6
409,6,1,4
410,6,2,6
411,2,2,6
412,8,2,6
413,6,2,6
414,5,2,6
415,1,2,6
416,6,2,6
417,8,2,6
418,6,2,6
419,7,2,6
420,6,2,6
421,6,2,6
422,6,2,6
423,6,2,6
424,6,2,6
425,2,2,6
426,6,3,2
427,6,2,6
428,6,2,6
429,6,2,6
430,2,2,6
431,6,2,6
432,6,2,6
433,1,2,6
434,7,2,6
435,6,2,6
436,6,2,6
437,6,2,6
438,6,2,6
439,7,2,6
440,8,2,6
441,6,2,6
442,6,2,6
443,8,2,6
444,6,2,6
445,1,2,6
446,6,2,6
447,2,2,6
448,6,2,6
449,6,2,6
450,6,2,6
451,8,2,6
452,5,2,6
453,5,2,6
454,6,2,6
455,6,2,6
456,6,2,6
457,5,2,6
458,6,2,6
459,6,2,6
460,6,2,6
461,6,2,6
462,8,2,6
463,1,2,6
464,6,2,6
465,6,2,6
466,6,2,6
467,6,2,6
468,6,2,6
469,8,2,6
470,4,2,6
471,6,2,6
472,6,2,6
473,6,2,6
474,8,2,6
475,6,2,6
476,6,2,6
477,5,2,6
478,6,3,2
479,8,2,6
480,6,2,6
481,6,2,6
482,5,2,6
483,6,2,6
484,6,2,6
485,6,2,6
486,6,2,6
487,6,2,6
488,6,2,6
489,6,1,4
490,1,3,2
491,6,2,6
492,6,2,6
493,6,2,6
494,6,2,6
495,6,2,6
496,8,2,6
497,2,4,3
498,6,2,6
499,6,2,6
500,6,2,6
501,6,2,6
502,6,2,6
503,6,2,6
504,1,2,6
505,6,2,6
506,2,2,6
507,6,2,6
508,5,2,6
509,6,2,6
510,6,2,6
511,8,2,6
512,6,2,6
513,6,2,6
514,6,2,6
515,6,2,6
516,6,2,6
517,6,2,6
518,6,2,6
519,5,2,6
520,6,2,6
521,6,3,2
