cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,1,4
1,3,4,3
2,3,0,2
3,0,3,0
4,0,3,0
5,1,2,1
6,2,2,1
7,4,1,4
8,4,3,0
9,4,1,4
10,4,1,4
11,4,1,4
12,4,1,4
13,4,1,4
14,4,1,4
15,4,1,4
16,4,1,4
17,4,1,4
18,3,0,2
19,0,3,0
20,4,1,4
21,4,1,4
22,4,1,4
23,4,3,0
24,4,1,4
25,4,1,4
26,4,1,4
27,3,0,2
28,4,1,4
29,3,4,3
30,3,4,3
31,4,4,3
32,3,0,2
33,3,0,2
34,3,4,3
35,0,3,0
36,0,3,0
37,4,1,4
38,4,1,4
39,4,1,4
40,3,0,2
41,3,4,3
42,3,0,2
43,0,3,0
44,2,2,1
45,0,3,0
46,4,1,4
47,1,2,1
48,4,1,4
49,4,1,4
50,4,1,4
51,4,1,4
52,4,1,4
53,3,4,3
54,0,3,0
55,0,3,0
56,1,2,1
57,4,1,4
58,4,1,4
59,4,1,4
60,4,1,4
61,4,1,4
62,4,1,4
63,4,1,4
64,4,1,4
65,4,1,4
66,4,1,4
67,4,1,4
68,4,1,4
69,3,0,2
70,3,0,2
71,3,4,3
72,3,0,2
73,4,1,4
74,4,1,4
75,4,1,4
76,4,1,4
77,4,1,4
78,4,1,4
79,4,1,4
80,3,4,3
81,3,0,2
82,3,4,3
83,3,0,2
84,3,0,2
85,0,3,0
86,3,4,3
87,3,0,2
88,0,3,0
89,0,3,0
90,2,2,1
91,1,2,1
92,4,1,4
93,4,1,4
94,4,1,4
95,4,4,3
96,3,0,2
97,3,0,2
98,0,3,0
99,1,2,1
100,1,2,1
101,1,2,1
102,4,1,4
103,4,1,4
104,4,1,4
105,4,1,4
106,4,1,4
107,4,1,4
108,3,4,3
109,0,3,0
110,2,2,1
111,1,2,1
112,4,1,4
113,4,1,4
114,4,1,4
115,4,1,4
116,4,1,4
117,4,1,4
118,4,1,4
119,4,1,4
120,4,1,4
121,4,1,4
122,4,1,4
123,3,0,2
124,3,4,3
125,4,3,0
126,4,1,4
127,4,1,4
128,4,3,0
129,4,1,4
130,4,1,4
131,4,1,4
132,4,1,4
133,3,0,2
134,3,0,2
135,3,0,2
136,3,4,3
137,0,3,0
138,0,3,0
139,3,0,2
140,3,0,2
141,0,3,0
142,2,2,1
143,1,2,1
144,1,2,1
145,4,1,4
146,4,1,4
147,3,0,2
148,3,0,2
149,0,3,0
150,0,3,0
151,1,2,1
152,1,2,1
153,2,2,1
154,4,1,4
155,4,1,4
156,4,1,4
157,4,1,4
158,4,1,4
159,4,1,4
160,4,1,4
161,3,0,2
162,0,3,0
163,2,2,1
164,1,2,1
165,4,1,4
166,4,1,4
167,4,1,4
168,4,1,4
169,4,1,4
170,4,1,4
171,4,1,4
172,4,1,4
173,4,1,4
174,4,1,4
175,4,1,4
176,3,0,2
177,4,1,4
178,4,1,4
179,4,1,4
180,4,1,4
181,4,1,4
182,4,1,4
183,4,1,4
184,4,1,4
185,3,4,3
186,3,0,2
187,3,0,2
188,0,3,0
189,0,3,0
190,3,0,2
191,3,4,3
192,0,3,0
193,0,3,0
194,2,2,1
195,1,2,1
196,2,2,1
197,4,1,4
198,4,1,4
199,4,1,4
200,3,4,3
201,3,4,3
202,0,3,0
203,0,3,0
204,2,2,1
205,2,2,1
206,4,3,0
207,4,1,4
208,4,1,4
209,4,1,4
210,4,1,4
211,4,1,4
212,0,3,0
213,0,3,0
214,1,2,1
215,4,1,4
216,4,1,4
217,4,1,4
218,4,1,4
219,4,1,4
220,4,1,4
221,4,1,4
222,4,1,4
223,4,1,4
224,4,1,4
225,4,1,4
226,3,0,2
227,3,0,2
228,4,1,4
229,4,1,4
230,4,1,4
231,4,3,0
232,4,1,4
233,4,1,4
234,4,1,4
235,4,1,4
236,4,3,0
237,3,0,2
238,3,0,2
239,3,0,2
240,0,3,0
241,0,3,0
242,3,0,2
243,3,0,2
244,0,3,0
245,0,3,0
246,2,2,1
247,1,2,1
248,3,2,1
249,4,1,4
250,4,1,4
251,3,0,2
252,3,0,2
253,0,3,0
254,0,3,0
255,2,2,1
256,2,2,1
257,4,1,4
258,4,1,4
259,4,1,4
260,4,1,4
261,4,1,4
262,4,1,4
263,4,1,4
264,4,1,4
265,4,1,4
266,4,1,4
267,0,3,0
268,1,2,1
269,1,2,1
270,4,1,4
271,4,1,4
272,4,1,4
273,4,1,4
274,4,1,4
275,4,1,4
276,4,1,4
277,4,1,4
278,3,0,2
279,4,1,4
280,4,1,4
281,4,1,4
282,3,0,2
283,3,0,2
284,3,4,3
285,0,3,0
286,1,2,1
287,3,0,2
288,4,1,4
289,0,3,0
290,0,3,0
291,4,1,4
292,3,0,2
293,3,0,2
294,3,4,3
295,4,1,4
296,4,4,3
297,4,3,0
298,4,1,4
299,4,1,4
300,4,1,4
301,0,3,0
302,4,1,4
303,4,1,4
304,4,1,4
305,1,2,1
306,4,1,4
307,3,0,2
308,1,2,1
309,4,1,4
310,4,3,0
311,4,1,4
312,3,0,2
313,0,3,0
314,2,2,1
315,1,2,1
316,3,0,2
317,3,1,4
318,0,3,0
319,4,1,4
320,4,1,4
321,4,1,4
322,4,1,4
323,4,1,4
324,4,1,4
325,4,1,4
326,4,1,4
327,4,1,4
328,4,1,4
329,4,1,4
330,4,1,4
331,4,1,4
332,4,1,4
333,4,1,4
334,4,1,4
335,4,1,4
336,4,1,4
337,4,1,4
338,4,1,4
339,4,1,4
340,4,1,4
341,4,1,4
342,4,1,4
343,4,1,4
344,4,1,4
345,4,1,4
346,4,1,4
347,4,1,4
348,4,4,3
349,4,1,4
350,4,1,4
351,4,1,4
352,4,1,4
353,4,1,4
354,4,1,4
355,4,1,4
356,4,1,4
357,4,1,4
358,4,1,4
359,4,1,4
360,3,4,3
361,4,1,4
362,4,1,4
363,4,3,0
364,4,1,4
365,4,1,4
366,4,1,4
367,4,1,4
368,4,1,4
369,4,1,4
370,4,1,4
371,4,1,4
372,4,1,4
373,3,4,3
374,3,4,3
375,1,2,1
376,3,4,3
377,3,4,3
378,0,3,0
379,1,2,1
380,3,4,3
381,3,4,3
382,3,4,3
383,3,4,3
384,3,4,3
385,1,2,1
386,3,4,3
387,3,4,3
388,3,4,3
389,3,4,3
390,0,3,0
391,1,3,0
392,3,4,3
393,3,4,3
394,1,2,1
395,1,2,1
396,1,3,0
397,3,4,3
398,3,4,3
399,3,4,3
400,3,4,3
401,3,4,3
402,1,2,1
403,2,2,1
404,3,4,3
405,1,2,1
406,3,4,3
407,3,4,3
408,2,2,1
409,3,4,3
410,3,4,3
411,3,4,3
412,3,4,3
413,3,4,3
414,3,4,3
415,1,2,1
416,2,2,1
417,1,2,1
418,3,4,3
419,1,2,1
420,3,4,3
421,3,4,3
422,0,3,0
423,1,2,1
424,1,2,1
425,3,4,3
426,3,4,3
427,0,3,0
428,1,2,1
429,2,2,1
430,1,3,0
431,3,4,3
432,3,4,3
433,0,3,0
434,1,2,1
435,1,2,1
436,3,4,3
437,3,4,3
438,3,4,3
439,1,2,1
440,3,4,3
441,3,4,3
442,3,4,3
443,1,2,1
444,1,3,0
445,3,4,3
446,3,4,3
447,4,1,4
448,4,1,4
449,4,1,4
450,4,1,4
451,4,1,4
452,4,1,4
453,3,4,3
454,3,0,2
455,3,4,3
456,3,0,2
457,4,1,4
458,4,1,4
459,4,1,4
460,3,4,3
461,3,0,2
462,3,0,2
463,3,4,3
464,3,0,2
465,4,1,4
466,4,1,4
467,4,1,4
468,3,0,2
469,3,0,2
470,3,4,3
471,3,0,2
472,3,0,2
473,3,4,3
474,4,1,4
475,4,1,4
476,4,1,4
477,3,0,2
478,3,0,2
479,4,1,4
480,4,1,4
481,4,1,4
482,3,0,2
483,3,4,3
484,3,4,3
485,3,4,3
486,4,1,4
487,4,1,4
488,4,1,4
489,4,1,4
490,4,1,4
491,4,1,4
492,3,4,3
493,3,4,3
494,3,0,2
495,4,1,4
496,3,0,2
497,3,4,3
498,3,0,2
499,4,1,4
500,4,1,4
501,4,1,4
502,4,1,4
503,4,1,4
504,3,0,2
505,3,4,3
506,0,3,0
507,4,1,4
508,3,0,2
509,3,4,3
510,0,3,0
511,4,1,4
512,4,1,4
513,4,1,4
514,4,1,4
515,4,1,4
516,3,4,3
517,1,2,1
518,3,4,3
519,4,1,4
520,4,1,4
521,4,1,4
522,3,0,2
523,3,1,4
524,2,2,1
525,4,1,4
526,4,1,4
527,4,1,4
528,3,0,2
529,3,4,3
530,4,1,4
531,4,1,4
532,4,1,4
533,3,4,3
534,3,0,2
535,4,1,4
536,3,4,3
537,3,4,3
538,4,1,4
539,3,0,2
540,3,4,3
541,4,1,4
542,4,1,4
543,4,1,4
544,3,4,3
545,4,1,4
546,4,1,4
547,4,3,0
548,3,4,3
549,3,0,2
550,4,1,4
551,4,1,4
552,3,4,3
553,3,0,2
554,4,1,4
555,4,1,4
556,4,1,4
557,4,1,4
558,3,4,3
559,3,4,3
560,3,4,3
561,4,1,4
562,3,4,3
563,4,1,4
564,3,4,3
565,4,1,4
566,4,1,4
567,3,4,3
568,3,0,2
569,3,4,3
570,4,1,4
571,4,1,4
572,4,1,4
573,3,4,3
574,3,4,3
575,3,4,3
576,4,1,4
577,4,1,4
578,3,4,3
579,4,1,4
580,3,4,3
581,3,4,3
582,1,2,1
583,1,2,1
584,1,2,1
585,1,2,1
586,1,2,1
587,1,2,1
588,2,3,0
589,1,2,1
590,1,2,1
591,1,2,1
592,2,2,1
593,2,2,1
594,2,3,0
595,2,2,1
596,2,2,1
597,1,2,1
598,1,2,1
599,1,2,1
600,1,2,1
601,1,2,1
602,1,2,1
603,1,2,1
604,4,1,4
605,4,1,4
606,4,1,4
607,4,1,4
608,4,1,4
609,4,1,4
610,4,1,4
611,4,1,4
612,4,1,4
613,4,1,4
614,4,1,4
615,4,1,4
616,3,4,3
617,3,4,3
618,3,4,3
619,3,4,3
620,4,1,4
621,4,1,4
622,4,1,4
623,4,1,4
624,4,1,4
625,4,3,0
626,3,4,3
627,3,4,3
628,3,4,3
629,3,4,3
630,3,4,3
631,4,1,4
632,4,1,4
633,4,1,4
634,4,1,4
635,3,4,3
636,3,4,3
637,3,4,3
638,4,1,4
639,4,1,4
640,4,1,4
641,4,1,4
642,4,1,4
643,4,1,4
644,4,1,4
645,4,3,0
646,3,1,4
647,3,4,3
648,3,4,3
649,4,1,4
650,4,1,4
651,4,1,4
652,4,1,4
653,4,1,4
654,4,1,4
655,3,4,3
656,3,4,3
657,3,4,3
658,4,1,4
659,4,1,4
660,4,1,4
661,4,1,4
662,3,4,3
663,3,4,3
664,4,1,4
665,4,1,4
666,3,4,3
667,4,1,4
668,4,1,4
669,4,1,4
670,3,4,3
671,3,4,3
672,4,1,4
673,4,1,4
674,4,1,4
675,3,4,3
676,3,4,3
677,3,4,3
678,3,4,3
679,4,1,4
680,4,1,4
681,4,1,4
682,4,1,4
683,4,1,4
684,4,1,4
685,4,1,4
686,4,1,4
687,3,4,3
688,3,4,3
689,3,4,3
690,4,1,4
691,4,1,4
692,4,1,4
693,4,1,4
694,4,1,4
695,4,1,4
696,4,4,3
697,4,1,4
698,4,3,0
699,4,1,4
700,4,1,4
701,4,1,4
702,4,1,4
703,4,3,0
704,4,1,4
705,3,4,3
706,3,4,3
707,4,1,4
708,3,4,3
709,3,4,3
710,4,1,4
711,4,1,4
712,4,1,4
713,4,1,4
714,3,4,3
715,3,4,3
716,4,1,4
717,4,1,4
718,3,4,3
719,3,4,3
720,4,1,4
721,4,1,4
722,4,1,4
723,4,1,4
724,4,1,4
725,4,1,4
726,4,1,4
727,4,1,4
728,4,3,0
729,4,1,4
730,4,1,4
731,4,1,4
732,4,4,3
733,4,1,4
734,4,1,4
735,4,1,4
736,3,4,3
737,3,4,3
738,4,1,4
739,3,4,3
740,4,1,4
741,4,1,4
742,3,4,3
743,3,4,3
744,4,1,4
745,4,1,4
746,4,1,4
747,4,1,4
748,3,4,3
749,3,4,3
750,3,4,3
751,4,1,4
752,4,1,4
753,4,1,4
754,4,1,4
755,4,1,4
756,4,1,4
757,4,1,4
758,4,1,4
759,4,1,4
760,4,1,4
761,3,4,3
762,3,4,3
763,4,1,4
764,4,1,4
765,4,1,4
766,4,1,4
767,4,1,4
768,4,1,4
769,4,1,4
770,3,4,3
771,3,4,3
772,4,1,4
773,4,1,4
774,4,1,4
775,4,1,4
776,4,1,4
777,4,1,4
778,3,4,3
779,4,1,4
780,4,1,4
781,3,4,3
782,3,4,3
783,4,3,0
784,4,1,4
785,4,1,4
786,4,1,4
787,4,1,4
788,4,1,4
789,4,1,4
790,3,4,3
791,3,4,3
792,3,4,3
793,4,1,4
794,4,1,4
795,4,1,4
796,3,4,3
797,3,4,3
798,3,4,3
799,4,1,4
800,4,1,4
801,3,4,3
802,3,4,3
803,3,4,3
804,0,3,0
805,0,3,0
806,1,2,1
807,4,1,4
808,4,1,4
809,4,1,4
810,4,1,4
811,4,1,4
812,4,1,4
813,0,3,0
814,0,3,0
815,0,3,0
816,0,3,0
817,1,2,1
818,0,3,0
819,0,3,0
820,1,2,1
821,0,3,0
822,0,3,0
823,0,3,0
824,0,3,0
825,1,2,1
826,0,3,0
827,0,3,0
828,0,3,0
829,2,2,1
830,0,3,0
831,2,2,1
832,2,2,1
833,0,3,0
834,1,2,1
835,1,2,1
836,0,3,0
837,2,2,1
838,1,2,1
839,0,3,0
840,1,2,1
841,0,3,0
842,1,2,1
843,1,2,1
844,0,3,0
845,1,2,1
846,1,2,1
847,0,3,0
848,2,2,1
849,1,2,1
850,0,3,0
851,1,2,1
852,1,2,1
853,3,4,3
854,0,3,0
855,3,4,3
