cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,3,3,3
2,3,3,3
3,0,2,0
4,0,2,0
5,1,1,1
6,2,1,1
7,4,0,4
8,4,0,4
9,4,0,4
10,4,0,4
11,4,0,4
12,4,0,4
13,4,0,4
14,4,0,4
15,4,0,4
16,4,0,4
17,4,0,4
18,3,3,3
19,0,2,0
20,4,0,4
21,4,0,4
22,4,0,4
23,4,0,4
24,4,0,4
25,4,0,4
26,4,0,4
27,3,3,3
28,4,0,4
29,3,3,3
30,3,3,3
31,4,2,0
32,3,3,3
33,3,3,3
34,3,3,3
35,0,2,0
36,0,2,0
37,4,0,4
38,4,0,4
39,4,0,4
40,3,3,3
41,3,3,3
42,3,3,3
43,0,2,0
44,2,1,1
45,0,2,0
46,4,0,4
47,1,1,1
48,4,0,4
49,4,0,4
50,4,0,4
51,4,0,4
52,4,0,4
53,3,3,3
54,0,2,0
55,0,2,0
56,1,1,1
57,4,0,4
58,4,0,4
59,4,0,4
60,4,0,4
61,4,0,4
62,4,0,4
63,4,0,4
64,4,0,4
65,4,0,4
66,4,0,4
67,4,0,4
68,4,0,4
69,3,3,3
70,3,3,3
71,3,3,3
72,3,3,3
73,4,0,4
74,4,0,4
75,4,0,4
76,4,0,4
77,4,0,4
78,4,0,4
79,4,0,4
80,3,3,3
81,3,3,3
82,3,3,3
83,3,3,3
84,3,3,3
85,0,2,0
86,3,3,3
87,3,3,3
88,0,2,0
89,0,2,0
90,2,1,1
91,1,1,1
92,4,0,4
93,4,0,4
94,4,0,4
95,4,2,0
96,3,3,3
97,3,3,3
98,0,2,0
99,1,1,1
100,1,1,1
101,1,1,1
102,4,0,4
103,4,0,4
104,4,0,4
105,4,0,4
106,4,0,4
107,4,0,4
108,3,3,3
109,0,2,0
110,2,1,1
111,1,1,1
112,4,0,4
113,4,0,4
114,4,0,4
115,4,0,4
116,4,0,4
117,4,0,4
118,4,0,4
119,4,0,4
120,4,0,4
121,4,0,4
122,4,0,4
123,3,3,3
124,3,3,3
125,4,0,4
126,4,0,4
127,4,0,4
128,4,0,4
129,4,0,4
130,4,0,4
131,4,0,4
132,4,0,4
133,3,3,3
134,3,3,3
135,3,3,3
136,3,3,3
137,0,2,0
138,0,2,0
139,3,3,3
140,3,3,3
141,0,2,0
142,2,1,1
143,1,1,1
144,1,1,1
145,4,0,4
146,4,0,4
147,3,3,3
148,3,3,3
149,0,2,0
150,0,2,0
151,1,1,1
152,1,1,1
153,2,1,1
154,4,0,4
155,4,0,4
156,4,0,4
157,4,0,4
158,4,0,4
159,4,0,4
160,4,0,4
161,3,3,3
162,0,2,0
163,2,1,1
164,1,1,1
165,4,0,4
166,4,0,4
167,4,0,4
168,4,0,4
169,4,0,4
170,4,0,4
171,4,0,4
172,4,0,4
173,4,0,4
174,4,0,4
175,4,0,4
176,3,3,3
177,4,0,4
178,4,0,4
179,4,0,4
180,4,0,4
181,4,0,4
182,4,0,4
183,4,0,4
184,4,0,4
185,3,3,3
186,3,3,3
187,3,3,3
188,0,2,0
189,0,2,0
190,3,3,3
191,3,3,3
192,0,2,0
193,0,2,0
194,2,1,1
195,1,1,1
196,2,1,1
197,4,0,4
198,4,0,4
199,4,0,4
200,3,3,3
201,3,3,3
202,0,2,0
203,0,2,0
204,2,1,1
205,2,1,1
206,4,0,4
207,4,0,4
208,4,0,4
209,4,0,4
210,4,0,4
211,4,0,4
212,0,2,0
213,0,2,0
214,1,1,1
215,4,0,4
216,4,0,4
217,4,0,4
218,4,0,4
219,4,0,4
220,4,0,4
221,4,0,4
222,4,0,4
223,4,0,4
224,4,0,4
225,4,0,4
226,3,3,3
227,3,3,3
228,4,0,4
229,4,0,4
230,4,0,4
231,4,0,4
232,4,0,4
233,4,0,4
234,4,0,4
235,4,0,4
236,4,0,4
237,3,3,3
238,3,3,3
239,3,3,3
240,0,2,0
241,0,2,0
242,3,3,3
243,3,3,3
244,0,2,0
245,0,2,0
246,2,1,1
247,1,1,1
248,3,1,1
249,4,0,4
250,4,0,4
251,3,3,3
252,3,3,3
253,0,2,0
254,0,2,0
255,2,1,1
256,2,1,1
257,4,0,4
258,4,0,4
259,4,0,4
260,4,0,4
261,4,0,4
262,4,0,4
263,4,0,4
264,4,0,4
265,4,0,4
266,4,0,4
267,0,2,0
268,1,1,1
269,1,1,1
270,4,0,4
271,4,0,4
272,4,0,4
273,4,0,4
274,4,0,4
275,4,0,4
276,4,0,4
277,4,0,4
278,3,3,3
279,4,0,4
280,4,0,4
281,4,0,4
282,3,3,3
283,3,3,3
284,3,3,3
285,0,2,0
286,1,1,1
287,3,3,3
288,4,0,4
289,0,2,0
290,0,2,0
291,4,0,4
292,3,3,3
293,3,3,3
294,3,3,3
295,4,0,4
296,4,2,0
297,4,0,4
298,4,0,4
299,4,0,4
300,4,0,4
301,0,2,0
302,4,0,4
303,4,0,4
304,4,0,4
305,1,1,1
306,4,0,4
307,3,3,3
308,1,1,1
309,4,0,4
310,4,0,4
311,4,0,4
312,3,3,3
313,0,2,0
314,2,1,1
315,1,1,1
316,3,3,3
317,3,3,3
318,0,2,0
319,4,0,4
320,4,0,4
321,4,0,4
322,4,0,4
323,4,0,4
324,4,0,4
325,4,0,4
326,4,0,4
327,4,0,4
328,4,0,4
329,4,0,4
330,4,0,4
331,4,3,3
332,4,0,4
333,4,0,4
334,4,0,4
335,4,0,4
336,4,0,4
337,4,0,4
338,4,0,4
339,4,0,4
340,4,0,4
341,4,0,4
342,4,0,4
343,4,0,4
344,4,0,4
345,4,0,4
346,4,0,4
347,4,0,4
348,4,0,4
349,4,0,4
350,4,0,4
