cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,2,2
1,3,1,3
2,3,1,3
3,0,3,0
4,0,3,0
5,1,0,1
6,2,0,1
7,4,2,2
8,4,2,2
9,4,2,2
10,4,2,2
11,4,2,2
12,4,2,2
13,4,4,4
14,4,2,2
15,4,2,2
16,4,2,2
17,4,2,2
18,3,1,3
19,0,3,0
20,4,4,4
21,4,2,2
22,4,2,2
23,4,2,2
24,4,2,2
25,4,2,2
26,4,2,2
27,3,1,3
28,4,2,2
29,3,1,3
30,3,1,3
31,4,3,0
32,3,1,3
33,3,1,3
34,3,1,3
35,0,3,0
36,0,3,0
37,4,2,2
38,4,2,2
39,4,2,2
40,3,1,3
41,3,1,3
42,3,1,3
43,0,3,0
44,2,0,1
45,0,3,0
46,4,2,2
47,1,0,1
48,4,2,2
49,4,2,2
50,4,2,2
51,4,2,2
52,4,2,2
53,3,1,3
54,0,3,0
55,0,3,0
56,1,0,1
57,4,2,2
58,4,2,2
59,4,2,2
60,4,2,2
61,4,2,2
62,4,2,2
63,4,2,2
64,4,2,2
65,4,2,2
66,4,4,4
67,4,2,2
68,4,2,2
69,3,1,3
70,3,1,3
71,3,1,3
72,3,1,3
73,4,2,2
74,4,2,2
75,4,2,2
76,4,4,4
77,4,2,2
78,4,2,2
79,4,4,4
80,3,1,3
81,3,1,3
82,3,1,3
83,3,1,3
84,3,1,3
85,0,3,0
86,3,1,3
87,3,1,3
88,0,3,0
89,0,3,0
90,2,0,1
91,1,0,1
92,4,4,4
93,4,2,2
94,4,2,2
95,4,3,0
96,3,1,3
97,3,1,3
98,0,3,0
99,1,0,1
100,1,0,1
101,1,0,1
102,4,2,2
103,4,2,2
104,4,2,2
105,4,2,2
106,4,2,2
107,4,2,2
108,3,1,3
109,0,3,0
110,2,0,1
111,1,0,1
112,4,2,2
113,4,2,2
114,4,2,2
115,4,2,2
116,4,2,2
117,4,4,4
118,4,2,2
119,4,2,2
120,4,2,2
121,4,2,2
122,4,2,2
123,3,1,3
124,3,1,3
125,4,2,2
126,4,2,2
127,4,4,4
128,4,2,2
129,4,2,2
130,4,2,2
131,4,2,2
132,4,2,2
133,3,1,3
134,3,1,3
135,3,1,3
136,3,1,3
137,0,3,0
138,0,3,0
139,3,1,3
140,3,1,3
141,0,3,0
142,2,0,1
143,1,0,1
144,1,0,1
145,4,4,4
146,4,2,2
147,3,1,3
148,3,1,3
149,0,3,0
150,0,3,0
151,1,0,1
152,1,0,1
153,2,0,1
154,4,2,2
155,4,2,2
156,4,2,2
157,4,2,2
158,4,2,2
159,4,4,4
160,4,2,2
161,3,1,3
162,0,3,0
163,2,0,1
164,1,0,1
165,4,2,2
166,4,2,2
167,4,2,2
168,4,2,2
169,4,2,2
170,4,2,2
171,4,2,2
172,4,2,2
173,4,2,2
174,4,4,4
175,4,4,4
176,3,1,3
177,4,2,2
178,4,4,4
179,4,2,2
180,4,2,2
181,4,4,4
182,4,4,4
183,4,2,2
184,4,2,2
185,3,1,3
186,3,1,3
187,3,1,3
188,0,3,0
189,0,3,0
190,3,1,3
191,3,1,3
192,0,3,0
193,0,3,0
