cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,1,4
1,3,2,3
2,3,2,3
3,0,3,0
4,0,1,4
5,1,4,2
6,2,0,1
7,4,1,4
8,4,1,4
9,4,1,4
10,4,1,4
11,4,1,4
12,4,1,4
13,4,1,4
14,4,1,4
15,4,1,4
16,4,1,4
17,4,1,4
18,3,2,3
19,0,1,4
20,4,1,4
21,4,1,4
22,4,1,4
23,4,1,4
24,4,1,4
25,4,1,4
26,4,1,4
27,3,2,3
28,4,1,4
29,3,2,3
30,3,2,3
31,4,1,4
32,3,2,3
33,3,2,3
34,3,2,3
35,0,3,0
36,0,3,0
37,4,1,4
38,4,1,4
39,4,1,4
40,3,2,3
41,3,2,3
42,3,2,3
43,0,3,0
44,2,0,1
45,0,3,0
46,4,1,4
47,1,0,1
48,4,1,4
49,4,1,4
50,4,1,4
51,4,1,4
52,4,1,4
53,3,2,3
54,0,3,0
55,0,3,0
56,1,0,1
57,4,1,4
58,4,1,4
59,4,1,4
60,4,1,4
61,4,1,4
62,4,1,4
63,4,1,4
64,4,1,4
65,4,1,4
66,4,1,4
67,4,1,4
68,4,1,4
69,3,2,3
70,3,2,3
71,3,2,3
72,3,2,3
73,4,1,4
74,4,1,4
75,4,1,4
76,4,1,4
77,4,1,4
78,4,1,4
79,4,1,4
80,3,2,3
81,3,2,3
82,3,2,3
83,3,2,3
84,3,2,3
85,0,3,0
86,3,2,3
87,3,2,3
88,0,3,0
89,0,3,0
90,2,0,1
91,1,0,1
92,4,1,4
93,4,1,4
94,4,1,4
95,4,3,0
96,3,2,3
97,3,2,3
98,0,3,0
99,1,4,2
100,1,0,1
101,1,4,2
102,4,1,4
103,4,1,4
104,4,1,4
105,4,1,4
106,4,1,4
107,4,1,4
108,3,2,3
109,0,3,0
110,2,0,1
111,1,4,2
112,4,1,4
113,4,1,4
114,4,1,4
115,4,1,4
116,4,1,4
117,4,1,4
118,4,1,4
119,4,1,4
120,4,1,4
121,4,1,4
122,4,1,4
123,3,2,3
124,3,2,3
125,4,1,4
126,4,1,4
127,4,1,4
128,4,1,4
129,4,1,4
130,4,1,4
131,4,1,4
132,4,1,4
133,3,2,3
134,3,2,3
135,3,2,3
136,3,2,3
137,0,3,0
138,0,3,0
139,3,2,3
140,3,2,3
141,0,3,0
142,2,0,1
143,1,0,1
144,1,0,1
145,4,1,4
146,4,1,4
147,3,2,3
148,3,2,3
149,0,3,0
150,0,3,0
151,1,0,1
152,1,0,1
153,2,0,1
154,4,1,4
155,4,1,4
156,4,1,4
157,4,1,4
158,4,1,4
159,4,1,4
160,4,1,4
161,3,2,3
162,0,3,0
163,2,0,1
164,1,0,1
165,4,1,4
166,4,1,4
167,4,1,4
168,4,1,4
169,4,1,4
170,4,1,4
171,4,1,4
172,4,1,4
173,4,1,4
174,4,1,4
175,4,1,4
176,3,2,3
177,4,1,4
178,4,1,4
179,4,1,4
180,4,1,4
181,4,1,4
182,4,1,4
183,4,1,4
184,4,1,4
185,3,2,3
186,3,2,3
187,3,2,3
188,0,3,0
189,0,3,0
190,3,2,3
191,3,2,3
192,0,3,0
193,0,3,0
194,2,0,1
195,1,0,1
196,2,0,1
197,4,1,4
198,4,1,4
199,4,1,4
200,3,2,3
201,3,2,3
202,0,3,0
203,0,3,0
204,2,0,1
205,2,0,1
206,4,1,4
207,4,1,4
208,4,1,4
209,4,1,4
210,4,1,4
211,4,1,4
212,0,3,0
213,0,3,0
214,1,0,1
215,4,1,4
216,4,1,4
217,4,1,4
218,4,1,4
219,4,1,4
220,4,1,4
221,4,1,4
222,4,1,4
223,4,1,4
224,4,1,4
225,4,1,4
226,3,2,3
227,3,2,3
228,4,1,4
229,4,1,4
230,4,1,4
231,4,1,4
232,4,1,4
233,4,1,4
234,4,1,4
235,4,1,4
236,4,1,4
237,3,2,3
238,3,2,3
239,3,2,3
240,0,3,0
241,0,3,0
242,3,2,3
243,3,2,3
244,0,3,0
245,0,3,0
246,2,0,1
247,1,4,2
248,3,4,2
249,4,1,4
250,4,1,4
251,3,2,3
252,3,2,3
253,0,3,0
254,0,3,0
255,2,0,1
256,2,0,1
257,4,1,4
258,4,1,4
259,4,1,4
260,4,1,4
261,4,1,4
262,4,1,4
263,4,1,4
264,4,1,4
265,4,1,4
266,4,1,4
267,0,3,0
268,1,0,1
269,1,0,1
270,4,1,4
271,4,1,4
272,4,1,4
273,4,1,4
274,4,1,4
275,4,1,4
276,4,1,4
277,4,1,4
278,3,2,3
279,4,1,4
280,4,1,4
281,4,1,4
282,3,2,3
283,3,2,3
284,3,2,3
285,0,1,4
286,1,0,1
287,3,2,3
288,4,1,4
289,0,3,0
290,0,3,0
291,4,1,4
292,3,2,3
293,3,2,3
294,3,2,3
295,4,1,4
296,4,1,4
297,4,1,4
298,4,1,4
299,4,1,4
300,4,1,4
301,0,3,0
302,4,1,4
303,4,1,4
304,4,1,4
305,1,0,1
306,4,1,4
307,3,2,3
308,1,0,1
309,4,1,4
310,4,1,4
311,4,1,4
312,3,2,3
313,0,3,0
314,2,0,1
315,1,0,1
316,3,2,3
317,3,2,3
318,0,3,0
319,4,1,4
320,4,1,4
321,4,1,4
322,4,1,4
323,4,1,4
324,4,1,4
325,4,1,4
326,4,1,4
327,4,1,4
328,4,1,4
329,4,1,4
330,4,1,4
331,4,1,4
332,4,1,4
333,4,1,4
334,4,1,4
335,4,1,4
336,4,1,4
337,4,1,4
338,4,1,4
339,4,1,4
340,4,1,4
341,4,1,4
342,4,1,4
343,4,1,4
344,4,1,4
345,4,1,4
346,4,1,4
347,4,1,4
348,4,1,4
349,4,1,4
350,4,1,4
351,4,1,4
352,4,1,4
353,4,1,4
354,4,1,4
355,4,1,4
356,4,1,4
357,4,1,4
358,4,1,4
359,4,1,4
360,3,2,3
361,4,1,4
362,4,1,4
363,4,1,4
364,4,1,4
365,4,1,4
