cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,3,4
1,3,0,3
2,3,0,3
3,0,4,0
4,0,4,0
5,1,2,1
6,2,1,2
7,4,3,4
8,4,3,4
9,4,3,4
10,4,3,4
11,4,3,4
12,4,3,4
13,4,3,4
14,4,3,4
15,4,3,4
16,4,3,4
17,4,3,4
18,3,0,3
19,0,3,4
20,4,3,4
21,4,3,4
22,4,3,4
23,4,3,4
24,4,3,4
25,4,3,4
26,4,3,4
27,3,0,3
28,4,3,4
29,3,0,3
30,3,0,3
31,4,3,4
32,3,0,3
33,3,0,3
34,3,0,3
35,0,4,0
36,0,4,0
37,4,3,4
38,4,3,4
39,4,3,4
40,3,0,3
41,3,0,3
42,3,0,3
43,0,4,0
44,2,1,2
45,0,4,0
46,4,3,4
47,1,2,1
48,4,3,4
49,4,3,4
50,4,3,4
51,4,3,4
52,4,3,4
53,3,0,3
54,0,4,0
55,0,4,0
56,1,2,1
57,4,3,4
58,4,3,4
59,4,3,4
60,4,3,4
61,4,3,4
62,4,3,4
63,4,3,4
64,4,3,4
65,4,3,4
66,4,3,4
67,4,3,4
68,4,3,4
69,3,0,3
70,3,0,3
71,3,0,3
72,3,0,3
73,4,3,4
74,4,3,4
75,4,3,4
76,4,3,4
77,4,3,4
78,4,3,4
79,4,3,4
80,3,0,3
81,3,0,3
82,3,0,3
83,3,0,3
84,3,0,3
85,0,4,0
86,3,0,3
87,3,0,3
88,0,4,0
89,0,4,0
90,2,1,2
91,1,2,1
92,4,3,4
93,4,3,4
94,4,3,4
95,4,4,0
96,3,0,3
97,3,0,3
98,0,4,0
99,1,2,1
100,1,2,1
101,1,2,1
102,4,3,4
103,4,3,4
104,4,3,4
105,4,3,4
106,4,3,4
107,4,3,4
108,3,0,3
109,0,4,0
110,2,1,2
111,1,2,1
112,4,3,4
113,4,3,4
114,4,3,4
115,4,3,4
116,4,3,4
117,4,3,4
118,4,3,4
119,4,3,4
120,4,3,4
121,4,3,4
122,4,3,4
123,3,0,3
124,3,0,3
125,4,3,4
126,4,3,4
127,4,3,4
128,4,3,4
129,4,3,4
130,4,3,4
131,4,3,4
132,4,3,4
133,3,0,3
134,3,0,3
135,3,0,3
136,3,0,3
137,0,4,0
138,0,4,0
139,3,0,3
140,3,0,3
141,0,4,0
142,2,1,2
143,1,2,1
144,1,2,1
145,4,3,4
146,4,3,4
147,3,0,3
148,3,0,3
149,0,4,0
150,0,4,0
151,1,2,1
152,1,2,1
153,2,1,2
154,4,3,4
155,4,3,4
156,4,3,4
157,4,3,4
158,4,3,4
159,4,3,4
160,4,3,4
161,3,0,3
162,0,4,0
163,2,1,2
164,1,2,1
165,4,3,4
166,4,3,4
167,4,3,4
168,4,3,4
169,4,3,4
170,4,3,4
171,4,3,4
172,4,3,4
173,4,3,4
174,4,3,4
175,4,3,4
176,3,0,3
177,4,3,4
178,4,3,4
179,4,3,4
180,4,3,4
181,4,3,4
182,4,3,4
183,4,3,4
184,4,3,4
185,3,0,3
186,3,0,3
187,3,0,3
188,0,4,0
189,0,4,0
190,3,0,3
191,3,0,3
192,0,4,0
193,0,4,0
194,2,1,2
195,1,2,1
196,2,1,2
197,4,3,4
198,4,3,4
199,4,3,4
200,3,0,3
201,3,0,3
202,0,4,0
203,0,4,0
204,2,1,2
205,2,1,2
206,4,3,4
207,4,3,4
208,4,3,4
209,4,3,4
210,4,3,4
211,4,3,4
212,0,4,0
213,0,4,0
214,1,2,1
215,4,3,4
216,4,3,4
217,4,3,4
218,4,3,4
219,4,3,4
220,4,3,4
221,4,3,4
222,4,3,4
223,4,3,4
224,4,3,4
225,4,3,4
226,3,0,3
227,3,0,3
228,4,3,4
229,4,3,4
230,4,3,4
231,4,3,4
232,4,3,4
233,4,3,4
234,4,3,4
235,4,3,4
236,4,3,4
237,3,0,3
238,3,0,3
239,3,0,3
240,0,4,0
241,0,4,0
242,3,0,3
243,3,0,3
244,0,4,0
245,0,4,0
246,2,1,2
247,1,2,1
248,3,2,1
249,4,3,4
250,4,3,4
251,3,0,3
252,3,0,3
253,0,4,0
254,0,4,0
255,2,1,2
256,2,1,2
257,4,3,4
258,4,3,4
259,4,3,4
260,4,3,4
261,4,3,4
262,4,3,4
263,4,3,4
264,4,3,4
265,4,3,4
266,4,3,4
267,0,4,0
268,1,2,1
269,1,2,1
270,4,3,4
271,4,3,4
272,4,3,4
273,4,3,4
274,4,3,4
275,4,3,4
276,4,3,4
277,4,3,4
278,3,0,3
279,4,3,4
280,4,3,4
281,4,3,4
282,3,0,3
283,3,0,3
284,3,0,3
285,0,4,0
286,1,2,1
287,3,0,3
288,4,3,4
289,0,4,0
290,0,4,0
291,4,3,4
292,3,0,3
293,3,0,3
294,3,0,3
295,4,3,4
296,4,3,4
297,4,3,4
298,4,3,4
299,4,3,4
300,4,3,4
301,0,4,0
302,4,3,4
303,4,3,4
304,4,3,4
305,1,2,1
306,4,3,4
307,3,0,3
308,1,2,1
309,4,3,4
310,4,3,4
311,4,3,4
312,3,0,3
313,0,4,0
314,2,1,2
315,1,2,1
316,3,0,3
317,3,3,4
318,0,4,0
319,4,3,4
320,4,3,4
321,4,3,4
322,4,3,4
323,4,3,4
324,4,3,4
325,4,3,4
326,4,3,4
327,4,3,4
328,4,3,4
329,4,3,4
330,4,3,4
331,4,3,4
332,4,3,4
333,4,3,4
334,4,3,4
335,4,3,4
336,4,3,4
337,4,3,4
338,4,3,4
339,4,3,4
340,4,3,4
341,4,3,4
342,4,3,4
343,4,3,4
344,4,3,4
345,4,3,4
346,4,3,4
347,4,3,4
348,4,3,4
349,4,3,4
350,4,3,4
351,4,3,4
352,4,3,4
353,4,3,4
354,4,3,4
355,4,3,4
356,4,3,4
357,4,3,4
358,4,3,4
359,4,3,4
360,3,0,3
361,4,3,4
362,4,3,4
363,4,3,4
364,4,3,4
365,4,3,4
366,4,3,4
367,4,3,4
368,4,3,4
369,4,3,4
370,4,3,4
371,4,3,4
372,4,3,4
373,3,0,3
374,3,0,3
375,1,2,1
376,3,0,3
377,3,0,3
378,0,4,0
379,1,2,1
380,3,0,3
381,3,0,3
382,3,0,3
383,3,0,3
384,3,0,3
385,1,2,1
386,3,0,3
387,3,0,3
388,3,0,3
389,3,0,3
390,0,4,0
391,1,2,1
392,3,0,3
393,3,0,3
394,1,2,1
395,1,2,1
396,1,2,1
397,3,0,3
398,3,0,3
399,3,0,3
400,3,0,3
401,3,0,3
402,1,2,1
403,2,1,2
404,3,0,3
405,1,2,1
406,3,0,3
407,3,0,3
408,2,1,2
409,3,0,3
410,3,0,3
411,3,0,3
412,3,0,3
413,3,0,3
414,3,0,3
415,1,2,1
416,2,1,2
417,1,2,1
418,3,0,3
419,1,2,1
420,3,0,3
421,3,0,3
422,0,4,0
423,1,2,1
424,1,2,1
425,3,0,3
426,3,0,3
427,0,4,0
428,1,2,1
429,2,1,2
430,1,2,1
431,3,0,3
432,3,0,3
433,0,4,0
434,1,2,1
435,1,2,1
436,3,0,3
437,3,0,3
438,3,0,3
439,1,2,1
440,3,0,3
441,3,0,3
442,3,0,3
443,1,2,1
444,1,2,1
445,3,0,3
446,3,0,3
447,4,3,4
448,4,3,4
449,4,3,4
450,4,3,4
451,4,3,4
452,4,3,4
453,3,0,3
454,3,0,3
455,3,0,3
456,3,0,3
457,4,3,4
458,4,3,4
459,4,3,4
460,3,0,3
461,3,0,3
462,3,0,3
463,3,0,3
464,3,0,3
465,4,3,4
466,4,3,4
467,4,3,4
468,3,0,3
469,3,0,3
470,3,0,3
471,3,0,3
472,3,0,3
473,3,0,3
474,4,3,4
475,4,3,4
476,4,3,4
477,3,0,3
478,3,0,3
479,4,3,4
480,4,3,4
481,4,3,4
482,3,0,3
483,3,0,3
484,3,0,3
485,3,0,3
486,4,3,4
487,4,3,4
488,4,3,4
489,4,3,4
490,4,3,4
491,4,3,4
492,3,0,3
493,3,0,3
494,3,0,3
495,4,3,4
496,3,0,3
497,3,0,3
498,3,0,3
499,4,3,4
500,4,3,4
501,4,3,4
502,4,3,4
503,4,3,4
504,3,0,3
505,3,0,3
506,0,4,0
507,4,3,4
508,3,0,3
509,3,0,3
510,0,4,0
511,4,3,4
512,4,3,4
513,4,3,4
514,4,3,4
515,4,3,4
516,3,0,3
517,1,2,1
518,3,0,3
519,4,3,4
520,4,3,4
521,4,3,4
522,3,0,3
523,3,0,3
524,2,1,2
525,4,3,4
526,4,3,4
527,4,3,4
528,3,0,3
529,3,0,3
530,4,3,4
531,4,3,4
532,4,3,4
533,3,0,3
534,3,0,3
535,4,3,4
536,3,0,3
537,3,0,3
538,4,3,4
539,3,0,3
540,3,0,3
541,4,3,4
542,4,3,4
543,4,3,4
544,3,0,3
545,4,3,4
546,4,3,4
547,4,3,4
548,3,0,3
549,3,0,3
550,4,3,4
551,4,3,4
552,3,0,3
553,3,0,3
554,4,3,4
555,4,3,4
556,4,3,4
557,4,3,4
558,3,0,3
559,3,0,3
560,3,0,3
561,4,3,4
562,3,0,3
563,4,3,4
