cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,3,1,3
2,3,1,3
3,0,4,0
4,0,4,0
5,1,3,1
6,2,2,2
7,4,0,4
8,4,0,4
9,4,0,4
10,4,0,4
11,4,0,4
12,4,0,4
13,4,0,4
14,4,0,4
15,4,0,4
16,4,0,4
17,4,0,4
18,3,1,3
19,0,0,4
20,4,0,4
21,4,0,4
22,4,0,4
23,4,0,4
24,4,0,4
25,4,0,4
26,4,0,4
27,3,1,3
28,4,0,4
29,3,1,3
30,3,1,3
31,4,0,4
32,3,1,3
33,3,1,3
34,3,1,3
35,0,4,0
36,0,4,0
37,4,0,4
38,4,0,4
39,4,0,4
40,3,1,3
41,3,1,3
42,3,1,3
43,0,4,0
44,2,2,2
45,0,4,0
46,4,0,4
47,1,3,1
48,4,0,4
49,4,0,4
50,4,0,4
51,4,0,4
52,4,0,4
53,3,1,3
54,0,4,0
55,0,4,0
56,1,3,1
57,4,0,4
58,4,0,4
59,4,0,4
60,4,0,4
61,4,0,4
62,4,0,4
63,4,0,4
64,4,0,4
65,4,0,4
66,4,0,4
67,4,0,4
68,4,0,4
69,3,1,3
70,3,1,3
71,3,1,3
72,3,1,3
73,4,0,4
74,4,0,4
75,4,0,4
76,4,0,4
77,4,0,4
78,4,0,4
79,4,0,4
80,3,1,3
81,3,1,3
82,3,1,3
83,3,1,3
84,3,1,3
85,0,4,0
86,3,1,3
87,3,1,3
88,0,4,0
89,0,4,0
90,2,2,2
91,1,3,1
92,4,0,4
93,4,0,4
94,4,0,4
95,4,4,0
96,3,1,3
97,3,1,3
98,0,4,0
99,1,3,1
100,1,3,1
101,1,2,2
102,4,0,4
103,4,0,4
104,4,0,4
105,4,0,4
106,4,0,4
107,4,0,4
108,3,1,3
109,0,4,0
110,2,2,2
111,1,3,1
112,4,0,4
113,4,0,4
114,4,0,4
115,4,0,4
116,4,0,4
117,4,0,4
118,4,0,4
119,4,0,4
120,4,0,4
121,4,0,4
122,4,0,4
123,3,1,3
124,3,1,3
125,4,0,4
126,4,0,4
127,4,0,4
128,4,0,4
129,4,0,4
130,4,0,4
131,4,0,4
132,4,0,4
133,3,1,3
134,3,1,3
135,3,1,3
136,3,1,3
137,0,4,0
138,0,4,0
139,3,1,3
140,3,1,3
141,0,4,0
142,2,2,2
143,1,3,1
144,1,3,1
145,4,0,4
146,4,0,4
147,3,1,3
148,3,1,3
149,0,4,0
150,0,4,0
151,1,3,1
152,1,3,1
153,2,2,2
154,4,0,4
155,4,0,4
156,4,0,4
157,4,0,4
158,4,0,4
159,4,0,4
160,4,0,4
161,3,1,3
162,0,4,0
163,2,2,2
164,1,3,1
165,4,0,4
166,4,0,4
167,4,0,4
168,4,0,4
169,4,0,4
170,4,0,4
171,4,0,4
172,4,0,4
173,4,0,4
174,4,0,4
175,4,0,4
176,3,1,3
177,4,0,4
178,4,0,4
179,4,0,4
180,4,0,4
181,4,0,4
182,4,0,4
183,4,0,4
184,4,0,4
185,3,1,3
186,3,1,3
187,3,1,3
188,0,4,0
189,0,4,0
190,3,1,3
191,3,1,3
192,0,4,0
193,0,4,0
194,2,2,2
195,1,3,1
196,2,2,2
197,4,0,4
198,4,0,4
199,4,0,4
200,3,1,3
201,3,1,3
202,0,4,0
203,0,4,0
204,2,2,2
205,2,2,2
206,4,0,4
207,4,0,4
208,4,0,4
209,4,0,4
210,4,0,4
211,4,0,4
212,0,4,0
213,0,4,0
214,1,3,1
215,4,0,4
216,4,0,4
217,4,0,4
218,4,0,4
219,4,0,4
220,4,0,4
221,4,0,4
222,4,0,4
223,4,0,4
224,4,0,4
225,4,0,4
226,3,1,3
227,3,1,3
228,4,0,4
229,4,0,4
230,4,0,4
231,4,0,4
232,4,0,4
233,4,0,4
234,4,0,4
235,4,0,4
236,4,0,4
237,3,1,3
238,3,1,3
239,3,1,3
240,0,4,0
241,0,4,0
242,3,1,3
243,3,1,3
244,0,4,0
245,0,4,0
246,2,2,2
247,1,3,1
248,3,3,1
249,4,0,4
250,4,0,4
251,3,1,3
252,3,1,3
253,0,4,0
254,0,4,0
255,2,2,2
256,2,2,2
257,4,0,4
258,4,0,4
259,4,0,4
260,4,0,4
261,4,0,4
262,4,0,4
263,4,0,4
264,4,0,4
265,4,0,4
266,4,0,4
267,0,4,0
268,1,3,1
269,1,3,1
270,4,0,4
271,4,0,4
272,4,0,4
273,4,0,4
274,4,0,4
275,4,0,4
276,4,0,4
277,4,0,4
278,3,1,3
279,4,0,4
280,4,0,4
281,4,0,4
282,3,1,3
283,3,1,3
284,3,1,3
285,0,0,4
286,1,3,1
287,3,1,3
288,4,0,4
289,0,4,0
290,0,4,0
291,4,0,4
292,3,1,3
293,3,1,3
294,3,1,3
295,4,0,4
296,4,0,4
297,4,0,4
298,4,0,4
299,4,0,4
300,4,0,4
301,0,4,0
302,4,0,4
303,4,0,4
304,4,0,4
305,1,3,1
306,4,0,4
307,3,1,3
308,1,3,1
309,4,0,4
310,4,0,4
311,4,0,4
312,3,1,3
313,0,4,0
314,2,2,2
315,1,3,1
316,3,1,3
317,3,0,4
318,0,4,0
319,4,0,4
320,4,0,4
321,4,0,4
322,4,0,4
323,4,0,4
324,4,0,4
325,4,0,4
326,4,0,4
327,4,0,4
328,4,0,4
329,4,0,4
330,4,0,4
331,4,0,4
332,4,0,4
333,4,0,4
334,4,0,4
335,4,0,4
336,4,0,4
337,4,0,4
338,4,0,4
339,4,0,4
340,4,0,4
341,4,0,4
342,4,0,4
343,4,0,4
344,4,0,4
345,4,0,4
346,4,0,4
347,4,0,4
348,4,0,4
349,4,0,4
350,4,0,4
351,4,0,4
352,4,0,4
353,4,0,4
354,4,0,4
355,4,0,4
356,4,0,4
357,4,0,4
358,4,0,4
359,4,0,4
360,3,1,3
361,4,0,4
362,4,0,4
363,4,0,4
364,4,0,4
365,4,0,4
366,4,0,4
367,4,0,4
368,4,0,4
369,4,0,4
370,4,0,4
371,4,0,4
372,4,0,4
373,3,1,3
374,3,1,3
375,1,3,1
376,3,1,3
377,3,1,3
378,0,4,0
379,1,3,1
380,3,1,3
381,3,1,3
382,3,1,3
383,3,1,3
384,3,1,3
385,1,3,1
386,3,1,3
387,3,1,3
388,3,1,3
389,3,1,3
390,0,4,0
391,1,3,1
392,3,1,3
393,3,1,3
394,1,3,1
395,1,3,1
396,1,3,1
397,3,1,3
398,3,1,3
399,3,1,3
400,3,1,3
401,3,1,3
402,1,3,1
403,2,2,2
404,3,1,3
405,1,3,1
406,3,1,3
407,3,1,3
408,2,2,2
409,3,1,3
410,3,1,3
411,3,1,3
412,3,1,3
413,3,1,3
414,3,1,3
415,1,3,1
416,2,2,2
417,1,3,1
418,3,1,3
419,1,3,1
420,3,1,3
421,3,1,3
422,0,4,0
423,1,3,1
424,1,3,1
425,3,1,3
426,3,1,3
427,0,4,0
428,1,3,1
429,2,2,2
430,1,3,1
431,3,1,3
432,3,1,3
433,0,4,0
434,1,3,1
435,1,3,1
436,3,1,3
437,3,1,3
438,3,1,3
439,1,3,1
440,3,1,3
441,3,1,3
442,3,1,3
443,1,3,1
444,1,3,1
445,3,1,3
446,3,1,3
447,4,0,4
448,4,0,4
449,4,0,4
450,4,0,4
451,4,0,4
452,4,0,4
453,3,1,3
454,3,1,3
455,3,1,3
456,3,1,3
457,4,0,4
458,4,0,4
459,4,0,4
460,3,1,3
461,3,0,4
462,3,1,3
463,3,1,3
464,3,1,3
465,4,0,4
466,4,0,4
467,4,0,4
468,3,1,3
469,3,1,3
470,3,1,3
471,3,1,3
472,3,1,3
473,3,1,3
474,4,0,4
475,4,0,4
476,4,0,4
477,3,1,3
478,3,1,3
479,4,0,4
480,4,0,4
481,4,0,4
482,3,1,3
483,3,1,3
484,3,1,3
485,3,1,3
486,4,0,4
487,4,0,4
488,4,0,4
489,4,0,4
490,4,0,4
491,4,0,4
492,3,1,3
493,3,1,3
494,3,1,3
495,4,0,4
496,3,1,3
497,3,1,3
498,3,1,3
499,4,0,4
500,4,0,4
501,4,0,4
502,4,0,4
503,4,0,4
504,3,1,3
505,3,1,3
506,0,4,0
507,4,0,4
508,3,1,3
509,3,1,3
510,0,4,0
511,4,0,4
512,4,0,4
513,4,0,4
514,4,0,4
515,4,0,4
516,3,1,3
517,1,3,1
518,3,1,3
519,4,0,4
520,4,0,4
521,4,0,4
522,3,1,3
523,3,1,3
524,2,2,2
525,4,0,4
526,4,0,4
527,4,0,4
528,3,1,3
529,3,1,3
530,4,0,4
531,4,0,4
532,4,0,4
533,3,1,3
534,3,1,3
535,4,0,4
536,3,1,3
537,3,1,3
538,4,0,4
539,3,1,3
540,3,1,3
541,4,0,4
542,4,0,4
543,4,0,4
544,3,1,3
545,4,0,4
546,4,0,4
547,4,0,4
548,3,1,3
549,3,1,3
550,4,0,4
551,4,0,4
552,3,1,3
553,3,1,3
554,4,0,4
555,4,0,4
556,4,0,4
557,4,0,4
558,3,1,3
559,3,1,3
560,3,1,3
561,4,0,4
562,3,1,3
563,4,0,4
564,3,1,3
565,4,0,4
566,4,0,4
567,3,1,3
568,3,1,3
569,3,1,3
570,4,0,4
571,4,0,4
572,4,0,4
573,3,1,3
574,3,1,3
575,3,1,3
576,4,0,4
577,4,0,4
578,3,1,3
579,4,0,4
580,3,1,3
581,3,1,3
582,1,3,1
583,1,3,1
584,1,3,1
585,1,3,1
586,1,3,1
587,1,3,1
588,2,2,2
589,1,3,1
590,1,3,1
591,1,3,1
592,2,2,2
593,2,2,2
594,2,2,2
595,2,2,2
596,2,2,2
597,1,3,1
598,1,3,1
599,1,3,1
600,1,3,1
601,1,3,1
602,1,3,1
603,1,3,1
604,4,0,4
605,4,0,4
606,4,0,4
607,4,0,4
608,4,0,4
609,4,0,4
610,4,0,4
611,4,0,4
612,4,0,4
613,4,0,4
614,4,0,4
615,4,0,4
616,3,0,4
617,3,1,3
618,3,1,3
619,3,1,3
620,4,0,4
621,4,0,4
622,4,0,4
623,4,0,4
624,4,0,4
625,4,0,4
626,3,1,3
627,3,1,3
628,3,1,3
629,3,1,3
630,3,1,3
631,4,0,4
632,4,0,4
633,4,0,4
634,4,0,4
635,3,1,3
636,3,1,3
637,3,1,3
638,4,0,4
639,4,0,4
640,4,0,4
641,4,0,4
642,4,0,4
643,4,0,4
644,4,0,4
645,4,0,4
646,3,0,4
647,3,1,3
648,3,1,3
649,4,0,4
650,4,0,4
651,4,0,4
652,4,0,4
653,4,0,4
654,4,0,4
655,3,1,3
656,3,1,3
657,3,1,3
658,4,0,4
659,4,0,4
660,4,0,4
661,4,0,4
662,3,1,3
663,3,1,3
664,4,0,4
665,4,0,4
666,3,1,3
667,4,0,4
668,4,0,4
669,4,0,4
670,3,1,3
671,3,1,3
672,4,0,4
673,4,0,4
674,4,0,4
675,3,1,3
676,3,1,3
677,3,1,3
678,3,1,3
679,4,0,4
680,4,0,4
681,4,0,4
682,4,0,4
683,4,0,4
684,4,0,4
685,4,0,4
686,4,0,4
687,3,1,3
688,3,1,3
689,3,3,1
690,4,0,4
691,4,0,4
692,4,0,4
693,4,0,4
694,4,0,4
695,4,0,4
696,4,0,4
697,4,0,4
698,4,0,4
699,4,0,4
700,4,0,4
701,4,0,4
702,4,0,4
703,4,0,4
704,4,0,4
705,3,1,3
706,3,1,3
707,4,0,4
708,3,1,3
709,3,1,3
710,4,0,4
711,4,0,4
712,4,0,4
713,4,0,4
714,3,1,3
715,3,1,3
716,4,0,4
717,4,0,4
718,3,1,3
719,3,1,3
720,4,0,4
