cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,5,1,5
2,2,3,2
3,5,1,5
4,5,1,5
5,5,1,5
6,0,4,0
7,4,0,4
8,5,1,5
9,5,1,5
10,5,1,5
11,5,1,5
12,4,0,4
13,2,6,4
14,4,0,4
15,5,1,5
16,2,3,2
17,4,0,4
18,5,1,5
19,2,3,2
20,4,0,4
21,5,2,1
22,0,4,0
23,0,4,0
24,4,0,4
25,5,1,5
26,5,1,5
27,2,3,2
28,5,1,5
29,2,3,2
30,5,3,2
31,5,1,5
32,0,4,0
33,4,6,4
34,5,1,5
35,4,6,4
36,5,1,5
37,3,5,3
38,5,1,5
39,2,3,2
40,5,2,1
41,5,1,5
42,2,3,2
43,5,1,5
44,5,1,5
45,0,4,0
46,5,1,5
47,5,1,5
48,1,4,0
49,5,1,5
50,5,1,5
51,5,1,5
52,4,0,4
53,5,1,5
54,5,1,5
55,2,3,2
56,5,1,5
57,5,1,5
58,4,0,4
59,5,1,5
60,5,3,2
61,2,3,2
62,5,1,5
63,4,6,4
64,5,1,5
65,2,3,2
66,5,3,2
67,4,0,4
68,5,1,5
69,0,4,0
70,5,1,5
71,2,3,2
72,5,1,5
73,0,4,0
74,5,2,1
75,5,1,5
76,5,2,1
77,5,2,1
78,5,2,1
79,4,0,4
80,5,2,1
81,5,2,1
82,4,6,4
83,5,2,1
84,5,2,1
85,5,2,1
86,4,6,4
87,5,2,1
88,5,2,1
89,5,1,5
90,5,2,1
91,4,6,4
92,5,2,1
93,5,2,1
94,4,6,4
95,5,2,1
96,5,2,1
97,5,2,1
98,5,1,5
99,5,2,1
100,5,1,5
101,5,2,1
102,5,2,1
103,5,2,1
104,5,2,1
105,4,6,4
106,5,2,1
107,4,6,4
108,5,1,5
109,5,2,1
110,4,3,2
111,5,2,1
112,5,2,1
113,4,6,4
114,5,2,1
115,5,2,1
116,5,2,1
117,5,2,1
118,2,6,4
119,5,2,1
120,4,0,4
121,5,2,1
122,5,2,1
123,5,2,1
124,4,6,4
125,5,2,1
126,4,6,4
127,5,2,1
128,2,3,2
129,0,4,0
130,2,3,2
131,0,4,0
132,2,3,2
133,2,3,2
134,2,3,2
135,2,3,2
136,0,4,0
137,0,4,0
138,1,4,0
139,1,4,0
140,4,6,4
141,4,6,4
142,4,6,4
143,3,5,3
144,4,6,4
145,1,4,0
146,2,3,2
147,1,4,0
148,2,3,2
149,2,3,2
150,1,4,0
151,0,4,0
152,2,3,2
153,0,4,0
154,2,3,2
155,1,4,0
156,0,4,0
157,2,3,2
158,2,3,2
159,1,4,0
160,0,4,0
161,2,3,2
162,3,5,3
163,5,2,1
164,5,2,1
165,5,2,1
166,5,2,1
167,5,2,1
168,4,6,4
169,4,6,4
170,4,6,4
171,5,1,5
172,5,2,1
173,2,3,2
174,5,2,1
175,5,2,1
176,2,3,2
177,0,4,0
178,5,2,1
179,4,6,4
180,4,6,4
181,4,6,4
182,2,3,2
183,2,3,2
184,5,2,1
185,5,2,1
186,5,2,1
187,5,2,1
188,1,4,0
189,5,2,1
190,5,2,1
191,5,2,1
192,5,2,1
193,5,2,1
194,5,2,1
195,1,4,0
196,5,2,1
197,5,2,1
198,5,2,1
199,5,2,1
200,5,2,1
201,5,2,1
202,5,2,1
203,5,2,1
204,5,2,1
205,4,6,4
206,4,0,4
207,4,6,4
208,2,3,2
209,2,3,2
210,4,6,4
211,4,6,4
212,2,3,2
213,2,3,2
214,1,4,0
215,0,4,0
216,1,4,0
217,5,2,1
218,5,2,1
219,4,6,4
220,4,6,4
221,4,0,4
222,2,3,2
223,2,3,2
224,0,4,0
225,5,2,1
226,5,2,1
227,5,2,1
228,5,2,1
229,4,6,4
230,5,2,1
231,5,2,1
232,5,2,1
233,5,2,1
234,5,2,1
235,2,3,2
236,0,4,0
237,5,2,1
238,5,2,1
239,5,2,1
240,5,2,1
241,5,2,1
242,5,2,1
243,5,2,1
244,5,2,1
245,5,2,1
246,5,2,1
247,5,2,1
248,5,2,1
249,5,3,2
250,4,6,4
251,4,6,4
252,2,3,2
253,4,6,4
254,5,2,1
255,5,2,1
256,5,2,1
257,5,2,1
258,5,2,1
259,5,2,1
260,5,2,1
261,4,6,4
262,4,6,4
263,4,6,4
264,2,3,2
265,2,3,2
266,0,4,0
267,4,6,4
268,2,3,2
269,2,3,2
270,3,5,3
271,5,2,1
272,5,2,1
273,4,6,4
274,4,6,4
275,2,3,2
276,2,3,2
277,1,4,0
278,5,2,1
279,5,2,1
280,5,2,1
281,5,2,1
282,2,2,1
283,5,2,1
284,5,2,1
285,5,2,1
286,5,2,1
287,5,2,1
288,5,2,1
289,5,2,1
290,0,4,0
291,5,2,1
292,5,2,1
293,5,2,1
294,5,2,1
295,5,2,1
296,5,2,1
297,5,2,1
298,4,6,4
299,4,6,4
300,4,6,4
301,5,2,1
302,4,6,4
303,2,3,2
304,0,4,0
305,5,2,1
306,5,2,1
307,5,2,1
308,5,2,1
309,5,2,1
310,4,6,4
311,4,6,4
312,4,6,4
313,2,3,2
314,2,3,2
315,1,4,0
316,0,4,0
317,1,4,0
318,1,4,0
319,5,2,1
320,5,2,1
321,4,6,4
322,4,6,4
323,4,6,4
324,2,3,2
325,1,4,0
326,0,4,0
327,5,2,1
328,5,2,1
329,5,2,1
330,5,2,1
331,5,2,1
332,5,2,1
333,5,2,1
334,5,2,1
335,4,6,4
336,5,2,1
337,5,2,1
338,5,2,1
339,1,4,0
340,5,2,1
341,5,2,1
342,5,2,1
343,5,2,1
344,5,2,1
345,5,2,1
346,5,2,1
347,5,2,1
348,2,3,2
349,4,6,4
350,4,6,4
351,5,2,1
352,4,0,4
353,4,6,4
354,4,6,4
355,4,6,4
356,2,3,2
357,1,4,0
358,4,6,4
359,5,2,1
360,5,2,1
361,5,2,1
362,5,2,1
363,4,0,4
364,4,6,4
365,4,0,4
366,4,6,4
367,2,3,2
