cell_id,true_label,pred_label_raw,pred_label_aligned
0,4.0,9,4.0
1,5.0,4,5.0
2,2.0,0,4.0
3,5.0,0,4.0
4,5.0,4,5.0
5,5.0,0,4.0
6,0.0,6,2.0
7,4.0,9,4.0
8,5.0,4,5.0
9,5.0,4,5.0
10,5.0,4,5.0
11,5.0,4,5.0
12,4.0,9,4.0
13,2.0,4,5.0
14,4.0,9,4.0
15,5.0,4,5.0
16,2.0,2,1.0
17,4.0,9,4.0
18,5.0,4,5.0
19,2.0,6,2.0
20,4.0,9,4.0
21,5.0,4,5.0
22,0.0,6,2.0
23,0.0,0,4.0
24,4.0,9,4.0
25,5.0,4,5.0
26,5.0,4,5.0
27,2.0,0,4.0
28,5.0,4,5.0
29,2.0,0,4.0
30,5.0,4,5.0
31,5.0,4,5.0
32,0.0,9,4.0
33,4.0,9,4.0
34,5.0,4,5.0
35,4.0,9,4.0
36,5.0,4,5.0
37,3.0,5,3.0
38,5.0,4,5.0
39,2.0,6,2.0
40,5.0,4,5.0
41,5.0,4,5.0
42,2.0,6,2.0
43,5.0,4,5.0
44,5.0,4,5.0
45,0.0,6,2.0
46,5.0,4,5.0
47,5.0,4,5.0
48,1.0,0,4.0
49,5.0,4,5.0
50,5.0,4,5.0
51,5.0,4,5.0
52,4.0,9,4.0
53,5.0,4,5.0
54,5.0,4,5.0
55,2.0,6,2.0
56,5.0,4,5.0
57,5.0,4,5.0
58,4.0,9,4.0
59,5.0,4,5.0
60,5.0,0,4.0
61,2.0,1,2.0
62,5.0,4,5.0
63,4.0,9,4.0
64,5.0,4,5.0
65,2.0,6,2.0
66,5.0,0,4.0
67,4.0,9,4.0
68,5.0,4,5.0
69,0.0,6,2.0
70,5.0,4,5.0
71,2.0,9,4.0
72,5.0,4,5.0
73,0.0,6,2.0
74,5.0,3,5.0
75,5.0,3,5.0
76,5.0,3,5.0
77,5.0,3,5.0
78,5.0,3,5.0
79,4.0,3,5.0
80,5.0,3,5.0
81,5.0,3,5.0
82,4.0,0,4.0
83,5.0,0,4.0
84,5.0,3,5.0
85,5.0,3,5.0
86,4.0,3,5.0
87,5.0,3,5.0
88,5.0,0,4.0
89,5.0,3,5.0
90,5.0,3,5.0
91,4.0,0,4.0
92,5.0,3,5.0
