cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,5,5,5
2,2,1,2
3,5,5,5
4,5,5,5
5,5,5,5
6,0,2,0
7,4,0,4
8,5,5,5
9,5,5,5
10,5,5,5
11,5,5,5
12,4,0,4
13,2,1,2
14,4,0,4
15,5,5,5
16,2,1,2
17,4,0,4
18,5,5,5
19,2,1,2
20,4,0,4
21,5,5,5
22,0,2,0
23,0,2,0
24,4,0,4
25,5,5,5
26,5,5,5
27,2,1,2
28,5,5,5
29,2,1,2
30,5,5,5
31,5,5,5
32,0,2,0
33,4,0,4
34,5,5,5
35,4,0,4
36,5,5,5
37,3,4,3
38,5,5,5
39,2,1,2
40,5,5,5
41,5,5,5
42,2,1,2
43,5,5,5
44,5,5,5
45,0,2,0
46,5,5,5
47,5,5,5
48,1,3,1
49,5,5,5
50,5,5,5
51,5,5,5
52,4,0,4
53,5,5,5
54,5,5,5
55,2,1,2
56,5,5,5
57,5,5,5
58,4,0,4
59,5,5,5
60,5,5,5
61,2,1,2
62,5,5,5
63,4,0,4
64,5,5,5
65,2,1,2
66,5,5,5
67,4,0,4
68,5,5,5
69,0,2,0
70,5,5,5
71,2,1,2
72,5,5,5
73,0,2,0
74,5,5,5
75,5,5,5
76,5,5,5
77,5,5,5
78,5,5,5
79,4,0,4
80,5,5,5
81,5,5,5
82,4,0,4
83,5,5,5
84,5,5,5
85,5,5,5
86,4,0,4
87,5,5,5
88,5,5,5
89,5,5,5
90,5,5,5
91,4,0,4
92,5,5,5
93,5,5,5
94,4,0,4
95,5,5,5
96,5,5,5
97,5,5,5
98,5,5,5
99,5,5,5
100,5,5,5
101,5,5,5
102,5,5,5
103,5,5,5
104,5,5,5
105,4,0,4
106,5,5,5
107,4,0,4
108,5,5,5
109,5,5,5
110,4,0,4
111,5,5,5
112,5,5,5
113,4,0,4
114,5,5,5
115,5,5,5
116,5,5,5
117,5,5,5
118,2,1,2
119,5,5,5
120,4,0,4
121,5,5,5
122,5,5,5
123,5,5,5
124,4,0,4
125,5,5,5
126,4,0,4
127,5,5,5
128,2,1,2
129,0,2,0
130,2,1,2
131,0,2,0
132,2,1,2
133,2,1,2
134,2,1,2
135,2,1,2
136,0,2,0
137,0,2,0
138,1,3,1
139,1,3,1
140,4,0,4
141,4,0,4
142,4,0,4
143,3,4,3
144,4,0,4
145,1,3,1
146,2,1,2
147,1,3,1
148,2,1,2
149,2,1,2
150,1,3,1
151,0,2,0
152,2,1,2
153,0,2,0
154,2,1,2
155,1,3,1
156,0,2,0
157,2,1,2
158,2,1,2
159,1,3,1
160,0,2,0
161,2,1,2
162,3,4,3
163,5,5,5
164,5,5,5
165,5,5,5
166,5,5,5
167,5,5,5
168,4,0,4
169,4,0,4
170,4,0,4
171,5,5,5
172,5,5,5
173,2,1,2
174,5,5,5
175,5,5,5
176,2,1,2
177,0,2,0
178,5,5,5
179,4,0,4
180,4,0,4
181,4,0,4
182,2,1,2
183,2,1,2
184,5,5,5
185,5,5,5
186,5,5,5
187,5,5,5
188,1,3,1
189,5,5,5
190,5,5,5
191,5,5,5
192,5,5,5
193,5,5,5
194,5,5,5
195,1,3,1
196,5,5,5
197,5,5,5
198,5,5,5
199,5,5,5
200,5,5,5
201,5,5,5
202,5,5,5
203,5,5,5
204,5,5,5
205,4,0,4
206,4,0,4
207,4,0,4
208,2,1,2
209,2,1,2
210,4,0,4
211,4,0,4
212,2,1,2
213,2,1,2
214,1,3,1
215,0,2,0
216,1,3,1
217,5,5,5
218,5,5,5
219,4,0,4
220,4,0,4
221,4,0,4
222,2,1,2
223,2,1,2
224,0,2,0
225,5,5,5
226,5,5,5
227,5,5,5
228,5,5,5
229,4,0,4
230,5,5,5
231,5,5,5
232,5,5,5
233,5,5,5
234,5,5,5
235,2,1,2
236,0,2,0
237,5,5,5
238,5,5,5
239,5,5,5
240,5,5,5
241,5,5,5
242,5,5,5
243,5,5,5
244,5,5,5
245,5,5,5
246,5,5,5
247,5,5,5
248,5,5,5
249,5,0,4
250,4,0,4
251,4,0,4
252,2,1,2
253,4,0,4
254,5,5,5
255,5,5,5
256,5,5,5
257,5,5,5
258,5,5,5
259,5,5,5
260,5,5,5
261,4,0,4
262,4,0,4
263,4,0,4
264,2,1,2
265,2,1,2
266,0,2,0
267,4,0,4
268,2,1,2
269,2,1,2
270,3,4,3
271,5,5,5
272,5,5,5
273,4,0,4
274,4,0,4
275,2,1,2
276,2,1,2
277,1,3,1
278,5,5,5
279,5,5,5
280,5,5,5
281,5,5,5
282,2,1,2
283,5,5,5
284,5,5,5
285,5,5,5
286,5,5,5
287,5,5,5
288,5,5,5
289,5,5,5
290,0,2,0
291,5,5,5
292,5,5,5
293,5,5,5
294,5,5,5
295,5,5,5
296,5,5,5
297,5,5,5
298,4,0,4
299,4,0,4
300,4,0,4
301,5,5,5
302,4,0,4
303,2,1,2
304,0,2,0
305,5,5,5
306,5,5,5
307,5,5,5
308,5,5,5
309,5,5,5
310,4,0,4
311,4,0,4
312,4,0,4
313,2,1,2
314,2,1,2
315,1,3,1
316,0,2,0
317,1,3,1
318,1,3,1
319,5,5,5
320,5,5,5
321,4,0,4
322,4,0,4
323,4,0,4
324,2,1,2
325,1,3,1
326,0,2,0
327,5,5,5
328,5,5,5
329,5,5,5
330,5,5,5
331,5,5,5
332,5,5,5
333,5,5,5
334,5,5,5
335,4,0,4
336,5,5,5
337,5,5,5
338,5,5,5
339,1,3,1
340,5,5,5
341,5,5,5
342,5,5,5
343,5,5,5
344,5,5,5
345,5,5,5
346,5,5,5
347,5,5,5
348,2,1,2
349,4,0,4
350,4,0,4
351,5,5,5
352,4,0,4
353,4,0,4
354,4,0,4
355,4,0,4
356,2,1,2
357,1,3,1
358,4,0,4
359,5,5,5
360,5,5,5
361,5,5,5
362,5,5,5
363,4,0,4
364,4,0,4
365,4,0,4
366,4,0,4
367,2,1,2
368,2,1,2
369,1,3,1
370,0,2,0
371,0,2,0
372,0,2,0
373,5,5,5
374,5,5,5
375,5,5,5
376,4,0,4
377,4,0,4
378,4,0,4
379,4,0,4
380,2,1,2
381,0,2,0
382,5,5,5
383,5,5,5
384,5,5,5
385,5,5,5
386,5,5,5
387,5,5,5
388,5,5,5
389,5,5,5
390,5,5,5
391,5,5,5
392,2,1,2
393,0,2,0
394,1,3,1
395,5,5,5
396,5,5,5
397,5,5,5
398,5,5,5
399,5,5,5
400,5,5,5
401,5,5,5
402,5,5,5
403,5,5,5
404,5,5,5
405,4,0,4
406,4,0,4
407,4,0,4
408,4,0,4
409,5,5,5
410,5,5,5
411,5,5,5
412,5,5,5
413,5,5,5
414,5,5,5
415,4,0,4
416,5,5,5
417,5,5,5
418,4,0,4
419,4,0,4
420,4,0,4
421,2,1,2
422,0,2,0
423,1,3,1
424,4,0,4
425,5,5,5
426,5,5,5
427,5,5,5
428,5,5,5
429,5,5,5
430,5,5,5
431,5,5,5
432,4,0,4
433,4,0,4
434,4,0,4
435,2,1,2
436,2,1,2
437,4,0,4
438,4,0,4
439,2,1,2
440,2,1,2
441,1,3,1
442,1,3,1
443,0,2,0
444,5,5,5
445,5,5,5
446,4,0,4
447,4,0,4
448,2,1,2
449,2,1,2
450,2,1,2
451,3,4,3
452,0,2,0
453,0,2,0
454,5,5,5
455,5,5,5
456,5,5,5
457,5,5,5
458,5,5,5
459,5,5,5
460,5,5,5
461,2,1,2
462,2,1,2
463,5,3,1
464,0,2,0
465,5,5,5
466,5,5,5
467,5,5,5
468,4,0,4
469,5,5,5
470,5,5,5
471,5,5,5
472,5,5,5
473,5,5,5
474,5,5,5
475,5,5,5
476,4,0,4
477,4,0,4
478,4,0,4
479,5,5,5
480,4,0,4
481,2,1,2
482,4,0,4
483,4,0,4
484,2,1,2
485,5,5,5
486,5,5,5
487,5,5,5
488,5,5,5
489,4,0,4
490,4,0,4
491,4,0,4
492,2,1,2
493,0,2,0
494,3,4,3
495,5,5,5
496,5,5,5
497,5,5,5
498,5,5,5
499,5,5,5
500,5,5,5
501,5,5,5
502,4,0,4
503,2,1,2
504,3,4,3
505,5,5,5
506,5,5,5
507,5,5,5
508,5,5,5
509,5,5,5
510,5,5,5
511,5,5,5
512,5,5,5
513,5,5,5
514,5,5,5
515,5,5,5
516,5,5,5
517,4,0,4
518,4,0,4
519,4,0,4
520,4,0,4
521,5,5,5
522,5,5,5
523,5,5,5
524,5,5,5
525,5,5,5
526,5,5,5
527,5,5,5
528,4,0,4
529,4,0,4
530,4,0,4
531,4,0,4
532,4,0,4
533,2,1,2
534,5,4,3
535,4,0,4
536,4,0,4
537,2,1,2
538,1,3,1
539,3,4,3
540,5,5,5
541,4,0,4
542,4,0,4
543,4,0,4
544,5,0,4
545,5,1,2
546,0,2,0
547,3,4,3
548,5,5,5
549,2,1,2
550,5,5,5
551,5,5,5
552,5,5,5
553,5,5,5
554,5,5,5
555,5,5,5
556,5,5,5
557,2,1,2
558,3,4,3
559,3,4,3
560,5,5,5
561,5,5,5
562,5,5,5
563,5,5,5
564,5,5,5
565,5,5,5
566,5,5,5
567,5,5,5
568,5,5,5
569,5,5,5
570,4,0,4
571,4,0,4
572,4,0,4
573,4,0,4
574,4,0,4
575,5,5,5
576,5,5,5
577,5,5,5
578,5,5,5
579,5,5,5
580,5,5,5
581,5,5,5
582,4,0,4
583,4,0,4
584,4,0,4
585,4,0,4
586,4,0,4
587,2,1,2
588,5,4,3
589,4,0,4
590,4,0,4
591,2,1,2
592,5,4,3
593,3,4,3
594,3,4,3
595,5,5,5
596,4,0,4
597,4,0,4
598,4,0,4
599,2,1,2
600,2,1,2
601,3,4,3
602,3,4,3
603,5,5,5
604,5,5,5
605,5,5,5
606,5,5,5
607,5,5,5
608,5,5,5
609,5,5,5
610,5,5,5
611,5,5,5
612,5,5,5
613,3,4,3
614,3,4,3
615,5,5,5
616,5,5,5
617,5,5,5
618,5,5,5
619,5,5,5
620,5,5,5
621,5,5,5
622,5,5,5
623,4,0,4
624,4,0,4
625,5,5,5
626,5,5,5
627,4,0,4
628,4,0,4
629,4,0,4
630,2,1,2
631,2,1,2
632,4,0,4
633,5,5,5
634,5,5,5
635,5,5,5
636,5,5,5
