cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,5,1,5
2,2,4,2
3,5,1,5
4,5,1,5
5,5,1,5
6,0,2,0
7,4,0,4
8,5,1,5
9,5,1,5
10,5,1,5
11,5,1,5
12,4,0,4
13,2,4,2
14,4,0,4
15,5,1,5
16,2,4,2
17,4,0,4
18,5,1,5
19,2,4,2
20,4,0,4
21,5,1,5
22,0,2,0
23,0,2,0
24,4,0,4
25,5,1,5
26,5,1,5
27,2,4,2
28,5,1,5
29,2,4,2
30,5,1,5
31,5,1,5
32,0,2,0
33,4,0,4
34,5,1,5
35,4,0,4
36,5,1,5
37,3,3,3
38,5,1,5
39,2,4,2
40,5,1,5
41,5,1,5
42,2,4,2
43,5,1,5
44,5,1,5
45,0,2,0
46,5,1,5
47,5,1,5
48,1,5,1
49,5,1,5
50,5,1,5
51,5,1,5
52,4,0,4
53,5,1,5
54,5,1,5
55,2,4,2
56,5,1,5
57,5,1,5
58,4,0,4
59,5,1,5
60,5,1,5
61,2,4,2
62,5,1,5
63,4,0,4
64,5,1,5
65,2,4,2
66,5,1,5
67,4,0,4
68,5,1,5
69,0,2,0
70,5,1,5
71,2,4,2
72,5,1,5
73,0,2,0
74,5,1,5
75,5,1,5
76,5,1,5
77,5,1,5
78,5,1,5
79,4,0,4
80,5,1,5
81,5,1,5
82,4,0,4
83,5,1,5
84,5,1,5
85,5,1,5
86,4,0,4
87,5,1,5
88,5,1,5
89,5,1,5
90,5,1,5
91,4,0,4
92,5,1,5
93,5,1,5
94,4,0,4
95,5,1,5
96,5,1,5
97,5,1,5
98,5,1,5
99,5,1,5
100,5,1,5
101,5,1,5
102,5,1,5
103,5,1,5
104,5,1,5
105,4,0,4
106,5,1,5
107,4,0,4
108,5,1,5
109,5,1,5
110,4,0,4
111,5,1,5
112,5,1,5
113,4,0,4
114,5,1,5
115,5,1,5
116,5,1,5
117,5,1,5
118,2,4,2
119,5,1,5
120,4,0,4
121,5,1,5
122,5,1,5
123,5,1,5
124,4,0,4
125,5,1,5
126,4,0,4
127,5,1,5
128,2,4,2
129,0,2,0
130,2,4,2
131,0,2,0
132,2,4,2
133,2,4,2
134,2,4,2
135,2,4,2
136,0,2,0
137,0,2,0
138,1,5,1
139,1,5,1
140,4,0,4
141,4,0,4
142,4,0,4
143,3,3,3
144,4,0,4
145,1,5,1
146,2,4,2
147,1,5,1
148,2,4,2
149,2,4,2
150,1,5,1
151,0,2,0
152,2,4,2
153,0,2,0
154,2,4,2
155,1,5,1
156,0,2,0
157,2,4,2
158,2,4,2
159,1,5,1
160,0,2,0
161,2,4,2
162,3,3,3
163,5,1,5
164,5,1,5
165,5,1,5
166,5,1,5
167,5,1,5
168,4,0,4
169,4,0,4
170,4,0,4
171,5,1,5
172,5,1,5
173,2,4,2
174,5,1,5
175,5,1,5
176,2,4,2
177,0,2,0
178,5,1,5
179,4,0,4
180,4,0,4
181,4,0,4
182,2,4,2
183,2,4,2
184,5,1,5
185,5,1,5
186,5,1,5
187,5,1,5
188,1,5,1
189,5,1,5
190,5,1,5
191,5,1,5
192,5,1,5
193,5,1,5
194,5,1,5
195,1,5,1
196,5,1,5
197,5,1,5
198,5,1,5
199,5,1,5
200,5,1,5
201,5,1,5
202,5,1,5
203,5,1,5
204,5,1,5
205,4,0,4
206,4,0,4
207,4,0,4
208,2,4,2
209,2,4,2
210,4,0,4
211,4,0,4
212,2,4,2
213,2,4,2
214,1,5,1
215,0,2,0
216,1,5,1
217,5,1,5
218,5,1,5
219,4,0,4
220,4,0,4
221,4,0,4
222,2,4,2
223,2,4,2
224,0,2,0
225,5,1,5
226,5,1,5
227,5,1,5
228,5,1,5
229,4,0,4
230,5,1,5
231,5,1,5
232,5,1,5
233,5,1,5
234,5,1,5
235,2,4,2
236,0,2,0
237,5,1,5
238,5,1,5
239,5,1,5
240,5,1,5
241,5,1,5
242,5,1,5
243,5,1,5
244,5,1,5
245,5,1,5
246,5,1,5
247,5,1,5
248,5,1,5
249,5,1,5
250,4,0,4
251,4,0,4
252,2,4,2
253,4,0,4
254,5,1,5
255,5,1,5
256,5,1,5
257,5,1,5
258,5,1,5
259,5,1,5
260,5,1,5
261,4,0,4
262,4,0,4
263,4,0,4
264,2,4,2
265,2,4,2
266,0,2,0
267,4,0,4
268,2,4,2
269,2,4,2
270,3,3,3
271,5,1,5
272,5,1,5
273,4,0,4
274,4,0,4
275,2,4,2
276,2,4,2
277,1,5,1
278,5,1,5
279,5,1,5
280,5,1,5
281,5,1,5
282,2,4,2
283,5,1,5
284,5,1,5
285,5,1,5
286,5,1,5
287,5,1,5
288,5,1,5
289,5,1,5
290,0,2,0
291,5,1,5
292,5,1,5
293,5,1,5
294,5,1,5
295,5,1,5
296,5,1,5
297,5,1,5
298,4,0,4
299,4,0,4
300,4,0,4
301,5,1,5
302,4,0,4
303,2,4,2
304,0,2,0
305,5,1,5
306,5,1,5
307,5,1,5
308,5,1,5
309,5,1,5
310,4,0,4
311,4,0,4
312,4,0,4
313,2,4,2
314,2,4,2
315,1,5,1
316,0,2,0
317,1,5,1
318,1,5,1
319,5,1,5
320,5,1,5
321,4,0,4
322,4,0,4
323,4,0,4
324,2,4,2
325,1,5,1
326,0,2,0
327,5,1,5
328,5,1,5
329,5,1,5
330,5,1,5
331,5,1,5
332,5,1,5
333,5,1,5
334,5,1,5
335,4,0,4
336,5,1,5
337,5,1,5
338,5,1,5
339,1,5,1
340,5,1,5
341,5,1,5
342,5,1,5
343,5,1,5
344,5,1,5
345,5,1,5
346,5,1,5
347,5,1,5
348,2,4,2
349,4,0,4
350,4,0,4
351,5,1,5
352,4,0,4
353,4,0,4
354,4,0,4
355,4,0,4
356,2,4,2
357,1,5,1
358,4,0,4
359,5,1,5
360,5,1,5
361,5,1,5
362,5,1,5
363,4,0,4
364,4,0,4
365,4,0,4
366,4,0,4
367,2,4,2
