cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,0,4
1,5,3,5
2,2,1,2
3,5,3,5
4,5,3,5
5,5,3,5
6,0,5,0
7,4,0,4
8,5,3,5
9,5,3,5
10,5,3,5
11,5,3,5
12,4,0,4
13,2,1,2
14,4,0,4
15,5,3,5
16,2,1,2
17,4,0,4
18,5,3,5
19,2,1,2
20,4,0,4
21,5,3,5
22,0,5,0
23,0,5,0
24,4,0,4
25,5,3,5
26,5,3,5
27,2,1,2
28,5,3,5
29,2,1,2
30,5,3,5
31,5,3,5
32,0,5,0
33,4,0,4
34,5,3,5
35,4,0,4
36,5,3,5
37,3,5,0
38,5,3,5
39,2,1,2
40,5,3,5
41,5,3,5
42,2,1,2
43,5,3,5
44,5,3,5
45,0,5,0
46,5,3,5
47,5,3,5
48,1,2,1
49,5,3,5
50,5,3,5
51,5,3,5
52,4,0,4
53,5,3,5
54,5,3,5
55,2,1,2
56,5,3,5
57,5,3,5
58,4,0,4
59,5,3,5
60,5,3,5
61,2,1,2
62,5,3,5
63,4,0,4
64,5,3,5
65,2,1,2
66,5,3,5
67,4,0,4
68,5,3,5
69,0,5,0
70,5,3,5
71,2,1,2
72,5,3,5
73,0,5,0
74,5,3,5
75,5,3,5
76,5,3,5
77,5,3,5
78,5,3,5
79,4,0,4
80,5,3,5
81,5,3,5
82,4,0,4
83,5,3,5
84,5,3,5
85,5,3,5
86,4,0,4
87,5,3,5
88,5,3,5
89,5,3,5
90,5,3,5
91,4,0,4
92,5,3,5
93,5,3,5
94,4,0,4
95,5,3,5
96,5,3,5
97,5,3,5
98,5,3,5
99,5,3,5
100,5,3,5
101,5,3,5
102,5,3,5
103,5,3,5
104,5,3,5
105,4,0,4
106,5,3,5
107,4,0,4
108,5,3,5
109,5,3,5
110,4,0,4
111,5,3,5
112,5,3,5
113,4,0,4
114,5,3,5
115,5,3,5
116,5,3,5
117,5,3,5
118,2,0,4
119,5,3,5
120,4,0,4
121,5,3,5
122,5,3,5
123,5,3,5
124,4,0,4
125,5,3,5
126,4,0,4
127,5,3,5
128,2,1,2
129,0,5,0
130,2,1,2
131,0,5,0
132,2,1,2
133,2,1,2
134,2,1,2
135,2,1,2
136,0,5,0
137,0,5,0
138,1,2,1
139,1,2,1
140,4,0,4
141,4,0,4
142,4,0,4
143,3,5,0
144,4,0,4
145,1,2,1
146,2,1,2
147,1,2,1
148,2,1,2
149,2,1,2
150,1,2,1
151,0,5,0
152,2,1,2
153,0,5,0
154,2,1,2
155,1,2,1
156,0,5,0
157,2,1,2
158,2,1,2
159,1,2,1
160,0,5,0
161,2,1,2
162,3,5,0
163,5,3,5
164,5,3,5
165,5,3,5
166,5,3,5
167,5,3,5
168,4,0,4
169,4,0,4
170,4,0,4
171,5,3,5
172,5,3,5
173,2,1,2
174,5,3,5
175,5,3,5
176,2,1,2
177,0,5,0
178,5,3,5
179,4,0,4
180,4,0,4
181,4,0,4
182,2,1,2
183,2,1,2
184,5,3,5
185,5,3,5
186,5,3,5
187,5,3,5
188,1,2,1
189,5,3,5
190,5,3,5
191,5,3,5
192,5,3,5
193,5,3,5
194,5,3,5
195,1,2,1
196,5,3,5
197,5,3,5
198,5,3,5
199,5,3,5
200,5,3,5
201,5,3,5
202,5,3,5
203,5,3,5
204,5,3,5
205,4,0,4
206,4,0,4
207,4,0,4
208,2,1,2
209,2,1,2
210,4,0,4
211,4,0,4
212,2,1,2
213,2,1,2
214,1,2,1
215,0,5,0
216,1,2,1
217,5,3,5
218,5,3,5
219,4,0,4
220,4,0,4
221,4,0,4
222,2,1,2
223,2,1,2
224,0,5,0
225,5,3,5
226,5,3,5
227,5,3,5
228,5,3,5
229,4,0,4
230,5,3,5
231,5,3,5
232,5,3,5
233,5,3,5
234,5,3,5
235,2,1,2
236,0,5,0
237,5,3,5
238,5,3,5
239,5,3,5
240,5,3,5
241,5,3,5
242,5,3,5
243,5,3,5
244,5,3,5
245,5,3,5
246,5,3,5
247,5,3,5
248,5,3,5
249,5,0,4
250,4,0,4
251,4,0,4
252,2,1,2
253,4,0,4
254,5,3,5
255,5,3,5
256,5,3,5
257,5,3,5
258,5,3,5
259,5,3,5
260,5,3,5
261,4,0,4
262,4,0,4
263,4,0,4
264,2,1,2
265,2,1,2
266,0,5,0
267,4,0,4
268,2,1,2
269,2,1,2
270,3,5,0
271,5,3,5
272,5,3,5
273,4,0,4
274,4,0,4
275,2,1,2
276,2,1,2
277,1,2,1
278,5,3,5
279,5,3,5
280,5,3,5
281,5,3,5
282,2,1,2
283,5,3,5
284,5,3,5
285,5,3,5
286,5,3,5
287,5,3,5
288,5,3,5
289,5,3,5
290,0,5,0
291,5,3,5
292,5,3,5
293,5,3,5
294,5,3,5
295,5,3,5
296,5,3,5
297,5,3,5
298,4,0,4
299,4,0,4
300,4,0,4
301,5,3,5
302,4,0,4
303,2,1,2
304,0,5,0
305,5,3,5
306,5,3,5
307,5,3,5
308,5,3,5
309,5,3,5
310,4,0,4
311,4,0,4
312,4,0,4
313,2,1,2
314,2,1,2
315,1,2,1
316,0,5,0
317,1,2,1
318,1,2,1
319,5,3,5
320,5,3,5
321,4,0,4
