cell_id,true_label,pred_label_raw,pred_label_aligned
0,4,4,4
1,5,2,5
2,2,1,2
3,5,2,5
4,5,2,5
5,5,2,5
6,0,3,0
7,4,4,4
8,5,2,5
9,5,2,5
10,5,2,5
11,5,2,5
12,4,4,4
13,2,2,5
14,4,4,4
15,5,2,5
16,2,1,2
17,4,4,4
18,5,2,5
19,2,1,2
20,4,4,4
21,5,2,5
22,0,3,0
23,0,3,0
24,4,4,4
25,5,2,5
26,5,2,5
27,2,1,2
28,5,2,5
29,2,1,2
30,5,2,5
31,5,2,5
32,0,3,0
33,4,4,4
34,5,2,5
35,4,4,4
36,5,2,5
37,3,0,3
38,5,2,5
39,2,1,2
40,5,5,1
41,5,5,1
42,2,1,2
43,5,2,5
44,5,2,5
45,0,3,0
46,5,2,5
47,5,2,5
48,1,3,0
49,5,2,5
50,5,2,5
51,5,2,5
52,4,4,4
53,5,2,5
54,5,2,5
55,2,1,2
56,5,2,5
57,5,5,1
58,4,4,4
59,5,2,5
60,5,5,1
61,2,1,2
62,5,5,1
63,4,4,4
64,5,5,1
65,2,1,2
66,5,2,5
67,4,4,4
68,5,2,5
69,0,3,0
70,5,2,5
71,2,1,2
72,5,2,5
73,0,3,0
74,5,2,5
75,5,2,5
76,5,2,5
77,5,2,5
78,5,2,5
79,4,4,4
80,5,2,5
81,5,2,5
82,4,4,4
83,5,2,5
84,5,2,5
85,5,2,5
86,4,4,4
87,5,2,5
88,5,2,5
89,5,2,5
90,5,2,5
91,4,4,4
92,5,2,5
93,5,2,5
94,4,4,4
95,5,2,5
96,5,2,5
97,5,2,5
98,5,2,5
99,5,2,5
100,5,2,5
101,5,2,5
102,5,2,5
103,5,2,5
104,5,2,5
105,4,4,4
106,5,2,5
107,4,4,4
108,5,2,5
109,5,2,5
110,4,4,4
111,5,2,5
112,5,2,5
113,4,4,4
114,5,2,5
115,5,2,5
116,5,2,5
117,5,2,5
118,2,1,2
119,5,2,5
120,4,4,4
121,5,2,5
122,5,2,5
123,5,2,5
124,4,4,4
125,5,2,5
126,4,4,4
127,5,2,5
128,2,1,2
129,0,3,0
130,2,1,2
131,0,3,0
132,2,1,2
133,2,1,2
134,2,1,2
135,2,1,2
136,0,3,0
137,0,3,0
138,1,3,0
139,1,3,0
140,4,4,4
141,4,4,4
142,4,4,4
143,3,0,3
144,4,4,4
145,1,3,0
146,2,1,2
147,1,3,0
148,2,1,2
149,2,1,2
150,1,3,0
151,0,3,0
152,2,1,2
153,0,3,0
154,2,1,2
155,1,3,0
156,0,3,0
157,2,1,2
158,2,1,2
159,1,3,0
160,0,3,0
161,2,1,2
162,3,0,3
163,5,2,5
164,5,2,5
165,5,2,5
166,5,2,5
167,5,2,5
168,4,4,4
169,4,4,4
170,4,4,4
171,5,2,5
172,5,2,5
173,2,1,2
174,5,2,5
175,5,2,5
176,2,1,2
177,0,3,0
178,5,2,5
179,4,4,4
180,4,4,4
181,4,4,4
182,2,1,2
183,2,1,2
184,5,2,5
185,5,2,5
186,5,2,5
187,5,2,5
188,1,3,0
189,5,2,5
190,5,2,5
191,5,2,5
192,5,2,5
193,5,2,5
194,5,2,5
195,1,3,0
196,5,2,5
197,5,2,5
198,5,2,5
199,5,2,5
200,5,2,5
201,5,2,5
202,5,2,5
203,5,2,5
204,5,2,5
205,4,4,4
206,4,4,4
207,4,4,4
208,2,1,2
209,2,1,2
210,4,4,4
211,4,4,4
212,2,1,2
213,2,1,2
214,1,3,0
215,0,3,0
216,1,3,0
217,5,2,5
218,5,2,5
219,4,4,4
220,4,4,4
221,4,4,4
222,2,1,2
223,2,1,2
224,0,3,0
225,5,2,5
226,5,2,5
227,5,2,5
228,5,2,5
229,4,4,4
230,5,2,5
231,5,2,5
232,5,2,5
233,5,2,5
234,5,2,5
235,2,1,2
236,0,3,0
237,5,2,5
238,5,2,5
239,5,2,5
240,5,2,5
241,5,2,5
242,5,2,5
243,5,2,5
244,5,2,5
245,5,2,5
246,5,2,5
247,5,2,5
248,5,2,5
249,5,4,4
250,4,4,4
251,4,4,4
252,2,1,2
253,4,4,4
254,5,2,5
255,5,2,5
256,5,2,5
257,5,2,5
258,5,2,5
259,5,2,5
260,5,2,5
261,4,4,4
262,4,4,4
263,4,4,4
264,2,1,2
265,2,1,2
266,0,3,0
267,4,4,4
268,2,1,2
269,2,1,2
270,3,0,3
271,5,2,5
272,5,2,5
273,4,4,4
274,4,4,4
275,2,1,2
276,2,1,2
277,1,3,0
278,5,2,5
279,5,2,5
280,5,2,5
281,5,2,5
282,2,1,2
283,5,2,5
284,5,2,5
285,5,2,5
286,5,2,5
287,5,2,5
288,5,2,5
289,5,2,5
290,0,3,0
291,5,2,5
292,5,2,5
293,5,2,5
294,5,2,5
295,5,2,5
296,5,2,5
297,5,2,5
298,4,4,4
299,4,4,4
300,4,4,4
301,5,2,5
302,4,4,4
303,2,1,2
304,0,3,0
305,5,2,5
306,5,2,5
307,5,2,5
308,5,2,5
309,5,2,5
310,4,4,4
311,4,4,4
312,4,4,4
313,2,1,2
314,2,1,2
315,1,3,0
316,0,3,0
317,1,3,0
318,1,3,0
319,5,2,5
320,5,2,5
321,4,4,4
322,4,4,4
323,4,4,4
324,2,1,2
325,1,3,0
326,0,3,0
327,5,2,5
328,5,2,5
329,5,2,5
330,5,2,5
331,5,2,5
332,5,2,5
333,5,2,5
334,5,2,5
335,4,4,4
336,5,2,5
337,5,2,5
338,5,2,5
339,1,3,0
340,5,2,5
341,5,2,5
342,5,2,5
343,5,2,5
344,5,2,5
345,5,2,5
346,5,2,5
