cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,8,2
1,5,7,5
2,2,8,2
3,7,4,7
4,2,8,2
5,5,7,5
6,0,3,0
7,2,8,2
8,7,4,7
9,2,2,6
10,7,9,8
11,2,2,6
12,7,4,7
13,7,4,7
14,5,7,5
15,6,0,4
16,7,4,7
17,2,8,2
18,2,8,2
19,7,4,7
20,2,8,2
21,7,10,3
22,8,0,4
23,7,4,7
24,2,8,2
25,2,8,2
26,5,7,5
27,5,3,0
28,7,10,3
29,7,9,8
30,7,10,3
31,6,3,0
32,7,10,3
33,7,4,7
34,2,2,6
35,5,7,5
36,2,8,2
37,2,2,6
38,8,3,0
39,7,9,8
40,2,8,2
41,7,3,0
42,2,8,2
43,7,4,7
44,2,10,3
45,2,8,2
46,2,8,2
47,1,3,0
48,2,8,2
49,2,8,2
50,2,2,6
51,7,10,3
52,4,0,4
53,2,8,2
54,7,4,7
55,7,3,0
56,7,10,3
57,2,8,2
58,5,10,3
59,2,10,3
60,2,8,2
61,2,8,2
62,2,8,2
63,2,7,5
64,2,8,2
65,5,7,5
66,7,4,7
67,2,2,6
68,7,4,7
69,2,8,2
70,8,0,4
71,5,10,3
72,2,9,8
73,5,7,5
74,2,8,2
75,3,10,3
76,7,10,3
77,2,8,2
78,7,4,7
79,2,8,2
80,2,2,6
81,7,10,3
82,7,4,7
83,2,8,2
84,3,10,3
85,7,4,7
86,7,9,8
87,1,3,0
88,4,3,0
89,7,4,7
90,7,10,3
91,7,4,7
92,8,0,4
93,9,4,7
94,2,8,2
95,7,3,0
96,8,0,4
97,7,4,7
98,10,3,0
99,2,8,2
100,7,3,0
101,2,10,3
102,2,2,6
103,7,4,7
104,8,0,4
105,7,10,3
106,7,4,7
107,2,8,2
108,8,0,4
109,7,9,8
110,7,4,7
111,0,3,0
112,7,4,7
113,4,3,0
114,7,9,8
115,1,3,0
116,2,10,3
117,2,2,6
118,4,0,4
119,7,4,7
120,9,3,0
121,2,8,2
122,8,0,4
123,7,10,3
124,2,10,3
125,2,8,2
126,2,2,6
127,5,7,5
128,5,7,5
129,2,8,2
130,4,0,4
131,2,8,2
132,4,0,4
133,2,8,2
134,1,3,0
135,2,8,2
136,2,2,6
137,5,7,5
138,2,5,1
139,5,7,5
140,7,3,0
141,10,3,0
142,2,8,2
143,2,10,3
144,6,0,4
145,2,2,6
146,5,7,5
147,7,4,7
148,7,4,7
149,10,3,0
150,7,4,7
151,7,3,0
152,5,7,5
153,2,10,3
154,2,2,6
155,2,8,2
156,4,0,4
157,7,10,3
158,2,8,2
159,7,4,7
160,7,4,7
161,2,10,3
162,7,4,7
163,2,10,3
164,7,4,7
165,4,0,4
166,2,10,3
167,7,10,3
168,7,10,3
169,2,10,3
170,4,3,0
171,5,7,5
172,2,2,6
173,7,4,7
174,8,0,4
175,8,0,4
176,7,4,7
177,7,4,7
178,8,0,4
179,7,3,0
180,5,7,5
181,2,8,2
182,1,3,0
183,8,0,4
184,7,10,3
185,7,4,7
186,7,4,7
187,4,0,4
188,8,3,0
189,2,2,6
190,2,8,2
191,7,4,7
192,2,2,6
193,5,7,5
194,7,10,3
195,0,3,0
196,7,10,3
197,7,4,7
198,2,8,2
199,7,10,3
200,10,3,0
201,5,7,5
202,2,8,2
203,5,7,5
204,7,10,3
205,2,8,2
206,5,7,5
207,2,8,2
208,7,4,7
209,2,8,2
210,2,2,6
211,7,4,7
212,1,3,0
213,7,3,0
214,8,0,4
215,3,10,3
216,5,7,5
217,7,4,7
218,7,4,7
219,5,7,5
220,2,8,2
221,7,4,7
222,7,9,8
223,6,0,4
224,5,7,5
225,7,3,0
226,2,8,2
227,2,8,2
228,3,10,3
229,7,10,3
230,7,4,7
231,7,4,7
232,7,4,7
233,2,8,2
234,5,7,5
235,2,8,2
236,2,10,3
237,2,8,2
238,8,0,4
239,2,8,2
240,2,8,2
241,7,4,7
242,8,0,4
243,4,0,4
244,1,3,0
245,10,3,0
246,7,4,7
247,7,4,7
248,9,0,4
249,5,7,5
250,7,4,7
251,7,3,0
252,7,4,7
253,7,3,0
254,2,8,2
255,5,7,5
256,7,4,7
257,2,8,2
258,5,7,5
259,2,10,3
260,7,4,7
261,2,8,2
262,7,2,6
263,2,2,6
264,7,10,3
265,2,8,2
266,7,10,3
267,2,8,2
268,2,8,2
269,7,4,7
270,3,10,3
271,7,4,7
272,2,8,2
273,7,4,7
274,2,8,2
275,7,3,0
276,2,8,2
277,7,4,7
278,7,10,3
279,0,3,0
280,7,4,7
281,2,8,2
282,4,0,4
283,2,2,6
284,7,10,3
285,1,3,0
286,7,4,7
287,7,9,8
288,2,8,2
289,7,4,7
290,7,4,7
291,2,8,2
292,7,4,7
293,7,3,0
294,7,10,3
295,2,8,2
296,8,0,4
297,7,4,7
298,2,10,3
299,7,4,7
300,2,8,2
301,7,4,7
302,6,3,0
303,2,8,2
304,7,4,7
305,2,8,2
306,2,3,0
307,1,3,0
308,8,0,4
309,7,4,7
310,7,4,7
311,1,3,0
312,7,3,0
313,2,2,6
314,3,10,3
315,2,3,0
316,7,4,7
317,7,4,7
318,7,4,7
319,7,4,7
320,7,4,7
321,2,8,2
322,9,3,0
323,7,4,7
324,2,8,2
325,8,0,4
326,7,4,7
327,7,4,7
328,2,8,2
329,6,3,0
330,2,8,2
331,8,0,4
332,7,4,7
333,2,8,2
334,7,4,7
335,2,8,2
336,0,3,0
337,7,4,7
338,7,4,7
339,7,4,7
340,2,2,6
341,1,3,0
342,7,10,3
343,7,4,7
344,5,7,5
345,6,3,0
346,5,7,5
347,7,9,8
348,2,8,2
349,7,4,7
350,2,8,2
351,10,3,0
352,7,10,3
353,8,3,0
354,7,4,7
355,7,10,3
356,2,10,3
357,7,4,7
358,7,4,7
359,7,10,3
360,2,8,2
361,4,0,4
362,2,10,3
363,2,8,2
364,2,2,6
365,7,4,7
366,2,8,2
367,2,2,6
368,7,9,8
369,7,10,3
370,7,4,7
371,2,8,2
372,1,3,0
373,7,4,7
374,4,0,4
375,2,8,2
376,7,4,7
377,2,2,6
378,7,10,3
379,2,8,2
380,4,0,4
381,7,10,3
382,5,7,5
383,1,3,0
384,2,2,6
385,8,0,4
386,7,4,7
387,2,8,2
388,7,4,7
389,8,0,4
390,7,4,7
391,2,8,2
392,7,10,3
393,7,10,3
394,7,4,7
395,2,8,2
396,1,3,0
397,7,4,7
398,7,10,3
399,2,10,3
400,2,8,2
401,2,10,3
402,7,4,7
403,0,3,0
404,7,4,7
405,7,3,0
406,7,4,7
407,2,10,3
408,10,6,9
409,7,4,7
410,7,4,7
411,2,8,2
412,5,7,5
413,7,10,3
414,2,8,2
415,7,4,7
416,8,0,4
417,3,10,3
418,7,4,7
419,7,4,7
420,7,4,7
421,2,8,2
422,7,10,3
423,2,8,2
424,8,0,4
425,0,3,0
426,7,10,3
427,2,10,3
428,7,10,3
429,2,8,2
430,8,3,0
431,2,10,3
432,8,0,4
433,7,4,7
434,7,10,3
435,8,0,4
436,5,10,3
437,8,3,0
438,7,4,7
439,4,0,4
440,7,4,7
441,7,10,3
442,7,4,7
443,2,8,2
444,8,0,4
445,2,8,2
446,0,3,0
447,2,10,3
448,10,3,0
449,7,10,3
450,1,3,0
451,7,4,7
452,5,7,5
453,4,0,4
454,7,4,7
455,2,8,2
456,8,0,4
457,4,0,4
458,7,4,7
459,2,10,3
460,7,4,7
461,7,4,7
462,2,8,2
463,7,4,7
464,0,3,0
465,2,10,3
466,7,4,7
467,10,3,0
468,8,0,4
469,4,0,4
470,7,4,7
471,2,8,2
472,1,3,0
473,7,4,7
474,2,8,2
475,7,4,7
476,7,4,7
477,2,5,1
478,7,4,7
479,5,7,5
480,2,2,6
481,7,4,7
482,7,4,7
483,1,3,0
484,5,7,5
485,7,10,3
486,7,3,0
487,2,8,2
488,8,0,4
489,3,10,3
490,7,9,8
491,4,0,4
492,4,0,4
493,7,4,7
494,2,8,2
495,7,4,7
496,7,9,8
497,8,0,4
498,8,3,0
499,7,4,7
500,7,10,3
501,5,7,5
502,2,8,2
503,7,10,3
504,1,3,0
505,7,4,7
506,2,8,2
507,8,0,4
508,7,4,7
509,8,3,0
510,7,4,7
511,2,8,2
512,2,8,2
513,1,3,0
514,7,10,3
515,7,3,0
516,7,4,7
517,3,10,3
518,7,4,7
519,2,8,2
520,2,2,6
521,2,8,2
522,4,0,4
523,2,8,2
524,2,2,6
525,2,8,2
526,4,0,4
527,2,2,6
528,2,10,3
529,7,4,7
530,2,2,6
531,2,2,6
532,7,10,3
533,2,8,2
534,7,10,3
535,7,4,7
536,2,10,3
537,7,4,7
538,2,2,6
539,2,2,6
540,2,8,2
541,2,10,3
542,2,2,6
543,2,2,6
544,0,3,0
545,2,2,6
546,2,2,6
547,5,7,5
548,2,10,3
549,7,10,3
550,7,4,7
551,0,3,0
552,5,3,0
553,2,2,6
554,2,10,3
555,5,7,5
556,2,2,6
557,5,7,5
558,2,8,2
559,0,3,0
560,7,4,7
561,5,10,3
562,7,4,7
563,7,10,3
564,2,2,6
565,7,4,7
566,2,2,6
567,2,2,6
568,2,2,6
569,7,4,7
570,7,4,7
571,5,3,0
572,7,9,8
573,7,4,7
574,7,4,7
575,5,7,5
576,2,10,3
577,7,3,0
578,7,4,7
579,2,10,3
580,2,2,6
581,2,10,3
582,7,4,7
583,7,4,7
584,2,8,2
585,3,10,3
586,2,8,2
587,7,4,7
588,7,9,8
589,2,8,2
590,7,4,7
591,2,8,2
592,2,8,2
593,2,3,0
594,7,4,7
595,4,0,4
596,7,4,7
597,2,8,2
598,2,2,6
599,6,3,0
600,8,0,4
601,4,0,4
602,2,2,6
603,2,10,3
604,7,4,7
605,2,10,3
606,7,4,7
607,7,4,7
608,7,4,7
609,5,7,5
610,7,4,7
611,7,4,7
612,7,3,0
613,7,4,7
614,7,4,7
615,7,4,7
616,7,4,7
617,7,4,7
618,7,3,0
619,7,4,7
620,7,4,7
621,2,10,3
622,2,8,2
623,2,2,6
624,2,2,6
625,2,2,6
626,2,10,3
627,2,2,6
628,2,2,6
629,7,10,3
630,2,2,6
631,2,2,6
632,2,8,2
633,8,3,0
634,2,2,6
635,2,10,3
636,6,0,4
637,4,0,4
638,7,4,7
639,5,10,3
640,2,2,6
641,2,2,6
642,7,10,3
643,2,2,6
644,7,4,7
645,4,3,0
646,2,8,2
647,10,3,0
648,2,8,2
649,8,0,4
650,7,3,0
651,7,3,0
652,4,0,4
653,2,8,2
654,10,3,0
655,2,8,2
656,2,10,3
657,6,0,4
658,2,8,2
659,2,8,2
660,2,2,6
661,8,0,4
662,2,10,3
663,2,8,2
664,4,0,4
665,4,0,4
666,2,8,2
667,7,10,3
668,7,4,7
669,2,2,6
670,7,4,7
671,4,0,4
672,4,0,4
673,8,0,4
674,2,8,2
675,10,3,0
676,9,0,4
677,0,3,0
678,1,3,0
679,3,10,3
680,2,2,6
681,2,8,2
682,2,2,6
683,2,8,2
684,4,0,4
685,8,0,4
686,4,0,4
687,7,4,7
688,7,4,7
689,2,2,6
690,2,8,2
691,2,8,2
692,4,0,4
693,7,4,7
694,2,2,6
695,2,8,2
696,6,3,0
697,2,10,3
698,7,4,7
699,2,8,2
700,6,0,4
701,4,0,4
702,2,8,2
703,7,10,3
704,9,3,0
705,2,2,6
706,4,0,4
707,8,0,4
708,4,0,4
709,4,0,4
710,8,0,4
711,4,0,4
712,2,2,6
713,10,3,0
714,4,0,4
715,7,4,7
716,8,0,4
717,8,0,4
718,0,3,0
719,4,0,4
720,2,2,6
721,4,0,4
722,6,0,4
723,6,0,4
724,4,0,4
725,2,2,6
726,10,3,0
727,5,7,5
728,1,3,0
729,5,7,5
