cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,2,1
1,5,1,5
2,2,2,1
3,7,3,9
4,2,2,1
5,5,1,5
6,0,5,0
7,2,2,1
8,7,3,9
9,2,6,2
10,7,3,9
11,2,6,2
12,7,3,9
13,7,3,9
14,5,1,5
15,6,8,6
16,7,3,9
17,2,2,1
18,2,2,1
19,7,3,9
20,2,2,1
21,7,7,3
22,8,4,4
23,7,3,9
24,2,6,2
25,2,2,1
26,5,1,5
27,5,1,5
28,7,7,3
29,7,3,9
30,7,7,3
31,6,8,6
32,7,7,3
33,7,3,9
34,2,6,2
35,5,1,5
36,2,2,1
37,2,2,1
38,8,4,4
39,7,3,9
40,2,2,1
41,7,7,3
42,2,2,1
43,7,3,9
44,2,6,2
45,2,2,1
46,2,2,1
47,1,5,0
48,2,2,1
49,2,6,2
50,2,6,2
51,7,7,3
52,4,4,4
53,2,2,1
54,7,3,9
55,7,7,3
56,7,7,3
57,2,2,1
58,5,1,5
59,2,6,2
60,2,2,1
61,2,2,1
62,2,2,1
63,2,1,5
64,2,2,1
65,5,1,5
66,7,3,9
67,2,6,2
68,7,3,9
69,2,2,1
70,8,4,4
71,5,1,5
72,2,6,2
73,5,1,5
74,2,2,1
75,3,1,5
76,7,7,3
77,2,6,2
78,7,3,9
79,2,2,1
80,2,6,2
81,7,7,3
82,7,3,9
83,2,2,1
84,3,1,5
85,7,3,9
86,7,3,9
87,1,5,0
88,4,4,4
89,7,3,9
90,7,7,3
91,7,3,9
92,8,4,4
93,9,3,9
94,2,2,1
95,7,7,3
96,8,4,4
97,7,3,9
98,10,5,0
99,2,6,2
100,7,7,3
101,2,6,2
102,2,6,2
103,7,3,9
104,8,4,4
105,7,7,3
106,7,3,9
107,2,2,1
108,8,4,4
109,7,3,9
110,7,3,9
111,0,5,0
112,7,3,9
113,4,4,4
114,7,3,9
115,1,5,0
116,2,6,2
117,2,6,2
118,4,4,4
119,7,3,9
120,9,4,4
121,2,2,1
122,8,4,4
123,7,7,3
124,2,6,2
125,2,2,1
126,2,2,1
127,5,1,5
128,5,1,5
129,2,2,1
130,4,4,4
131,2,2,1
132,4,4,4
133,2,2,1
134,1,4,4
135,2,2,1
136,2,6,2
137,5,1,5
138,2,6,2
139,5,1,5
140,7,0,7
141,10,5,0
142,2,2,1
143,2,6,2
144,6,8,6
145,2,6,2
146,5,1,5
147,7,3,9
148,7,3,9
149,10,5,0
150,7,3,9
151,7,3,9
152,5,1,5
153,2,6,2
154,2,6,2
155,2,2,1
156,4,4,4
