cell_id,true_label,pred_label_raw,pred_label_aligned
0,2.0,5,2.0
1,5.0,3,5.0
2,2.0,5,2.0
3,7.0,0,7.0
4,2.0,5,2.0
5,5.0,3,5.0
6,0.0,0,7.0
7,2.0,5,2.0
8,7.0,0,7.0
9,2.0,5,2.0
10,7.0,0,7.0
11,2.0,5,2.0
12,7.0,0,7.0
13,7.0,0,7.0
14,5.0,3,5.0
15,6.0,0,7.0
16,7.0,0,7.0
17,2.0,5,2.0
18,2.0,5,2.0
19,7.0,0,7.0
20,2.0,5,2.0
21,7.0,0,7.0
22,8.0,0,7.0
23,7.0,0,7.0
24,2.0,5,2.0
25,2.0,5,2.0
26,5.0,3,5.0
27,5.0,0,7.0
28,7.0,0,7.0
29,7.0,0,7.0
30,7.0,0,7.0
31,6.0,0,7.0
32,7.0,0,7.0
33,7.0,0,7.0
34,2.0,5,2.0
35,5.0,3,5.0
36,2.0,5,2.0
37,2.0,5,2.0
38,8.0,0,7.0
39,7.0,0,7.0
40,2.0,5,2.0
41,7.0,0,7.0
42,2.0,5,2.0
43,7.0,0,7.0
44,2.0,5,2.0
45,2.0,5,2.0
46,2.0,5,2.0
47,1.0,0,7.0
48,2.0,5,2.0
49,2.0,5,2.0
50,2.0,5,2.0
51,7.0,0,7.0
52,4.0,0,7.0
53,2.0,5,2.0
54,7.0,0,7.0
55,7.0,0,7.0
56,7.0,0,7.0
57,2.0,5,2.0
58,5.0,0,7.0
59,2.0,5,2.0
60,2.0,5,2.0
61,2.0,5,2.0
62,2.0,5,2.0
63,2.0,0,7.0
64,2.0,5,2.0
65,5.0,3,5.0
66,7.0,0,7.0
67,2.0,5,2.0
68,7.0,0,7.0
69,2.0,5,2.0
70,8.0,0,7.0
71,5.0,0,7.0
72,2.0,5,2.0
73,5.0,3,5.0
74,2.0,5,2.0
75,3.0,0,7.0
76,7.0,0,7.0
77,2.0,5,2.0
78,7.0,0,7.0
79,2.0,5,2.0
80,2.0,5,2.0
81,7.0,0,7.0
82,7.0,0,7.0
83,2.0,5,2.0
84,3.0,0,7.0
85,7.0,0,7.0
86,7.0,0,7.0
87,1.0,0,7.0
88,4.0,0,7.0
89,7.0,0,7.0
90,7.0,0,7.0
91,7.0,0,7.0
92,8.0,0,7.0
93,9.0,0,7.0
94,2.0,5,2.0
95,7.0,0,7.0
96,8.0,0,7.0
97,7.0,0,7.0
98,10.0,0,7.0
99,2.0,5,2.0
100,7.0,0,7.0
101,2.0,0,7.0
102,2.0,5,2.0
103,7.0,0,7.0
104,8.0,0,7.0
105,7.0,0,7.0
106,7.0,0,7.0
107,2.0,5,2.0
108,8.0,0,7.0
109,7.0,0,7.0
110,7.0,0,7.0
111,0.0,0,7.0
112,7.0,0,7.0
113,4.0,0,7.0
114,7.0,0,7.0
115,1.0,0,7.0
116,2.0,5,2.0
117,2.0,5,2.0
118,4.0,0,7.0
119,7.0,0,7.0
120,9.0,0,7.0
121,2.0,5,2.0
122,8.0,0,7.0
123,7.0,0,7.0
124,2.0,5,2.0
125,2.0,5,2.0
126,2.0,5,2.0
127,5.0,3,5.0
128,5.0,0,7.0
129,2.0,5,2.0
130,4.0,0,7.0
131,2.0,5,2.0
132,4.0,0,7.0
133,2.0,5,2.0
134,1.0,0,7.0
135,2.0,5,2.0
136,2.0,5,2.0
137,5.0,3,5.0
138,2.0,5,2.0
139,5.0,3,5.0
140,7.0,0,7.0
141,10.0,0,7.0
142,2.0,5,2.0
143,2.0,5,2.0
144,6.0,0,7.0
145,2.0,5,2.0
146,5.0,3,5.0
147,7.0,0,7.0
148,7.0,0,7.0
149,10.0,0,7.0
150,7.0,0,7.0
151,7.0,0,7.0
152,5.0,3,5.0
153,2.0,5,2.0
154,2.0,5,2.0
155,2.0,5,2.0
156,4.0,0,7.0
157,7.0,0,7.0
158,2.0,5,2.0
159,7.0,0,7.0
160,7.0,0,7.0
161,2.0,0,7.0
162,7.0,0,7.0
163,2.0,0,7.0
164,7.0,0,7.0
