cell_id,true_label,pred_label_raw,pred_label_aligned
0,10,4,10
1,4,7,4
2,10,4,10
3,6,10,8
4,10,4,10
5,4,7,4
6,0,8,3
7,10,4,10
8,6,1,6
9,10,9,7
10,6,1,6
11,10,4,10
12,6,1,6
13,6,10,8
14,4,7,4
15,5,8,3
16,6,1,6
17,10,4,10
18,10,4,10
19,6,10,8
20,10,4,10
21,6,0,0
22,7,8,3
23,6,1,6
24,10,4,10
25,10,4,10
26,4,7,4
27,4,7,4
28,6,0,0
29,6,1,6
30,6,0,0
31,5,8,3
32,6,0,0
33,6,1,6
34,10,9,7
35,4,7,4
36,10,4,10
37,10,4,10
38,7,8,3
39,6,1,6
40,10,4,10
41,6,0,0
42,10,4,10
43,6,1,6
44,10,9,7
45,10,4,10
46,10,4,10
47,1,5,1
48,10,4,10
49,10,4,10
50,10,4,10
51,6,0,0
52,3,8,3
53,10,4,10
54,6,1,6
55,6,0,0
56,6,0,0
57,10,4,10
58,4,7,4
59,10,9,7
60,10,4,10
61,10,4,10
62,10,4,10
63,10,7,4
64,10,4,10
65,4,7,4
66,6,1,6
67,10,4,10
68,6,1,6
69,10,4,10
70,7,8,3
71,4,7,4
72,10,4,10
73,4,7,4
74,10,4,10
75,2,3,2
76,6,0,0
77,10,4,10
78,6,10,8
79,10,4,10
80,10,4,10
81,6,0,0
82,6,1,6
83,10,4,10
84,2,3,2
85,6,1,6
86,6,1,6
87,1,5,1
88,3,8,3
89,6,1,6
90,6,0,0
91,6,1,6
92,7,8,3
93,8,1,6
94,10,4,10
95,6,0,0
96,7,8,3
97,6,1,6
98,9,6,9
99,10,4,10
100,6,0,0
101,10,2,5
102,10,9,7
103,6,1,6
104,7,8,3
105,6,0,0
106,6,1,6
107,10,4,10
108,7,8,3
109,6,1,6
110,6,1,6
111,0,8,3
112,6,1,6
113,3,8,3
114,6,1,6
115,1,5,1
116,10,9,7
117,10,9,7
118,3,8,3
119,6,10,8
120,8,8,3
121,10,4,10
122,7,8,3
123,6,0,0
124,10,4,10
125,10,4,10
126,10,4,10
127,4,7,4
128,4,7,4
129,10,4,10
130,3,8,3
131,10,4,10
132,3,8,3
133,10,4,10
134,1,5,1
135,10,4,10
136,10,4,10
137,4,7,4
138,10,4,10
139,4,7,4
140,6,1,6
141,9,6,9
142,10,4,10
143,10,2,5
144,5,8,3
145,10,9,7
146,4,7,4
147,6,1,6
148,6,10,8
149,9,6,9
150,6,0,0
151,6,1,6
152,4,7,4
153,10,9,7
154,10,4,10
155,10,4,10
156,3,8,3
157,6,0,0
158,10,4,10
159,6,1,6
160,6,1,6
161,10,2,5
162,6,1,6
163,10,2,5
164,6,1,6
165,3,8,3
166,10,9,7
167,6,0,0
168,6,0,0
169,10,9,7
170,3,8,3
171,4,7,4
172,10,4,10
173,6,1,6
174,7,8,3
175,7,8,3
176,6,10,8
177,6,1,6
178,7,8,3
179,6,0,0
180,4,7,4
181,10,4,10
182,1,5,1
183,7,8,3
184,6,0,0
185,6,1,6
186,6,1,6
187,3,8,3
188,7,8,3
189,10,4,10
190,10,4,10
191,6,1,6
192,10,4,10
193,4,7,4
194,6,1,6
195,0,8,3
196,6,1,6
197,6,1,6
198,10,4,10
199,6,0,0
200,9,6,9
201,4,7,4
202,10,4,10
203,4,7,4
204,6,0,0
205,10,4,10
206,4,7,4
207,10,4,10
208,6,1,6
209,10,4,10
210,10,4,10
211,6,1,6
212,1,5,1
213,6,2,5
214,7,8,3
215,2,3,2
216,4,7,4
217,6,1,6
218,6,1,6
219,4,7,4
220,10,4,10
221,6,10,8
222,6,1,6
223,5,8,3
224,4,7,4
225,6,0,0
226,10,4,10
227,10,4,10
228,2,3,2
229,6,0,0
230,6,1,6
231,6,1,6
232,6,1,6
233,10,4,10
234,4,7,4
235,10,4,10
236,10,4,10
237,10,4,10
238,7,8,3
239,10,4,10
240,10,4,10
241,6,1,6
242,7,8,3
243,3,8,3
244,1,5,1
245,9,6,9
246,6,10,8
247,6,1,6
248,8,8,3
249,4,7,4
250,6,1,6
251,6,1,6
252,6,1,6
253,6,4,10
254,10,4,10
255,4,7,4
256,6,1,6
257,10,4,10
258,4,7,4
259,10,9,7
260,6,1,6
261,10,4,10
262,6,0,0
263,10,4,10
264,6,0,0
265,10,4,10
266,6,0,0
267,10,4,10
268,10,4,10
269,6,1,6
270,2,3,2
271,6,10,8
272,10,4,10
273,6,1,6
274,10,4,10
275,6,0,0
276,10,4,10
277,6,1,6
278,6,0,0
279,0,8,3
280,6,1,6
281,10,4,10
282,3,8,3
283,10,4,10
284,6,0,0
285,1,5,1
286,6,1,6
287,6,1,6
288,10,4,10
289,6,10,8
290,6,1,6
291,10,4,10
292,6,1,6
293,6,0,0
294,6,0,0
295,10,4,10
296,7,8,3
297,6,1,6
298,10,9,7
299,6,1,6
300,10,4,10
301,6,1,6
302,5,8,3
303,10,4,10
304,6,10,8
305,10,4,10
306,10,4,10
307,1,5,1
308,7,8,3
309,6,1,6
310,6,1,6
311,1,5,1
312,6,0,0
313,10,9,7
314,2,3,2
315,10,2,5
316,6,1,6
317,6,10,8
318,6,1,6
319,6,10,8
320,6,1,6
321,10,4,10
322,8,8,3
323,6,10,8
324,10,4,10
325,7,8,3
326,6,10,8
327,6,1,6
328,10,4,10
329,5,8,3
330,10,4,10
331,7,8,3
332,6,1,6
333,10,4,10
334,6,1,6
335,10,4,10
336,0,8,3
337,6,10,8
338,6,10,8
339,6,0,0
340,10,4,10
341,1,5,1
342,6,0,0
343,6,1,6
344,4,7,4
345,5,8,3
346,4,7,4
347,6,1,6
348,10,4,10
349,6,1,6
350,10,4,10
351,9,6,9
352,6,1,6
353,7,8,3
354,6,10,8
355,6,0,0
356,10,9,7
357,6,1,6
358,6,1,6
359,6,0,0
360,10,4,10
361,3,8,3
362,10,9,7
363,10,4,10
364,10,4,10
365,6,1,6
366,10,4,10
367,10,4,10
368,6,1,6
369,6,0,0
370,6,1,6
371,10,4,10
372,1,5,1
373,6,1,6
374,3,8,3
375,10,4,10
376,6,1,6
377,10,9,7
378,6,0,0
379,10,4,10
380,3,8,3
381,6,0,0
382,4,7,4
383,1,5,1
384,10,4,10
385,7,8,3
386,6,10,8
387,10,4,10
388,6,1,6
389,7,8,3
390,6,10,8
391,10,4,10
392,6,0,0
393,6,1,6
394,6,1,6
395,10,4,10
396,1,5,1
397,6,1,6
398,6,0,0
399,10,2,5
400,10,4,10
401,10,9,7
402,6,1,6
403,0,8,3
404,6,1,6
405,6,0,0
406,6,10,8
407,10,9,7
408,9,6,9
409,6,10,8
410,6,1,6
411,10,4,10
412,4,7,4
413,6,0,0
414,10,4,10
415,6,1,6
416,7,8,3
417,2,3,2
418,6,1,6
419,6,1,6
420,6,10,8
421,10,4,10
422,6,0,0
423,10,4,10
424,7,8,3
425,0,8,3
426,6,0,0
427,10,9,7
428,6,0,0
429,10,4,10
430,7,8,3
431,10,2,5
432,7,8,3
433,6,1,6
434,6,0,0
435,7,8,3
436,4,3,2
437,7,8,3
438,6,1,6
439,3,8,3
440,6,10,8
441,6,0,0
442,6,1,6
443,10,4,10
444,7,8,3
445,10,4,10
446,0,8,3
447,10,2,5
448,9,6,9
449,6,1,6
450,1,5,1
451,6,1,6
452,4,7,4
453,3,8,3
454,6,10,8
455,10,4,10
456,7,8,3
457,3,8,3
458,6,1,6
459,10,9,7
460,6,1,6
461,6,1,6
462,10,4,10
463,6,1,6
464,0,8,3
465,10,2,5
466,6,10,8
467,9,6,9
468,7,8,3
469,3,8,3
470,6,1,6
471,10,4,10
472,1,5,1
473,6,10,8
474,10,4,10
475,6,0,0
476,6,1,6
477,10,4,10
478,6,1,6
479,4,7,4
480,10,4,10
481,6,1,6
482,6,0,0
483,1,5,1
484,4,7,4
485,6,0,0
486,6,0,0
487,10,4,10
488,7,8,3
489,2,3,2
490,6,1,6
491,3,8,3
492,3,8,3
493,6,1,6
494,10,4,10
495,6,1,6
496,6,0,0
497,7,8,3
498,7,8,3
499,6,1,6
500,6,0,0
501,4,7,4
502,10,4,10
503,6,1,6
504,1,5,1
505,6,1,6
506,10,4,10
507,7,8,3
508,6,1,6
509,7,8,3
510,6,1,6
511,10,4,10
512,10,4,10
513,1,5,1
514,6,1,6
515,6,1,6
516,6,1,6
517,2,3,2
518,6,1,6
519,10,4,10
520,10,4,10
521,10,4,10
522,3,8,3
523,10,4,10
524,10,4,10
525,10,4,10
526,3,8,3
527,10,4,10
528,10,4,10
529,6,1,6
530,10,4,10
531,10,4,10
532,6,1,6
533,10,4,10
534,6,1,6
535,6,1,6
536,10,9,7
537,6,10,8
538,10,4,10
539,10,4,10
540,10,4,10
541,10,9,7
542,10,4,10
543,10,4,10
544,0,8,3
545,10,4,10
546,10,4,10
547,4,7,4
548,10,9,7
549,6,1,6
550,6,1,6
551,0,8,3
552,4,7,4
553,10,4,10
554,10,9,7
555,4,7,4
556,10,4,10
557,4,7,4
558,10,4,10
559,0,8,3
560,6,1,6
561,4,7,4
562,6,1,6
563,6,0,0
564,10,4,10
565,6,1,6
566,10,4,10
567,10,4,10
568,10,4,10
569,6,10,8
570,6,1,6
571,4,7,4
572,6,1,6
573,6,1,6
574,6,10,8
575,4,7,4
576,10,9,7
577,6,1,6
578,6,1,6
579,10,2,5
580,10,4,10
581,10,9,7
582,6,1,6
583,6,1,6
584,10,4,10
585,2,3,2
586,10,4,10
587,6,1,6
588,6,1,6
589,10,4,10
590,6,1,6
591,10,4,10
592,10,4,10
593,10,2,5
594,6,1,6
595,3,8,3
596,6,4,10
597,10,4,10
598,10,4,10
599,5,8,3
600,7,8,3
601,3,8,3
602,10,4,10
603,10,2,5
604,6,1,6
605,10,2,5
606,6,1,6
607,6,1,6
608,6,1,6
609,4,7,4
610,6,10,8
611,6,10,8
612,6,1,6
613,6,10,8
614,6,1,6
615,6,1,6
616,6,1,6
617,6,1,6
618,6,1,6
619,6,1,6
620,6,1,6
621,10,2,5
622,10,4,10
623,10,4,10
624,10,4,10
625,10,4,10
626,10,9,7
627,10,9,7
628,10,4,10
629,6,10,8
630,10,4,10
631,10,4,10
632,10,4,10
633,7,8,3
634,10,4,10
635,10,9,7
636,5,8,3
637,3,8,3
638,6,1,6
639,4,7,4
640,10,4,10
641,10,4,10
642,6,1,6
643,10,4,10
644,6,1,6
645,3,8,3
646,10,4,10
647,9,6,9
648,10,4,10
649,7,8,3
650,6,0,0
651,6,0,0
652,3,8,3
653,10,4,10
654,9,6,9
655,10,4,10
656,10,9,7
657,5,8,3
658,10,4,10
659,10,4,10
660,10,4,10
661,7,8,3
662,10,9,7
663,10,4,10
664,3,8,3
665,3,8,3
666,10,4,10
667,6,0,0
668,6,1,6
669,10,4,10
670,6,0,0
671,3,8,3
672,3,8,3
673,7,8,3
674,10,4,10
675,9,6,9
676,8,8,3
677,0,8,3
678,1,5,1
679,2,3,2
680,10,4,10
681,10,4,10
682,10,9,7
683,10,4,10
684,3,8,3
685,7,8,3
686,3,8,3
687,6,10,8
688,6,1,6
689,10,4,10
690,10,4,10
691,10,4,10
692,3,8,3
693,6,10,8
694,10,9,7
695,10,4,10
696,5,8,3
697,10,9,7
698,6,1,6
699,10,4,10
700,5,8,3
701,3,8,3
702,10,4,10
703,6,0,0
704,8,8,3
705,10,4,10
706,3,8,3
707,7,8,3
708,3,8,3
709,3,8,3
710,7,8,3
711,3,8,3
712,10,4,10
713,9,6,9
714,3,8,3
715,6,1,6
716,7,8,3
717,7,8,3
718,0,8,3
719,3,8,3
720,10,4,10
721,3,8,3
722,5,8,3
723,5,8,3
724,3,8,3
725,10,4,10
726,9,6,9
727,4,7,4
728,1,5,1
729,4,7,4
730,6,1,6
731,6,0,0
732,6,10,8
733,6,0,0
734,4,7,4
735,6,1,6
736,6,1,6
737,10,4,10
738,6,0,0
739,10,4,10
740,10,4,10
741,6,10,8
742,10,4,10
743,10,4,10
744,7,8,3
745,7,8,3
746,6,0,0
747,3,8,3
748,10,4,10
749,3,8,3
750,7,8,3
751,10,4,10
752,7,8,3
753,3,8,3
754,1,5,1
755,10,9,7
756,1,5,1
757,9,6,9
758,7,8,3
759,7,8,3
760,3,8,3
761,10,4,10
762,9,6,9
763,3,8,3
764,3,8,3
765,10,4,10
766,10,4,10
767,9,6,9
768,3,8,3
769,4,7,4
770,3,8,3
771,10,4,10
772,6,1,6
773,10,4,10
774,10,2,5
775,10,4,10
776,2,3,2
777,4,7,4
778,10,4,10
