cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,5,8
1,5,6,5
2,2,5,8
3,7,1,7
4,2,5,8
5,5,6,5
6,0,7,0
7,2,5,8
8,7,1,7
9,2,0,3
10,7,1,7
11,2,3,2
12,7,1,7
13,7,1,7
14,5,6,5
15,6,8,6
16,7,1,7
17,2,5,8
18,2,5,8
19,7,1,7
20,2,5,8
21,7,9,10
22,8,2,4
23,7,1,7
24,2,3,2
25,2,5,8
26,5,6,5
27,5,6,5
28,7,9,10
29,7,1,7
30,7,9,10
31,6,8,6
32,7,9,10
33,7,1,7
34,2,0,3
35,5,6,5
36,2,5,8
37,2,5,8
38,8,2,4
39,7,1,7
40,2,5,8
41,7,9,10
42,2,5,8
43,7,1,7
44,2,0,3
45,2,5,8
46,2,5,8
47,1,4,1
48,2,5,8
49,2,3,2
50,2,3,2
51,7,9,10
52,4,2,4
53,2,5,8
54,7,1,7
55,7,9,10
56,7,9,10
57,2,5,8
58,5,6,5
59,2,0,3
60,2,5,8
61,2,5,8
62,2,5,8
63,2,6,5
64,2,5,8
65,5,6,5
66,7,1,7
67,2,5,8
68,7,1,7
69,2,5,8
70,8,2,4
71,5,6,5
72,2,0,3
73,5,6,5
74,2,5,8
75,3,6,5
76,7,9,10
77,2,5,8
78,7,1,7
79,2,5,8
80,2,3,2
81,7,9,10
82,7,1,7
83,2,5,8
84,3,6,5
85,7,1,7
86,7,1,7
87,1,4,1
88,4,2,4
89,7,1,7
90,7,9,10
91,7,1,7
92,8,2,4
93,9,1,7
94,2,5,8
95,7,9,10
96,8,2,4
97,7,1,7
98,10,4,1
99,2,3,2
100,7,9,10
101,2,3,2
102,2,0,3
103,7,1,7
104,8,2,4
105,7,9,10
106,7,1,7
107,2,5,8
108,8,2,4
109,7,1,7
110,7,1,7
111,0,7,0
112,7,1,7
113,4,2,4
114,7,1,7
115,1,4,1
116,2,0,3
117,2,0,3
118,4,2,4
119,7,1,7
120,9,10,9
121,2,5,8
122,8,2,4
123,7,9,10
124,2,5,8
125,2,5,8
126,2,5,8
127,5,6,5
128,5,6,5
129,2,5,8
130,4,2,4
131,2,5,8
132,4,2,4
133,2,5,8
134,1,4,1
135,2,5,8
136,2,3,2
137,5,6,5
138,2,3,2
139,5,6,5
140,7,1,7
141,10,4,1
142,2,5,8
143,2,3,2
144,6,8,6
145,2,0,3
146,5,6,5
147,7,1,7
148,7,1,7
149,10,4,1
150,7,9,10
151,7,1,7
152,5,6,5
153,2,0,3
154,2,3,2
155,2,5,8
156,4,2,4
157,7,9,10
158,2,5,8
159,7,1,7
160,7,1,7
161,2,3,2
162,7,1,7
163,2,3,2
164,7,1,7
165,4,2,4
166,2,0,3
167,7,9,10
168,7,9,10
169,2,0,3
170,4,2,4
171,5,6,5
172,2,3,2
173,7,1,7
174,8,2,4
175,8,2,4
176,7,1,7
177,7,1,7
178,8,2,4
179,7,9,10
180,5,6,5
181,2,5,8
182,1,4,1
183,8,2,4
184,7,9,10
185,7,1,7
186,7,1,7
187,4,2,4
188,8,2,4
189,2,3,2
190,2,5,8
191,7,1,7
192,2,3,2
193,5,6,5
194,7,1,7
195,0,7,0
196,7,1,7
197,7,1,7
198,2,5,8
199,7,9,10
200,10,4,1
201,5,6,5
202,2,5,8
203,5,6,5
204,7,9,10
205,2,5,8
206,5,6,5
207,2,5,8
208,7,1,7
209,2,5,8
210,2,3,2
211,7,1,7
212,1,4,1
213,7,1,7
214,8,2,4
215,3,6,5
216,5,6,5
217,7,1,7
218,7,1,7
219,5,6,5
220,2,5,8
221,7,1,7
222,7,1,7
223,6,8,6
224,5,6,5
225,7,9,10
226,2,5,8
227,2,5,8
228,3,6,5
229,7,9,10
230,7,1,7
231,7,1,7
232,7,1,7
233,2,5,8
234,5,6,5
235,2,5,8
236,2,1,7
237,2,5,8
238,8,2,4
239,2,5,8
240,2,5,8
241,7,1,7
242,8,2,4
243,4,2,4
244,1,4,1
245,10,4,1
246,7,1,7
247,7,1,7
248,9,2,4
249,5,6,5
250,7,1,7
251,7,1,7
252,7,1,7
253,7,1,7
254,2,5,8
255,5,6,5
256,7,1,7
257,2,5,8
258,5,6,5
259,2,0,3
260,7,1,7
261,2,5,8
262,7,9,10
263,2,3,2
264,7,9,10
265,2,5,8
266,7,9,10
267,2,5,8
268,2,5,8
269,7,1,7
270,3,6,5
271,7,1,7
272,2,5,8
273,7,1,7
274,2,3,2
275,7,9,10
276,2,5,8
277,7,1,7
278,7,9,10
279,0,7,0
