cell_id,true_label,pred_label_raw,pred_label_aligned
0,10,6,10
1,4,10,4
2,10,6,10
3,6,9,5
4,10,6,10
5,4,10,4
6,0,7,3
7,10,6,10
8,6,9,5
9,10,6,10
10,6,9,5
11,10,6,10
12,6,9,5
13,6,9,5
14,4,10,4
15,5,5,7
16,6,2,6
17,10,6,10
18,10,6,10
19,6,9,5
20,10,6,10
21,6,0,1
22,7,5,7
23,6,9,5
24,10,6,10
25,10,6,10
26,4,10,4
27,4,10,4
28,6,0,1
29,6,9,5
30,6,0,1
31,5,5,7
32,6,0,1
33,6,9,5
34,10,6,10
35,4,10,4
36,10,6,10
37,10,6,10
38,7,5,7
39,6,2,6
40,10,6,10
41,6,0,1
42,10,6,10
43,6,2,6
44,10,6,10
45,10,6,10
46,10,6,10
47,1,5,7
48,10,6,10
49,10,6,10
50,10,6,10
51,6,0,1
52,3,5,7
53,10,6,10
54,6,9,5
55,6,0,1
56,6,0,1
57,10,6,10
58,4,10,4
59,10,6,10
60,10,6,10
61,10,6,10
62,10,6,10
63,10,10,4
64,10,6,10
65,4,10,4
66,6,2,6
67,10,6,10
68,6,2,6
69,10,6,10
70,7,5,7
71,4,10,4
72,10,6,10
73,4,10,4
74,10,6,10
75,2,4,2
76,6,0,1
77,10,6,10
78,6,9,5
79,10,6,10
80,10,6,10
81,6,0,1
82,6,2,6
83,10,6,10
84,2,4,2
85,6,9,5
86,6,9,5
87,1,5,7
88,3,5,7
89,6,9,5
90,6,0,1
91,6,9,5
92,7,5,7
93,8,9,5
94,10,6,10
95,6,0,1
96,7,5,7
97,6,9,5
98,9,5,7
99,10,6,10
100,6,0,1
101,10,3,9
102,10,6,10
103,6,9,5
104,7,5,7
105,6,0,1
106,6,9,5
107,10,6,10
108,7,5,7
109,6,2,6
110,6,9,5
111,0,7,3
112,6,2,6
113,3,7,3
114,6,2,6
115,1,5,7
116,10,6,10
117,10,6,10
118,3,5,7
119,6,9,5
120,8,1,8
121,10,6,10
