cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,7,2
1,5,4,5
2,2,7,2
3,7,5,10
4,2,7,2
5,5,4,5
6,0,3,0
7,2,7,2
8,7,1,7
9,2,2,4
10,7,1,7
11,2,2,4
12,7,1,7
13,7,5,10
14,5,4,5
15,6,0,8
16,7,1,7
17,2,7,2
18,2,7,2
19,7,5,10
20,2,7,2
21,7,10,1
22,8,0,8
23,7,1,7
24,2,7,2
25,2,7,2
26,5,4,5
27,5,4,5
28,7,10,1
29,7,1,7
30,7,10,1
31,6,0,8
32,7,10,1
33,7,1,7
34,2,2,4
35,5,4,5
36,2,7,2
37,2,7,2
38,8,0,8
39,7,1,7
40,2,7,2
41,7,10,1
42,2,7,2
43,7,1,7
44,2,2,4
45,2,7,2
46,2,7,2
47,1,3,0
48,2,7,2
49,2,7,2
50,2,2,4
51,7,10,1
52,4,9,9
53,2,7,2
54,7,1,7
55,7,10,1
56,7,10,1
57,2,7,2
58,5,4,5
59,2,2,4
60,2,7,2
61,2,7,2
62,2,7,2
63,2,4,5
64,2,7,2
65,5,4,5
66,7,1,7
67,2,2,4
68,7,1,7
69,2,7,2
70,8,0,8
71,5,4,5
72,2,10,1
73,5,4,5
74,2,7,2
75,3,8,3
76,7,10,1
77,2,7,2
78,7,5,10
79,2,7,2
80,2,2,4
81,7,10,1
82,7,1,7
83,2,7,2
84,3,8,3
85,7,1,7
86,7,1,7
87,1,3,0
88,4,9,9
89,7,1,7
90,7,10,1
91,7,1,7
92,8,0,8
93,9,1,7
94,2,7,2
95,7,10,1
96,8,0,8
97,7,1,7
98,10,3,0
99,2,7,2
100,7,10,1
101,2,10,1
102,2,2,4
103,7,1,7
104,8,0,8
105,7,10,1
106,7,1,7
107,2,7,2
108,8,0,8
109,7,1,7
110,7,1,7
111,0,3,0
112,7,1,7
113,4,0,8
114,7,1,7
115,1,3,0
116,2,2,4
117,2,2,4
118,4,0,8
119,7,5,10
120,9,9,9
121,2,7,2
122,8,0,8
123,7,10,1
124,2,2,4
125,2,7,2
126,2,7,2
127,5,4,5
128,5,4,5
129,2,7,2
130,4,0,8
131,2,7,2
132,4,9,9
133,2,7,2
134,1,3,0
135,2,7,2
136,2,7,2
137,5,4,5
138,2,2,4
139,5,4,5
140,7,1,7
141,10,3,0
142,2,7,2
143,2,10,1
144,6,0,8
145,2,2,4
146,5,4,5
147,7,1,7
148,7,5,10
149,10,3,0
150,7,10,1
151,7,1,7
152,5,4,5
153,2,2,4
154,2,7,2
155,2,7,2
156,4,0,8
157,7,10,1
158,2,7,2
159,7,1,7
160,7,1,7
161,2,10,1
162,7,1,7
163,2,10,1
164,7,1,7
165,4,0,8
166,2,2,4
167,7,10,1
168,7,10,1
169,2,2,4
170,4,0,8
171,5,4,5
172,2,7,2
173,7,1,7
174,8,0,8
175,8,0,8
176,7,5,10
177,7,1,7
178,8,0,8
179,7,10,1
180,5,4,5
181,2,7,2
182,1,3,0
183,8,0,8
184,7,10,1
185,7,1,7
186,7,1,7
187,4,0,8
188,8,0,8
189,2,2,4
190,2,7,2
191,7,1,7
192,2,2,4
193,5,4,5
194,7,1,7
195,0,3,0
196,7,1,7
197,7,1,7
198,2,7,2
199,7,10,1
200,10,3,0
201,5,4,5
202,2,7,2
203,5,4,5
204,7,10,1
205,2,7,2
206,5,4,5
207,2,7,2
208,7,1,7
209,2,7,2
210,2,7,2
211,7,1,7
212,1,3,0
213,7,1,7
214,8,0,8
215,3,8,3
216,5,4,5
217,7,1,7
218,7,1,7
219,5,4,5
220,2,7,2
221,7,5,10
222,7,1,7
223,6,0,8
224,5,4,5
225,7,10,1
226,2,7,2
227,2,7,2
228,3,8,3
229,7,10,1
230,7,1,7
231,7,1,7
232,7,1,7
233,2,7,2
234,5,4,5
235,2,7,2
236,2,10,1
237,2,7,2
238,8,0,8
239,2,7,2
240,2,7,2
241,7,1,7
242,8,0,8
243,4,0,8
244,1,3,0
245,10,3,0
246,7,5,10
247,7,1,7
248,9,9,9
249,5,4,5
250,7,1,7
251,7,1,7
252,7,1,7
253,7,10,1
254,2,7,2
255,5,4,5
256,7,1,7
257,2,7,2
258,5,4,5
259,2,2,4
260,7,1,7
261,2,7,2
262,7,10,1
263,2,2,4
264,7,10,1
265,2,7,2
266,7,10,1
267,2,7,2
268,2,7,2
269,7,1,7
270,3,8,3
271,7,5,10
272,2,7,2
273,7,1,7
274,2,7,2
275,7,10,1
276,2,7,2
277,7,1,7
278,7,10,1
279,0,3,0
280,7,1,7
281,2,7,2
282,4,0,8
283,2,7,2
284,7,10,1
285,1,3,0
286,7,1,7
287,7,1,7
