cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,9,9
1,5,4,5
2,2,9,9
3,7,1,7
4,2,9,9
5,5,4,5
6,0,2,0
7,2,9,9
8,7,7,1
9,2,10,10
10,7,7,1
11,2,0,2
12,7,1,7
13,7,1,7
14,5,4,5
15,6,5,6
16,7,1,7
17,2,9,9
18,2,9,9
19,7,1,7
20,2,9,9
21,7,8,8
22,8,3,4
23,7,1,7
24,2,0,2
25,2,9,9
26,5,4,5
27,5,4,5
28,7,8,8
29,7,7,1
30,7,8,8
31,6,5,6
32,7,8,8
33,7,7,1
34,2,10,10
35,5,4,5
36,2,9,9
37,2,9,9
38,8,3,4
39,7,7,1
40,2,9,9
41,7,8,8
42,2,9,9
43,7,1,7
44,2,10,10
45,2,9,9
46,2,9,9
47,1,2,0
48,2,9,9
49,2,0,2
50,2,0,2
51,7,8,8
52,4,3,4
53,2,9,9
54,7,1,7
55,7,8,8
56,7,8,8
57,2,9,9
58,5,4,5
59,2,10,10
60,2,9,9
61,2,9,9
62,2,9,9
63,2,4,5
64,2,9,9
65,5,4,5
66,7,1,7
67,2,9,9
68,7,1,7
69,2,9,9
70,8,3,4
71,5,4,5
72,2,10,10
73,5,4,5
74,2,9,9
75,3,6,3
76,7,8,8
77,2,9,9
78,7,1,7
79,2,9,9
80,2,0,2
81,7,8,8
82,7,1,7
83,2,9,9
84,3,6,3
85,7,1,7
86,7,7,1
87,1,2,0
88,4,3,4
89,7,1,7
90,7,8,8
91,7,1,7
92,8,3,4
93,9,1,7
94,2,9,9
95,7,8,8
96,8,3,4
97,7,1,7
98,10,2,0
99,2,0,2
100,7,8,8
101,2,10,10
102,2,10,10
103,7,1,7
104,8,3,4
105,7,8,8
106,7,1,7
107,2,9,9
108,8,3,4
109,7,7,1
110,7,1,7
111,0,2,0
112,7,7,1
113,4,3,4
114,7,7,1
115,1,2,0
116,2,10,10
117,2,10,10
118,4,3,4
119,7,1,7
120,9,3,4
121,2,9,9
122,8,3,4
123,7,8,8
124,2,9,9
125,2,9,9
126,2,9,9
127,5,4,5
128,5,4,5
129,2,9,9
130,4,3,4
131,2,9,9
132,4,3,4
133,2,9,9
134,1,2,0
135,2,9,9
136,2,0,2
137,5,4,5
138,2,0,2
139,5,4,5
140,7,1,7
141,10,2,0
142,2,9,9
143,2,10,10
144,6,5,6
145,2,10,10
146,5,4,5
147,7,1,7
148,7,1,7
149,10,2,0
150,7,8,8
151,7,7,1
152,5,4,5
153,2,10,10
154,2,0,2
155,2,9,9
156,4,3,4
157,7,8,8
158,2,9,9
159,7,1,7
160,7,1,7
161,2,10,10
162,7,1,7
163,2,10,10
164,7,7,1
165,4,3,4
166,2,10,10
167,7,8,8
168,7,8,8
169,2,10,10
170,4,3,4
