cell_id,true_label,pred_label_raw,pred_label_aligned
0,1,2,1
1,4,1,4
2,1,2,1
3,1,2,1
4,5,7,8
5,5,7,8
6,1,2,1
7,3,6,3
8,1,2,1
9,0,3,0
10,0,3,0
11,1,2,1
12,2,4,2
13,1,2,1
14,1,2,1
15,2,4,2
16,2,1,4
17,0,3,0
18,1,2,1
19,4,1,4
20,0,3,0
21,3,6,3
22,0,3,0
23,1,2,1
24,2,4,2
25,4,1,4
26,0,3,0
27,0,3,0
28,0,3,0
29,1,5,7
30,1,2,1
31,7,5,7
32,4,1,4
33,4,1,4
34,7,5,7
35,0,3,0
36,0,3,0
37,1,2,1
38,3,6,3
39,4,1,4
40,4,1,4
41,0,3,0
42,4,1,4
43,0,3,0
44,4,1,4
45,4,1,4
46,0,3,0
47,1,0,5
48,4,1,4
49,1,2,1
50,4,1,4
51,1,5,7
52,2,4,2
53,0,3,0
54,0,3,0
55,4,1,4
56,8,7,8
57,0,3,0
58,1,2,1
59,0,3,0
60,1,2,1
61,1,2,1
62,1,2,1
63,0,3,0
64,0,3,0
65,7,5,7
66,4,1,4
67,1,2,1
68,4,7,8
69,1,2,1
70,2,4,2
71,0,3,0
72,0,3,0
73,5,7,8
74,2,3,0
75,4,7,8
76,1,2,1
77,0,3,0
78,0,3,0
79,0,3,0
80,1,2,1
81,7,5,7
82,1,2,1
83,7,5,7
84,1,2,1
85,3,6,3
86,4,7,8
87,7,5,7
88,0,3,0
89,0,3,0
90,2,4,2
91,0,3,0
92,4,1,4
93,1,2,1
94,2,4,2
95,0,3,0
96,2,4,2
97,1,2,1
98,0,3,0
99,0,3,0
100,2,4,2
101,1,2,1
102,5,7,8
103,0,3,0
104,4,1,4
105,1,2,1
106,0,3,0
107,0,3,0
108,0,3,0
109,4,1,4
110,4,1,4
111,1,2,1
112,2,4,2
113,3,6,3
114,0,3,0
115,4,1,4
116,1,2,1
117,0,3,0
118,1,2,1
119,1,2,1
120,1,2,1
121,4,1,4
122,0,3,0
123,1,2,1
124,0,3,0
125,3,6,3
126,1,2,1
127,1,2,1
128,0,3,0
129,4,1,4
130,4,7,8
131,1,4,2
132,0,3,0
133,0,3,0
134,1,2,1
135,4,7,8
136,1,2,1
137,4,7,8
138,1,2,1
139,0,3,0
140,4,1,4
141,7,5,7
142,1,2,1
143,4,3,0
144,1,2,1
145,3,6,3
146,1,2,1
147,2,4,2
148,1,2,1
149,7,5,7
150,1,2,1
151,0,3,0
152,4,3,0
153,1,2,1
154,4,1,4
155,0,3,0
156,4,1,4
157,0,3,0
158,4,1,4
159,0,3,0
160,0,3,0
161,4,1,4
162,1,2,1
163,0,3,0
164,1,2,1
165,0,3,0
166,1,2,1
167,0,3,0
168,4,1,4
169,4,1,4
170,4,3,0
171,1,2,1
172,2,4,2
173,4,1,4
174,0,3,0
175,0,3,0
176,1,2,1
177,1,4,2
178,0,3,0
179,7,5,7
180,4,1,4
181,1,0,5
182,1,0,5
183,7,5,7
184,1,0,5
185,7,5,7
186,3,6,3
187,1,0,5
188,1,0,5
189,1,0,5
190,5,7,8
191,1,0,5
192,2,4,2
193,2,4,2
194,1,0,5
195,1,0,5
196,1,0,5
197,3,6,3
198,7,5,7
199,1,0,5
200,3,6,3
201,1,0,5
202,7,5,7
203,2,4,2
204,1,0,5
205,1,0,5
206,2,4,2
207,1,0,5
208,2,4,2
209,1,0,5
210,3,6,3
211,1,0,5
212,3,6,3
213,1,0,5
214,1,0,5
215,2,4,2
216,3,6,3
217,1,0,5
218,1,0,5
219,2,4,2
220,2,4,2
221,4,1,4
222,1,0,5
223,3,6,3
224,3,6,3
225,7,5,7
226,1,0,5
227,1,0,5
228,1,0,5
229,8,7,8
230,1,0,5
231,4,1,4
232,7,5,7
233,7,5,7
234,0,3,0
235,1,0,5
236,1,0,5
237,2,4,2
238,7,5,7
239,7,5,7
240,7,5,7
241,3,6,3
242,2,4,2
243,1,0,5
244,2,4,2
245,2,4,2
246,2,4,2
247,3,4,2
248,1,0,5
249,2,4,2
250,2,4,2
251,3,6,3
252,2,4,2
253,7,5,7
254,1,0,5
255,2,4,2
256,1,0,5
257,7,5,7
258,2,4,2
259,3,6,3
260,2,4,2
261,8,7,8
262,3,6,3
263,2,4,2
264,4,1,4
265,1,0,5
266,1,0,5
267,3,6,3
268,2,4,2
269,7,5,7
270,2,4,2
271,1,0,5
272,2,4,2
273,1,0,5
274,2,4,2
275,2,4,2
276,1,0,5
277,1,0,5
278,2,4,2
279,1,0,5
280,1,0,5
281,3,6,3
282,1,0,5
283,1,0,5
284,1,0,5
285,1,0,5
286,3,6,3
287,1,0,5
288,7,5,7
289,7,5,7
290,1,0,5
291,3,6,3
292,7,5,7
293,1,0,5
294,4,7,8
295,2,4,2
296,2,4,2
297,1,0,5
298,1,0,5
299,2,4,2
300,4,4,2
301,2,4,2
302,4,1,4
303,7,5,7
304,7,5,7
305,1,0,5
306,2,4,2
307,4,1,4
308,2,4,2
309,4,1,4
310,7,5,7
311,4,1,4
312,2,4,2
313,1,0,5
314,7,5,7
315,1,0,5
316,4,1,4
317,2,4,2
318,1,0,5
319,2,4,2
320,1,0,5
321,1,0,5
322,1,0,5
323,7,5,7
324,2,4,2
325,1,0,5
326,2,4,2
327,2,4,2
328,3,6,3
329,1,0,5
330,7,5,7
331,4,1,4
332,2,4,2
333,3,6,3
334,1,0,5
335,1,0,5
336,7,5,7
337,1,0,5
338,1,0,5
339,7,5,7
340,3,6,3
341,2,1,4
342,3,6,3
343,7,5,7
344,7,5,7
345,4,1,4
346,1,0,5
347,2,4,2
348,1,0,5
349,2,4,2
350,2,4,2
351,1,2,1
352,2,4,2
353,1,0,5
354,1,2,1
355,1,0,5
356,1,0,5
357,7,5,7
358,1,0,5
359,1,0,5
360,2,4,2
361,2,4,2
362,1,0,5
363,2,4,2
364,1,0,5
365,1,0,5
366,3,6,3
367,7,5,7
368,3,6,3
369,1,0,5
370,2,4,2
371,1,0,5
372,2,4,2
373,2,4,2
374,2,4,2
375,1,0,5
376,1,0,5
377,1,0,5
378,3,6,3
379,3,6,3
380,2,4,2
381,0,3,0
382,1,0,5
383,2,4,2
384,2,4,2
385,1,0,5
386,2,4,2
387,3,6,3
388,2,4,2
389,7,5,7
390,1,0,5
391,8,7,8
392,1,0,5
393,1,0,5
394,1,0,5
395,2,4,2
396,1,0,5
397,3,6,3
398,1,0,5
399,3,6,3
400,2,4,2
401,1,0,5
402,3,6,3
403,2,4,2
404,2,4,2
405,3,6,3
406,1,0,5
407,1,0,5
408,2,4,2
409,1,0,5
410,1,0,5
411,1,0,5
412,1,0,5
413,3,6,3
414,1,0,5
415,2,4,2
416,1,0,5
417,7,5,7
418,1,0,5
419,2,4,2
420,1,0,5
421,1,0,5
422,2,4,2
423,1,0,5
424,1,0,5
425,7,5,7
426,1,0,5
427,2,4,2
428,1,2,1
429,1,0,5
430,1,0,5
431,1,0,5
432,2,4,2
433,7,5,7
434,3,6,3
435,2,4,2
436,3,6,3
437,2,4,2
438,4,1,4
439,1,0,5
440,4,1,4
441,7,5,7
442,1,0,5
443,1,0,5
444,1,0,5
445,1,0,5
446,2,4,2
447,1,0,5
448,1,0,5
449,1,0,5
450,1,0,5
451,1,0,5
452,2,4,2
453,7,5,7
454,1,2,1
455,1,0,5
456,1,0,5
457,2,4,2
458,3,6,3
459,1,0,5
460,1,0,5
461,2,4,2
462,1,0,5
463,1,0,5
464,1,0,5
465,2,4,2
466,1,0,5
467,1,0,5
468,1,0,5
469,2,4,2
470,8,7,8
471,1,0,5
472,3,6,3
473,8,7,8
474,3,6,3
475,6,5,7
476,1,0,5
477,7,5,7
478,2,4,2
479,1,2,1
480,3,6,3
481,2,4,2
482,1,0,5
483,2,4,2
484,2,4,2
485,1,0,5
486,2,4,2
487,2,4,2
488,1,0,5
489,1,0,5
490,1,0,5
491,2,4,2
492,2,4,2
493,2,4,2
494,2,4,2
495,1,0,5
496,1,0,5
497,2,4,2
498,1,0,5
499,3,6,3
500,1,0,5
501,2,4,2
502,1,0,5
503,3,6,3
504,2,4,2
505,1,0,5
506,2,4,2
507,2,0,5
508,1,0,5
509,1,0,5
510,3,6,3
511,2,4,2
512,1,0,5
513,7,5,7
514,2,4,2
515,2,4,2
516,1,0,5
517,2,4,2
518,1,0,5
519,1,0,5
520,2,4,2
521,1,0,5
522,7,5,7
523,2,4,2
524,2,4,2
525,2,4,2
526,2,4,2
527,4,1,4
528,1,0,5
529,3,6,3
530,1,0,5
531,1,0,5
532,2,4,2
533,1,0,5
534,2,4,2
535,1,0,5
536,0,3,0
537,1,0,5
538,3,6,3
539,3,6,3
540,7,3,0
541,7,5,7
542,1,0,5
543,1,0,5
544,3,6,3
545,2,4,2
546,1,0,5
547,4,1,4
548,2,4,2
549,1,0,5
550,1,0,5
551,3,6,3
552,7,5,7
553,2,4,2
554,1,0,5
555,1,0,5
556,1,0,5
557,3,6,3
558,1,0,5
559,1,0,5
560,1,0,5
561,2,4,2
562,1,0,5
563,2,4,2
564,3,6,3
565,2,4,2
566,7,5,7
567,1,0,5
568,1,0,5
569,2,4,2
570,7,5,7
571,1,0,5
572,1,0,5
573,1,4,2
574,2,4,2
575,3,6,3
576,3,6,3
577,1,0,5
578,2,4,2
579,1,0,5
580,1,0,5
581,1,0,5
582,1,0,5
583,7,5,7
584,2,4,2
585,1,0,5
586,1,0,5
587,2,4,2
588,7,5,7
589,1,0,5
590,2,4,2
591,3,6,3
592,1,0,5
593,1,0,5
594,3,6,3
595,2,4,2
596,1,0,5
597,2,4,2
598,2,4,2
599,2,4,2
600,1,0,5
601,2,4,2
602,1,0,5
603,2,4,2
604,1,0,5
605,1,0,5
606,1,0,5
607,3,6,3
608,7,5,7
609,1,0,5
610,7,5,7
611,1,0,5
612,1,0,5
613,1,0,5
614,1,0,5
615,2,4,2
616,2,4,2
617,2,4,2
618,5,7,8
619,3,6,3
620,2,4,2
621,4,1,4
622,3,6,3
623,7,5,7
624,1,0,5
625,3,6,3
626,2,4,2
627,7,5,7
628,2,4,2
629,1,0,5
630,1,0,5
631,7,5,7
632,7,5,7
633,7,5,7
634,2,4,2
635,1,0,5
636,2,4,2
637,3,6,3
638,7,5,7
639,2,4,2
640,2,4,2
641,1,0,5
642,1,0,5
643,2,4,2
644,1,0,5
645,1,0,5
646,2,4,2
647,0,3,0
648,0,3,0
649,1,0,5
650,1,0,5
651,2,4,2
652,3,6,3
653,1,0,5
654,1,0,5
655,1,0,5
656,2,4,2
657,1,0,5
658,1,0,5
659,7,5,7
660,7,5,7
661,4,4,2
662,3,6,3
663,1,0,5
664,1,0,5
665,2,4,2
666,2,4,2
667,1,0,5
668,6,5,7
669,1,0,5
670,1,0,5
671,2,4,2
672,2,4,2
673,1,0,5
674,7,5,7
675,3,6,3
676,3,6,3
677,7,5,7
678,1,0,5
679,3,6,3
680,1,0,5
681,1,0,5
682,1,0,5
683,2,4,2
684,2,4,2
685,2,5,7
686,1,0,5
687,1,0,5
688,7,5,7
689,7,5,7
690,3,6,3
691,2,4,2
692,2,4,2
693,3,6,3
694,1,0,5
695,3,2,1
696,1,0,5
697,7,5,7
698,1,0,5
699,1,0,5
700,2,4,2
701,1,0,5
702,1,2,1
703,1,0,5
704,1,0,5
705,1,0,5
706,1,0,5
707,1,0,5
708,2,4,2
709,1,2,1
710,1,0,5
711,1,0,5
712,8,7,8
713,1,0,5
714,7,5,7
715,1,0,5
716,3,6,3
717,7,5,7
718,2,4,2
719,2,4,2
720,1,0,5
721,2,7,8
722,3,6,3
723,1,0,5
724,1,0,5
725,1,0,5
726,1,0,5
727,3,6,3
728,4,1,4
729,1,0,5
730,1,0,5
731,1,0,5
732,2,7,8
733,3,6,3
734,1,0,5
735,3,6,3
736,3,6,3
737,2,4,2
738,4,1,4
739,1,0,5
740,1,0,5
741,3,6,3
742,2,4,2
743,3,6,3
744,3,6,3
745,1,0,5
746,3,6,3
747,1,0,5
748,2,0,5
749,2,4,2
750,4,1,4
751,2,4,2
752,2,4,2
753,2,4,2
