cell_id,true_label,pred_label_raw,pred_label_aligned
0,1,0,1
1,4,2,4
2,1,0,1
3,1,0,1
4,5,3,8
5,5,3,8
6,1,0,1
7,3,5,3
8,1,0,1
9,0,4,0
10,0,4,0
11,1,0,1
12,2,1,2
13,1,0,1
14,1,0,1
15,2,1,2
16,2,2,4
17,0,4,0
18,1,0,1
19,4,2,4
20,0,4,0
21,3,5,3
22,0,4,0
23,1,0,1
24,2,1,2
25,4,2,4
26,0,4,0
27,0,4,0
28,0,4,0
29,1,0,1
30,1,0,1
31,7,0,1
32,4,2,4
33,4,2,4
34,7,4,0
35,0,4,0
36,0,4,0
37,1,0,1
38,3,5,3
39,4,2,4
40,4,2,4
41,0,4,0
42,4,2,4
43,0,4,0
44,4,2,4
45,4,2,4
46,0,4,0
47,1,0,1
48,4,2,4
49,1,0,1
50,4,2,4
51,1,0,1
52,2,1,2
53,0,4,0
54,0,4,0
55,4,2,4
56,8,3,8
57,0,4,0
58,1,0,1
59,0,4,0
60,1,0,1
61,1,0,1
62,1,0,1
63,0,4,0
64,0,4,0
65,7,0,1
66,4,2,4
67,1,0,1
68,4,4,0
69,1,0,1
70,2,1,2
71,0,4,0
72,0,4,0
73,5,3,8
74,2,4,0
75,4,4,0
76,1,0,1
77,0,4,0
78,0,4,0
79,0,4,0
80,1,0,1
81,7,0,1
82,1,0,1
83,7,0,1
84,1,0,1
85,3,5,3
86,4,4,0
87,7,0,1
88,0,4,0
89,0,4,0
90,2,1,2
91,0,4,0
92,4,2,4
93,1,0,1
94,2,1,2
95,0,4,0
96,2,1,2
97,1,0,1
98,0,4,0
99,0,4,0
100,2,1,2
101,1,0,1
102,5,3,8
103,0,4,0
104,4,2,4
105,1,0,1
106,0,4,0
107,0,4,0
108,0,4,0
109,4,2,4
110,4,2,4
111,1,0,1
112,2,1,2
113,3,5,3
114,0,4,0
115,4,2,4
116,1,0,1
117,0,4,0
118,1,0,1
119,1,0,1
120,1,0,1
121,4,2,4
122,0,4,0
123,1,0,1
124,0,4,0
125,3,5,3
126,1,0,1
127,1,0,1
128,0,4,0
129,4,2,4
130,4,4,0
131,1,1,2
132,0,4,0
133,0,4,0
134,1,0,1
135,4,4,0
136,1,0,1
137,4,3,8
138,1,0,1
139,0,4,0
140,4,2,4
141,7,0,1
142,1,0,1
143,4,4,0
144,1,0,1
145,3,5,3
146,1,0,1
147,2,1,2
148,1,0,1
149,7,0,1
