cell_id,true_label,pred_label_raw,pred_label_aligned
0,1,1,1
1,4,2,4
2,1,1,1
3,1,1,1
4,5,5,5
5,5,5,5
6,1,1,1
7,3,6,3
8,1,1,1
9,0,4,0
10,0,4,0
11,1,1,1
12,2,8,2
13,1,1,1
14,1,1,1
15,2,8,2
16,2,2,4
17,0,4,0
18,1,1,1
19,4,2,4
20,0,4,0
21,3,6,3
22,0,4,0
23,1,1,1
24,2,8,2
25,4,2,4
26,0,4,0
27,0,4,0
28,0,4,0
29,1,1,1
30,1,1,1
31,7,0,7
32,4,2,4
33,4,2,4
34,7,0,7
35,0,4,0
36,0,4,0
37,1,1,1
38,3,6,3
39,4,2,4
40,4,2,4
41,0,4,0
42,4,2,4
43,0,4,0
44,4,2,4
45,4,2,4
46,0,4,0
47,1,1,1
48,4,2,4
49,1,1,1
50,4,2,4
51,1,0,7
52,2,8,2
53,0,4,0
54,0,4,0
55,4,2,4
56,8,3,8
57,0,4,0
58,1,1,1
59,0,4,0
60,1,1,1
61,1,1,1
62,1,1,1
63,0,4,0
64,0,4,0
65,7,0,7
66,4,2,4
67,1,1,1
68,4,7,6
69,1,1,1
70,2,8,2
71,0,4,0
72,0,4,0
73,5,5,5
74,2,4,0
75,4,7,6
76,1,1,1
77,0,4,0
78,0,4,0
79,0,4,0
80,1,1,1
81,7,0,7
82,1,1,1
83,7,0,7
84,1,1,1
85,3,6,3
86,4,7,6
87,7,0,7
88,0,4,0
89,0,4,0
90,2,8,2
91,0,4,0
92,4,2,4
93,1,1,1
94,2,8,2
95,0,4,0
96,2,8,2
97,1,1,1
98,0,4,0
99,0,4,0
100,2,8,2
101,1,1,1
102,5,5,5
103,0,4,0
104,4,2,4
105,1,1,1
106,0,4,0
107,0,4,0
108,0,4,0
109,4,2,4
110,4,2,4
111,1,1,1
112,2,8,2
113,3,6,3
114,0,4,0
115,4,2,4
116,1,1,1
117,0,4,0
118,1,1,1
119,1,1,1
120,1,1,1
121,4,2,4
122,0,4,0
123,1,1,1
124,0,4,0
125,3,6,3
126,1,1,1
127,1,1,1
128,0,4,0
129,4,2,4
130,4,7,6
131,1,8,2
132,0,4,0
133,0,4,0
134,1,1,1
135,4,7,6
136,1,1,1
137,4,3,8
138,1,1,1
139,0,4,0
140,4,2,4
141,7,0,7
142,1,1,1
143,4,4,0
144,1,1,1
145,3,6,3
146,1,1,1
147,2,8,2
148,1,1,1
149,7,0,7
150,1,1,1
151,0,4,0
152,4,4,0
153,1,1,1
154,4,2,4
155,0,4,0
156,4,2,4
157,0,4,0
158,4,2,4
159,0,4,0
160,0,4,0
161,4,2,4
162,1,1,1
163,0,4,0
164,1,1,1
165,0,4,0
166,1,1,1
167,0,4,0
168,4,2,4
169,4,2,4
170,4,4,0
171,1,1,1
172,2,8,2
173,4,2,4
174,0,4,0
175,0,4,0
176,1,1,1
177,1,8,2
178,0,4,0
179,7,0,7
180,4,2,4
181,1,1,1
182,1,1,1
183,7,0,7
184,1,1,1
185,7,0,7
186,3,6,3
187,1,1,1
188,1,1,1
189,1,1,1
190,5,5,5
191,1,1,1
192,2,8,2
193,2,8,2
194,1,1,1
195,1,1,1
196,1,1,1
197,3,6,3
198,7,0,7
199,1,1,1
200,3,6,3
201,1,1,1
202,7,0,7
203,2,8,2
204,1,1,1
205,1,1,1
206,2,8,2
207,1,1,1
208,2,8,2
209,1,1,1
210,3,6,3
211,1,1,1
212,3,6,3
213,1,1,1
214,1,1,1
215,2,8,2
216,3,6,3
217,1,1,1
218,1,1,1
219,2,8,2
220,2,8,2
221,4,2,4
222,1,1,1
223,3,6,3
224,3,6,3
225,7,0,7
226,1,1,1
227,1,1,1
228,1,1,1
229,8,3,8
230,1,1,1
231,4,2,4
232,7,0,7
233,7,0,7
234,0,4,0
235,1,1,1
236,1,1,1
237,2,8,2
238,7,0,7
239,7,0,7
240,7,0,7
241,3,6,3
242,2,8,2
243,1,1,1
244,2,8,2
245,2,8,2
246,2,8,2
247,3,8,2
248,1,1,1
249,2,8,2
250,2,8,2
251,3,6,3
252,2,8,2
253,7,0,7
254,1,1,1
255,2,8,2
256,1,1,1
257,7,0,7
258,2,8,2
259,3,6,3
260,2,8,2
261,8,3,8
262,3,6,3
263,2,8,2
264,4,2,4
265,1,1,1
266,1,1,1
267,3,6,3
268,2,8,2
269,7,0,7
270,2,8,2
271,1,1,1
272,2,8,2
273,1,1,1
274,2,8,2
275,2,8,2
276,1,1,1
277,1,1,1
278,2,8,2
279,1,1,1
280,1,1,1
281,3,6,3
282,1,1,1
283,1,1,1
284,1,1,1
285,1,1,1
286,3,6,3
287,1,1,1
288,7,0,7
289,7,0,7
290,1,1,1
291,3,6,3
292,7,0,7
293,1,1,1
294,4,7,6
295,2,8,2
296,2,8,2
297,1,1,1
298,1,1,1
299,2,8,2
300,4,8,2
301,2,8,2
302,4,2,4
303,7,0,7
304,7,0,7
305,1,1,1
306,2,8,2
307,4,2,4
308,2,8,2
309,4,2,4
310,7,0,7
311,4,2,4
312,2,8,2
313,1,1,1
314,7,0,7
315,1,1,1
316,4,2,4
317,2,8,2
318,1,1,1
319,2,8,2
320,1,1,1
321,1,1,1
322,1,1,1
323,7,0,7
324,2,8,2
325,1,1,1
326,2,8,2
327,2,8,2
328,3,6,3
329,1,1,1
330,7,0,7
331,4,2,4
332,2,8,2
333,3,6,3
334,1,1,1
335,1,1,1
336,7,0,7
337,1,1,1
338,1,1,1
339,7,0,7
340,3,6,3
341,2,2,4
342,3,6,3
343,7,0,7
344,7,0,7
345,4,2,4
346,1,1,1
347,2,8,2
348,1,1,1
349,2,8,2
350,2,8,2
351,1,1,1
352,2,8,2
353,1,1,1
354,1,1,1
355,1,1,1
356,1,1,1
357,7,0,7
358,1,1,1
359,1,1,1
360,2,8,2
361,2,8,2
