cell_id,true_label,pred_label_raw,pred_label_aligned
0,0,2,3
1,0,0,0
2,0,0,0
3,1,3,1
4,0,0,0
5,3,2,3
6,1,3,1
7,0,2,3
8,1,1,2
9,1,1,2
10,1,1,2
11,0,2,3
12,0,2,3
13,0,0,0
14,0,2,3
15,0,2,3
16,1,1,2
17,0,0,0
18,0,0,0
19,1,3,1
20,0,2,3
21,0,2,3
22,0,0,0
23,0,2,3
24,1,1,2
25,0,0,0
26,0,2,3
27,1,3,1
28,0,0,0
29,0,0,0
30,1,3,1
31,0,2,3
32,0,2,3
33,0,0,0
34,0,0,0
35,1,3,1
36,1,3,1
37,1,3,1
38,1,1,2
39,1,1,2
40,0,2,3
41,0,0,0
42,0,2,3
43,3,3,1
44,0,0,0
45,0,0,0
46,0,2,3
47,0,2,3
48,1,3,1
49,0,0,0
50,1,1,2
51,2,2,3
52,0,2,3
53,0,0,0
54,0,2,3
55,1,1,2
56,1,1,2
57,1,3,1
58,0,0,0
59,1,3,1
60,0,2,3
61,1,3,1
62,0,2,3
63,1,3,1
64,1,1,2
65,0,0,0
66,0,0,0
67,0,2,3
68,0,0,0
69,0,2,3
70,0,0,0
71,0,2,3
72,1,3,1
73,1,3,1
74,1,3,1
75,1,3,1
76,1,3,1
77,0,2,3
78,1,3,1
79,1,3,1
80,0,0,0
81,1,1,2
82,0,0,0
83,0,0,0
84,0,2,3
85,0,2,3
86,0,2,3
87,1,3,1
88,0,2,3
89,0,2,3
90,1,3,1
91,1,3,1
92,2,2,3
93,0,2,3
94,0,0,0
95,1,3,1
96,0,2,3
97,0,0,0
98,0,2,3
99,0,0,0
100,1,3,1
101,0,0,0
102,0,0,0
103,1,1,2
104,0,0,0
105,1,3,1
106,0,2,3
107,0,2,3
108,0,2,3
109,0,2,3
110,0,2,3
111,0,0,0
112,0,0,0
113,0,2,3
114,0,0,0
115,1,3,1
116,1,3,1
117,3,2,3
118,1,3,1
119,1,1,2
120,1,3,1
121,1,3,1
122,1,3,1
123,0,2,3
124,0,0,0
125,0,0,0
126,1,1,2
127,0,2,3
128,1,3,1
129,0,2,3
130,1,3,1
131,0,0,0
132,0,0,0
133,2,1,2
134,1,3,1
135,0,2,3
136,1,1,2
137,1,3,1
138,0,0,0
139,0,2,3
140,0,2,3
141,3,2,3
142,1,1,2
143,1,3,1
144,0,2,3
145,1,1,2
146,1,1,2
147,1,3,1
148,0,3,1
149,1,3,1
150,1,3,1
151,1,3,1
152,0,2,3
153,1,1,2
154,1,3,1
155,0,2,3
156,1,3,1
157,0,0,0
158,1,3,1
159,0,2,3
160,0,0,0
161,1,3,1
162,1,3,1
163,0,2,3
164,1,3,1
165,0,2,3
166,1,3,1
167,0,2,3
168,0,0,0
169,0,0,0
170,0,0,0
171,1,3,1
172,0,0,0
173,1,3,1
174,0,0,0
175,1,3,1
176,1,3,1
177,1,3,1
178,0,0,0
179,0,2,3
180,0,0,0
181,1,3,1
182,3,2,3
183,1,3,1
184,0,2,3
185,0,0,0
186,0,2,3
187,1,3,1
188,0,0,0
189,1,3,1
190,0,0,0
191,1,3,1
192,0,0,0
193,0,2,3
194,1,3,1
195,1,3,1
196,0,0,0
197,0,2,3
198,0,0,0
199,1,3,1
200,0,0,0
201,0,0,0
202,1,3,1
203,1,1,2
204,0,0,0
205,0,0,0
206,1,3,1
207,1,1,2
208,1,1,2
209,2,2,3
210,1,3,1
211,1,3,1
212,1,3,1
213,1,3,1
214,0,0,0
215,1,3,1
216,0,2,3
217,0,2,3
218,0,0,0
219,0,0,0
220,1,3,1
221,0,0,0
222,0,2,3
223,0,2,3
224,0,0,0
225,0,2,3
226,0,0,0
227,0,0,0
228,0,2,3
229,0,2,3
230,1,3,1
231,1,3,1
232,1,3,1
233,1,3,1
234,0,2,3
235,0,2,3
236,1,1,2
237,1,3,1
238,1,3,1
239,0,2,3
240,1,3,1
241,1,3,1
242,0,2,3
243,3,2,3
244,1,1,2
245,0,0,0
246,0,2,3
247,0,0,0
248,1,3,1
249,1,3,1
250,0,0,0
251,1,3,1
252,0,2,3
253,1,1,2
254,0,0,0
255,0,2,3
256,0,2,3
257,1,3,1
258,1,1,2
259,1,3,1
260,1,3,1
261,1,3,1
262,0,2,3
263,1,3,1
264,0,2,3
265,1,1,2
266,0,2,3
267,0,2,3
268,0,0,0
269,0,2,3
270,0,0,0
271,1,3,1
272,1,3,1
273,0,2,3
274,1,3,1
275,1,1,2
276,0,0,0
277,0,2,3
278,0,0,0
279,3,2,3
280,2,0,0
281,0,0,0
282,1,3,1
283,0,0,0
284,1,3,1
285,1,3,1
286,0,0,0
287,0,0,0
288,0,2,3
289,1,3,1
290,1,1,2
291,1,3,1
292,1,3,1
293,0,0,0
294,1,3,1
295,0,0,0
296,0,0,0
297,0,2,3
298,0,0,0
299,1,3,1
300,1,3,1
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,1,3,1
306,1,3,1
307,0,2,3
308,1,3,1
309,1,3,1
310,0,2,3
311,0,2,3
312,1,1,2
313,1,3,1
314,1,3,1
315,0,2,3
316,1,3,1
317,0,0,0
318,1,3,1
319,3,2,3
320,1,3,1
321,0,2,3
322,0,2,3
323,0,2,3
324,0,2,3
325,0,2,3
326,0,0,0
327,1,3,1
328,0,2,3
329,0,0,0
330,1,3,1
331,1,1,2
332,0,0,0
333,1,3,1
334,1,3,1
335,0,0,0
336,0,2,3
337,1,3,1
338,0,0,0
339,3,2,3
340,0,0,0
341,0,2,3
342,0,0,0
343,1,3,1
344,1,3,1
345,1,3,1
346,1,3,1
347,0,2,3
348,1,1,2
349,3,2,3
350,0,2,3
351,1,3,1
352,0,0,0
353,0,0,0
354,1,1,2
355,1,1,2
356,0,0,0
357,1,3,1
358,1,1,2
359,0,0,0
360,1,1,2
361,0,0,0
362,0,0,0
363,1,1,2
364,2,2,3
365,1,3,1
366,0,0,0
367,1,3,1
368,2,1,2
369,3,2,3
370,0,0,0
371,1,3,1
372,0,2,3
373,0,2,3
374,1,3,1
375,1,3,1
376,0,0,0
377,1,3,1
378,1,3,1
379,2,2,3
380,1,3,1
381,0,2,3
382,1,3,1
383,1,3,1
384,1,3,1
385,3,2,3
386,0,0,0
387,1,3,1
388,1,3,1
389,0,0,0
390,3,1,2
391,0,2,3
392,1,3,1
393,0,2,3
394,0,0,0
395,1,3,1
396,3,2,3
397,0,2,3
398,0,0,0
399,1,3,1
400,1,3,1
401,1,3,1
402,0,2,3
403,0,2,3
404,1,3,1
