cell_id,true_label,pred_label_raw,pred_label_aligned
0,0,1,0
1,0,1,0
2,0,0,3
3,1,2,1
4,0,0,3
5,3,1,0
6,1,2,1
7,0,1,0
8,1,2,1
9,1,2,1
10,1,2,1
11,0,1,0
12,0,1,0
13,0,0,3
14,0,1,0
15,0,1,0
16,1,2,1
17,0,0,3
18,0,0,3
19,1,2,1
20,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,1,2,1
25,0,1,0
26,0,1,0
27,1,2,1
28,0,1,0
29,0,1,0
30,1,2,1
31,0,1,0
32,0,1,0
33,0,0,3
34,0,0,3
35,1,2,1
36,1,2,1
37,1,2,1
38,1,2,1
39,1,2,1
40,0,1,0
41,0,1,0
42,0,1,0
43,3,1,0
44,0,0,3
45,0,0,3
46,0,1,0
47,0,1,0
48,1,2,1
49,0,1,0
50,1,2,1
51,2,1,0
52,0,1,0
53,0,0,3
54,0,1,0
55,1,2,1
56,1,2,1
57,1,2,1
58,0,0,3
59,1,2,1
60,0,1,0
61,1,2,1
62,0,1,0
63,1,2,1
64,1,2,1
65,0,0,3
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,1,0
71,0,1,0
72,1,2,1
73,1,2,1
74,1,2,1
75,1,2,1
76,1,2,1
77,0,1,0
78,1,2,1
79,1,2,1
80,0,1,0
81,1,2,1
82,0,0,3
83,0,1,0
84,0,1,0
85,0,1,0
86,0,1,0
87,1,2,1
88,0,1,0
89,0,1,0
90,1,2,1
91,1,2,1
92,2,1,0
93,0,1,0
94,0,1,0
95,1,2,1
96,0,1,0
97,0,0,3
98,0,1,0
99,0,0,3
100,1,2,1
101,0,0,3
102,0,1,0
103,1,2,1
104,0,0,3
105,1,2,1
106,0,1,0
107,0,1,0
108,0,1,0
109,0,1,0
110,0,1,0
111,0,0,3
112,0,0,3
113,0,1,0
114,0,1,0
115,1,2,1
116,1,2,1
117,3,1,0
118,1,2,1
119,1,2,1
120,1,2,1
121,1,2,1
122,1,2,1
123,0,1,0
124,0,0,3
125,0,0,3
126,1,2,1
127,0,1,0
128,1,2,1
129,0,1,0
130,1,2,1
131,0,1,0
132,0,1,0
133,2,1,0
134,1,2,1
135,0,1,0
136,1,2,1
137,1,2,1
138,0,1,0
139,0,1,0
140,0,1,0
141,3,1,0
142,1,2,1
143,1,2,1
144,0,1,0
145,1,2,1
146,1,2,1
147,1,2,1
148,0,1,0
149,1,2,1
150,1,2,1
151,1,2,1
152,0,0,3
153,1,2,1
154,1,2,1
155,0,1,0
156,1,2,1
157,0,0,3
158,1,2,1
159,0,1,0
160,0,0,3
161,1,2,1
162,1,2,1
163,0,1,0
164,1,2,1
165,0,1,0
166,1,2,1
167,0,1,0
168,0,0,3
169,0,0,3
170,0,0,3
171,1,2,1
172,0,0,3
173,1,2,1
174,0,0,3
175,1,2,1
176,1,2,1
177,1,2,1
178,0,0,3
179,0,1,0
180,0,0,3
181,1,2,1
182,3,1,0
183,1,2,1
184,0,1,0
185,0,0,3
186,0,1,0
187,1,2,1
188,0,1,0
189,1,2,1
190,0,0,3
191,1,2,1
192,0,0,3
193,0,1,0
194,1,2,1
195,1,2,1
196,0,0,3
197,0,1,0
198,0,1,0
199,1,2,1
200,0,0,3
201,0,0,3
202,1,2,1
203,1,2,1
204,0,0,3
205,0,0,3
206,1,2,1
207,1,2,1
208,1,2,1
209,2,1,0
210,1,2,1
211,1,2,1
212,1,2,1
213,1,2,1
214,0,0,3
215,1,2,1
216,0,1,0
217,0,1,0
218,0,0,3
219,0,1,0
220,1,2,1
221,0,0,3
222,0,1,0
223,0,1,0
224,0,0,3
225,0,1,0
226,0,0,3
227,0,0,3
228,0,1,0
229,0,1,0
230,1,2,1
231,1,2,1
232,1,2,1
233,1,2,1
234,0,1,0
235,0,1,0
236,1,2,1
237,1,2,1
238,1,2,1
239,0,1,0
240,1,2,1
241,1,2,1
242,0,1,0
243,3,1,0
244,1,2,1
245,0,0,3
246,0,1,0
247,0,0,3
248,1,2,1
249,1,2,1
250,0,0,3
251,1,2,1
252,0,1,0
253,1,2,1
254,0,0,3
255,0,1,0
256,0,1,0
257,1,2,1
258,1,2,1
259,1,2,1
260,1,2,1
261,1,2,1
262,0,1,0
263,1,2,1
264,0,1,0
265,1,2,1
266,0,1,0
267,0,1,0
268,0,0,3
269,0,1,0
270,0,0,3
271,1,2,1
272,1,2,1
273,0,1,0
274,1,2,1
275,1,2,1
276,0,0,3
277,0,1,0
278,0,0,3
279,3,1,0
280,2,1,0
281,0,1,0
282,1,2,1
283,0,0,3
284,1,2,1
285,1,2,1
286,0,0,3
287,0,0,3
288,0,1,0
289,1,2,1
290,1,2,1
291,1,2,1
292,1,2,1
293,0,0,3
294,1,2,1
295,0,0,3
296,0,1,0
297,0,1,0
298,0,0,3
299,1,2,1
300,1,2,1
301,0,0,3
302,0,0,3
303,0,0,3
304,0,0,3
305,1,2,1
306,1,2,1
307,0,1,0
308,1,2,1
309,1,2,1
310,0,1,0
311,0,1,0
312,1,2,1
313,1,2,1
314,1,2,1
315,0,1,0
316,1,2,1
317,0,0,3
318,1,2,1
319,3,0,3
320,1,2,1
321,0,1,0
322,0,1,0
323,0,1,0
324,0,1,0
325,0,1,0
326,0,0,3
327,1,2,1
328,0,1,0
329,0,0,3
330,1,2,1
331,1,2,1
332,0,0,3
333,1,2,1
334,1,2,1
335,0,0,3
336,0,1,0
337,1,2,1
338,0,1,0
339,3,1,0
340,0,0,3
341,0,1,0
342,0,0,3
343,1,2,1
344,1,2,1
345,1,2,1
346,1,2,1
