cell_id,true_label,pred_label_raw,pred_label_aligned
0,0,2,0
1,0,2,0
2,0,2,0
3,1,3,1
4,0,2,0
5,3,0,3
6,1,3,1
7,0,2,0
8,1,3,1
9,1,3,1
10,1,3,1
11,0,2,0
12,0,2,0
13,0,2,0
14,0,2,0
15,0,2,0
16,1,3,1
17,0,2,0
18,0,2,0
19,1,3,1
20,0,2,0
21,0,2,0
22,0,2,0
23,0,2,0
24,1,3,1
25,0,2,0
26,0,2,0
27,1,3,1
28,0,2,0
29,0,2,0
30,1,3,1
31,0,2,0
32,0,2,0
33,0,2,0
34,0,2,0
35,1,3,1
36,1,3,1
37,1,3,1
38,1,3,1
39,1,3,1
40,0,2,0
41,0,2,0
42,0,2,0
43,3,0,3
44,0,2,0
45,0,2,0
46,0,2,0
47,0,2,0
48,1,3,1
49,0,2,0
50,1,3,1
51,2,1,2
52,0,2,0
53,0,2,0
54,0,2,0
55,1,3,1
56,1,3,1
57,1,3,1
58,0,2,0
59,1,3,1
60,0,2,0
61,1,3,1
62,0,2,0
63,1,3,1
64,1,3,1
65,0,2,0
66,0,2,0
67,0,2,0
68,0,2,0
69,0,2,0
70,0,2,0
71,0,2,0
72,1,3,1
73,1,3,1
74,1,3,1
75,1,3,1
76,1,3,1
77,0,2,0
78,1,3,1
79,1,3,1
80,0,2,0
81,1,3,1
82,0,2,0
83,0,2,0
84,0,2,0
85,0,2,0
86,0,2,0
87,1,3,1
88,0,2,0
89,0,2,0
90,1,3,1
91,1,3,1
92,2,1,2
93,0,2,0
94,0,2,0
95,1,3,1
96,0,2,0
97,0,2,0
98,0,2,0
99,0,2,0
100,1,3,1
101,0,2,0
102,0,2,0
103,1,3,1
104,0,2,0
105,1,3,1
106,0,2,0
107,0,2,0
108,0,2,0
109,0,2,0
110,0,2,0
111,0,2,0
112,0,2,0
113,0,2,0
114,0,2,0
115,1,3,1
116,1,3,1
117,3,0,3
118,1,3,1
119,1,3,1
120,1,3,1
121,1,3,1
122,1,3,1
123,0,2,0
124,0,2,0
125,0,2,0
126,1,3,1
127,0,2,0
128,1,3,1
129,0,2,0
130,1,3,1
131,0,2,0
132,0,2,0
133,2,1,2
134,1,3,1
135,0,2,0
136,1,3,1
137,1,3,1
138,0,2,0
139,0,2,0
140,0,2,0
141,3,0,3
142,1,3,1
143,1,3,1
144,0,2,0
145,1,3,1
146,1,3,1
147,1,3,1
148,0,2,0
149,1,3,1
150,1,3,1
151,1,3,1
152,0,2,0
153,1,3,1
154,1,3,1
155,0,2,0
156,1,3,1
157,0,2,0
158,1,3,1
159,0,2,0
160,0,2,0
161,1,3,1
162,1,3,1
163,0,2,0
164,1,3,1
165,0,2,0
166,1,3,1
167,0,2,0
168,0,2,0
169,0,2,0
170,0,2,0
171,1,3,1
172,0,2,0
173,1,3,1
174,0,2,0
175,1,3,1
176,1,3,1
177,1,3,1
178,0,2,0
179,0,2,0
180,0,2,0
181,1,3,1
182,3,1,2
183,1,3,1
184,0,2,0
185,0,2,0
186,0,2,0
187,1,3,1
188,0,2,0
189,1,3,1
190,0,2,0
191,1,3,1
192,0,2,0
193,0,2,0
194,1,3,1
195,1,3,1
196,0,2,0
197,0,2,0
198,0,2,0
199,1,3,1
200,0,2,0
201,0,2,0
202,1,3,1
203,1,3,1
204,0,2,0
