cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,5,2
1,2,1,3
2,1,0,0
3,0,0,0
4,4,4,5
5,4,4,5
6,3,0,0
7,4,2,4
8,2,1,3
9,4,2,4
10,4,1,3
11,4,4,5
12,2,1,3
13,3,0,0
14,0,0,0
15,3,0,0
16,2,3,1
17,5,4,5
18,3,0,0
19,4,4,5
20,4,2,4
21,4,4,5
22,2,1,3
23,2,5,2
24,0,0,0
25,4,2,4
26,4,2,4
27,3,1,3
28,4,4,5
29,2,3,1
30,2,1,3
31,5,4,5
32,2,5,2
33,4,4,5
34,0,0,0
35,2,1,3
36,4,4,5
37,0,0,0
38,2,5,2
39,2,1,3
40,4,4,5
41,2,5,2
42,1,0,0
43,4,4,5
44,0,0,0
45,0,0,0
46,5,4,5
47,4,4,5
48,5,0,0
49,4,4,5
50,1,0,0
51,4,4,5
52,4,2,4
53,4,2,4
54,3,1,3
55,1,0,0
56,4,2,4
57,2,3,1
58,3,1,3
59,4,2,4
60,4,2,4
61,5,0,0
62,4,2,4
63,0,0,0
64,4,2,4
65,2,1,3
66,0,0,0
67,2,3,1
68,4,2,4
69,3,0,0
70,4,4,5
71,0,0,0
72,2,5,2
73,1,0,0
74,2,5,2
75,4,4,5
76,2,5,2
77,4,2,4
78,4,4,5
79,4,4,5
80,4,4,5
81,4,4,5
82,2,3,1
83,4,4,5
84,1,0,0
85,2,3,1
86,0,0,0
87,1,0,0
88,4,4,5
89,0,0,0
90,4,2,4
91,0,0,0
92,0,0,0
93,2,1,3
94,3,0,0
95,2,1,3
96,3,0,0
97,4,4,5
98,4,2,4
99,4,2,4
100,2,4,5
101,2,5,2
102,4,4,5
103,1,0,0
104,2,5,2
105,0,0,0
106,1,0,0
107,2,1,3
108,0,0,0
109,1,0,0
110,2,3,1
111,1,0,0
112,2,3,1
113,2,3,1
114,4,2,4
115,2,1,3
116,5,4,5
117,4,4,5
118,4,2,4
119,2,5,2
120,1,0,0
121,4,2,4
122,3,1,3
123,4,2,4
124,4,2,4
125,2,1,3
126,4,4,5
127,4,2,4
128,2,1,3
129,0,0,0
