cell_id,true_label,pred_label_raw,pred_label_aligned
0,2.0,9,2.0
1,2.0,6,2.0
2,1.0,1,1.0
3,0.0,5,0.0
4,4.0,0,4.0
5,4.0,0,4.0
6,3.0,5,0.0
7,4.0,8,4.0
8,2.0,9,2.0
9,4.0,8,4.0
10,4.0,7,4.0
11,4.0,0,4.0
12,2.0,9,2.0
13,3.0,5,0.0
14,0.0,5,0.0
15,3.0,4,3.0
16,2.0,6,2.0
17,5.0,3,5.0
18,3.0,5,0.0
19,4.0,0,4.0
20,4.0,7,4.0
21,4.0,8,4.0
22,2.0,9,2.0
23,2.0,2,2.0
24,0.0,5,0.0
25,4.0,8,4.0
26,4.0,0,4.0
27,3.0,4,3.0
28,4.0,8,4.0
29,2.0,6,2.0
30,2.0,9,2.0
31,5.0,3,5.0
32,2.0,9,2.0
33,4.0,0,4.0
34,0.0,5,0.0
35,2.0,9,2.0
36,4.0,0,4.0
37,0.0,5,0.0
38,2.0,9,2.0
39,2.0,9,2.0
40,4.0,7,4.0
41,2.0,2,2.0
42,1.0,1,1.0
43,4.0,8,4.0
44,0.0,5,0.0
45,0.0,5,0.0
46,5.0,3,5.0
47,4.0,0,4.0
48,5.0,3,5.0
49,4.0,8,4.0
50,1.0,1,1.0
51,4.0,8,4.0
52,4.0,3,5.0
53,4.0,7,4.0
54,3.0,4,3.0
55,1.0,1,1.0
56,4.0,0,4.0
57,2.0,6,2.0
58,3.0,4,3.0
59,4.0,7,4.0
60,4.0,7,4.0
61,5.0,3,5.0
62,4.0,7,4.0
63,0.0,5,0.0
64,4.0,0,4.0
65,2.0,9,2.0
66,0.0,5,0.0
67,2.0,6,2.0
68,4.0,8,4.0
69,3.0,4,3.0
70,4.0,0,4.0
71,0.0,5,0.0
72,2.0,2,2.0
73,1.0,1,1.0
74,2.0,2,2.0
75,4.0,0,4.0
76,2.0,9,2.0
77,4.0,8,4.0
78,4.0,0,4.0
79,4.0,8,4.0
80,4.0,0,4.0
81,4.0,0,4.0
82,2.0,6,2.0
83,4.0,8,4.0
84,1.0,1,1.0
85,2.0,6,2.0
86,0.0,5,0.0
87,1.0,1,1.0
88,4.0,0,4.0
89,0.0,5,0.0
90,4.0,7,4.0
91,0.0,5,0.0
92,0.0,5,0.0
93,2.0,6,2.0
94,3.0,5,0.0
95,2.0,6,2.0
96,3.0,4,3.0
97,4.0,0,4.0
98,4.0,7,4.0
99,4.0,0,4.0
100,2.0,9,2.0
101,2.0,9,2.0
102,4.0,0,4.0
103,1.0,1,1.0
104,2.0,2,2.0
105,0.0,5,0.0
106,1.0,1,1.0
107,2.0,9,2.0
108,0.0,5,0.0
109,1.0,1,1.0
110,2.0,6,2.0
111,1.0,1,1.0
112,2.0,6,2.0
113,2.0,6,2.0
114,4.0,7,4.0
115,2.0,6,2.0
116,5.0,3,5.0
117,4.0,0,4.0
118,4.0,0,4.0
119,2.0,2,2.0
120,1.0,1,1.0
121,4.0,7,4.0
122,3.0,4,3.0
123,4.0,7,4.0
124,4.0,0,4.0
125,2.0,2,2.0
126,4.0,8,4.0
127,4.0,7,4.0
128,2.0,9,2.0
129,0.0,5,0.0
130,5.0,3,5.0
131,0.0,5,0.0
132,0.0,1,1.0
133,0.0,5,0.0
134,2.0,9,2.0
135,2.0,9,2.0
136,2.0,2,2.0
137,2.0,6,2.0
138,3.0,8,4.0
139,5.0,0,4.0
140,0.0,5,0.0
141,4.0,8,4.0
142,0.0,5,0.0
143,3.0,5,0.0
144,2.0,2,2.0
145,5.0,3,5.0
146,2.0,2,2.0
147,2.0,9,2.0
148,4.0,0,4.0
149,4.0,0,4.0
150,1.0,5,0.0
151,0.0,5,0.0
152,0.0,5,0.0
153,5.0,3,5.0
154,5.0,3,5.0
155,4.0,0,4.0
156,0.0,5,0.0
157,2.0,6,2.0
158,2.0,6,2.0
159,2.0,2,2.0
160,2.0,9,2.0
161,1.0,1,1.0
162,3.0,4,3.0
163,0.0,5,0.0
164,2.0,9,2.0
165,4.0,8,4.0
166,2.0,6,2.0
167,2.0,9,2.0
168,2.0,6,2.0
169,4.0,0,4.0
170,2.0,2,2.0
171,3.0,4,3.0
