cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,0,1
1,2,4,2
2,1,2,0
3,0,2,0
4,4,1,4
5,4,1,4
6,3,3,3
7,4,1,4
8,2,0,1
9,4,1,4
10,4,1,4
11,4,1,4
12,2,0,1
13,3,3,3
14,0,2,0
15,3,3,3
16,2,4,2
17,5,5,5
18,3,3,3
19,4,1,4
20,4,1,4
21,4,1,4
22,2,0,1
23,2,4,2
24,0,2,0
25,4,1,4
26,4,1,4
27,3,3,3
28,4,1,4
29,2,4,2
30,2,0,1
31,5,5,5
32,2,0,1
33,4,1,4
34,0,2,0
35,2,0,1
36,4,1,4
37,0,2,0
38,2,4,2
39,2,0,1
40,4,1,4
41,2,4,2
42,1,2,0
43,4,1,4
44,0,2,0
45,0,2,0
46,5,5,5
47,4,1,4
48,5,5,5
49,4,1,4
50,1,2,0
51,4,1,4
52,4,1,4
53,4,1,4
54,3,3,3
55,1,2,0
56,4,1,4
57,2,4,2
58,3,3,3
59,4,1,4
60,4,1,4
61,5,5,5
62,4,1,4
63,0,2,0
64,4,1,4
65,2,0,1
66,0,2,0
67,2,4,2
68,4,1,4
69,3,3,3
70,4,1,4
71,0,2,0
72,2,4,2
73,1,2,0
74,2,4,2
75,4,1,4
76,2,4,2
77,4,1,4
78,4,1,4
79,4,1,4
80,4,1,4
81,4,1,4
82,2,4,2
83,4,1,4
84,1,2,0
85,2,4,2
86,0,2,0
87,1,2,0
88,4,1,4
89,0,2,0
90,4,1,4
91,0,2,0
92,0,2,0
93,2,4,2
94,3,3,3
95,2,0,1
96,3,3,3
97,4,1,4
98,4,1,4
99,4,1,4
100,2,0,1
101,2,0,1
102,4,1,4
103,1,2,0
104,2,4,2
105,0,2,0
106,1,2,0
107,2,0,1
108,0,2,0
109,1,2,0
110,2,4,2
111,1,2,0
112,2,4,2
113,2,4,2
114,4,1,4
115,2,4,2
116,5,5,5
117,4,1,4
118,4,1,4
119,2,4,2
120,1,2,0
121,4,1,4
122,3,3,3
123,4,1,4
124,4,1,4
125,2,4,2
126,4,1,4
127,4,1,4
128,2,0,1
129,0,2,0
130,5,5,5
131,0,2,0
132,0,2,0
133,0,2,0
134,2,0,1
135,2,0,1
136,2,4,2
137,2,4,2
138,3,3,3
139,5,5,5
140,0,2,0
141,4,1,4
142,0,2,0
143,3,3,3
144,2,4,2
145,5,5,5
146,2,4,2
147,2,0,1
148,4,1,4
149,4,1,4
150,1,2,0
151,0,2,0
152,0,2,0
153,5,5,5
154,5,5,5
155,4,1,4
156,0,2,0
157,2,4,2
158,2,4,2
159,2,4,2
160,2,0,1
161,1,2,0
162,3,3,3
163,0,2,0
164,2,0,1
165,4,1,4
166,2,4,2
167,2,4,2
168,2,4,2
169,4,1,4
170,2,4,2
171,3,3,3
172,5,5,5
173,5,5,5
174,5,5,5
175,5,5,5
176,2,4,2
177,4,1,4
178,5,5,5
179,4,1,4
180,2,0,1
181,0,2,0
182,4,1,4
183,4,1,4
184,0,2,0
185,4,1,4
186,2,0,1
187,4,1,4
188,2,4,2
189,3,3,3
190,2,4,2
191,4,1,4
192,0,2,0
193,0,2,0
194,2,4,2
195,2,4,2
196,0,2,0
197,2,0,1
198,5,5,5
199,0,2,0
200,3,3,3
201,2,4,2
202,2,4,2
203,2,0,1
204,2,4,2
205,4,1,4
206,4,1,4
207,2,4,2
208,5,5,5
209,1,2,0
210,2,0,1
211,1,2,0
212,3,3,3
213,4,1,4
214,2,4,2
215,0,2,0
216,0,2,0
217,4,1,4
218,4,1,4
219,0,2,0
220,2,4,2
221,2,0,1
222,4,1,4
223,0,2,0
224,3,3,3
225,1,2,0
226,4,1,4
227,5,5,5
228,4,1,4
229,5,5,5
230,0,2,0
231,4,1,4
232,5,5,5
233,2,4,2
234,0,2,0
235,0,2,0
236,2,4,2
237,2,4,2
238,0,2,0
239,3,3,3
240,2,4,2
241,2,4,2
242,2,4,2
243,2,4,2
244,5,5,5
245,2,4,2
246,2,0,1
247,1,2,0
248,4,1,4
249,2,0,1
250,2,4,2
251,0,2,0
252,2,4,2
253,4,1,4
254,3,3,3
255,4,1,4
256,0,2,0
257,3,3,3
258,5,5,5
259,3,3,3
260,1,2,0
261,4,1,4
262,4,1,4
263,2,4,2
264,4,1,4
265,2,4,2
266,2,4,2
267,5,5,5
268,0,2,0
269,0,2,0
270,4,1,4
271,3,3,3
272,1,2,0
273,5,5,5
274,2,0,1
275,2,4,2
276,1,2,0
277,2,0,1
278,2,0,1
279,2,4,2
280,1,2,0
281,3,3,3
282,2,0,1
283,0,2,0
284,2,4,2
285,0,2,0
286,3,3,3
287,5,5,5
288,4,1,4
289,1,2,0
290,4,1,4
291,0,2,0
292,2,0,1
293,1,2,0
294,5,5,5
295,4,1,4
296,3,3,3
297,0,2,0
298,3,3,3
299,1,2,0
300,0,2,0
301,3,3,3
302,5,5,5
303,2,4,2
304,3,3,3
305,4,1,4
306,0,2,0
307,4,1,4
308,0,2,0
309,0,2,0
310,4,1,4
311,0,2,0
312,2,4,2
313,1,2,0
314,0,2,0
315,4,1,4
316,2,4,2
317,4,1,4
318,2,4,2
319,4,1,4
320,0,2,0
321,5,5,5
322,0,2,0
323,2,0,1
324,4,1,4
325,1,2,0
326,4,1,4
327,1,2,0
328,2,4,2
329,1,2,0
330,4,1,4
331,2,0,1
332,4,1,4
333,4,1,4
334,0,2,0
335,3,3,3
336,3,3,3
337,3,3,3
338,2,4,2
339,4,1,4
340,2,0,1
341,1,2,0
342,2,4,2
343,1,2,0
344,4,1,4
345,2,4,2
346,4,1,4
347,2,0,1
348,0,2,0
349,1,2,0
350,0,2,0
351,1,2,0
352,4,1,4
353,0,2,0
354,3,2,0
355,2,4,2
356,2,4,2
357,4,1,4
358,4,1,4
359,2,4,2
360,4,1,4
361,3,3,3
362,2,4,2
363,2,4,2
364,4,1,4
365,1,2,0
366,3,3,3
367,2,4,2
368,1,2,0
369,5,5,5
370,3,3,3
371,0,2,0
372,0,2,0
373,0,2,0
374,4,1,4
375,5,5,5
376,4,1,4
377,3,3,3
378,2,4,2
379,2,4,2
380,3,3,3
381,5,5,5
382,0,2,0
383,4,1,4
384,5,5,5
385,2,4,2
386,4,1,4
387,3,3,3
388,0,2,0
