cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,1,2
1,2,1,2
2,1,4,1
3,0,2,0
4,4,5,4
5,4,5,4
6,3,0,3
7,4,5,4
8,2,1,2
9,4,5,4
10,4,5,4
11,4,5,4
12,2,1,2
13,3,0,3
14,0,2,0
15,3,0,3
16,2,1,2
17,5,3,5
18,3,0,3
19,4,5,4
20,4,5,4
21,4,5,4
22,2,1,2
23,2,1,2
24,0,2,0
25,4,5,4
26,4,5,4
27,3,0,3
28,4,5,4
29,2,1,2
30,2,1,2
31,5,3,5
32,2,1,2
33,4,5,4
34,0,2,0
35,2,1,2
36,4,5,4
37,0,2,0
38,2,1,2
39,2,1,2
40,4,5,4
41,2,1,2
42,1,4,1
43,4,5,4
44,0,2,0
45,0,2,0
46,5,3,5
47,4,5,4
48,5,3,5
49,4,5,4
50,1,4,1
51,4,5,4
52,4,5,4
53,4,5,4
54,3,0,3
55,1,4,1
56,4,5,4
57,2,1,2
58,3,0,3
59,4,5,4
60,4,5,4
61,5,3,5
62,4,5,4
63,0,2,0
64,4,5,4
65,2,1,2
66,0,2,0
67,2,1,2
68,4,5,4
69,3,0,3
70,4,5,4
71,0,2,0
72,2,1,2
73,1,4,1
74,2,1,2
75,4,5,4
76,2,1,2
77,4,5,4
78,4,5,4
79,4,5,4
80,4,5,4
81,4,5,4
82,2,1,2
83,4,5,4
84,1,4,1
85,2,1,2
86,0,2,0
87,1,4,1
88,4,5,4
89,0,2,0
90,4,5,4
91,0,2,0
92,0,2,0
93,2,1,2
94,3,0,3
95,2,1,2
96,3,0,3
97,4,5,4
98,4,5,4
99,4,5,4
100,2,1,2
101,2,1,2
102,4,5,4
103,1,4,1
104,2,1,2
105,0,2,0
106,1,4,1
107,2,1,2
108,0,2,0
109,1,4,1
110,2,1,2
111,1,4,1
112,2,1,2
113,2,1,2
114,4,5,4
115,2,1,2
116,5,3,5
117,4,5,4
118,4,5,4
119,2,1,2
120,1,4,1
121,4,5,4
122,3,0,3
123,4,5,4
124,4,5,4
125,2,1,2
126,4,5,4
127,4,5,4
128,2,1,2
129,0,2,0
130,5,3,5
131,0,2,0
132,0,2,0
133,0,2,0
134,2,1,2
135,2,1,2
136,2,1,2
137,2,1,2
138,3,0,3
139,5,3,5
140,0,2,0
141,4,5,4
142,0,2,0
143,3,0,3
144,2,1,2
145,5,3,5
146,2,1,2
147,2,1,2
148,4,5,4
149,4,5,4
150,1,4,1
151,0,2,0
152,0,2,0
153,5,3,5
154,5,3,5
155,4,5,4
156,0,2,0
157,2,1,2
158,2,1,2
159,2,1,2
160,2,1,2
161,1,4,1
162,3,0,3
163,0,2,0
164,2,1,2
165,4,5,4
166,2,1,2
167,2,1,2
168,2,1,2
169,4,5,4
170,2,1,2
171,3,0,3
172,5,3,5
173,5,3,5
174,5,3,5
175,5,3,5
176,2,1,2
177,4,5,4
178,5,3,5
179,4,5,4
180,2,1,2
181,0,2,0
182,4,5,4
183,4,5,4
184,0,2,0
185,4,5,4
186,2,1,2
187,4,5,4
188,2,1,2
189,3,0,3
190,2,1,2
191,4,5,4
192,0,2,0
193,0,2,0
194,2,1,2
195,2,1,2
196,0,2,0
197,2,1,2
198,5,3,5
199,0,2,0
200,3,0,3
201,2,1,2
202,2,1,2
203,2,1,2
204,2,1,2
205,4,5,4
206,4,5,4
207,2,1,2
208,5,3,5
209,1,4,1
210,2,1,2
211,1,4,1
212,3,0,3
213,4,5,4
214,2,1,2
215,0,2,0
216,0,2,0
217,4,5,4
218,4,5,4
219,0,2,0
220,2,1,2
221,2,1,2
222,4,5,4
223,0,2,0
224,3,0,3
225,1,4,1
226,4,5,4
227,5,3,5
228,4,5,4
229,5,3,5
230,0,2,0
231,4,5,4
232,5,3,5
233,2,1,2
234,0,2,0
235,0,2,0
236,2,1,2
237,2,1,2
238,0,2,0
239,3,0,3
240,2,1,2
241,2,1,2
242,2,1,2
243,2,1,2
244,5,3,5
245,2,1,2
246,2,1,2
247,1,4,1
248,4,5,4
249,2,1,2
250,2,1,2
251,0,2,0
252,2,1,2
253,4,5,4
254,3,0,3
255,4,5,4
256,0,2,0
257,3,0,3
258,5,3,5
259,3,0,3
260,1,4,1
261,4,5,4
262,4,5,4
263,2,1,2
264,4,5,4
265,2,1,2
266,2,1,2
267,5,3,5
268,0,2,0
269,0,2,0
270,4,5,4
271,3,0,3
272,1,4,1
273,5,3,5
274,2,1,2
275,2,1,2
276,1,4,1
277,2,1,2
278,2,1,2
279,2,1,2
280,1,4,1
281,3,0,3
282,2,1,2
283,0,2,0
284,2,1,2
285,0,2,0
286,3,0,3
287,5,3,5
288,4,5,4
289,1,4,1
290,4,5,4
291,0,2,0
292,2,1,2
293,1,4,1
294,5,3,5
295,4,5,4
296,3,0,3
297,0,2,0
298,3,0,3
299,1,4,1
300,0,2,0
301,3,0,3
302,5,3,5
303,2,1,2
304,3,0,3
305,4,5,4
306,0,2,0
307,4,5,4
308,0,2,0
309,0,2,0
310,4,5,4
311,0,2,0
312,2,1,2
313,1,4,1
314,0,2,0
315,4,5,4
316,2,1,2
317,4,5,4
318,2,1,2
319,4,5,4
320,0,2,0
321,5,3,5
322,0,2,0
323,2,1,2
324,4,5,4
325,1,4,1
326,4,5,4
327,1,4,1
328,2,1,2
329,1,4,1
330,4,5,4
331,2,1,2
332,4,5,4
333,4,5,4
334,0,2,0
335,3,0,3
336,3,0,3
337,3,5,4
338,2,1,2
339,4,5,4
340,2,1,2
341,1,4,1
342,2,1,2
343,1,4,1
344,4,5,4
345,2,1,2
346,4,5,4
347,2,1,2
348,0,2,0
349,1,4,1
350,0,2,0
351,1,4,1
352,4,5,4
353,0,2,0
354,3,0,3
355,2,1,2
356,2,1,2
357,4,5,4
358,4,5,4
359,2,1,2
360,4,5,4
361,3,0,3
362,2,1,2
363,2,1,2
364,4,5,4
365,1,4,1
366,3,0,3
367,2,1,2
368,1,4,1
369,5,3,5
370,3,0,3
371,0,2,0
372,0,2,0
373,0,2,0
374,4,5,4
375,5,3,5
376,4,5,4
377,3,0,3
378,2,1,2
379,2,1,2
380,3,0,3
381,5,3,5
382,0,2,0
383,4,5,4
384,5,3,5
385,2,1,2
386,4,5,4
387,3,0,3
388,0,2,0
389,4,5,4
390,3,0,3
391,2,1,2
392,4,5,4
393,2,1,2
394,0,2,0
395,2,1,2
396,3,0,3
397,0,2,0
398,4,5,4
399,4,5,4
400,1,4,1
401,4,5,4
402,0,2,0
403,5,3,5
404,4,5,4
405,2,1,2
406,5,3,5
407,4,5,4
408,3,0,3
409,2,1,2
410,2,1,2
411,2,1,2
412,0,2,0
413,4,5,4
414,4,5,4
415,1,4,1
416,2,1,2
417,2,1,2
418,2,1,2
419,4,5,4
420,1,4,1
421,2,1,2
422,2,1,2
423,1,4,1
424,2,1,2
425,1,4,1
426,0,2,0
427,4,5,4
428,2,1,2
429,2,1,2
430,4,5,4
431,4,5,4
432,4,5,4
433,5,3,5
434,2,1,2
435,1,4,1
436,2,1,2
437,2,1,2
438,1,4,1
439,4,5,4
440,4,5,4
441,0,2,0
442,2,1,2
443,0,2,0
444,4,5,4
445,5,3,5
446,4,5,4
447,4,5,4
448,0,2,0
449,4,5,4
450,3,0,3
451,2,1,2
452,5,3,5
453,1,4,1
454,5,3,5
455,4,5,4
456,2,1,2
457,2,1,2
458,4,5,4
459,2,1,2
460,2,1,2
461,0,2,0
462,4,5,4
463,2,1,2
464,2,1,2
465,4,5,4
466,4,5,4
467,4,5,4
468,0,2,0
469,2,1,2
470,4,5,4
471,2,1,2
472,2,1,2
473,2,1,2
474,2,1,2
475,0,2,0
476,4,5,4
477,1,4,1
478,1,4,1
479,5,3,5
480,2,1,2
481,2,1,2
482,2,1,2
483,2,1,2
484,0,2,0
485,4,5,4
486,4,5,4
487,2,1,2
488,5,3,5
489,4,5,4
490,2,1,2
491,0,2,0
492,4,5,4
493,0,2,0
494,2,1,2
495,2,1,2
496,4,5,4
497,5,3,5
498,4,5,4
499,1,4,1
500,2,1,2
501,4,5,4
502,0,2,0
503,0,2,0
504,2,1,2
505,1,4,1
506,2,1,2
507,3,0,3
508,0,2,0
509,4,5,4
510,2,1,2
511,4,5,4
512,4,5,4
513,0,2,0
514,4,5,4
515,3,0,3
