cell_id,true_label,pred_label_raw,pred_label_aligned
0,0,2,4
1,4,4,3
2,0,2,4
3,0,2,4
4,0,2,4
5,0,2,4
6,0,2,4
7,1,3,1
8,1,3,1
9,0,2,4
10,0,2,4
11,0,2,4
12,3,4,3
13,0,2,4
14,0,2,4
15,0,2,4
16,0,2,4
17,0,2,4
18,0,3,1
19,1,3,1
20,1,4,3
21,1,4,3
22,0,2,4
23,2,4,3
24,0,2,4
25,0,2,4
26,0,2,4
27,0,2,4
28,0,2,4
29,0,2,4
30,0,2,4
31,0,2,4
32,1,3,1
33,0,2,4
34,0,2,4
35,0,2,4
36,0,2,4
37,0,2,4
38,1,4,3
39,0,2,4
40,0,2,4
41,0,2,4
42,0,2,4
43,0,2,4
44,1,3,1
45,0,2,4
46,0,2,4
47,4,4,3
48,1,3,1
49,1,3,1
50,0,2,4
51,0,2,4
52,0,2,4
53,0,2,4
54,1,3,1
55,0,2,4
56,0,2,4
57,0,2,4
58,1,3,1
59,1,3,1
60,0,2,4
61,0,3,1
62,0,2,4
63,0,2,4
64,0,2,4
65,3,4,3
66,0,2,4
67,0,2,4
68,1,4,3
69,0,2,4
70,0,2,4
71,1,3,1
72,0,2,4
73,0,2,4
74,0,2,4
75,0,2,4
76,1,3,1
77,0,2,4
78,0,2,4
79,0,2,4
80,0,2,4
81,0,2,4
82,1,3,1
83,0,2,4
84,0,2,4
85,0,2,4
86,1,3,1
87,1,3,1
88,0,2,4
89,0,2,4
90,3,4,3
91,0,2,4
92,0,2,4
93,0,2,4
94,0,2,4
95,0,2,4
96,0,2,4
97,3,2,4
98,1,3,1
99,3,4,3
100,0,2,4
101,0,2,4
102,1,3,1
103,0,2,4
104,0,2,4
105,0,2,4
106,0,2,4
107,1,3,1
108,1,3,1
109,0,2,4
110,0,2,4
111,0,2,4
112,0,2,4
113,0,2,4
114,1,3,1
115,0,2,4
116,0,2,4
117,1,3,1
118,0,2,4
119,0,2,4
120,0,2,4
121,0,2,4
122,0,2,4
123,0,2,4
124,0,2,4
125,0,2,4
126,0,2,4
127,0,2,4
128,0,2,4
129,0,2,4
130,1,3,1
131,0,2,4
132,0,2,4
133,1,3,1
134,0,2,4
135,0,2,4
136,1,4,3
137,0,2,4
138,0,2,4
139,0,2,4
140,0,2,4
141,0,2,4
142,3,4,3
143,0,2,4
144,1,3,1
145,0,2,4
146,0,2,4
147,0,2,4
148,0,2,4
149,0,2,4
150,0,2,4
151,0,2,4
152,0,2,4
153,0,2,4
154,0,2,4
155,0,2,4
156,0,2,4
157,0,2,4
158,0,2,4
159,1,3,1
160,1,3,1
161,0,2,4
162,0,2,4
163,0,2,4
164,0,2,4
165,0,2,4
166,0,2,4
167,3,4,3
168,0,2,4
169,0,2,4
170,3,4,3
171,3,4,3
172,0,2,4
173,3,4,3
174,1,3,1
175,0,2,4
176,0,2,4
177,0,2,4
178,0,2,4
179,1,3,1
180,3,4,3
181,0,2,4
182,0,2,4
183,0,2,4
184,1,3,1
185,1,3,1
186,0,2,4
187,0,2,4
188,1,3,1
189,0,2,4
190,3,4,3
191,2,4,3
192,1,3,1
193,0,2,4
194,0,2,4
195,0,2,4
196,0,2,4
197,0,2,4
198,0,2,4
199,0,2,4
200,4,4,3
201,1,3,1
202,0,2,4
203,1,3,1
204,0,2,4
205,4,4,3
206,0,2,4
207,0,2,4
208,0,2,4
209,0,4,3
210,4,4,3
211,4,4,3
212,0,2,4
213,3,4,3
214,0,2,4
215,0,2,4
216,1,3,1
217,2,4,3
218,0,2,4
219,0,2,4
220,0,2,4
221,3,4,3
222,0,2,4
223,0,2,4
224,1,3,1
225,0,2,4
226,0,2,4
227,1,3,1
228,0,4,3
229,0,2,4
230,0,2,4
231,1,3,1
232,1,3,1
233,0,2,4
234,0,2,4
235,0,2,4
236,1,3,1
237,0,2,4
238,0,2,4
239,1,3,1
240,0,2,4
241,0,2,4
242,0,2,4
243,0,2,4
244,0,2,4
245,0,2,4
246,1,3,1
247,0,2,4
248,1,3,1
249,0,2,4
250,0,2,4
251,0,2,4
252,0,2,4
253,1,3,1
254,0,2,4
255,3,4,3
256,0,2,4
257,0,2,4
258,0,2,4
259,0,2,4
260,0,2,4
261,0,2,4
262,1,3,1
263,0,2,4
264,4,4,3
265,0,2,4
266,0,2,4
267,0,2,4
268,0,2,4
269,0,2,4
270,1,3,1
271,0,2,4
272,1,3,1
273,0,2,4
274,1,3,1
275,0,2,4
276,0,2,4
277,0,4,3
278,0,2,4
279,0,2,4
280,1,3,1
281,0,2,4
282,0,2,4
283,1,3,1
284,0,2,4
285,0,2,4
286,1,3,1
287,0,2,4
288,0,3,1
289,3,4,3
290,0,2,4
291,0,2,4
292,2,4,3
293,0,2,4
294,0,2,4
295,0,2,4
296,0,2,4
297,0,2,4
298,0,2,4
299,0,2,4
300,0,2,4
301,0,2,4
302,0,2,4
303,0,2,4
304,0,2,4
305,0,2,4
306,0,2,4
307,0,2,4
308,0,2,4
309,0,2,4
310,0,2,4
311,0,2,4
312,0,2,4
313,0,2,4
314,0,2,4
315,0,2,4
316,0,2,4
317,1,4,3
318,0,2,4
319,0,2,4
320,0,2,4
321,1,3,1
322,0,2,4
323,0,2,4
324,0,2,4
325,4,4,3
326,0,2,4
327,0,2,4
328,0,2,4
329,1,4,3
330,0,2,4
331,0,2,4
332,0,2,4
333,0,2,4
334,0,2,4
335,0,2,4
336,0,2,4
337,0,2,4
338,0,2,4
339,0,2,4
340,0,2,4
341,3,4,3
342,3,4,3
343,3,4,3
344,0,2,4
345,0,2,4
346,0,2,4
347,0,2,4
348,1,3,1
349,1,4,3
350,1,3,1
351,0,2,4
352,0,2,4
353,0,2,4
354,0,2,4
355,0,2,4
356,0,2,4
357,1,3,1
358,0,2,4
359,0,2,4
360,0,2,4
361,0,2,4
362,0,2,4
363,0,2,4
364,1,3,1
365,0,2,4
366,0,2,4
367,0,2,4
368,0,2,4
369,1,3,1
370,0,2,4
371,0,2,4
372,0,2,4
373,0,2,4
374,0,2,4
375,0,2,4
376,0,2,4
377,0,2,4
378,1,3,1
379,0,2,4
380,0,2,4
381,0,2,4
382,0,2,4
383,0,2,4
384,1,3,1
385,3,4,3
386,0,2,4
387,3,4,3
388,0,2,4
389,0,2,4
390,0,2,4
391,0,2,4
392,0,2,4
393,0,2,4
