cell_id,true_label,pred_label_raw,pred_label_aligned
0,5,9,5
1,5,9,5
2,5,7,4
3,5,9,5
4,5,9,5
5,5,9,5
6,5,9,5
7,5,9,5
8,5,9,5
9,5,9,5
10,5,9,5
11,5,9,5
12,5,9,5
13,5,9,5
14,5,9,5
15,5,9,5
16,5,9,5
17,5,9,5
18,5,9,5
19,5,9,5
20,5,9,5
21,5,9,5
22,5,9,5
23,5,9,5
24,5,9,5
25,5,9,5
26,5,9,5
27,5,9,5
28,5,9,5
29,5,9,5
30,5,9,5
31,5,9,5
32,5,9,5
33,5,9,5
34,5,9,5
35,5,9,5
36,5,9,5
37,5,9,5
38,5,8,5
39,5,9,5
40,5,9,5
41,5,9,5
42,5,9,5
43,5,9,5
44,5,9,5
45,5,9,5
46,5,9,5
47,5,8,5
48,5,9,5
49,5,9,5
50,5,9,5
51,5,9,5
52,5,9,5
53,5,9,5
54,5,9,5
55,5,0,4
56,5,0,4
57,5,9,5
58,5,8,5
59,5,8,5
60,5,9,5
61,5,6,5
62,5,9,5
63,5,0,4
64,5,8,5
65,5,9,5
66,5,9,5
67,5,9,5
68,5,9,5
69,5,8,5
70,5,7,4
71,5,6,5
72,5,9,5
73,5,8,5
74,5,8,5
75,5,8,5
76,5,6,5
77,5,6,5
78,5,8,5
79,5,6,5
80,5,8,5
81,5,8,5
82,5,8,5
83,5,8,5
84,5,8,5
85,5,5,4
86,5,8,5
87,5,8,5
88,5,9,5
89,5,8,5
90,5,8,5
91,5,6,5
92,5,7,4
93,5,8,5
94,5,9,5
95,5,8,5
96,5,8,5
97,5,8,5
98,5,8,5
99,5,8,5
100,5,8,5
101,5,8,5
102,5,8,5
103,5,8,5
104,5,6,5
105,5,8,5
106,5,0,4
107,5,7,4
108,5,7,4
109,5,6,5
110,5,8,5
111,5,8,5
112,5,8,5
113,5,8,5
114,5,8,5
115,5,0,4
116,5,0,4
117,5,8,5
118,5,8,5
119,5,5,4
120,5,8,5
121,5,8,5
122,5,0,4
123,5,0,4
124,5,0,4
125,5,8,5
126,5,6,5
127,5,6,5
128,5,8,5
129,5,8,5
130,5,8,5
131,5,8,5
132,5,8,5
133,5,0,4
134,5,8,5
135,5,0,4
136,5,8,5
137,5,8,5
138,5,8,5
139,5,6,5
140,5,8,5
141,5,8,5
142,5,9,5
143,5,8,5
144,5,9,5
145,5,7,4
146,5,8,5
147,5,0,4
148,5,8,5
149,5,8,5
150,5,8,5
151,5,8,5
152,5,8,5
153,5,8,5
154,5,8,5
155,5,8,5
156,5,8,5
157,5,8,5
158,5,8,5
159,5,8,5
160,5,8,5
161,5,8,5
162,5,8,5
163,5,8,5
164,5,8,5
165,5,8,5
166,5,8,5
167,5,8,5
168,5,8,5
169,5,8,5
170,5,8,5
171,5,8,5
172,5,8,5
173,5,8,5
174,5,8,5
175,5,8,5
176,5,8,5
177,5,8,5
178,5,8,5
179,5,8,5
180,5,8,5
181,5,8,5
182,5,8,5
183,5,8,5
184,5,8,5
185,5,8,5
186,5,8,5
187,5,8,5
188,5,8,5
189,5,8,5
190,5,8,5
191,5,8,5
192,5,8,5
193,5,8,5
194,5,8,5
195,5,8,5
196,5,8,5
197,5,8,5
198,5,8,5
199,5,8,5
200,5,8,5
201,5,8,5
202,5,8,5
203,5,8,5
204,5,8,5
205,5,8,5
206,5,8,5
207,5,8,5
208,5,8,5
209,5,8,5
210,5,8,5
211,5,8,5
212,5,8,5
213,5,8,5
214,5,8,5
215,5,8,5
216,5,8,5
217,5,8,5
218,5,8,5
219,5,8,5
220,5,8,5
221,5,8,5
222,5,8,5
223,5,8,5
224,5,8,5
225,5,8,5
226,5,8,5
227,5,8,5
228,5,8,5
229,5,5,4
230,5,8,5
231,5,8,5
232,5,8,5
233,5,8,5
234,5,0,4
235,5,8,5
236,5,8,5
237,5,8,5
238,5,8,5
239,5,8,5
240,5,8,5
241,5,8,5
242,5,8,5
243,5,8,5
244,5,8,5
245,5,8,5
246,5,8,5
247,5,8,5
248,5,8,5
249,5,8,5
250,5,8,5
251,5,8,5
252,5,8,5
253,5,8,5
254,5,8,5
255,5,8,5
256,5,8,5
257,5,8,5
258,5,8,5
259,5,8,5
260,5,8,5
261,5,8,5
262,5,8,5
263,5,8,5
264,5,8,5
265,5,8,5
266,5,8,5
267,5,8,5
268,5,8,5
269,5,8,5
270,5,8,5
271,5,8,5
272,5,8,5
273,5,8,5
274,5,8,5
275,5,8,5
276,5,6,5
277,5,8,5
278,5,6,5
279,5,8,5
280,5,7,4
281,5,8,5
282,5,6,5
283,5,8,5
284,5,6,5
285,5,5,4
286,5,6,5
287,5,8,5
288,5,6,5
289,5,8,5
290,5,8,5
291,5,8,5
292,5,8,5
293,5,8,5
294,5,8,5
295,5,6,5
296,5,8,5
297,5,8,5
298,5,9,5
299,5,8,5
300,5,5,4
301,5,8,5
302,5,6,5
303,5,7,4
304,5,8,5
305,5,0,4
306,5,8,5
307,5,8,5
308,5,8,5
309,5,8,5
310,5,6,5
311,5,8,5
312,5,8,5
313,5,6,5
314,5,8,5
315,5,8,5
316,5,8,5
317,5,8,5
318,5,8,5
319,5,8,5
320,5,6,5
321,5,6,5
322,5,6,5
323,5,8,5
324,5,6,5
325,5,6,5
326,5,6,5
327,5,8,5
328,5,8,5
329,5,8,5
330,5,8,5
331,5,6,5
332,5,8,5
333,5,8,5
334,5,8,5
335,5,8,5
336,5,0,4
337,5,8,5
338,5,8,5
339,5,6,5
340,5,8,5
341,5,6,5
342,5,0,4
343,5,8,5
344,5,8,5
345,5,6,5
346,5,0,4
347,5,6,5
348,5,6,5
349,5,0,4
350,5,8,5
351,5,8,5
352,5,8,5
353,5,8,5
354,5,8,5
355,5,8,5
356,5,8,5
357,5,8,5
358,5,8,5
359,5,8,5
360,5,8,5
361,5,8,5
362,5,8,5
363,5,8,5
364,5,8,5
365,5,8,5
366,5,6,5
367,5,8,5
368,5,8,5
369,5,8,5
370,5,8,5
371,5,8,5
372,5,6,5
373,5,8,5
374,5,8,5
375,5,6,5
376,5,6,5
377,5,6,5
378,5,8,5
379,5,6,5
380,5,6,5
381,5,6,5
382,5,0,4
383,5,6,5
384,5,6,5
385,5,4,5
386,5,4,5
387,5,6,5
388,5,6,5
389,5,6,5
390,5,6,5
391,5,6,5
392,5,6,5
393,5,6,5
394,5,0,4
395,5,6,5
396,5,6,5
397,5,6,5
398,5,4,5
399,5,6,5
400,5,6,5
401,5,6,5
402,5,6,5
403,5,6,5
404,5,6,5
405,5,0,4
406,5,6,5
407,5,6,5
408,5,6,5
409,5,6,5
410,5,6,5
411,5,6,5
412,5,0,4
413,5,6,5
414,5,6,5
415,5,6,5
416,5,6,5
417,5,8,5
418,5,6,5
419,5,6,5
420,5,6,5
421,5,4,5
422,5,6,5
423,5,6,5
424,5,7,4
425,5,4,5
426,5,6,5
427,5,6,5
428,5,6,5
429,5,6,5
430,5,6,5
431,5,7,4
432,5,6,5
433,5,7,4
434,5,6,5
435,5,0,4
436,5,6,5
437,5,0,4
438,5,6,5
439,5,6,5
440,5,7,4
441,5,4,5
442,5,6,5
443,5,6,5
444,5,6,5
445,5,4,5
446,5,4,5
447,5,6,5
448,5,6,5
449,5,6,5
450,5,6,5
451,5,4,5
452,5,4,5
453,5,4,5
454,5,4,5
455,5,6,5
456,5,6,5
457,5,4,5
458,5,4,5
459,5,6,5
460,5,6,5
461,5,6,5
462,5,6,5
463,5,6,5
464,5,6,5
465,5,6,5
466,5,6,5
467,5,4,5
468,5,6,5
469,5,6,5
470,5,6,5
471,5,4,5
472,5,6,5
473,5,6,5
474,5,6,5
475,5,6,5
476,5,6,5
477,5,6,5
478,5,6,5
479,5,6,5
480,5,4,5
481,5,6,5
482,5,6,5
483,5,4,5
484,5,0,4
485,5,6,5
486,5,4,5
487,5,6,5
488,5,6,5
489,5,6,5
490,5,4,5
491,5,6,5
492,5,6,5
493,5,6,5
494,5,6,5
495,5,4,5
496,5,0,4
497,5,0,4
498,5,6,5
499,5,4,5
500,5,0,4
501,5,4,5
502,5,6,5
503,5,4,5
504,5,6,5
505,5,0,4
506,5,6,5
507,5,6,5
508,5,6,5
509,5,6,5
510,5,6,5
511,5,6,5
512,5,6,5
513,5,4,5
514,5,6,5
515,5,6,5
516,5,6,5
517,5,6,5
518,5,6,5
519,5,6,5
520,5,6,5
521,5,6,5
522,5,6,5
523,5,6,5
524,5,6,5
525,5,6,5
526,5,6,5
527,5,6,5
528,5,6,5
529,5,7,4
530,5,0,4
531,5,0,4
532,5,4,5
533,5,0,4
534,5,4,5
535,5,4,5
536,5,4,5
537,5,0,4
538,5,6,5
539,5,6,5
540,5,4,5
541,5,0,4
542,5,6,5
543,5,4,5
544,5,0,4
545,5,4,5
546,5,6,5
547,5,4,5
548,5,4,5
549,5,4,5
550,5,6,5
551,5,6,5
552,5,4,5
553,5,4,5
554,5,4,5
555,5,6,5
556,5,4,5
557,5,6,5
558,5,6,5
559,5,6,5
560,5,6,5
561,5,6,5
562,5,0,4
563,5,6,5
564,5,6,5
565,5,8,5
566,5,6,5
567,5,0,4
568,5,6,5
569,5,6,5
570,5,6,5
571,5,0,4
572,5,0,4
573,5,4,5
574,5,6,5
575,5,6,5
576,5,4,5
577,5,6,5
578,5,6,5
579,5,0,4
580,5,6,5
581,5,4,5
582,5,6,5
583,5,6,5
584,5,6,5
585,5,4,5
586,5,6,5
587,5,6,5
588,5,6,5
589,5,6,5
590,5,6,5
591,5,6,5
592,5,6,5
593,5,6,5
594,5,6,5
595,5,6,5
596,5,6,5
597,5,6,5
598,5,6,5
599,5,6,5
600,5,6,5
601,5,6,5
