cell_id,true_label,pred_label_raw,pred_label_aligned
0,5,4,3
1,5,4,3
2,5,4,3
3,5,4,3
4,5,4,3
5,5,4,3
6,5,4,3
7,5,4,3
8,5,4,3
9,5,4,3
10,5,4,3
11,5,4,3
12,5,4,3
13,5,4,3
14,5,4,3
15,5,4,3
16,5,4,3
17,5,4,3
18,5,4,3
19,5,4,3
20,5,4,3
21,5,4,3
22,5,4,3
23,5,4,3
24,5,4,3
25,5,4,3
26,5,4,3
27,5,4,3
28,5,4,3
29,5,4,3
30,5,4,3
31,5,4,3
32,5,4,3
33,5,4,3
34,5,4,3
35,5,4,3
36,5,4,3
37,5,4,3
38,5,4,3
39,5,4,3
40,5,4,3
41,5,4,3
42,5,4,3
43,5,4,3
44,5,4,3
45,5,4,3
46,5,4,3
47,5,4,3
48,5,4,3
49,5,4,3
50,5,4,3
51,5,4,3
52,5,4,3
53,5,4,3
54,5,4,3
55,5,2,4
56,5,2,4
57,5,4,3
58,5,4,3
59,5,4,3
60,5,4,3
61,5,4,3
62,5,4,3
63,5,4,3
64,5,4,3
65,5,4,3
66,5,4,3
67,5,4,3
68,5,4,3
69,5,4,3
70,5,4,3
71,5,4,3
72,5,4,3
73,5,4,3
74,5,4,3
75,5,4,3
76,5,1,5
77,5,1,5
78,5,4,3
79,5,4,3
80,5,4,3
81,5,4,3
82,5,4,3
83,5,4,3
84,5,1,5
85,5,2,4
86,5,4,3
87,5,4,3
88,5,4,3
89,5,4,3
90,5,4,3
91,5,4,3
92,5,4,3
93,5,4,3
94,5,4,3
95,5,4,3
96,5,4,3
97,5,4,3
98,5,4,3
99,5,4,3
100,5,4,3
101,5,4,3
102,5,4,3
103,5,4,3
104,5,1,5
105,5,4,3
106,5,2,4
107,5,4,3
108,5,4,3
109,5,1,5
110,5,4,3
111,5,4,3
112,5,1,5
113,5,4,3
114,5,1,5
115,5,2,4
116,5,4,3
117,5,4,3
118,5,3,0
119,5,4,3
120,5,4,3
121,5,6,6
122,5,2,4
123,5,2,4
124,5,2,4
125,5,4,3
126,5,1,5
127,5,1,5
128,5,1,5
129,5,4,3
130,5,4,3
131,5,4,3
132,5,4,3
133,5,2,4
134,5,1,5
135,5,2,4
136,5,4,3
137,5,4,3
138,5,4,3
139,5,4,3
140,5,4,3
141,5,1,5
142,5,4,3
