cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,1,0
1,1,1,0
2,0,1,0
3,1,1,0
4,1,1,0
5,3,2,1
6,0,1,0
7,1,1,0
8,2,1,0
9,3,2,1
10,3,2,1
11,0,1,0
12,3,2,1
13,3,2,1
14,3,2,1
15,0,1,0
16,3,2,1
17,3,2,1
18,1,1,0
19,0,1,0
20,1,1,0
21,2,1,0
22,3,2,1
23,0,1,0
24,3,2,1
25,3,3,3
26,3,1,0
27,2,1,0
28,0,1,0
29,3,2,1
30,2,1,0
31,0,1,0
32,3,2,1
33,3,2,1
34,3,1,0
35,0,1,0
36,1,1,0
37,3,2,1
38,0,1,0
39,3,2,1
40,3,3,3
41,3,2,1
42,1,1,0
43,1,1,0
44,3,2,1
45,0,1,0
46,3,2,1
47,0,1,0
48,3,2,1
49,3,2,1
50,3,2,1
51,2,1,0
52,2,1,0
53,3,2,1
54,0,1,0
55,1,3,3
56,0,1,0
57,1,1,0
58,2,1,0
59,3,3,3
60,3,1,0
61,3,3,3
62,3,3,3
63,3,2,1
64,1,1,0
65,3,2,1
66,3,2,1
67,0,1,0
68,0,1,0
69,1,1,0
70,0,1,0
71,3,2,1
72,3,3,3
73,3,2,1
74,3,2,1
75,3,2,1
76,3,2,1
77,2,1,0
78,1,1,0
79,3,3,3
80,3,3,3
81,3,2,1
82,3,2,1
83,3,2,1
84,3,2,1
85,3,3,3
86,3,0,2
87,0,1,0
88,1,1,0
89,3,0,2
90,0,1,0
91,3,2,1
92,0,1,0
93,3,3,3
94,0,1,0
95,3,2,1
96,3,3,3
97,3,2,1
98,3,1,0
99,3,2,1
100,3,2,1
101,1,1,0
102,1,2,1
103,1,1,0
104,2,1,0
105,2,1,0
106,1,1,0
107,3,3,3
108,3,2,1
109,3,3,3
110,1,1,0
111,0,1,0
112,3,2,1
113,3,2,1
114,3,2,1
115,3,3,3
116,3,2,1
117,0,1,0
118,3,2,1
119,0,1,0
120,3,2,1
121,0,1,0
122,3,2,1
123,2,1,0
124,2,1,0
125,3,3,3
126,0,1,0
127,3,2,1
128,3,2,1
129,1,1,0
130,2,1,0
131,3,2,1
132,2,1,0
133,0,1,0
134,1,1,0
135,3,3,3
136,3,2,1
137,0,1,0
138,3,3,3
139,1,1,0
140,0,1,0
141,3,3,3
142,1,1,0
143,3,2,1
144,1,1,0
145,3,2,1
146,3,2,1
147,3,0,2
148,0,1,0
149,3,2,1
150,3,2,1
151,1,1,0
152,2,1,0
153,3,2,1
154,3,3,3
155,3,1,0
156,3,2,1
157,3,3,3
158,1,1,0
159,0,1,0
160,3,1,0
161,3,3,3
162,1,1,0
163,1,1,0
164,3,2,1
165,3,2,1
166,3,3,3
167,2,1,0
168,3,2,1
169,3,2,1
170,2,1,0
171,0,1,0
172,2,1,0
173,0,1,0
174,0,1,0
175,2,1,0
176,1,1,0
177,3,2,1
178,2,1,0
179,2,1,0
180,3,2,1
181,0,1,0
182,3,2,1
183,0,1,0
184,3,2,1
185,3,2,1
186,3,0,2
187,3,2,1
188,3,3,3
189,1,1,0
190,3,0,2
191,1,1,0
192,3,2,1
193,2,1,0
194,3,2,1
195,3,1,0
196,3,3,3
197,2,1,0
198,3,2,1
199,0,1,0
200,0,1,0
201,3,2,1
202,3,3,3
203,3,3,3
204,0,1,0
205,0,1,0
206,1,1,0
207,1,1,0
208,3,2,1
209,3,3,3
210,1,1,0
211,3,1,0
212,0,1,0
213,0,1,0
214,3,2,1
215,3,2,1
216,3,2,1
217,3,1,0
218,3,2,1
219,3,3,3
220,3,2,1
221,2,1,0
222,3,3,3
223,3,2,1
224,3,3,3
225,3,2,1
226,2,1,0
227,3,3,3
228,1,1,0
229,1,1,0
230,3,2,1
231,3,2,1
232,2,1,0
233,3,2,1
234,3,2,1
235,2,1,0
236,3,2,1
237,3,2,1
238,3,2,1
239,1,1,0
240,2,1,0
241,2,1,0
242,0,1,0
243,2,1,0
244,0,1,0
245,0,1,0
246,3,2,1
247,2,1,0
248,0,1,0
249,1,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,3,1,0
254,2,1,0
255,0,1,0
256,3,2,1
257,3,2,1
258,3,2,1
259,3,3,3
260,1,1,0
261,3,3,3
262,3,2,1
263,1,1,0
264,3,1,0
265,3,2,1
266,3,2,1
267,3,1,0
268,3,3,3
269,1,1,0
270,1,1,0
271,1,1,0
272,3,2,1
273,2,1,0
274,3,3,3
275,0,1,0
276,3,2,1
277,1,1,0
278,3,3,3
279,0,1,0
280,2,1,0
281,2,1,0
282,3,2,1
283,3,2,1
284,1,1,0
285,3,2,1
286,3,2,1
287,2,1,0
288,3,0,2
289,1,1,0
290,3,2,1
291,3,2,1
292,2,1,0
293,0,1,0
294,0,1,0
295,3,2,1
296,3,1,0
297,2,1,0
298,2,1,0
299,3,3,3
300,3,1,0
301,3,2,1
302,3,2,1
303,3,2,1
304,3,2,1
305,1,1,0
306,1,1,0
