cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,0,1
1,1,0,1
2,0,2,0
3,1,0,1
4,1,0,1
5,3,1,3
6,0,2,0
7,1,0,1
8,2,4,2
9,3,1,3
10,3,1,3
11,0,2,0
12,3,1,3
13,3,1,3
14,3,1,3
15,0,2,0
16,3,1,3
17,3,1,3
18,1,0,1
19,0,2,0
20,1,0,1
21,2,0,1
22,3,1,3
23,0,2,0
24,3,1,3
25,3,3,3
26,3,0,1
27,2,4,2
28,0,2,0
29,3,1,3
30,2,0,1
31,0,2,0
32,3,1,3
33,3,1,3
34,3,0,1
35,0,2,0
36,1,0,1
37,3,1,3
38,0,2,0
39,3,1,3
40,3,1,3
41,3,1,3
42,1,0,1
43,1,0,1
44,3,1,3
45,0,2,0
46,3,1,3
47,0,2,0
48,3,1,3
49,3,1,3
50,3,1,3
51,2,4,2
52,2,4,2
53,3,3,3
54,0,2,0
55,1,3,3
56,0,4,2
57,1,0,1
58,2,0,1
59,3,1,3
60,3,3,3
61,3,1,3
62,3,1,3
63,3,1,3
64,1,0,1
65,3,1,3
66,3,1,3
67,0,2,0
68,0,2,0
69,1,0,1
70,0,2,0
71,3,1,3
72,3,1,3
73,3,1,3
74,3,1,3
75,3,1,3
76,3,1,3
77,2,4,2
78,1,0,1
79,3,1,3
80,3,1,3
81,3,1,3
82,3,1,3
83,3,1,3
84,3,1,3
85,3,1,3
86,3,3,3
87,0,2,0
88,1,0,1
89,3,3,3
90,0,2,0
91,3,0,1
92,0,2,0
93,3,1,3
94,0,2,0
95,3,1,3
96,3,1,3
97,3,1,3
98,3,4,2
99,3,1,3
100,3,1,3
101,1,0,1
102,1,1,3
103,1,0,1
104,2,0,1
105,2,0,1
106,1,0,1
107,3,1,3
108,3,1,3
109,3,0,1
110,1,0,1
111,0,2,0
112,3,0,1
113,3,1,3
114,3,1,3
115,3,1,3
116,3,1,3
117,0,2,0
118,3,1,3
119,0,2,0
120,3,1,3
121,0,2,0
122,3,1,3
123,2,0,1
124,2,4,2
125,3,1,3
126,0,2,0
127,3,1,3
128,3,1,3
129,1,0,1
130,2,0,1
131,3,1,3
132,2,0,1
133,0,2,0
134,1,0,1
135,3,1,3
136,3,1,3
137,0,2,0
138,3,1,3
139,1,0,1
140,0,2,0
141,3,1,3
142,1,0,1
143,3,1,3
144,1,0,1
145,3,1,3
146,3,0,1
147,3,3,3
148,0,2,0
149,3,1,3
150,3,1,3
151,1,0,1
152,2,0,1
153,3,1,3
154,3,1,3
155,3,0,1
156,3,1,3
157,3,1,3
158,1,0,1
159,0,2,0
160,3,0,1
161,3,1,3
162,1,0,1
163,1,0,1
164,3,1,3
165,3,1,3
166,3,1,3
167,2,4,2
168,3,1,3
169,3,1,3
170,2,4,2
171,0,2,0
172,2,4,2
173,0,0,1
174,0,2,0
175,2,4,2
176,1,0,1
177,3,1,3
178,2,4,2
179,2,0,1
180,3,1,3
181,0,0,1
182,3,1,3
183,0,2,0
184,3,1,3
185,3,1,3
186,3,3,3
187,3,1,3
188,3,1,3
189,1,0,1
190,3,3,3
191,1,0,1
192,3,1,3
193,2,4,2
194,3,1,3
195,3,0,1
196,3,1,3
197,2,4,2
198,3,1,3
199,0,2,0
200,0,2,0
201,3,1,3
202,3,1,3
203,3,3,3
204,0,2,0
205,0,2,0
206,1,0,1
207,1,0,1
208,3,1,3
209,3,1,3
210,1,0,1
211,3,0,1
212,0,2,0
213,0,2,0
214,3,1,3
215,3,1,3
216,3,1,3
217,3,1,3
218,3,1,3
219,3,1,3
220,3,1,3
221,2,0,1
222,3,1,3
223,3,1,3
224,3,0,1
225,3,1,3
226,2,4,2
227,3,1,3
228,1,0,1
229,1,0,1
230,3,1,3
231,3,1,3
232,2,4,2
233,3,1,3
234,3,0,1
235,2,4,2
236,3,1,3
237,3,1,3
238,3,1,3
239,1,0,1
240,2,4,2
241,2,0,1
242,0,0,1
243,2,4,2
244,0,4,2
245,0,2,0
246,3,1,3
247,2,4,2
248,0,2,0
249,1,0,1
250,0,2,0
251,0,2,0
252,0,0,1
253,3,0,1
254,2,0,1
255,0,0,1
256,3,1,3
257,3,1,3
258,3,1,3
259,3,1,3
260,1,0,1
261,3,1,3
262,3,1,3
263,1,0,1
264,3,0,1
265,3,1,3
266,3,1,3
267,3,0,1
268,3,1,3
269,1,0,1
270,1,0,1
271,1,0,1
272,3,1,3
273,2,4,2
274,3,0,1
275,0,2,0
276,3,1,3
277,1,0,1
278,3,0,1
279,0,2,0
280,2,0,1
281,2,0,1
282,3,1,3
283,3,1,3
284,1,0,1
285,3,1,3
286,3,1,3
287,2,0,1
288,3,3,3
289,1,0,1
290,3,1,3
291,3,1,3
292,2,4,2
293,0,4,2
294,0,2,0
295,3,1,3
296,3,0,1
297,2,4,2
298,2,4,2
299,3,1,3
300,3,0,1
301,3,1,3
302,3,1,3
303,3,1,3
304,3,1,3
305,1,4,2
306,1,0,1
307,3,1,3
308,3,1,3
309,1,0,1
310,3,1,3
311,2,4,2
312,2,0,1
313,2,4,2
314,2,4,2
315,1,0,1
316,2,0,1
317,3,1,3
318,3,0,1
319,3,1,3
320,2,4,2
321,1,0,1
322,0,2,0
323,0,2,0
324,0,0,1
325,3,1,3
326,3,1,3
327,2,0,1
328,3,1,3
329,1,0,1
330,3,1,3
331,1,0,1
332,3,1,3
333,3,1,3
334,3,1,3
335,0,2,0
336,3,1,3
337,3,0,1
338,1,0,1
339,3,0,1
340,2,4,2
341,1,0,1
342,0,2,0
343,2,4,2
344,0,4,2
345,3,0,1
346,2,0,1
347,2,0,1
348,3,1,3
349,2,4,2
350,3,0,1
