cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,2,3
1,1,1,0
2,0,1,0
3,1,1,0
4,1,1,0
5,3,2,3
6,0,1,0
7,1,1,0
8,2,1,0
9,3,2,3
10,3,2,3
11,0,1,0
12,3,2,3
13,3,2,3
14,3,2,3
15,0,1,0
16,3,2,3
17,3,2,3
18,1,1,0
19,0,1,0
20,1,1,0
21,2,2,3
22,3,2,3
23,0,1,0
24,3,2,3
25,3,2,3
26,3,2,3
27,2,1,0
28,0,1,0
29,3,2,3
30,2,2,3
31,0,1,0
32,3,2,3
33,3,2,3
34,3,2,3
35,0,1,0
36,1,2,3
37,3,2,3
38,0,1,0
39,3,2,3
40,3,2,3
41,3,2,3
42,1,1,0
43,1,1,0
44,3,2,3
45,0,1,0
46,3,2,3
47,0,1,0
48,3,2,3
49,3,2,3
50,3,2,3
51,2,1,0
52,2,1,0
53,3,2,3
54,0,1,0
55,1,2,3
56,0,1,0
57,1,1,0
58,2,2,3
59,3,2,3
60,3,2,3
61,3,2,3
62,3,2,3
63,3,2,3
64,1,1,0
65,3,2,3
66,3,2,3
67,0,1,0
68,0,1,0
69,1,1,0
70,0,1,0
71,3,2,3
72,3,2,3
73,3,2,3
74,3,2,3
75,3,2,3
76,3,2,3
77,2,1,0
78,1,1,0
79,3,2,3
80,3,2,3
81,3,2,3
82,3,2,3
83,3,2,3
84,3,2,3
85,3,2,3
86,3,2,3
87,0,1,0
88,1,1,0
89,3,2,3
90,0,1,0
91,3,2,3
92,0,1,0
93,3,2,3
94,0,1,0
95,3,2,3
96,3,2,3
97,3,2,3
98,3,1,0
99,3,2,3
100,3,2,3
101,1,1,0
102,1,2,3
103,1,1,0
104,2,2,3
105,2,2,3
106,1,1,0
107,3,2,3
108,3,2,3
109,3,2,3
110,1,1,0
111,0,1,0
112,3,2,3
113,3,2,3
114,3,2,3
115,3,2,3
116,3,2,3
117,0,1,0
118,3,2,3
119,0,1,0
120,3,2,3
121,0,1,0
122,3,2,3
123,2,2,3
124,2,1,0
125,3,2,3
126,0,2,3
127,3,2,3
128,3,2,3
129,1,1,0
130,2,2,3
131,3,2,3
132,2,2,3
133,0,1,0
134,1,1,0
135,3,2,3
136,3,2,3
137,0,1,0
138,3,2,3
139,1,1,0
140,0,1,0
141,3,2,3
142,1,1,0
143,3,2,3
144,1,1,0
145,3,2,3
146,3,2,3
147,3,2,3
148,0,1,0
149,3,2,3
150,3,2,3
151,1,1,0
152,2,2,3
153,3,2,3
154,3,2,3
155,3,2,3
156,3,2,3
157,3,2,3
158,1,1,0
159,0,1,0
160,3,2,3
161,3,2,3
162,1,1,0
163,1,1,0
164,3,2,3
165,3,2,3
166,3,2,3
167,2,1,0
168,3,2,3
169,3,2,3
170,2,1,0
171,0,1,0
172,2,1,0
173,0,1,0
174,0,1,0
175,2,1,0
176,1,1,0
177,3,2,3
178,2,1,0
179,2,2,3
180,3,2,3
181,0,1,0
182,3,2,3
183,0,1,0
184,3,2,3
185,3,2,3
186,3,2,3
187,3,2,3
188,3,2,3
189,1,1,0
190,3,2,3
191,1,1,0
192,3,2,3
193,2,2,3
194,3,2,3
195,3,2,3
196,3,2,3
197,2,1,0
198,3,2,3
199,0,1,0
200,0,1,0
201,3,2,3
202,3,2,3
203,3,2,3
204,0,1,0
205,0,1,0
206,1,1,0
207,1,1,0
208,3,2,3
209,3,2,3
210,1,1,0
211,3,2,3
212,0,1,0
213,0,1,0
214,3,2,3
215,3,2,3
216,3,2,3
217,3,2,3
218,3,2,3
219,3,2,3
220,3,2,3
221,2,2,3
222,3,2,3
223,3,2,3
224,3,2,3
225,3,2,3
226,2,1,0
227,3,2,3
228,1,1,0
229,1,1,0
230,3,2,3
231,3,2,3
232,2,1,0
233,3,2,3
234,3,2,3
235,2,1,0
236,3,2,3
237,3,2,3
238,3,2,3
239,1,1,0
240,2,1,0
241,2,2,3
242,0,1,0
243,2,1,0
244,0,1,0
245,0,1,0
246,3,2,3
247,2,1,0
248,0,1,0
249,1,1,0
250,0,1,0
251,0,1,0
252,0,1,0
253,3,2,3
254,2,2,3
255,0,1,0
256,3,2,3
257,3,2,3
258,3,2,3
259,3,2,3
260,1,1,0
261,3,2,3
262,3,2,3
263,1,1,0
264,3,2,3
265,3,2,3
266,3,2,3
267,3,2,3
268,3,2,3
269,1,1,0
270,1,1,0
271,1,1,0
272,3,2,3
273,2,2,3
274,3,2,3
275,0,1,0
276,3,2,3
277,1,1,0
278,3,2,3
279,0,1,0
280,2,2,3
281,2,2,3
282,3,2,3
283,3,2,3
284,1,1,0
285,3,2,3
286,3,2,3
287,2,2,3
288,3,2,3
289,1,1,0
290,3,2,3
291,3,2,3
292,2,1,0
293,0,1,0
294,0,1,0
295,3,2,3
296,3,2,3
297,2,1,0
298,2,1,0
299,3,2,3
300,3,2,3
301,3,2,3
302,3,2,3
303,3,2,3
304,3,2,3
305,1,1,0
306,1,1,0
307,3,2,3
308,3,2,3
309,1,1,0
310,3,2,3
311,2,1,0
312,2,2,3
313,2,1,0
314,2,1,0
315,1,1,0
316,2,2,3
317,3,2,3
318,3,2,3
319,3,2,3
320,2,2,3
321,1,1,0
322,0,1,0
323,0,1,0
324,0,1,0
325,3,2,3
326,3,2,3
327,2,2,3
328,3,2,3
329,1,1,0
330,3,2,3
331,1,1,0
332,3,2,3
333,3,2,3
334,3,2,3
335,0,1,0
336,3,2,3
337,3,2,3
338,1,1,0
339,3,2,3
340,2,1,0
341,1,1,0
342,0,1,0
343,2,1,0
344,0,1,0
345,3,2,3
346,2,2,3
347,2,2,3
348,3,2,3
349,2,1,0
350,3,2,3
351,0,1,0
352,0,1,0
353,1,1,0
354,3,2,3
355,3,2,3
356,2,1,0
357,2,2,3
358,0,1,0
359,2,2,3
360,2,1,0
361,2,2,3
362,3,2,3
363,3,2,3
364,1,1,0
365,3,2,3
366,0,1,0
367,3,2,3
368,1,1,0
369,3,2,3
370,2,1,0
371,3,2,3
372,3,2,3
373,2,2,3
374,0,1,0
375,3,2,3
376,3,2,3
377,3,2,3
378,3,2,3
379,2,1,0
380,2,1,0
381,1,1,0
382,2,2,3
383,1,1,0
384,0,1,0
385,3,2,3
386,3,2,3
387,3,2,3
388,2,2,3
389,3,2,3
390,1,1,0
391,3,2,3
392,1,1,0
393,3,2,3
394,2,1,0
395,1,1,0
396,1,1,0
397,3,2,3
398,3,2,3
399,3,2,3
400,3,2,3
401,3,2,3
402,3,2,3
403,1,1,0
404,3,2,3
405,3,2,3
406,2,1,0
407,2,1,0
408,0,1,0
409,0,1,0
410,0,1,0
411,0,1,0
412,1,1,0
413,3,2,3
414,3,2,3
415,2,2,3
416,0,1,0
417,2,1,0
418,3,2,3
419,0,1,0
420,3,2,3
421,3,2,3
422,0,1,0
423,3,2,3
424,3,2,3
425,3,2,3
426,0,1,0
427,3,2,3
428,1,2,3
429,3,2,3
430,1,1,0
431,3,2,3
432,3,2,3
433,3,2,3
434,1,1,0
435,3,2,3
436,2,2,3
437,2,1,0
438,1,1,0
439,3,2,3
440,1,2,3
441,3,2,3
442,2,1,0
443,0,1,0
444,0,1,0
445,3,2,3
446,2,2,3
447,3,2,3
448,2,1,0
449,0,1,0
450,2,1,0
451,3,2,3
452,3,2,3
453,3,2,3
454,3,2,3
455,2,1,0
456,3,2,3
457,3,2,3
458,2,2,3
459,3,2,3
460,0,1,0
461,3,2,3
462,3,2,3
463,1,1,0
464,3,2,3
465,3,2,3
466,1,1,0
467,3,2,3
468,2,1,0
469,3,2,3
470,3,2,3
471,3,2,3
472,3,2,3
473,0,1,0
474,2,1,0
475,2,2,3
476,2,2,3
477,3,2,3
478,0,1,0
479,3,2,3
480,3,2,3
481,3,2,3
482,1,2,3
483,1,1,0
484,3,2,3
485,3,2,3
486,3,2,3
487,2,2,3
488,0,1,0
489,3,2,3
490,3,2,3
491,3,2,3
492,1,1,0
493,2,2,3
494,1,1,0
495,3,2,3
496,1,1,0
497,3,2,3
498,3,2,3
499,3,2,3
500,3,2,3
501,3,2,3
502,3,2,3
503,3,2,3
504,3,2,3
505,3,2,3
506,3,2,3
507,0,1,0
508,3,2,3
509,3,2,3
510,3,2,3
511,3,2,3
512,3,2,3
513,2,1,0
514,3,2,3
515,3,2,3
516,3,2,3
517,3,2,3
518,0,1,0
519,3,2,3
520,3,2,3
521,3,2,3
522,3,2,3
523,0,1,0
524,3,2,3
525,3,2,3
526,3,2,3
527,3,2,3
528,3,2,3
529,3,2,3
530,0,1,0
531,3,2,3
532,3,2,3
533,3,2,3
534,3,2,3
535,3,2,3
536,3,2,3
537,3,2,3
538,3,2,3
539,3,2,3
540,3,2,3
541,3,2,3
542,1,2,3
543,3,2,3
544,3,2,3
545,3,2,3
546,2,2,3
547,3,2,3
548,1,1,0
549,3,2,3
550,3,2,3
551,2,1,0
552,0,1,0
553,3,2,3
554,3,2,3
555,3,2,3
556,2,2,3
557,1,2,3
558,1,1,0
559,3,2,3
560,3,2,3
561,3,2,3
562,3,2,3
563,3,2,3
564,3,2,3
565,1,2,3
566,0,1,0
567,3,2,3
568,3,2,3
569,3,2,3
570,3,2,3
571,3,2,3
572,3,2,3
573,3,2,3
574,3,2,3
575,3,2,3
576,2,2,3
577,3,2,3
578,0,1,0
579,0,1,0
580,3,2,3
581,3,2,3
582,3,2,3
583,3,2,3
584,3,2,3
585,0,1,0
586,3,2,3
587,0,1,0
588,3,2,3
589,3,2,3
590,3,2,3
591,3,2,3
592,3,2,3
593,2,1,0
594,0,1,0
595,3,2,3
596,3,2,3
597,0,1,0
598,3,2,3
599,2,1,0
600,3,2,3
601,2,2,3
602,3,2,3
603,3,2,3
604,3,2,3
605,3,2,3
606,3,2,3
607,3,2,3
608,3,2,3
609,3,2,3
610,3,2,3
611,0,1,0
612,3,2,3
613,2,2,3
614,1,2,3
615,3,2,3
616,3,2,3
617,2,2,3
618,2,1,0
619,3,2,3
620,2,2,3
621,3,2,3
622,3,2,3
623,3,2,3
624,3,2,3
625,2,1,0
626,3,2,3
627,3,2,3
628,2,1,0
629,3,2,3
630,3,2,3
631,3,2,3
632,3,2,3
633,3,2,3
634,3,2,3
635,3,2,3
636,0,1,0
637,3,2,3
