cell_id,true_label,pred_label_raw,pred_label_aligned
0,2,2,2
1,1,2,2
2,0,3,0
3,1,2,2
4,1,2,2
5,3,1,3
6,0,3,0
7,1,2,2
8,2,2,2
9,3,1,3
10,3,1,3
11,0,3,0
12,3,1,3
13,3,1,3
14,3,1,3
15,0,3,0
16,3,1,3
17,3,1,3
18,1,2,2
19,0,3,0
20,1,2,2
21,2,2,2
22,3,1,3
23,0,3,0
24,3,1,3
25,3,1,3
26,3,2,2
27,2,2,2
28,0,3,0
29,3,1,3
30,2,2,2
31,0,3,0
32,3,1,3
33,3,1,3
34,3,2,2
35,0,3,0
36,1,2,2
37,3,1,3
38,0,3,0
39,3,1,3
40,3,1,3
41,3,1,3
42,1,2,2
43,1,2,2
44,3,1,3
45,0,3,0
46,3,1,3
47,0,3,0
48,3,1,3
49,3,1,3
50,3,1,3
51,2,2,2
52,2,2,2
53,3,0,1
54,0,3,0
55,1,0,1
56,0,3,0
57,1,2,2
58,2,2,2
59,3,1,3
60,3,0,1
61,3,1,3
62,3,1,3
63,3,1,3
64,1,2,2
65,3,1,3
66,3,1,3
67,0,2,2
68,0,3,0
69,1,2,2
70,0,3,0
71,3,1,3
72,3,1,3
73,3,1,3
74,3,2,2
75,3,2,2
76,3,1,3
77,2,2,2
78,1,2,2
79,3,1,3
80,3,1,3
81,3,1,3
82,3,1,3
83,3,1,3
84,3,1,3
85,3,1,3
86,3,0,1
87,0,3,0
88,1,2,2
89,3,0,1
90,0,3,0
91,3,1,3
92,0,3,0
93,3,1,3
94,0,3,0
95,3,1,3
96,3,1,3
97,3,1,3
98,3,2,2
99,3,1,3
100,3,1,3
101,1,2,2
102,1,2,2
103,1,2,2
104,2,2,2
105,2,2,2
106,1,2,2
107,3,1,3
108,3,1,3
109,3,1,3
110,1,2,2
111,0,3,0
112,3,1,3
113,3,1,3
114,3,1,3
115,3,1,3
116,3,1,3
117,0,3,0
118,3,1,3
119,0,3,0
120,3,1,3
121,0,3,0
122,3,1,3
123,2,2,2
124,2,2,2
125,3,1,3
126,0,2,2
127,3,1,3
128,3,1,3
129,1,2,2
130,2,2,2
